context: To visit someone named Daphne who was said to have met a dragon, response:	we came to a traveler's inn named Rise.
context: To visit someone named Daphne who was said to have met a dragon,\we came to a traveler's inn named Rise. response:	I knew I had a bad feeling about this.
context: To visit someone named Daphne who was said to have met a dragon,\we came to a traveler's inn named Rise.\I knew I had a bad feeling about this. response:	So of course, we fell right into the trap, and are completely shut in!
context: To visit someone named Daphne who was said to have met a dragon,\we came to a traveler's inn named Rise.\I knew I had a bad feeling about this.\So of course, we fell right into the trap, and are completely shut in! response:	Yes-yes-yes...
context: To visit someone named Daphne who was said to have met a dragon,\we came to a traveler's inn named Rise.\I knew I had a bad feeling about this.\So of course, we fell right into the trap, and are completely shut in!\Yes-yes-yes... response:	I've been waiting for you, Dragon Slayer.
context: To visit someone named Daphne who was said to have met a dragon,\we came to a traveler's inn named Rise.\I knew I had a bad feeling about this.\So of course, we fell right into the trap, and are completely shut in!\Yes-yes-yes...\I've been waiting for you, Dragon Slayer. response:	So, what are you doing here, Gray?
context: To visit someone named Daphne who was said to have met a dragon,\we came to a traveler's inn named Rise.\I knew I had a bad feeling about this.\So of course, we fell right into the trap, and are completely shut in!\Yes-yes-yes...\I've been waiting for you, Dragon Slayer.\So, what are you doing here, Gray? response:	Gray-san?
context: To visit someone named Daphne who was said to have met a dragon,\we came to a traveler's inn named Rise.\I knew I had a bad feeling about this.\So of course, we fell right into the trap, and are completely shut in!\Yes-yes-yes...\I've been waiting for you, Dragon Slayer.\So, what are you doing here, Gray?\Gray-san? response:	What's wrong with you, Gray?
context: we came to a traveler's inn named Rise.\I knew I had a bad feeling about this.\So of course, we fell right into the trap, and are completely shut in!\Yes-yes-yes...\I've been waiting for you, Dragon Slayer.\So, what are you doing here, Gray?\Gray-san?\What's wrong with you, Gray? response:	Stand back, Wendy.
context: I knew I had a bad feeling about this.\So of course, we fell right into the trap, and are completely shut in!\Yes-yes-yes...\I've been waiting for you, Dragon Slayer.\So, what are you doing here, Gray?\Gray-san?\What's wrong with you, Gray?\Stand back, Wendy. response:	He's being serious.
context: So of course, we fell right into the trap, and are completely shut in!\Yes-yes-yes...\I've been waiting for you, Dragon Slayer.\So, what are you doing here, Gray?\Gray-san?\What's wrong with you, Gray?\Stand back, Wendy.\He's being serious. response:	Gray, what's wrong?
