context: Dear viewers, good evening response:	Breaking news coming in right now
context: Dear viewers, good evening\Breaking news coming in right now response:	A mysterious death has occured in this city
context: Dear viewers, good evening\Breaking news coming in right now\A mysterious death has occured in this city response:	It happened under the oriental bridge
context: Dear viewers, good evening\Breaking news coming in right now\A mysterious death has occured in this city\It happened under the oriental bridge response:	The victim is a young female
context: Dear viewers, good evening\Breaking news coming in right now\A mysterious death has occured in this city\It happened under the oriental bridge\The victim is a young female response:	The cause of death in unknown
context: Dear viewers, good evening\Breaking news coming in right now\A mysterious death has occured in this city\It happened under the oriental bridge\The victim is a young female\The cause of death in unknown response:	Police are currently investigating
context: Dear viewers, good evening\Breaking news coming in right now\A mysterious death has occured in this city\It happened under the oriental bridge\The victim is a young female\The cause of death in unknown\Police are currently investigating response:	Those with information please contact the police
context: Dear viewers, good evening\Breaking news coming in right now\A mysterious death has occured in this city\It happened under the oriental bridge\The victim is a young female\The cause of death in unknown\Police are currently investigating\Those with information please contact the police response:	Participants can be rewarded up to S10,000
context: Breaking news coming in right now\A mysterious death has occured in this city\It happened under the oriental bridge\The victim is a young female\The cause of death in unknown\Police are currently investigating\Those with information please contact the police\Participants can be rewarded up to S10,000 response:	Boss, what do you need from us?
context: A mysterious death has occured in this city\It happened under the oriental bridge\The victim is a young female\The cause of death in unknown\Police are currently investigating\Those with information please contact the police\Participants can be rewarded up to S10,000\Boss, what do you need from us? response:	Look this up for me
context: It happened under the oriental bridge\The victim is a young female\The cause of death in unknown\Police are currently investigating\Those with information please contact the police\Participants can be rewarded up to S10,000\Boss, what do you need from us?\Look this up for me response:	I want this outfit
context: The victim is a young female\The cause of death in unknown\Police are currently investigating\Those with information please contact the police\Participants can be rewarded up to S10,000\Boss, what do you need from us?\Look this up for me\I want this outfit response:	Look up where I can buy it
context: The cause of death in unknown\Police are currently investigating\Those with information please contact the police\Participants can be rewarded up to S10,000\Boss, what do you need from us?\Look this up for me\I want this outfit\Look up where I can buy it response:	Woah! Chicken wing costume!
context: Police are currently investigating\Those with information please contact the police\Participants can be rewarded up to S10,000\Boss, what do you need from us?\Look this up for me\I want this outfit\Look up where I can buy it\Woah! Chicken wing costume! response:	Boss sure has a good eye
context: Those with information please contact the police\Participants can be rewarded up to S10,000\Boss, what do you need from us?\Look this up for me\I want this outfit\Look up where I can buy it\Woah! Chicken wing costume!\Boss sure has a good eye response:	Leave it to us
context: Participants can be rewarded up to S10,000\Boss, what do you need from us?\Look this up for me\I want this outfit\Look up where I can buy it\Woah! Chicken wing costume!\Boss sure has a good eye\Leave it to us response:	Spirit sis?
context: Boss, what do you need from us?\Look this up for me\I want this outfit\Look up where I can buy it\Woah! Chicken wing costume!\Boss sure has a good eye\Leave it to us\Spirit sis? response:	Monsters...
context: Look this up for me\I want this outfit\Look up where I can buy it\Woah! Chicken wing costume!\Boss sure has a good eye\Leave it to us\Spirit sis?\Monsters... response:	Hey, I'm still bathing, you should...
context: I want this outfit\Look up where I can buy it\Woah! Chicken wing costume!\Boss sure has a good eye\Leave it to us\Spirit sis?\Monsters...\Hey, I'm still bathing, you should... response:	So you're all here at once
context: Look up where I can buy it\Woah! Chicken wing costume!\Boss sure has a good eye\Leave it to us\Spirit sis?\Monsters...\Hey, I'm still bathing, you should...\So you're all here at once response:	How insolent!
context: Woah! Chicken wing costume!\Boss sure has a good eye\Leave it to us\Spirit sis?\Monsters...\Hey, I'm still bathing, you should...\So you're all here at once\How insolent! response:	Spirit sis?
context: Boss sure has a good eye\Leave it to us\Spirit sis?\Monsters...\Hey, I'm still bathing, you should...\So you're all here at once\How insolent!\Spirit sis? response:	This is um...
context: Leave it to us\Spirit sis?\Monsters...\Hey, I'm still bathing, you should...\So you're all here at once\How insolent!\Spirit sis?\This is um... response:	Prepare to be eliminated!
