context: Good morning, senpai. response:	Y-You...
context: Good morning, senpai.\Y-You... response:	Kuroneko?
context: Good morning, senpai.\Y-You...\Kuroneko? response:	You enrolled in my school?
context: Good morning, senpai.\Y-You...\Kuroneko?\You enrolled in my school? response:	Yes.
context: Good morning, senpai.\Y-You...\Kuroneko?\You enrolled in my school?\Yes. response:	Not because of you or anything.
context: Good morning, senpai.\Y-You...\Kuroneko?\You enrolled in my school?\Yes.\Not because of you or anything. response:	Well yeah, but...
context: Good morning, senpai.\Y-You...\Kuroneko?\You enrolled in my school?\Yes.\Not because of you or anything.\Well yeah, but... response:	You should've told me!
context: Good morning, senpai.\Y-You...\Kuroneko?\You enrolled in my school?\Yes.\Not because of you or anything.\Well yeah, but...\You should've told me! response:	I had no obligation to.
context: Y-You...\Kuroneko?\You enrolled in my school?\Yes.\Not because of you or anything.\Well yeah, but...\You should've told me!\I had no obligation to. response:	What does it have to do with you?
context: Kuroneko?\You enrolled in my school?\Yes.\Not because of you or anything.\Well yeah, but...\You should've told me!\I had no obligation to.\What does it have to do with you? response:	Well...
context: You enrolled in my school?\Yes.\Not because of you or anything.\Well yeah, but...\You should've told me!\I had no obligation to.\What does it have to do with you?\Well... response:	I think it's great!
context: Yes.\Not because of you or anything.\Well yeah, but...\You should've told me!\I had no obligation to.\What does it have to do with you?\Well...\I think it's great! response:	Let's get along then, kouhai.
context: Not because of you or anything.\Well yeah, but...\You should've told me!\I had no obligation to.\What does it have to do with you?\Well...\I think it's great!\Let's get along then, kouhai. response:	Indeed, senpai.
context: Well yeah, but...\You should've told me!\I had no obligation to.\What does it have to do with you?\Well...\I think it's great!\Let's get along then, kouhai.\Indeed, senpai. response:	What an idiot.
context: You should've told me!\I had no obligation to.\What does it have to do with you?\Well...\I think it's great!\Let's get along then, kouhai.\Indeed, senpai.\What an idiot. response:	Kyou-chan, Kyou-chan!
context: I had no obligation to.\What does it have to do with you?\Well...\I think it's great!\Let's get along then, kouhai.\Indeed, senpai.\What an idiot.\Kyou-chan, Kyou-chan! response:	She's a first year, right?
context: What does it have to do with you?\Well...\I think it's great!\Let's get along then, kouhai.\Indeed, senpai.\What an idiot.\Kyou-chan, Kyou-chan!\She's a first year, right? response:	Do you know her?
context: Well...\I think it's great!\Let's get along then, kouhai.\Indeed, senpai.\What an idiot.\Kyou-chan, Kyou-chan!\She's a first year, right?\Do you know her? response:	She's a friend of Kirino and mine.
context: I think it's great!\Let's get along then, kouhai.\Indeed, senpai.\What an idiot.\Kyou-chan, Kyou-chan!\She's a first year, right?\Do you know her?\She's a friend of Kirino and mine. response:	What's her name?
context: Let's get along then, kouhai.\Indeed, senpai.\What an idiot.\Kyou-chan, Kyou-chan!\She's a first year, right?\Do you know her?\She's a friend of Kirino and mine.\What's her name? response:	Kuroneko.
context: Indeed, senpai.\What an idiot.\Kyou-chan, Kyou-chan!\She's a first year, right?\Do you know her?\She's a friend of Kirino and mine.\What's her name?\Kuroneko. response:	Wait, what's her real name?
context: What an idiot.\Kyou-chan, Kyou-chan!\She's a first year, right?\Do you know her?\She's a friend of Kirino and mine.\What's her name?\Kuroneko.\Wait, what's her real name? response:	Gokou Ruri.
context: Kyou-chan, Kyou-chan!\She's a first year, right?\Do you know her?\She's a friend of Kirino and mine.\What's her name?\Kuroneko.\Wait, what's her real name?\Gokou Ruri. response:	That would be my human name.
context: She's a first year, right?\Do you know her?\She's a friend of Kirino and mine.\What's her name?\Kuroneko.\Wait, what's her real name?\Gokou Ruri.\That would be my human name. response:	Gokou?
context: Do you know her?\She's a friend of Kirino and mine.\What's her name?\Kuroneko.\Wait, what's her real name?\Gokou Ruri.\That would be my human name.\Gokou? response:	That feels weird...
context: She's a friend of Kirino and mine.\What's her name?\Kuroneko.\Wait, what's her real name?\Gokou Ruri.\That would be my human name.\Gokou?\That feels weird... response:	I called you Kuroneko all this time...
context: What's her name?\Kuroneko.\Wait, what's her real name?\Gokou Ruri.\That would be my human name.\Gokou?\That feels weird...\I called you Kuroneko all this time... response:	Then continue to do so.
context: Kuroneko.\Wait, what's her real name?\Gokou Ruri.\That would be my human name.\Gokou?\That feels weird...\I called you Kuroneko all this time...\Then continue to do so. response:	Yeah, I will.
context: Wait, what's her real name?\Gokou Ruri.\That would be my human name.\Gokou?\That feels weird...\I called you Kuroneko all this time...\Then continue to do so.\Yeah, I will. response:	So...
context: Gokou Ruri.\That would be my human name.\Gokou?\That feels weird...\I called you Kuroneko all this time...\Then continue to do so.\Yeah, I will.\So... response:	Why are you guys here?
context: That would be my human name.\Gokou?\That feels weird...\I called you Kuroneko all this time...\Then continue to do so.\Yeah, I will.\So...\Why are you guys here? response:	With Miss Kiririn away, you must be so lonely, so I was invited to check in on you.
context: Gokou?\That feels weird...\I called you Kuroneko all this time...\Then continue to do so.\Yeah, I will.\So...\Why are you guys here?\With Miss Kiririn away, you must be so lonely, so I was invited to check in on you. response:	Right, Ruri-chan?
context: That feels weird...\I called you Kuroneko all this time...\Then continue to do so.\Yeah, I will.\So...\Why are you guys here?\With Miss Kiririn away, you must be so lonely, so I was invited to check in on you.\Right, Ruri-chan? response:	Please stop constructing false realities.
context: I called you Kuroneko all this time...\Then continue to do so.\Yeah, I will.\So...\Why are you guys here?\With Miss Kiririn away, you must be so lonely, so I was invited to check in on you.\Right, Ruri-chan?\Please stop constructing false realities. response:	Truth is, I'm feeling more refreshed than ever with that noisy sister gone.
context: Then continue to do so.\Yeah, I will.\So...\Why are you guys here?\With Miss Kiririn away, you must be so lonely, so I was invited to check in on you.\Right, Ruri-chan?\Please stop constructing false realities.\Truth is, I'm feeling more refreshed than ever with that noisy sister gone. response:	I appreciate the thought, though.
context: Yeah, I will.\So...\Why are you guys here?\With Miss Kiririn away, you must be so lonely, so I was invited to check in on you.\Right, Ruri-chan?\Please stop constructing false realities.\Truth is, I'm feeling more refreshed than ever with that noisy sister gone.\I appreciate the thought, though. response:	Thanks.
context: So...\Why are you guys here?\With Miss Kiririn away, you must be so lonely, so I was invited to check in on you.\Right, Ruri-chan?\Please stop constructing false realities.\Truth is, I'm feeling more refreshed than ever with that noisy sister gone.\I appreciate the thought, though.\Thanks. response:	And you're accepting it without a second thought.
context: Why are you guys here?\With Miss Kiririn away, you must be so lonely, so I was invited to check in on you.\Right, Ruri-chan?\Please stop constructing false realities.\Truth is, I'm feeling more refreshed than ever with that noisy sister gone.\I appreciate the thought, though.\Thanks.\And you're accepting it without a second thought. response:	This is the present you got that one time...
context: With Miss Kiririn away, you must be so lonely, so I was invited to check in on you.\Right, Ruri-chan?\Please stop constructing false realities.\Truth is, I'm feeling more refreshed than ever with that noisy sister gone.\I appreciate the thought, though.\Thanks.\And you're accepting it without a second thought.\This is the present you got that one time... response:	How nostalgic.
context: Right, Ruri-chan?\Please stop constructing false realities.\Truth is, I'm feeling more refreshed than ever with that noisy sister gone.\I appreciate the thought, though.\Thanks.\And you're accepting it without a second thought.\This is the present you got that one time...\How nostalgic. response:	Hasn't Kirino called you guys or anything?
context: Please stop constructing false realities.\Truth is, I'm feeling more refreshed than ever with that noisy sister gone.\I appreciate the thought, though.\Thanks.\And you're accepting it without a second thought.\This is the present you got that one time...\How nostalgic.\Hasn't Kirino called you guys or anything? response:	She put up a short update on her SNS blog, but that's all.
context: Truth is, I'm feeling more refreshed than ever with that noisy sister gone.\I appreciate the thought, though.\Thanks.\And you're accepting it without a second thought.\This is the present you got that one time...\How nostalgic.\Hasn't Kirino called you guys or anything?\She put up a short update on her SNS blog, but that's all. response:	I was just getting fed up with that woman, too.
context: I appreciate the thought, though.\Thanks.\And you're accepting it without a second thought.\This is the present you got that one time...\How nostalgic.\Hasn't Kirino called you guys or anything?\She put up a short update on her SNS blog, but that's all.\I was just getting fed up with that woman, too. response:	It's so refreshing to have her gone.
context: Thanks.\And you're accepting it without a second thought.\This is the present you got that one time...\How nostalgic.\Hasn't Kirino called you guys or anything?\She put up a short update on her SNS blog, but that's all.\I was just getting fed up with that woman, too.\It's so refreshing to have her gone. response:	To be perfectly honest, I'm kind of angry with her.
context: And you're accepting it without a second thought.\This is the present you got that one time...\How nostalgic.\Hasn't Kirino called you guys or anything?\She put up a short update on her SNS blog, but that's all.\I was just getting fed up with that woman, too.\It's so refreshing to have her gone.\To be perfectly honest, I'm kind of angry with her. response:	I consider her a close friend, and I believed she thought of me the same way...
