context: Tiger Echo Fist! response:	Bastard!
context: Tiger Echo Fist!\Bastard! response:	There are too many for me to aggro!
context: Tiger Echo Fist!\Bastard!\There are too many for me to aggro! response:	West Wind girl!
context: Tiger Echo Fist!\Bastard!\There are too many for me to aggro!\West Wind girl! response:	How long until you can recast your AoE skill?
context: Tiger Echo Fist!\Bastard!\There are too many for me to aggro!\West Wind girl!\How long until you can recast your AoE skill? response:	I'm Kawara! And about twenty more seconds!
context: Tiger Echo Fist!\Bastard!\There are too many for me to aggro!\West Wind girl!\How long until you can recast your AoE skill?\I'm Kawara! And about twenty more seconds! response:	What about you, Shigeru?
context: Tiger Echo Fist!\Bastard!\There are too many for me to aggro!\West Wind girl!\How long until you can recast your AoE skill?\I'm Kawara! And about twenty more seconds!\What about you, Shigeru? response:	Not much different.
context: Tiger Echo Fist!\Bastard!\There are too many for me to aggro!\West Wind girl!\How long until you can recast your AoE skill?\I'm Kawara! And about twenty more seconds!\What about you, Shigeru?\Not much different. response:	For a PUG, our teamwork's not bad.
context: Bastard!\There are too many for me to aggro!\West Wind girl!\How long until you can recast your AoE skill?\I'm Kawara! And about twenty more seconds!\What about you, Shigeru?\Not much different.\For a PUG, our teamwork's not bad. response:	But...
context: There are too many for me to aggro!\West Wind girl!\How long until you can recast your AoE skill?\I'm Kawara! And about twenty more seconds!\What about you, Shigeru?\Not much different.\For a PUG, our teamwork's not bad.\But... response:	There are just too many.
context: West Wind girl!\How long until you can recast your AoE skill?\I'm Kawara! And about twenty more seconds!\What about you, Shigeru?\Not much different.\For a PUG, our teamwork's not bad.\But...\There are just too many. response:	We need to hold out until the new kids reach the safe zone!
context: How long until you can recast your AoE skill?\I'm Kawara! And about twenty more seconds!\What about you, Shigeru?\Not much different.\For a PUG, our teamwork's not bad.\But...\There are just too many.\We need to hold out until the new kids reach the safe zone! response:	Yeah, or we won't be able to face the master!
context: I'm Kawara! And about twenty more seconds!\What about you, Shigeru?\Not much different.\For a PUG, our teamwork's not bad.\But...\There are just too many.\We need to hold out until the new kids reach the safe zone!\Yeah, or we won't be able to face the master! response:	They just keep coming...
context: What about you, Shigeru?\Not much different.\For a PUG, our teamwork's not bad.\But...\There are just too many.\We need to hold out until the new kids reach the safe zone!\Yeah, or we won't be able to face the master!\They just keep coming... response:	This is the sixth encounter. What the hell is going on?
context: Not much different.\For a PUG, our teamwork's not bad.\But...\There are just too many.\We need to hold out until the new kids reach the safe zone!\Yeah, or we won't be able to face the master!\They just keep coming...\This is the sixth encounter. What the hell is going on? response:	The encounter rate for goblins in this area shouldn't be this high.
context: For a PUG, our teamwork's not bad.\But...\There are just too many.\We need to hold out until the new kids reach the safe zone!\Yeah, or we won't be able to face the master!\They just keep coming...\This is the sixth encounter. What the hell is going on?\The encounter rate for goblins in this area shouldn't be this high. response:	Return of the Goblin King
context: But...\There are just too many.\We need to hold out until the new kids reach the safe zone!\Yeah, or we won't be able to face the master!\They just keep coming...\This is the sixth encounter. What the hell is going on?\The encounter rate for goblins in this area shouldn't be this high.\Return of the Goblin King response:	Return of the Goblin King.
context: There are just too many.\We need to hold out until the new kids reach the safe zone!\Yeah, or we won't be able to face the master!\They just keep coming...\This is the sixth encounter. What the hell is going on?\The encounter rate for goblins in this area shouldn't be this high.\Return of the Goblin King\Return of the Goblin King. response:	Everyone's in quite a hurry, my lord.
context: We need to hold out until the new kids reach the safe zone!\Yeah, or we won't be able to face the master!\They just keep coming...\This is the sixth encounter. What the hell is going on?\The encounter rate for goblins in this area shouldn't be this high.\Return of the Goblin King\Return of the Goblin King.\Everyone's in quite a hurry, my lord. response:	What?
context: Yeah, or we won't be able to face the master!\They just keep coming...\This is the sixth encounter. What the hell is going on?\The encounter rate for goblins in this area shouldn't be this high.\Return of the Goblin King\Return of the Goblin King.\Everyone's in quite a hurry, my lord.\What? response:	The goblins?
context: They just keep coming...\This is the sixth encounter. What the hell is going on?\The encounter rate for goblins in this area shouldn't be this high.\Return of the Goblin King\Return of the Goblin King.\Everyone's in quite a hurry, my lord.\What?\The goblins? response:	An army of at least a few thousand goblins
context: This is the sixth encounter. What the hell is going on?\The encounter rate for goblins in this area shouldn't be this high.\Return of the Goblin King\Return of the Goblin King.\Everyone's in quite a hurry, my lord.\What?\The goblins?\An army of at least a few thousand goblins response:	is on the move just beyond the next ridge.
context: The encounter rate for goblins in this area shouldn't be this high.\Return of the Goblin King\Return of the Goblin King.\Everyone's in quite a hurry, my lord.\What?\The goblins?\An army of at least a few thousand goblins\is on the move just beyond the next ridge. response:	That many?
context: Return of the Goblin King\Return of the Goblin King.\Everyone's in quite a hurry, my lord.\What?\The goblins?\An army of at least a few thousand goblins\is on the move just beyond the next ridge.\That many? response:	Any news from the group at the coast?
context: Return of the Goblin King.\Everyone's in quite a hurry, my lord.\What?\The goblins?\An army of at least a few thousand goblins\is on the move just beyond the next ridge.\That many?\Any news from the group at the coast? response:	I can't reach Marielle or Shouryuu.
context: Everyone's in quite a hurry, my lord.\What?\The goblins?\An army of at least a few thousand goblins\is on the move just beyond the next ridge.\That many?\Any news from the group at the coast?\I can't reach Marielle or Shouryuu. response:	That was stupid of me...
context: What?\The goblins?\An army of at least a few thousand goblins\is on the move just beyond the next ridge.\That many?\Any news from the group at the coast?\I can't reach Marielle or Shouryuu.\That was stupid of me... response:	I didn't add the rest to my Friend List.
context: The goblins?\An army of at least a few thousand goblins\is on the move just beyond the next ridge.\That many?\Any news from the group at the coast?\I can't reach Marielle or Shouryuu.\That was stupid of me...\I didn't add the rest to my Friend List. response:	Nor did I.
context: An army of at least a few thousand goblins\is on the move just beyond the next ridge.\That many?\Any news from the group at the coast?\I can't reach Marielle or Shouryuu.\That was stupid of me...\I didn't add the rest to my Friend List.\Nor did I. response:	I can't reach the other members of the Black Sword Knights, either.
context: is on the move just beyond the next ridge.\That many?\Any news from the group at the coast?\I can't reach Marielle or Shouryuu.\That was stupid of me...\I didn't add the rest to my Friend List.\Nor did I.\I can't reach the other members of the Black Sword Knights, either. response:	This is bad...
context: That many?\Any news from the group at the coast?\I can't reach Marielle or Shouryuu.\That was stupid of me...\I didn't add the rest to my Friend List.\Nor did I.\I can't reach the other members of the Black Sword Knights, either.\This is bad... response:	What did that goblin army look like?
context: Any news from the group at the coast?\I can't reach Marielle or Shouryuu.\That was stupid of me...\I didn't add the rest to my Friend List.\Nor did I.\I can't reach the other members of the Black Sword Knights, either.\This is bad...\What did that goblin army look like? response:	The ones I saw in the valley were a major raiding force.
context: I can't reach Marielle or Shouryuu.\That was stupid of me...\I didn't add the rest to my Friend List.\Nor did I.\I can't reach the other members of the Black Sword Knights, either.\This is bad...\What did that goblin army look like?\The ones I saw in the valley were a major raiding force. response:	I've never seen an army that size.
context: That was stupid of me...\I didn't add the rest to my Friend List.\Nor did I.\I can't reach the other members of the Black Sword Knights, either.\This is bad...\What did that goblin army look like?\The ones I saw in the valley were a major raiding force.\I've never seen an army that size. response:	I also saw hobgoblins, trolls, and even demon beasts.
context: I didn't add the rest to my Friend List.\Nor did I.\I can't reach the other members of the Black Sword Knights, either.\This is bad...\What did that goblin army look like?\The ones I saw in the valley were a major raiding force.\I've never seen an army that size.\I also saw hobgoblins, trolls, and even demon beasts. response:	They seemed to be heading west-southwest.
context: Nor did I.\I can't reach the other members of the Black Sword Knights, either.\This is bad...\What did that goblin army look like?\The ones I saw in the valley were a major raiding force.\I've never seen an army that size.\I also saw hobgoblins, trolls, and even demon beasts.\They seemed to be heading west-southwest. response:	I couldn't tell you any more.
context: I can't reach the other members of the Black Sword Knights, either.\This is bad...\What did that goblin army look like?\The ones I saw in the valley were a major raiding force.\I've never seen an army that size.\I also saw hobgoblins, trolls, and even demon beasts.\They seemed to be heading west-southwest.\I couldn't tell you any more. response:	So the groups we fought must have been scouts, right?
context: This is bad...\What did that goblin army look like?\The ones I saw in the valley were a major raiding force.\I've never seen an army that size.\I also saw hobgoblins, trolls, and even demon beasts.\They seemed to be heading west-southwest.\I couldn't tell you any more.\So the groups we fought must have been scouts, right? response:	A huge army on the march...
context: What did that goblin army look like?\The ones I saw in the valley were a major raiding force.\I've never seen an army that size.\I also saw hobgoblins, trolls, and even demon beasts.\They seemed to be heading west-southwest.\I couldn't tell you any more.\So the groups we fought must have been scouts, right?\A huge army on the march... response:	Over that mountain?
context: The ones I saw in the valley were a major raiding force.\I've never seen an army that size.\I also saw hobgoblins, trolls, and even demon beasts.\They seemed to be heading west-southwest.\I couldn't tell you any more.\So the groups we fought must have been scouts, right?\A huge army on the march...\Over that mountain? response:	We have the whole Crescent Moon Alliance on our Friend Lists...
context: I've never seen an army that size.\I also saw hobgoblins, trolls, and even demon beasts.\They seemed to be heading west-southwest.\I couldn't tell you any more.\So the groups we fought must have been scouts, right?\A huge army on the march...\Over that mountain?\We have the whole Crescent Moon Alliance on our Friend Lists... response:	Don't we?
context: I also saw hobgoblins, trolls, and even demon beasts.\They seemed to be heading west-southwest.\I couldn't tell you any more.\So the groups we fought must have been scouts, right?\A huge army on the march...\Over that mountain?\We have the whole Crescent Moon Alliance on our Friend Lists...\Don't we? response:	Yeah.
context: They seemed to be heading west-southwest.\I couldn't tell you any more.\So the groups we fought must have been scouts, right?\A huge army on the march...\Over that mountain?\We have the whole Crescent Moon Alliance on our Friend Lists...\Don't we?\Yeah. response:	Can you contact them and ask what's happening?
context: I couldn't tell you any more.\So the groups we fought must have been scouts, right?\A huge army on the march...\Over that mountain?\We have the whole Crescent Moon Alliance on our Friend Lists...\Don't we?\Yeah.\Can you contact them and ask what's happening? response:	I'll let Shiro know first.
context: So the groups we fought must have been scouts, right?\A huge army on the march...\Over that mountain?\We have the whole Crescent Moon Alliance on our Friend Lists...\Don't we?\Yeah.\Can you contact them and ask what's happening?\I'll let Shiro know first. response:	All right.
context: A huge army on the march...\Over that mountain?\We have the whole Crescent Moon Alliance on our Friend Lists...\Don't we?\Yeah.\Can you contact them and ask what's happening?\I'll let Shiro know first.\All right. response:	Keep me informed.
context: Over that mountain?\We have the whole Crescent Moon Alliance on our Friend Lists...\Don't we?\Yeah.\Can you contact them and ask what's happening?\I'll let Shiro know first.\All right.\Keep me informed. response:	Right, I'm on it!
context: We have the whole Crescent Moon Alliance on our Friend Lists...\Don't we?\Yeah.\Can you contact them and ask what's happening?\I'll let Shiro know first.\All right.\Keep me informed.\Right, I'm on it! response:	My lord?
context: Don't we?\Yeah.\Can you contact them and ask what's happening?\I'll let Shiro know first.\All right.\Keep me informed.\Right, I'm on it!\My lord? response:	A mass of blue goblins from the coast?
context: Yeah.\Can you contact them and ask what's happening?\I'll let Shiro know first.\All right.\Keep me informed.\Right, I'm on it!\My lord?\A mass of blue goblins from the coast? response:	Sahuagin?
context: Can you contact them and ask what's happening?\I'll let Shiro know first.\All right.\Keep me informed.\Right, I'm on it!\My lord?\A mass of blue goblins from the coast?\Sahuagin? response:	Those monsters live farther south...
context: I'll let Shiro know first.\All right.\Keep me informed.\Right, I'm on it!\My lord?\A mass of blue goblins from the coast?\Sahuagin?\Those monsters live farther south... response:	What's going on?
context: All right.\Keep me informed.\Right, I'm on it!\My lord?\A mass of blue goblins from the coast?\Sahuagin?\Those monsters live farther south...\What's going on? response:	Maybe it's a coincidence?
context: Keep me informed.\Right, I'm on it!\My lord?\A mass of blue goblins from the coast?\Sahuagin?\Those monsters live farther south...\What's going on?\Maybe it's a coincidence? response:	You think so?
context: Right, I'm on it!\My lord?\A mass of blue goblins from the coast?\Sahuagin?\Those monsters live farther south...\What's going on?\Maybe it's a coincidence?\You think so? response:	So all the adventurers at the coast are heading back to the school.
