context: I have a copy of this, too. response:	So Yamamoto-san also reads poetry books...
context: I have a copy of this, too.\So Yamamoto-san also reads poetry books... response:	Nana, hurry up and give it!
context: I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it! response:	Ah, yeah!
context: I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah! response:	Nana!
context: I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\Nana! response:	Yes?!
context: I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\Nana!\Yes?! response:	Are you waiting for someone?
context: I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\Nana!\Yes?!\Are you waiting for someone? response:	A-Ah, nope...
context: I have a copy of this, too.\So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\Nana!\Yes?!\Are you waiting for someone?\A-Ah, nope... response:	Then let's hurry up and go already.
context: So Yamamoto-san also reads poetry books...\Nana, hurry up and give it!\Ah, yeah!\Nana!\Yes?!\Are you waiting for someone?\A-Ah, nope...\Then let's hurry up and go already. response:	The lunch counter's gonna get crowded.
context: Nana, hurry up and give it!\Ah, yeah!\Nana!\Yes?!\Are you waiting for someone?\A-Ah, nope...\Then let's hurry up and go already.\The lunch counter's gonna get crowded. response:	Y-Yeah.
context: Ah, yeah!\Nana!\Yes?!\Are you waiting for someone?\A-Ah, nope...\Then let's hurry up and go already.\The lunch counter's gonna get crowded.\Y-Yeah. response:	I guess you're right.
context: Nana!\Yes?!\Are you waiting for someone?\A-Ah, nope...\Then let's hurry up and go already.\The lunch counter's gonna get crowded.\Y-Yeah.\I guess you're right. response:	What am I gonna do...?
context: Yes?!\Are you waiting for someone?\A-Ah, nope...\Then let's hurry up and go already.\The lunch counter's gonna get crowded.\Y-Yeah.\I guess you're right.\What am I gonna do...? response:	Usotsuki na anata nakimushi no atashi
context: Are you waiting for someone?\A-Ah, nope...\Then let's hurry up and go already.\The lunch counter's gonna get crowded.\Y-Yeah.\I guess you're right.\What am I gonna do...?\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: A-Ah, nope...\Then let's hurry up and go already.\The lunch counter's gonna get crowded.\Y-Yeah.\I guess you're right.\What am I gonna do...?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: Then let's hurry up and go already.\The lunch counter's gonna get crowded.\Y-Yeah.\I guess you're right.\What am I gonna do...?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
