context: Edolas...? response:	Yes, Edolas... A different world than this one.
context: Edolas...?\Yes, Edolas... A different world than this one. response:	Over there, the world has begun losing its magic.
context: Edolas...?\Yes, Edolas... A different world than this one.\Over there, the world has begun losing its magic. response:	Losing magic?
context: Edolas...?\Yes, Edolas... A different world than this one.\Over there, the world has begun losing its magic.\Losing magic? response:	Say what?
context: Edolas...?\Yes, Edolas... A different world than this one.\Over there, the world has begun losing its magic.\Losing magic?\Say what? response:	What's that mean?
context: Edolas...?\Yes, Edolas... A different world than this one.\Over there, the world has begun losing its magic.\Losing magic?\Say what?\What's that mean? response:	Unlike this world, in Edolas, magic is limited.
context: Edolas...?\Yes, Edolas... A different world than this one.\Over there, the world has begun losing its magic.\Losing magic?\Say what?\What's that mean?\Unlike this world, in Edolas, magic is limited. response:	If people use too much of it, it'll eventually vanish from the world.
context: Edolas...?\Yes, Edolas... A different world than this one.\Over there, the world has begun losing its magic.\Losing magic?\Say what?\What's that mean?\Unlike this world, in Edolas, magic is limited.\If people use too much of it, it'll eventually vanish from the world. response:	When resources began to dry up, Edolas's king made a decision to save their magic...
context: Yes, Edolas... A different world than this one.\Over there, the world has begun losing its magic.\Losing magic?\Say what?\What's that mean?\Unlike this world, in Edolas, magic is limited.\If people use too much of it, it'll eventually vanish from the world.\When resources began to dry up, Edolas's king made a decision to save their magic... response:	He invented a magic spell that would absorb magic from another world, namely this one.
context: Over there, the world has begun losing its magic.\Losing magic?\Say what?\What's that mean?\Unlike this world, in Edolas, magic is limited.\If people use too much of it, it'll eventually vanish from the world.\When resources began to dry up, Edolas's king made a decision to save their magic...\He invented a magic spell that would absorb magic from another world, namely this one. response:	Yes... It's the Hyperspace Magic, Anima.
context: Losing magic?\Say what?\What's that mean?\Unlike this world, in Edolas, magic is limited.\If people use too much of it, it'll eventually vanish from the world.\When resources began to dry up, Edolas's king made a decision to save their magic...\He invented a magic spell that would absorb magic from another world, namely this one.\Yes... It's the Hyperspace Magic, Anima. response:	It's what that hole in the sky was.
context: Say what?\What's that mean?\Unlike this world, in Edolas, magic is limited.\If people use too much of it, it'll eventually vanish from the world.\When resources began to dry up, Edolas's king made a decision to save their magic...\He invented a magic spell that would absorb magic from another world, namely this one.\Yes... It's the Hyperspace Magic, Anima.\It's what that hole in the sky was. response:	That's... Anima?
context: What's that mean?\Unlike this world, in Edolas, magic is limited.\If people use too much of it, it'll eventually vanish from the world.\When resources began to dry up, Edolas's king made a decision to save their magic...\He invented a magic spell that would absorb magic from another world, namely this one.\Yes... It's the Hyperspace Magic, Anima.\It's what that hole in the sky was.\That's... Anima? response:	Anima?!
context: Unlike this world, in Edolas, magic is limited.\If people use too much of it, it'll eventually vanish from the world.\When resources began to dry up, Edolas's king made a decision to save their magic...\He invented a magic spell that would absorb magic from another world, namely this one.\Yes... It's the Hyperspace Magic, Anima.\It's what that hole in the sky was.\That's... Anima?\Anima?! response:	No, it'll be dangerous to come with me.
context: If people use too much of it, it'll eventually vanish from the world.\When resources began to dry up, Edolas's king made a decision to save their magic...\He invented a magic spell that would absorb magic from another world, namely this one.\Yes... It's the Hyperspace Magic, Anima.\It's what that hole in the sky was.\That's... Anima?\Anima?!\No, it'll be dangerous to come with me. response:	Edolas.
context: When resources began to dry up, Edolas's king made a decision to save their magic...\He invented a magic spell that would absorb magic from another world, namely this one.\Yes... It's the Hyperspace Magic, Anima.\It's what that hole in the sky was.\That's... Anima?\Anima?!\No, it'll be dangerous to come with me.\Edolas. response:	The plan started 6 years ago,
context: He invented a magic spell that would absorb magic from another world, namely this one.\Yes... It's the Hyperspace Magic, Anima.\It's what that hole in the sky was.\That's... Anima?\Anima?!\No, it'll be dangerous to come with me.\Edolas.\The plan started 6 years ago, response:	and Anima were opened at various places around this world,
context: Yes... It's the Hyperspace Magic, Anima.\It's what that hole in the sky was.\That's... Anima?\Anima?!\No, it'll be dangerous to come with me.\Edolas.\The plan started 6 years ago,\and Anima were opened at various places around this world, response:	but it didn't produce the results they expected.
context: It's what that hole in the sky was.\That's... Anima?\Anima?!\No, it'll be dangerous to come with me.\Edolas.\The plan started 6 years ago,\and Anima were opened at various places around this world,\but it didn't produce the results they expected. response:	Someone was going around and closing the Anima...
context: That's... Anima?\Anima?!\No, it'll be dangerous to come with me.\Edolas.\The plan started 6 years ago,\and Anima were opened at various places around this world,\but it didn't produce the results they expected.\Someone was going around and closing the Anima... response:	When I heard the story from Wendy about Jellal, I mean Mystogan,
context: Anima?!\No, it'll be dangerous to come with me.\Edolas.\The plan started 6 years ago,\and Anima were opened at various places around this world,\but it didn't produce the results they expected.\Someone was going around and closing the Anima...\When I heard the story from Wendy about Jellal, I mean Mystogan, response:	I didn't think it was possible, but...
context: No, it'll be dangerous to come with me.\Edolas.\The plan started 6 years ago,\and Anima were opened at various places around this world,\but it didn't produce the results they expected.\Someone was going around and closing the Anima...\When I heard the story from Wendy about Jellal, I mean Mystogan,\I didn't think it was possible, but... response:	I'm sure of it now. It was him.
context: Edolas.\The plan started 6 years ago,\and Anima were opened at various places around this world,\but it didn't produce the results they expected.\Someone was going around and closing the Anima...\When I heard the story from Wendy about Jellal, I mean Mystogan,\I didn't think it was possible, but...\I'm sure of it now. It was him. response:	But the Anima this time was simply too large for anyone to defend against it,
context: The plan started 6 years ago,\and Anima were opened at various places around this world,\but it didn't produce the results they expected.\Someone was going around and closing the Anima...\When I heard the story from Wendy about Jellal, I mean Mystogan,\I didn't think it was possible, but...\I'm sure of it now. It was him.\But the Anima this time was simply too large for anyone to defend against it, response:	and the guild was absorbed.
context: and Anima were opened at various places around this world,\but it didn't produce the results they expected.\Someone was going around and closing the Anima...\When I heard the story from Wendy about Jellal, I mean Mystogan,\I didn't think it was possible, but...\I'm sure of it now. It was him.\But the Anima this time was simply too large for anyone to defend against it,\and the guild was absorbed. response:	Why did they suck up Fairy Tail?
context: but it didn't produce the results they expected.\Someone was going around and closing the Anima...\When I heard the story from Wendy about Jellal, I mean Mystogan,\I didn't think it was possible, but...\I'm sure of it now. It was him.\But the Anima this time was simply too large for anyone to defend against it,\and the guild was absorbed.\Why did they suck up Fairy Tail? response:	Didn't I tell you?
