context: Captain? response:	How?
context: Captain?\How? response:	It's all over...
context: Captain?\How?\It's all over... response:	We're dead.
context: Captain?\How?\It's all over...\We're dead. response:	Don't let it swallow him!
context: Captain?\How?\It's all over...\We're dead.\Don't let it swallow him! response:	If we extricate him before he's swallowed,
context: Captain?\How?\It's all over...\We're dead.\Don't let it swallow him!\If we extricate him before he's swallowed, response:	we can save him!
context: Captain?\How?\It's all over...\We're dead.\Don't let it swallow him!\If we extricate him before he's swallowed,\we can save him! response:	Subaru-kun...
context: Captain?\How?\It's all over...\We're dead.\Don't let it swallow him!\If we extricate him before he's swallowed,\we can save him!\Subaru-kun... response:	Don't think this little bit of despair is enough to stop me!
context: How?\It's all over...\We're dead.\Don't let it swallow him!\If we extricate him before he's swallowed,\we can save him!\Subaru-kun...\Don't think this little bit of despair is enough to stop me! response:	Giving up doesn't suit us!
context: It's all over...\We're dead.\Don't let it swallow him!\If we extricate him before he's swallowed,\we can save him!\Subaru-kun...\Don't think this little bit of despair is enough to stop me!\Giving up doesn't suit us! response:	Not me, not you,
context: We're dead.\Don't let it swallow him!\If we extricate him before he's swallowed,\we can save him!\Subaru-kun...\Don't think this little bit of despair is enough to stop me!\Giving up doesn't suit us!\Not me, not you, response:	not anyone!
context: Don't let it swallow him!\If we extricate him before he's swallowed,\we can save him!\Subaru-kun...\Don't think this little bit of despair is enough to stop me!\Giving up doesn't suit us!\Not me, not you,\not anyone! response:	Let's go, Patrasche!
context: If we extricate him before he's swallowed,\we can save him!\Subaru-kun...\Don't think this little bit of despair is enough to stop me!\Giving up doesn't suit us!\Not me, not you,\not anyone!\Let's go, Patrasche! response:	Run right under the Whale's nose!
context: we can save him!\Subaru-kun...\Don't think this little bit of despair is enough to stop me!\Giving up doesn't suit us!\Not me, not you,\not anyone!\Let's go, Patrasche!\Run right under the Whale's nose! response:	The only one who may sniff Subaru-kun is me!
context: Subaru-kun...\Don't think this little bit of despair is enough to stop me!\Giving up doesn't suit us!\Not me, not you,\not anyone!\Let's go, Patrasche!\Run right under the Whale's nose!\The only one who may sniff Subaru-kun is me! response:	Close your mouth!
context: Don't think this little bit of despair is enough to stop me!\Giving up doesn't suit us!\Not me, not you,\not anyone!\Let's go, Patrasche!\Run right under the Whale's nose!\The only one who may sniff Subaru-kun is me!\Close your mouth! response:	At a glance, the situation looks dismal.
context: Giving up doesn't suit us!\Not me, not you,\not anyone!\Let's go, Patrasche!\Run right under the Whale's nose!\The only one who may sniff Subaru-kun is me!\Close your mouth!\At a glance, the situation looks dismal. response:	Where is Wilhelm?
context: Not me, not you,\not anyone!\Let's go, Patrasche!\Run right under the Whale's nose!\The only one who may sniff Subaru-kun is me!\Close your mouth!\At a glance, the situation looks dismal.\Where is Wilhelm? response:	If you remember him,
context: not anyone!\Let's go, Patrasche!\Run right under the Whale's nose!\The only one who may sniff Subaru-kun is me!\Close your mouth!\At a glance, the situation looks dismal.\Where is Wilhelm?\If you remember him, response:	at least we know the fog hasn't erased him.
context: Let's go, Patrasche!\Run right under the Whale's nose!\The only one who may sniff Subaru-kun is me!\Close your mouth!\At a glance, the situation looks dismal.\Where is Wilhelm?\If you remember him,\at least we know the fog hasn't erased him. response:	Everything depends on how well Rem fights.
context: Run right under the Whale's nose!\The only one who may sniff Subaru-kun is me!\Close your mouth!\At a glance, the situation looks dismal.\Where is Wilhelm?\If you remember him,\at least we know the fog hasn't erased him.\Everything depends on how well Rem fights. response:	What do you think, Natsuki Subaru?
context: The only one who may sniff Subaru-kun is me!\Close your mouth!\At a glance, the situation looks dismal.\Where is Wilhelm?\If you remember him,\at least we know the fog hasn't erased him.\Everything depends on how well Rem fights.\What do you think, Natsuki Subaru? response:	Does nothing seem strange to you?
context: Close your mouth!\At a glance, the situation looks dismal.\Where is Wilhelm?\If you remember him,\at least we know the fog hasn't erased him.\Everything depends on how well Rem fights.\What do you think, Natsuki Subaru?\Does nothing seem strange to you? response:	Strange?
context: At a glance, the situation looks dismal.\Where is Wilhelm?\If you remember him,\at least we know the fog hasn't erased him.\Everything depends on how well Rem fights.\What do you think, Natsuki Subaru?\Does nothing seem strange to you?\Strange? response:	There are now three White Whales.
context: Where is Wilhelm?\If you remember him,\at least we know the fog hasn't erased him.\Everything depends on how well Rem fights.\What do you think, Natsuki Subaru?\Does nothing seem strange to you?\Strange?\There are now three White Whales. response:	If it is actually a mabeast that lives in groups,
context: If you remember him,\at least we know the fog hasn't erased him.\Everything depends on how well Rem fights.\What do you think, Natsuki Subaru?\Does nothing seem strange to you?\Strange?\There are now three White Whales.\If it is actually a mabeast that lives in groups, response:	how could we not know that by now?
context: at least we know the fog hasn't erased him.\Everything depends on how well Rem fights.\What do you think, Natsuki Subaru?\Does nothing seem strange to you?\Strange?\There are now three White Whales.\If it is actually a mabeast that lives in groups,\how could we not know that by now? response:	There must be some trick behind it.
context: Everything depends on how well Rem fights.\What do you think, Natsuki Subaru?\Does nothing seem strange to you?\Strange?\There are now three White Whales.\If it is actually a mabeast that lives in groups,\how could we not know that by now?\There must be some trick behind it. response:	And we need to find out, huh?
context: What do you think, Natsuki Subaru?\Does nothing seem strange to you?\Strange?\There are now three White Whales.\If it is actually a mabeast that lives in groups,\how could we not know that by now?\There must be some trick behind it.\And we need to find out, huh? response:	If not, we won't hold out long.
context: Does nothing seem strange to you?\Strange?\There are now three White Whales.\If it is actually a mabeast that lives in groups,\how could we not know that by now?\There must be some trick behind it.\And we need to find out, huh?\If not, we won't hold out long. response:	We'll do something.
context: Strange?\There are now three White Whales.\If it is actually a mabeast that lives in groups,\how could we not know that by now?\There must be some trick behind it.\And we need to find out, huh?\If not, we won't hold out long.\We'll do something. response:	Retreat is no longer an option.
context: There are now three White Whales.\If it is actually a mabeast that lives in groups,\how could we not know that by now?\There must be some trick behind it.\And we need to find out, huh?\If not, we won't hold out long.\We'll do something.\Retreat is no longer an option. response:	Fire!
context: If it is actually a mabeast that lives in groups,\how could we not know that by now?\There must be some trick behind it.\And we need to find out, huh?\If not, we won't hold out long.\We'll do something.\Retreat is no longer an option.\Fire! response:	Fire, I said!
context: how could we not know that by now?\There must be some trick behind it.\And we need to find out, huh?\If not, we won't hold out long.\We'll do something.\Retreat is no longer an option.\Fire!\Fire, I said! response:	Crusch-san!
context: There must be some trick behind it.\And we need to find out, huh?\If not, we won't hold out long.\We'll do something.\Retreat is no longer an option.\Fire!\Fire, I said!\Crusch-san! response:	Willpower!
context: And we need to find out, huh?\If not, we won't hold out long.\We'll do something.\Retreat is no longer an option.\Fire!\Fire, I said!\Crusch-san!\Willpower! response:	Damn... Being a daredevil isn't enough!
context: If not, we won't hold out long.\We'll do something.\Retreat is no longer an option.\Fire!\Fire, I said!\Crusch-san!\Willpower!\Damn... Being a daredevil isn't enough! response:	I've gotta use my head!
context: We'll do something.\Retreat is no longer an option.\Fire!\Fire, I said!\Crusch-san!\Willpower!\Damn... Being a daredevil isn't enough!\I've gotta use my head! response:	Why are there three of them?
context: Retreat is no longer an option.\Fire!\Fire, I said!\Crusch-san!\Willpower!\Damn... Being a daredevil isn't enough!\I've gotta use my head!\Why are there three of them? response:	Duck!
context: Fire!\Fire, I said!\Crusch-san!\Willpower!\Damn... Being a daredevil isn't enough!\I've gotta use my head!\Why are there three of them?\Duck! response:	Whoa!
context: Fire, I said!\Crusch-san!\Willpower!\Damn... Being a daredevil isn't enough!\I've gotta use my head!\Why are there three of them?\Duck!\Whoa! response:	Awesome!
context: Crusch-san!\Willpower!\Damn... Being a daredevil isn't enough!\I've gotta use my head!\Why are there three of them?\Duck!\Whoa!\Awesome! response:	We'll all back up Natsuki-san and Crusch-san
context: Willpower!\Damn... Being a daredevil isn't enough!\I've gotta use my head!\Why are there three of them?\Duck!\Whoa!\Awesome!\We'll all back up Natsuki-san and Crusch-san response:	until the captain is fully healed, and we can regroup.
context: Damn... Being a daredevil isn't enough!\I've gotta use my head!\Why are there three of them?\Duck!\Whoa!\Awesome!\We'll all back up Natsuki-san and Crusch-san\until the captain is fully healed, and we can regroup. response:	Ricardo's still alive?
context: I've gotta use my head!\Why are there three of them?\Duck!\Whoa!\Awesome!\We'll all back up Natsuki-san and Crusch-san\until the captain is fully healed, and we can regroup.\Ricardo's still alive? response:	Yes, my sister took him to Felix-san.
context: Why are there three of them?\Duck!\Whoa!\Awesome!\We'll all back up Natsuki-san and Crusch-san\until the captain is fully healed, and we can regroup.\Ricardo's still alive?\Yes, my sister took him to Felix-san. response:	He struggled a lot! It wasn't easy!
context: Duck!\Whoa!\Awesome!\We'll all back up Natsuki-san and Crusch-san\until the captain is fully healed, and we can regroup.\Ricardo's still alive?\Yes, my sister took him to Felix-san.\He struggled a lot! It wasn't easy! response:	Gotcha... That's a relief.
