context: H-He got me... response:	Teacher!
context: H-He got me...\Teacher! response:	I'm sure I erased his Quirk.
context: H-He got me...\Teacher!\I'm sure I erased his Quirk. response:	That means he is just that strong.
context: H-He got me...\Teacher!\I'm sure I erased his Quirk.\That means he is just that strong. response:	He's as strong as All Might...
context: H-He got me...\Teacher!\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might... response:	Let go of her!
context: H-He got me...\Teacher!\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\Let go of her! response:	Smash...!
context: H-He got me...\Teacher!\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\Let go of her!\Smash...! response:	Ribbit!
context: H-He got me...\Teacher!\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\Let go of her!\Smash...!\Ribbit! response:	We were all, even the teachers...
context: Teacher!\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\Let go of her!\Smash...!\Ribbit!\We were all, even the teachers... response:	The deeper the darkness...
context: I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\Let go of her!\Smash...!\Ribbit!\We were all, even the teachers...\The deeper the darkness... response:	All Might!
context: That means he is just that strong.\He's as strong as All Might...\Let go of her!\Smash...!\Ribbit!\We were all, even the teachers...\The deeper the darkness...\All Might! response:	All Might!
context: He's as strong as All Might...\Let go of her!\Smash...!\Ribbit!\We were all, even the teachers...\The deeper the darkness...\All Might!\All Might! response:	I had a bad feeling...
context: Let go of her!\Smash...!\Ribbit!\We were all, even the teachers...\The deeper the darkness...\All Might!\All Might!\I had a bad feeling... response:	I passed young Iida on my way...
context: Smash...!\Ribbit!\We were all, even the teachers...\The deeper the darkness...\All Might!\All Might!\I had a bad feeling...\I passed young Iida on my way... response:	Good grief, it really makes me angry.
context: Ribbit!\We were all, even the teachers...\The deeper the darkness...\All Might!\All Might!\I had a bad feeling...\I passed young Iida on my way...\Good grief, it really makes me angry. response:	Thinking about how frightening it must have been for the children...
context: We were all, even the teachers...\The deeper the darkness...\All Might!\All Might!\I had a bad feeling...\I passed young Iida on my way...\Good grief, it really makes me angry.\Thinking about how frightening it must have been for the children... response:	And how hard my juniors fought...
context: The deeper the darkness...\All Might!\All Might!\I had a bad feeling...\I passed young Iida on my way...\Good grief, it really makes me angry.\Thinking about how frightening it must have been for the children...\And how hard my juniors fought... response:	But... that is why... I must proudly say
context: All Might!\All Might!\I had a bad feeling...\I passed young Iida on my way...\Good grief, it really makes me angry.\Thinking about how frightening it must have been for the children...\And how hard my juniors fought...\But... that is why... I must proudly say response:	It's fine now.
context: All Might!\I had a bad feeling...\I passed young Iida on my way...\Good grief, it really makes me angry.\Thinking about how frightening it must have been for the children...\And how hard my juniors fought...\But... that is why... I must proudly say\It's fine now. response:	I am here!
context: I had a bad feeling...\I passed young Iida on my way...\Good grief, it really makes me angry.\Thinking about how frightening it must have been for the children...\And how hard my juniors fought...\But... that is why... I must proudly say\It's fine now.\I am here! response:	All Might!
context: I passed young Iida on my way...\Good grief, it really makes me angry.\Thinking about how frightening it must have been for the children...\And how hard my juniors fought...\But... that is why... I must proudly say\It's fine now.\I am here!\All Might! response:	Ribbit...
context: Good grief, it really makes me angry.\Thinking about how frightening it must have been for the children...\And how hard my juniors fought...\But... that is why... I must proudly say\It's fine now.\I am here!\All Might!\Ribbit... response:	All...
context: Thinking about how frightening it must have been for the children...\And how hard my juniors fought...\But... that is why... I must proudly say\It's fine now.\I am here!\All Might!\Ribbit...\All... response:	He's not smiling...
context: And how hard my juniors fought...\But... that is why... I must proudly say\It's fine now.\I am here!\All Might!\Ribbit...\All...\He's not smiling... response:	I've been waiting, hero.
context: But... that is why... I must proudly say\It's fine now.\I am here!\All Might!\Ribbit...\All...\He's not smiling...\I've been waiting, hero. response:	You trash of society.
context: It's fine now.\I am here!\All Might!\Ribbit...\All...\He's not smiling...\I've been waiting, hero.\You trash of society. response:	That's... All Might...?
context: I am here!\All Might!\Ribbit...\All...\He's not smiling...\I've been waiting, hero.\You trash of society.\That's... All Might...? response:	It's my first time seeing him in person!
context: All Might!\Ribbit...\All...\He's not smiling...\I've been waiting, hero.\You trash of society.\That's... All Might...?\It's my first time seeing him in person! response:	He looks so intimidating...
context: Ribbit...\All...\He's not smiling...\I've been waiting, hero.\You trash of society.\That's... All Might...?\It's my first time seeing him in person!\He looks so intimidating... response:	Idiots, don't hesitate!
context: All...\He's not smiling...\I've been waiting, hero.\You trash of society.\That's... All Might...?\It's my first time seeing him in person!\He looks so intimidating...\Idiots, don't hesitate! response:	If we kill that, we'll
context: He's not smiling...\I've been waiting, hero.\You trash of society.\That's... All Might...?\It's my first time seeing him in person!\He looks so intimidating...\Idiots, don't hesitate!\If we kill that, we'll response:	Sorry... Aizawa.
context: I've been waiting, hero.\You trash of society.\That's... All Might...?\It's my first time seeing him in person!\He looks so intimidating...\Idiots, don't hesitate!\If we kill that, we'll\Sorry... Aizawa. response:	Huh?
context: You trash of society.\That's... All Might...?\It's my first time seeing him in person!\He looks so intimidating...\Idiots, don't hesitate!\If we kill that, we'll\Sorry... Aizawa.\Huh? response:	Huh?!
context: That's... All Might...?\It's my first time seeing him in person!\He looks so intimidating...\Idiots, don't hesitate!\If we kill that, we'll\Sorry... Aizawa.\Huh?\Huh?! response:	What?
context: It's my first time seeing him in person!\He looks so intimidating...\Idiots, don't hesitate!\If we kill that, we'll\Sorry... Aizawa.\Huh?\Huh?!\What? response:	Everyone, go to the entrance.
context: He looks so intimidating...\Idiots, don't hesitate!\If we kill that, we'll\Sorry... Aizawa.\Huh?\Huh?!\What?\Everyone, go to the entrance. response:	I'm leaving Aizawa to you.
context: Idiots, don't hesitate!\If we kill that, we'll\Sorry... Aizawa.\Huh?\Huh?!\What?\Everyone, go to the entrance.\I'm leaving Aizawa to you. response:	He's unconscious.
context: If we kill that, we'll\Sorry... Aizawa.\Huh?\Huh?!\What?\Everyone, go to the entrance.\I'm leaving Aizawa to you.\He's unconscious. response:	Hurry!
context: Sorry... Aizawa.\Huh?\Huh?!\What?\Everyone, go to the entrance.\I'm leaving Aizawa to you.\He's unconscious.\Hurry! response:	Y-Yes, sir!
context: Huh?\Huh?!\What?\Everyone, go to the entrance.\I'm leaving Aizawa to you.\He's unconscious.\Hurry!\Y-Yes, sir! response:	Ribbit.
