context: I apologize for summoning you on such short notice. response:	To be frank, I'd like to ask you for a favor.
context: I apologize for summoning you on such short notice.\To be frank, I'd like to ask you for a favor. response:	Yes ma'am, how may I be of service?
context: I apologize for summoning you on such short notice.\To be frank, I'd like to ask you for a favor.\Yes ma'am, how may I be of service? response:	I'd like to practice on you.
context: I apologize for summoning you on such short notice.\To be frank, I'd like to ask you for a favor.\Yes ma'am, how may I be of service?\I'd like to practice on you. response:	I haven't used this on humans in quite some time.
context: I apologize for summoning you on such short notice.\To be frank, I'd like to ask you for a favor.\Yes ma'am, how may I be of service?\I'd like to practice on you.\I haven't used this on humans in quite some time. response:	Wh-What are you...
context: I apologize for summoning you on such short notice.\To be frank, I'd like to ask you for a favor.\Yes ma'am, how may I be of service?\I'd like to practice on you.\I haven't used this on humans in quite some time.\Wh-What are you... response:	I'll set you free in just a minute.
context: I apologize for summoning you on such short notice.\To be frank, I'd like to ask you for a favor.\Yes ma'am, how may I be of service?\I'd like to practice on you.\I haven't used this on humans in quite some time.\Wh-What are you...\I'll set you free in just a minute. response:	Wha
context: I apologize for summoning you on such short notice.\To be frank, I'd like to ask you for a favor.\Yes ma'am, how may I be of service?\I'd like to practice on you.\I haven't used this on humans in quite some time.\Wh-What are you...\I'll set you free in just a minute.\Wha response:	No!
context: To be frank, I'd like to ask you for a favor.\Yes ma'am, how may I be of service?\I'd like to practice on you.\I haven't used this on humans in quite some time.\Wh-What are you...\I'll set you free in just a minute.\Wha\No! response:	Help me!
context: Yes ma'am, how may I be of service?\I'd like to practice on you.\I haven't used this on humans in quite some time.\Wh-What are you...\I'll set you free in just a minute.\Wha\No!\Help me! response:	You may rest at ease.
context: I'd like to practice on you.\I haven't used this on humans in quite some time.\Wh-What are you...\I'll set you free in just a minute.\Wha\No!\Help me!\You may rest at ease. response:	Due to the coming of the Calm,
context: I haven't used this on humans in quite some time.\Wh-What are you...\I'll set you free in just a minute.\Wha\No!\Help me!\You may rest at ease.\Due to the coming of the Calm, response:	I believe that the situation will change.
context: Wh-What are you...\I'll set you free in just a minute.\Wha\No!\Help me!\You may rest at ease.\Due to the coming of the Calm,\I believe that the situation will change. response:	Are you certain of this?
context: I'll set you free in just a minute.\Wha\No!\Help me!\You may rest at ease.\Due to the coming of the Calm,\I believe that the situation will change.\Are you certain of this? response:	I have a plan.
context: Wha\No!\Help me!\You may rest at ease.\Due to the coming of the Calm,\I believe that the situation will change.\Are you certain of this?\I have a plan. response:	And I swear on my family's name, I will carry it out.
context: No!\Help me!\You may rest at ease.\Due to the coming of the Calm,\I believe that the situation will change.\Are you certain of this?\I have a plan.\And I swear on my family's name, I will carry it out. response:	The Calm is coming.
context: Help me!\You may rest at ease.\Due to the coming of the Calm,\I believe that the situation will change.\Are you certain of this?\I have a plan.\And I swear on my family's name, I will carry it out.\The Calm is coming. response:	It is a stagnant time, when everything comes to a halt.
context: You may rest at ease.\Due to the coming of the Calm,\I believe that the situation will change.\Are you certain of this?\I have a plan.\And I swear on my family's name, I will carry it out.\The Calm is coming.\It is a stagnant time, when everything comes to a halt. response:	And...
context: Due to the coming of the Calm,\I believe that the situation will change.\Are you certain of this?\I have a plan.\And I swear on my family's name, I will carry it out.\The Calm is coming.\It is a stagnant time, when everything comes to a halt.\And... response:	Loneliness makes my cheeks wet
context: I believe that the situation will change.\Are you certain of this?\I have a plan.\And I swear on my family's name, I will carry it out.\The Calm is coming.\It is a stagnant time, when everything comes to a halt.\And...\Loneliness makes my cheeks wet response:	Loneliness makes my cheeks wet
context: Are you certain of this?\I have a plan.\And I swear on my family's name, I will carry it out.\The Calm is coming.\It is a stagnant time, when everything comes to a halt.\And...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet response:	kodoku ga hoho wo nurasu nurasu kedo
context: I have a plan.\And I swear on my family's name, I will carry it out.\The Calm is coming.\It is a stagnant time, when everything comes to a halt.\And...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo response:	kodoku ga hoho wo nurasu nurasu kedo
context: And I swear on my family's name, I will carry it out.\The Calm is coming.\It is a stagnant time, when everything comes to a halt.\And...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo response:	But when the dawn emerges in silence
context: The Calm is coming.\It is a stagnant time, when everything comes to a halt.\And...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence response:	But when the dawn emerges in silence
context: It is a stagnant time, when everything comes to a halt.\And...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence response:	yoake no kehai ga shizuka ni michite
context: And...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite response:	yoake no kehai ga shizuka ni michite
context: Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite response:	And carries me up into the skies
context: Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies response:	And carries me up into the skies
context: kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies response:	watashi wo sora e maneku yo
context: kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo response:	watashi wo sora e maneku yo
context: But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo response:	Hope awaits on the other side
context: But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side response:	Hope awaits on the other side
context: yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side response:	kibou ga kanata de matteru
context: yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru response:	kibou ga kanata de matteru
