context: A fireworks festival. response:	Going out with friends!
context: A fireworks festival.\Going out with friends! response:	I'll invite Kariu to the fireworks festival...
context: A fireworks festival.\Going out with friends!\I'll invite Kariu to the fireworks festival... response:	So, uh...
context: A fireworks festival.\Going out with friends!\I'll invite Kariu to the fireworks festival...\So, uh... response:	What's up?
context: A fireworks festival.\Going out with friends!\I'll invite Kariu to the fireworks festival...\So, uh...\What's up? response:	I'm...
context: A fireworks festival.\Going out with friends!\I'll invite Kariu to the fireworks festival...\So, uh...\What's up?\I'm... response:	Oga said he might go to college elsewhere.
context: A fireworks festival.\Going out with friends!\I'll invite Kariu to the fireworks festival...\So, uh...\What's up?\I'm...\Oga said he might go to college elsewhere. response:	And here I was taking it for granted that we'd be together in college, too.
context: A fireworks festival.\Going out with friends!\I'll invite Kariu to the fireworks festival...\So, uh...\What's up?\I'm...\Oga said he might go to college elsewhere.\And here I was taking it for granted that we'd be together in college, too. response:	But if we end up separated, I'll regret not saying anything.
context: Going out with friends!\I'll invite Kariu to the fireworks festival...\So, uh...\What's up?\I'm...\Oga said he might go to college elsewhere.\And here I was taking it for granted that we'd be together in college, too.\But if we end up separated, I'll regret not saying anything. response:	So help make sure we're alone together!
context: I'll invite Kariu to the fireworks festival...\So, uh...\What's up?\I'm...\Oga said he might go to college elsewhere.\And here I was taking it for granted that we'd be together in college, too.\But if we end up separated, I'll regret not saying anything.\So help make sure we're alone together! response:	If you know you'll be separated...
context: So, uh...\What's up?\I'm...\Oga said he might go to college elsewhere.\And here I was taking it for granted that we'd be together in college, too.\But if we end up separated, I'll regret not saying anything.\So help make sure we're alone together!\If you know you'll be separated... response:	Understood.
context: What's up?\I'm...\Oga said he might go to college elsewhere.\And here I was taking it for granted that we'd be together in college, too.\But if we end up separated, I'll regret not saying anything.\So help make sure we're alone together!\If you know you'll be separated...\Understood. response:	Leave it to me!
context: I'm...\Oga said he might go to college elsewhere.\And here I was taking it for granted that we'd be together in college, too.\But if we end up separated, I'll regret not saying anything.\So help make sure we're alone together!\If you know you'll be separated...\Understood.\Leave it to me! response:	Leave it to me!
context: Oga said he might go to college elsewhere.\And here I was taking it for granted that we'd be together in college, too.\But if we end up separated, I'll regret not saying anything.\So help make sure we're alone together!\If you know you'll be separated...\Understood.\Leave it to me!\Leave it to me! response:	Hishiro-san! Over here!
context: And here I was taking it for granted that we'd be together in college, too.\But if we end up separated, I'll regret not saying anything.\So help make sure we're alone together!\If you know you'll be separated...\Understood.\Leave it to me!\Leave it to me!\Hishiro-san! Over here! response:	Sorry, everyone!
context: But if we end up separated, I'll regret not saying anything.\So help make sure we're alone together!\If you know you'll be separated...\Understood.\Leave it to me!\Leave it to me!\Hishiro-san! Over here!\Sorry, everyone! response:	There is nothing worse a person can do than be late!
context: So help make sure we're alone together!\If you know you'll be separated...\Understood.\Leave it to me!\Leave it to me!\Hishiro-san! Over here!\Sorry, everyone!\There is nothing worse a person can do than be late! response:	This failure can never be forgiven.
context: If you know you'll be separated...\Understood.\Leave it to me!\Leave it to me!\Hishiro-san! Over here!\Sorry, everyone!\There is nothing worse a person can do than be late!\This failure can never be forgiven. response:	Nobody would ever say that to someone three minutes late.
context: Understood.\Leave it to me!\Leave it to me!\Hishiro-san! Over here!\Sorry, everyone!\There is nothing worse a person can do than be late!\This failure can never be forgiven.\Nobody would ever say that to someone three minutes late. response:	You okay, Hishiro?
context: Leave it to me!\Leave it to me!\Hishiro-san! Over here!\Sorry, everyone!\There is nothing worse a person can do than be late!\This failure can never be forgiven.\Nobody would ever say that to someone three minutes late.\You okay, Hishiro? response:	Yes...
context: Leave it to me!\Hishiro-san! Over here!\Sorry, everyone!\There is nothing worse a person can do than be late!\This failure can never be forgiven.\Nobody would ever say that to someone three minutes late.\You okay, Hishiro?\Yes... response:	I've never been to a festival.
context: Hishiro-san! Over here!\Sorry, everyone!\There is nothing worse a person can do than be late!\This failure can never be forgiven.\Nobody would ever say that to someone three minutes late.\You okay, Hishiro?\Yes...\I've never been to a festival. response:	I completely underestimated the crowd.
context: Sorry, everyone!\There is nothing worse a person can do than be late!\This failure can never be forgiven.\Nobody would ever say that to someone three minutes late.\You okay, Hishiro?\Yes...\I've never been to a festival.\I completely underestimated the crowd. response:	I can't apologize enough!
context: There is nothing worse a person can do than be late!\This failure can never be forgiven.\Nobody would ever say that to someone three minutes late.\You okay, Hishiro?\Yes...\I've never been to a festival.\I completely underestimated the crowd.\I can't apologize enough! response:	Her first festival!
context: This failure can never be forgiven.\Nobody would ever say that to someone three minutes late.\You okay, Hishiro?\Yes...\I've never been to a festival.\I completely underestimated the crowd.\I can't apologize enough!\Her first festival! response:	Confession
context: Nobody would ever say that to someone three minutes late.\You okay, Hishiro?\Yes...\I've never been to a festival.\I completely underestimated the crowd.\I can't apologize enough!\Her first festival!\Confession response:	Frankfurters
context: You okay, Hishiro?\Yes...\I've never been to a festival.\I completely underestimated the crowd.\I can't apologize enough!\Her first festival!\Confession\Frankfurters response:	Corn on the cob
context: Yes...\I've never been to a festival.\I completely underestimated the crowd.\I can't apologize enough!\Her first festival!\Confession\Frankfurters\Corn on the cob response:	Soba
context: I've never been to a festival.\I completely underestimated the crowd.\I can't apologize enough!\Her first festival!\Confession\Frankfurters\Corn on the cob\Soba response:	Cold
context: I completely underestimated the crowd.\I can't apologize enough!\Her first festival!\Confession\Frankfurters\Corn on the cob\Soba\Cold response:	Well, everyone's here.
context: I can't apologize enough!\Her first festival!\Confession\Frankfurters\Corn on the cob\Soba\Cold\Well, everyone's here. response:	And Hishiro-san's calmed down. Let's go!
context: Her first festival!\Confession\Frankfurters\Corn on the cob\Soba\Cold\Well, everyone's here.\And Hishiro-san's calmed down. Let's go! response:	Arata-kun!
context: Confession\Frankfurters\Corn on the cob\Soba\Cold\Well, everyone's here.\And Hishiro-san's calmed down. Let's go!\Arata-kun! response:	I'd love some takoyaki!
context: Frankfurters\Corn on the cob\Soba\Cold\Well, everyone's here.\And Hishiro-san's calmed down. Let's go!\Arata-kun!\I'd love some takoyaki! response:	So buy some.
context: Corn on the cob\Soba\Cold\Well, everyone's here.\And Hishiro-san's calmed down. Let's go!\Arata-kun!\I'd love some takoyaki!\So buy some. response:	Meanie!
context: Soba\Cold\Well, everyone's here.\And Hishiro-san's calmed down. Let's go!\Arata-kun!\I'd love some takoyaki!\So buy some.\Meanie! response:	You can afford takoyaki!
context: Cold\Well, everyone's here.\And Hishiro-san's calmed down. Let's go!\Arata-kun!\I'd love some takoyaki!\So buy some.\Meanie!\You can afford takoyaki! response:	Aki-chan! Let's catch some goldfish again!
context: Well, everyone's here.\And Hishiro-san's calmed down. Let's go!\Arata-kun!\I'd love some takoyaki!\So buy some.\Meanie!\You can afford takoyaki!\Aki-chan! Let's catch some goldfish again! response:	You're on.
