context: This is justice! response:	In response to the cowardly act of the Terrans who turned on Princess Asseylum,
context: This is justice!\In response to the cowardly act of the Terrans who turned on Princess Asseylum, response:	who came down to Earth in order to make herself a bridge of peace,
context: This is justice!\In response to the cowardly act of the Terrans who turned on Princess Asseylum,\who came down to Earth in order to make herself a bridge of peace, response:	we Orbital Knights must deal them a crushing blow!
context: This is justice!\In response to the cowardly act of the Terrans who turned on Princess Asseylum,\who came down to Earth in order to make herself a bridge of peace,\we Orbital Knights must deal them a crushing blow! response:	The Terrans' spilled blood will be our tribute to Her Highness!
context: This is justice!\In response to the cowardly act of the Terrans who turned on Princess Asseylum,\who came down to Earth in order to make herself a bridge of peace,\we Orbital Knights must deal them a crushing blow!\The Terrans' spilled blood will be our tribute to Her Highness! response:	Okay, keep it coming!
context: This is justice!\In response to the cowardly act of the Terrans who turned on Princess Asseylum,\who came down to Earth in order to make herself a bridge of peace,\we Orbital Knights must deal them a crushing blow!\The Terrans' spilled blood will be our tribute to Her Highness!\Okay, keep it coming! response:	I was a nervous wreck! I thought I was going to step on you, Matsuribi-senpai!
context: This is justice!\In response to the cowardly act of the Terrans who turned on Princess Asseylum,\who came down to Earth in order to make herself a bridge of peace,\we Orbital Knights must deal them a crushing blow!\The Terrans' spilled blood will be our tribute to Her Highness!\Okay, keep it coming!\I was a nervous wreck! I thought I was going to step on you, Matsuribi-senpai! response:	If you had, you'd get hit with a lot worse than point deductions.
context: This is justice!\In response to the cowardly act of the Terrans who turned on Princess Asseylum,\who came down to Earth in order to make herself a bridge of peace,\we Orbital Knights must deal them a crushing blow!\The Terrans' spilled blood will be our tribute to Her Highness!\Okay, keep it coming!\I was a nervous wreck! I thought I was going to step on you, Matsuribi-senpai!\If you had, you'd get hit with a lot worse than point deductions. response:	That ain't even funny, right, Yutaro-chan?
context: In response to the cowardly act of the Terrans who turned on Princess Asseylum,\who came down to Earth in order to make herself a bridge of peace,\we Orbital Knights must deal them a crushing blow!\The Terrans' spilled blood will be our tribute to Her Highness!\Okay, keep it coming!\I was a nervous wreck! I thought I was going to step on you, Matsuribi-senpai!\If you had, you'd get hit with a lot worse than point deductions.\That ain't even funny, right, Yutaro-chan? response:	I wish you'd stop calling me that...
context: who came down to Earth in order to make herself a bridge of peace,\we Orbital Knights must deal them a crushing blow!\The Terrans' spilled blood will be our tribute to Her Highness!\Okay, keep it coming!\I was a nervous wreck! I thought I was going to step on you, Matsuribi-senpai!\If you had, you'd get hit with a lot worse than point deductions.\That ain't even funny, right, Yutaro-chan?\I wish you'd stop calling me that... response:	Can you climb down?
context: we Orbital Knights must deal them a crushing blow!\The Terrans' spilled blood will be our tribute to Her Highness!\Okay, keep it coming!\I was a nervous wreck! I thought I was going to step on you, Matsuribi-senpai!\If you had, you'd get hit with a lot worse than point deductions.\That ain't even funny, right, Yutaro-chan?\I wish you'd stop calling me that...\Can you climb down? response:	Yes.
context: The Terrans' spilled blood will be our tribute to Her Highness!\Okay, keep it coming!\I was a nervous wreck! I thought I was going to step on you, Matsuribi-senpai!\If you had, you'd get hit with a lot worse than point deductions.\That ain't even funny, right, Yutaro-chan?\I wish you'd stop calling me that...\Can you climb down?\Yes. response:	Thank you for your concern.
context: Okay, keep it coming!\I was a nervous wreck! I thought I was going to step on you, Matsuribi-senpai!\If you had, you'd get hit with a lot worse than point deductions.\That ain't even funny, right, Yutaro-chan?\I wish you'd stop calling me that...\Can you climb down?\Yes.\Thank you for your concern. response:	What's going on?
context: I was a nervous wreck! I thought I was going to step on you, Matsuribi-senpai!\If you had, you'd get hit with a lot worse than point deductions.\That ain't even funny, right, Yutaro-chan?\I wish you'd stop calling me that...\Can you climb down?\Yes.\Thank you for your concern.\What's going on? response:	The landing craft's radar has picked up multiple massive bodies above Shinawara.
context: If you had, you'd get hit with a lot worse than point deductions.\That ain't even funny, right, Yutaro-chan?\I wish you'd stop calling me that...\Can you climb down?\Yes.\Thank you for your concern.\What's going on?\The landing craft's radar has picked up multiple massive bodies above Shinawara. response:	A meteor bombardment...
context: That ain't even funny, right, Yutaro-chan?\I wish you'd stop calling me that...\Can you climb down?\Yes.\Thank you for your concern.\What's going on?\The landing craft's radar has picked up multiple massive bodies above Shinawara.\A meteor bombardment... response:	Freaking Martians!
context: I wish you'd stop calling me that...\Can you climb down?\Yes.\Thank you for your concern.\What's going on?\The landing craft's radar has picked up multiple massive bodies above Shinawara.\A meteor bombardment...\Freaking Martians! response:	We made it out just in time.
context: Can you climb down?\Yes.\Thank you for your concern.\What's going on?\The landing craft's radar has picked up multiple massive bodies above Shinawara.\A meteor bombardment...\Freaking Martians!\We made it out just in time. response:	You're safe!
context: Yes.\Thank you for your concern.\What's going on?\The landing craft's radar has picked up multiple massive bodies above Shinawara.\A meteor bombardment...\Freaking Martians!\We made it out just in time.\You're safe! response:	Yes. Thank you, Eddelrittuo. How go things here?
context: Thank you for your concern.\What's going on?\The landing craft's radar has picked up multiple massive bodies above Shinawara.\A meteor bombardment...\Freaking Martians!\We made it out just in time.\You're safe!\Yes. Thank you, Eddelrittuo. How go things here? response:	No change, Milady.
context: What's going on?\The landing craft's radar has picked up multiple massive bodies above Shinawara.\A meteor bombardment...\Freaking Martians!\We made it out just in time.\You're safe!\Yes. Thank you, Eddelrittuo. How go things here?\No change, Milady. response:	I see. Thank goodness.
context: The landing craft's radar has picked up multiple massive bodies above Shinawara.\A meteor bombardment...\Freaking Martians!\We made it out just in time.\You're safe!\Yes. Thank you, Eddelrittuo. How go things here?\No change, Milady.\I see. Thank goodness. response:	Good work out there, Nao.
context: A meteor bombardment...\Freaking Martians!\We made it out just in time.\You're safe!\Yes. Thank you, Eddelrittuo. How go things here?\No change, Milady.\I see. Thank goodness.\Good work out there, Nao. response:	Yuki...
context: Freaking Martians!\We made it out just in time.\You're safe!\Yes. Thank you, Eddelrittuo. How go things here?\No change, Milady.\I see. Thank goodness.\Good work out there, Nao.\Yuki... response:	I mean it, good job.
context: We made it out just in time.\You're safe!\Yes. Thank you, Eddelrittuo. How go things here?\No change, Milady.\I see. Thank goodness.\Good work out there, Nao.\Yuki...\I mean it, good job. response:	It's due entirely to the guidance of your good-natured, beautiful instructor, I'm sure.
context: You're safe!\Yes. Thank you, Eddelrittuo. How go things here?\No change, Milady.\I see. Thank goodness.\Good work out there, Nao.\Yuki...\I mean it, good job.\It's due entirely to the guidance of your good-natured, beautiful instructor, I'm sure. response:	You did good.
context: Yes. Thank you, Eddelrittuo. How go things here?\No change, Milady.\I see. Thank goodness.\Good work out there, Nao.\Yuki...\I mean it, good job.\It's due entirely to the guidance of your good-natured, beautiful instructor, I'm sure.\You did good. response:	You, too.
context: No change, Milady.\I see. Thank goodness.\Good work out there, Nao.\Yuki...\I mean it, good job.\It's due entirely to the guidance of your good-natured, beautiful instructor, I'm sure.\You did good.\You, too. response:	Nina!
context: I see. Thank goodness.\Good work out there, Nao.\Yuki...\I mean it, good job.\It's due entirely to the guidance of your good-natured, beautiful instructor, I'm sure.\You did good.\You, too.\Nina! response:	Inko!
context: Good work out there, Nao.\Yuki...\I mean it, good job.\It's due entirely to the guidance of your good-natured, beautiful instructor, I'm sure.\You did good.\You, too.\Nina!\Inko! response:	You came to rescue us!
context: Yuki...\I mean it, good job.\It's due entirely to the guidance of your good-natured, beautiful instructor, I'm sure.\You did good.\You, too.\Nina!\Inko!\You came to rescue us! response:	Yeah. When I didn't see your names on the ferries' passenger manifests, I...
context: I mean it, good job.\It's due entirely to the guidance of your good-natured, beautiful instructor, I'm sure.\You did good.\You, too.\Nina!\Inko!\You came to rescue us!\Yeah. When I didn't see your names on the ferries' passenger manifests, I... response:	It's a relief, huh?
context: It's due entirely to the guidance of your good-natured, beautiful instructor, I'm sure.\You did good.\You, too.\Nina!\Inko!\You came to rescue us!\Yeah. When I didn't see your names on the ferries' passenger manifests, I...\It's a relief, huh? response:	Yeah.
context: You did good.\You, too.\Nina!\Inko!\You came to rescue us!\Yeah. When I didn't see your names on the ferries' passenger manifests, I...\It's a relief, huh?\Yeah. response:	She's my favorite.
context: You, too.\Nina!\Inko!\You came to rescue us!\Yeah. When I didn't see your names on the ferries' passenger manifests, I...\It's a relief, huh?\Yeah.\She's my favorite. response:	The city is gone, isn't it?
context: Nina!\Inko!\You came to rescue us!\Yeah. When I didn't see your names on the ferries' passenger manifests, I...\It's a relief, huh?\Yeah.\She's my favorite.\The city is gone, isn't it? response:	Yeah...
context: Inko!\You came to rescue us!\Yeah. When I didn't see your names on the ferries' passenger manifests, I...\It's a relief, huh?\Yeah.\She's my favorite.\The city is gone, isn't it?\Yeah... response:	It's only a matter of time before we...
context: You came to rescue us!\Yeah. When I didn't see your names on the ferries' passenger manifests, I...\It's a relief, huh?\Yeah.\She's my favorite.\The city is gone, isn't it?\Yeah...\It's only a matter of time before we... response:	No way. We're gonna survive this, mark my words.
context: Yeah. When I didn't see your names on the ferries' passenger manifests, I...\It's a relief, huh?\Yeah.\She's my favorite.\The city is gone, isn't it?\Yeah...\It's only a matter of time before we...\No way. We're gonna survive this, mark my words. response:	If that's your plan,
context: It's a relief, huh?\Yeah.\She's my favorite.\The city is gone, isn't it?\Yeah...\It's only a matter of time before we...\No way. We're gonna survive this, mark my words.\If that's your plan, response:	then maybe you should start by dodging that?
context: Yeah.\She's my favorite.\The city is gone, isn't it?\Yeah...\It's only a matter of time before we...\No way. We're gonna survive this, mark my words.\If that's your plan,\then maybe you should start by dodging that? response:	Right? Right? Left? Right? Right? Left?
context: She's my favorite.\The city is gone, isn't it?\Yeah...\It's only a matter of time before we...\No way. We're gonna survive this, mark my words.\If that's your plan,\then maybe you should start by dodging that?\Right? Right? Left? Right? Right? Left? response:	Quick exhaust.
context: The city is gone, isn't it?\Yeah...\It's only a matter of time before we...\No way. We're gonna survive this, mark my words.\If that's your plan,\then maybe you should start by dodging that?\Right? Right? Left? Right? Right? Left?\Quick exhaust. response:	Sheesh, what's the helmsman doing?
context: Yeah...\It's only a matter of time before we...\No way. We're gonna survive this, mark my words.\If that's your plan,\then maybe you should start by dodging that?\Right? Right? Left? Right? Right? Left?\Quick exhaust.\Sheesh, what's the helmsman doing? response:	Um...
context: It's only a matter of time before we...\No way. We're gonna survive this, mark my words.\If that's your plan,\then maybe you should start by dodging that?\Right? Right? Left? Right? Right? Left?\Quick exhaust.\Sheesh, what's the helmsman doing?\Um... response:	Sure.
context: No way. We're gonna survive this, mark my words.\If that's your plan,\then maybe you should start by dodging that?\Right? Right? Left? Right? Right? Left?\Quick exhaust.\Sheesh, what's the helmsman doing?\Um...\Sure. response:	Thank you for earlier, er...
