context: Teach Me How to Play Shogi (Continued) response:	Next I'll introduce the characteristics of each type of cat.
context: Teach Me How to Play Shogi (Continued)\Next I'll introduce the characteristics of each type of cat. response:	- Okay! - Yes, please!
context: Teach Me How to Play Shogi (Continued)\Next I'll introduce the characteristics of each type of cat.\- Okay! - Yes, please! response:	Yes! Good responses.
context: Teach Me How to Play Shogi (Continued)\Next I'll introduce the characteristics of each type of cat.\- Okay! - Yes, please!\Yes! Good responses. response:	Pawn
context: Teach Me How to Play Shogi (Continued)\Next I'll introduce the characteristics of each type of cat.\- Okay! - Yes, please!\Yes! Good responses.\Pawn response:	Pawn!
context: Teach Me How to Play Shogi (Continued)\Next I'll introduce the characteristics of each type of cat.\- Okay! - Yes, please!\Yes! Good responses.\Pawn\Pawn! response:	He's a hard worker who moves ahead one step at a time-meow!
context: Teach Me How to Play Shogi (Continued)\Next I'll introduce the characteristics of each type of cat.\- Okay! - Yes, please!\Yes! Good responses.\Pawn\Pawn!\He's a hard worker who moves ahead one step at a time-meow! response:	I may be the weakest piece,
context: Teach Me How to Play Shogi (Continued)\Next I'll introduce the characteristics of each type of cat.\- Okay! - Yes, please!\Yes! Good responses.\Pawn\Pawn!\He's a hard worker who moves ahead one step at a time-meow!\I may be the weakest piece, response:	My meaty paw punch will knock you silly-meow!
context: Next I'll introduce the characteristics of each type of cat.\- Okay! - Yes, please!\Yes! Good responses.\Pawn\Pawn!\He's a hard worker who moves ahead one step at a time-meow!\I may be the weakest piece,\My meaty paw punch will knock you silly-meow! response:	but there are scenarios where you can't win without me, so I'm quite important-meow.
context: - Okay! - Yes, please!\Yes! Good responses.\Pawn\Pawn!\He's a hard worker who moves ahead one step at a time-meow!\I may be the weakest piece,\My meaty paw punch will knock you silly-meow!\but there are scenarios where you can't win without me, so I'm quite important-meow. response:	Lance
context: Yes! Good responses.\Pawn\Pawn!\He's a hard worker who moves ahead one step at a time-meow!\I may be the weakest piece,\My meaty paw punch will knock you silly-meow!\but there are scenarios where you can't win without me, so I'm quite important-meow.\Lance response:	Lance!
