context: Maou... response:	Chiho, I
context: Maou...\Chiho, I response:	have to go back to Ente Isla.
context: Maou...\Chiho, I\have to go back to Ente Isla. response:	What?
context: Maou...\Chiho, I\have to go back to Ente Isla.\What? response:	No!
context: Maou...\Chiho, I\have to go back to Ente Isla.\What?\No! response:	Don't leave me!
context: Maou...\Chiho, I\have to go back to Ente Isla.\What?\No!\Don't leave me! response:	I'm sorry.
context: Maou...\Chiho, I\have to go back to Ente Isla.\What?\No!\Don't leave me!\I'm sorry. response:	I cannot stay in this world any longer.
context: Maou...\Chiho, I\have to go back to Ente Isla.\What?\No!\Don't leave me!\I'm sorry.\I cannot stay in this world any longer. response:	Then we'll go to Ente Isla together!
context: Chiho, I\have to go back to Ente Isla.\What?\No!\Don't leave me!\I'm sorry.\I cannot stay in this world any longer.\Then we'll go to Ente Isla together! response:	Take me with you!
context: have to go back to Ente Isla.\What?\No!\Don't leave me!\I'm sorry.\I cannot stay in this world any longer.\Then we'll go to Ente Isla together!\Take me with you! response:	I'm afraid I can't.
context: What?\No!\Don't leave me!\I'm sorry.\I cannot stay in this world any longer.\Then we'll go to Ente Isla together!\Take me with you!\I'm afraid I can't. response:	We're from two different worlds.
context: No!\Don't leave me!\I'm sorry.\I cannot stay in this world any longer.\Then we'll go to Ente Isla together!\Take me with you!\I'm afraid I can't.\We're from two different worlds. response:	We weren't supposed to meet.
context: Don't leave me!\I'm sorry.\I cannot stay in this world any longer.\Then we'll go to Ente Isla together!\Take me with you!\I'm afraid I can't.\We're from two different worlds.\We weren't supposed to meet. response:	Chiho...
context: I'm sorry.\I cannot stay in this world any longer.\Then we'll go to Ente Isla together!\Take me with you!\I'm afraid I can't.\We're from two different worlds.\We weren't supposed to meet.\Chiho... response:	Forgive me.
context: I cannot stay in this world any longer.\Then we'll go to Ente Isla together!\Take me with you!\I'm afraid I can't.\We're from two different worlds.\We weren't supposed to meet.\Chiho...\Forgive me. response:	Maou...
context: Then we'll go to Ente Isla together!\Take me with you!\I'm afraid I can't.\We're from two different worlds.\We weren't supposed to meet.\Chiho...\Forgive me.\Maou... response:	Maou!
context: Take me with you!\I'm afraid I can't.\We're from two different worlds.\We weren't supposed to meet.\Chiho...\Forgive me.\Maou...\Maou! response:	That's the dream I had. Period.
context: I'm afraid I can't.\We're from two different worlds.\We weren't supposed to meet.\Chiho...\Forgive me.\Maou...\Maou!\That's the dream I had. Period. response:	A dream where I went back to Ente Isla, eh?
context: We're from two different worlds.\We weren't supposed to meet.\Chiho...\Forgive me.\Maou...\Maou!\That's the dream I had. Period.\A dream where I went back to Ente Isla, eh? response:	And? What happens to me after that?
context: We weren't supposed to meet.\Chiho...\Forgive me.\Maou...\Maou!\That's the dream I had. Period.\A dream where I went back to Ente Isla, eh?\And? What happens to me after that? response:	Huh? Well...
context: Chiho...\Forgive me.\Maou...\Maou!\That's the dream I had. Period.\A dream where I went back to Ente Isla, eh?\And? What happens to me after that?\Huh? Well... response:	That's, uh... Hehehe...
context: Forgive me.\Maou...\Maou!\That's the dream I had. Period.\A dream where I went back to Ente Isla, eh?\And? What happens to me after that?\Huh? Well...\That's, uh... Hehehe... response:	Well, whatever.
context: Maou...\Maou!\That's the dream I had. Period.\A dream where I went back to Ente Isla, eh?\And? What happens to me after that?\Huh? Well...\That's, uh... Hehehe...\Well, whatever. response:	It's impossible for me now.
context: Maou!\That's the dream I had. Period.\A dream where I went back to Ente Isla, eh?\And? What happens to me after that?\Huh? Well...\That's, uh... Hehehe...\Well, whatever.\It's impossible for me now. response:	I don't have the kind of power required for that.
context: That's the dream I had. Period.\A dream where I went back to Ente Isla, eh?\And? What happens to me after that?\Huh? Well...\That's, uh... Hehehe...\Well, whatever.\It's impossible for me now.\I don't have the kind of power required for that. response:	But man, yesterday sure was tiring.
