context: Draw your blades. response:	If we see it, it'll only be for a second.
context: Draw your blades.\If we see it, it'll only be for a second. response:	Go!
context: Draw your blades.\If we see it, it'll only be for a second.\Go! response:	It's fast!
context: Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast! response:	In these trees, there's no way to foresee and evade its attacks!
context: Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks! response:	It'll catch us!
context: Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us! response:	Captain, let's switch to Maneuver Gear!
context: Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear! response:	Captain!
context: Draw your blades.\If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain! response:	You won't escape!
context: If we see it, it'll only be for a second.\Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape! response:	Reinforcements from the rear!
context: Go!\It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear! response:	Captain, your orders?!
context: It's fast!\In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?! response:	Let's go for it!
context: In these trees, there's no way to foresee and evade its attacks!\It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it! response:	It's dangerous...
context: It'll catch us!\Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous... response:	We should kill it!
context: Captain, let's switch to Maneuver Gear!\Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it! response:	At this rate, it will catch up with us!
context: Captain!\You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it!\At this rate, it will catch up with us! response:	We kill it here...
context: You won't escape!\Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it!\At this rate, it will catch up with us!\We kill it here... response:	That's why we came to this forest!
context: Reinforcements from the rear!\Captain, your orders?!\Let's go for it!\It's dangerous...\We should kill it!\At this rate, it will catch up with us!\We kill it here...\That's why we came to this forest! response:	Right, Captain?
