context: Big Brother. response:	Did Li Jing have you come here to kill me?
context: Big Brother.\Did Li Jing have you come here to kill me? response:	Big Brother, I'm here to get you out.
context: Big Brother.\Did Li Jing have you come here to kill me?\Big Brother, I'm here to get you out. response:	You're awake.
context: Big Brother.\Did Li Jing have you come here to kill me?\Big Brother, I'm here to get you out.\You're awake. response:	Xuan Nu?
context: Big Brother.\Did Li Jing have you come here to kill me?\Big Brother, I'm here to get you out.\You're awake.\Xuan Nu? response:	It's me.
context: Big Brother.\Did Li Jing have you come here to kill me?\Big Brother, I'm here to get you out.\You're awake.\Xuan Nu?\It's me. response:	Where exactly have you been for the last 70,000 years?
context: Big Brother.\Did Li Jing have you come here to kill me?\Big Brother, I'm here to get you out.\You're awake.\Xuan Nu?\It's me.\Where exactly have you been for the last 70,000 years? response:	A-Yin again?
context: Big Brother.\Did Li Jing have you come here to kill me?\Big Brother, I'm here to get you out.\You're awake.\Xuan Nu?\It's me.\Where exactly have you been for the last 70,000 years?\A-Yin again? response:	It's been 70,000 years! Why are you still thinking of that celestial immortal?
context: Did Li Jing have you come here to kill me?\Big Brother, I'm here to get you out.\You're awake.\Xuan Nu?\It's me.\Where exactly have you been for the last 70,000 years?\A-Yin again?\It's been 70,000 years! Why are you still thinking of that celestial immortal? response:	So what if she's a celestial immortal?
context: Big Brother, I'm here to get you out.\You're awake.\Xuan Nu?\It's me.\Where exactly have you been for the last 70,000 years?\A-Yin again?\It's been 70,000 years! Why are you still thinking of that celestial immortal?\So what if she's a celestial immortal? response:	The 3,000 women in my harem don't even measure up to her finger.
context: You're awake.\Xuan Nu?\It's me.\Where exactly have you been for the last 70,000 years?\A-Yin again?\It's been 70,000 years! Why are you still thinking of that celestial immortal?\So what if she's a celestial immortal?\The 3,000 women in my harem don't even measure up to her finger. response:	What exactly has A-Yin done for you?
