context: Gathering shards of the Sacred Jewel, response:	we continue our journey to battle our arch-enemy Naraku.
context: Gathering shards of the Sacred Jewel,\we continue our journey to battle our arch-enemy Naraku. response:	Inuyasha is so dense, he hasn't noticed...
context: Gathering shards of the Sacred Jewel,\we continue our journey to battle our arch-enemy Naraku.\Inuyasha is so dense, he hasn't noticed... response:	but it seems that Miroku the monk and Sango the Demon Slayer
context: Gathering shards of the Sacred Jewel,\we continue our journey to battle our arch-enemy Naraku.\Inuyasha is so dense, he hasn't noticed...\but it seems that Miroku the monk and Sango the Demon Slayer response:	have feelings for each other.
context: Gathering shards of the Sacred Jewel,\we continue our journey to battle our arch-enemy Naraku.\Inuyasha is so dense, he hasn't noticed...\but it seems that Miroku the monk and Sango the Demon Slayer\have feelings for each other. response:	However, they're both hesitant about declaring their feelings
context: Gathering shards of the Sacred Jewel,\we continue our journey to battle our arch-enemy Naraku.\Inuyasha is so dense, he hasn't noticed...\but it seems that Miroku the monk and Sango the Demon Slayer\have feelings for each other.\However, they're both hesitant about declaring their feelings response:	and the relationship hasn't progressed at all.
context: Gathering shards of the Sacred Jewel,\we continue our journey to battle our arch-enemy Naraku.\Inuyasha is so dense, he hasn't noticed...\but it seems that Miroku the monk and Sango the Demon Slayer\have feelings for each other.\However, they're both hesitant about declaring their feelings\and the relationship hasn't progressed at all. response:	There it is!
context: Gathering shards of the Sacred Jewel,\we continue our journey to battle our arch-enemy Naraku.\Inuyasha is so dense, he hasn't noticed...\but it seems that Miroku the monk and Sango the Demon Slayer\have feelings for each other.\However, they're both hesitant about declaring their feelings\and the relationship hasn't progressed at all.\There it is! response:	The beast!
context: we continue our journey to battle our arch-enemy Naraku.\Inuyasha is so dense, he hasn't noticed...\but it seems that Miroku the monk and Sango the Demon Slayer\have feelings for each other.\However, they're both hesitant about declaring their feelings\and the relationship hasn't progressed at all.\There it is!\The beast! response:	Get it!
context: Inuyasha is so dense, he hasn't noticed...\but it seems that Miroku the monk and Sango the Demon Slayer\have feelings for each other.\However, they're both hesitant about declaring their feelings\and the relationship hasn't progressed at all.\There it is!\The beast!\Get it! response:	Shoot!
context: but it seems that Miroku the monk and Sango the Demon Slayer\have feelings for each other.\However, they're both hesitant about declaring their feelings\and the relationship hasn't progressed at all.\There it is!\The beast!\Get it!\Shoot! response:	There's no other way.
context: have feelings for each other.\However, they're both hesitant about declaring their feelings\and the relationship hasn't progressed at all.\There it is!\The beast!\Get it!\Shoot!\There's no other way. response:	But my young lord, what about the other personage?
context: However, they're both hesitant about declaring their feelings\and the relationship hasn't progressed at all.\There it is!\The beast!\Get it!\Shoot!\There's no other way.\But my young lord, what about the other personage? response:	Stop whining!
context: and the relationship hasn't progressed at all.\There it is!\The beast!\Get it!\Shoot!\There's no other way.\But my young lord, what about the other personage?\Stop whining! response:	Leave no stone unturned! Find it!
context: There it is!\The beast!\Get it!\Shoot!\There's no other way.\But my young lord, what about the other personage?\Stop whining!\Leave no stone unturned! Find it! response:	Yes sire!
context: The beast!\Get it!\Shoot!\There's no other way.\But my young lord, what about the other personage?\Stop whining!\Leave no stone unturned! Find it!\Yes sire! response:	Damn!
context: Get it!\Shoot!\There's no other way.\But my young lord, what about the other personage?\Stop whining!\Leave no stone unturned! Find it!\Yes sire!\Damn! response:	You should use an umbrella, too, Inuyasha.
context: Shoot!\There's no other way.\But my young lord, what about the other personage?\Stop whining!\Leave no stone unturned! Find it!\Yes sire!\Damn!\You should use an umbrella, too, Inuyasha. response:	Only kids and women use that stuff!
