context: Yukako Yamagishi has been depressed lately. response:	What? There's someone you like?
context: Yukako Yamagishi has been depressed lately.\What? There's someone you like? response:	Yeah! We both like each other!
context: Yukako Yamagishi has been depressed lately.\What? There's someone you like?\Yeah! We both like each other! response:	I went to the Angelo Stone the other day and
context: Yukako Yamagishi has been depressed lately.\What? There's someone you like?\Yeah! We both like each other!\I went to the Angelo Stone the other day and response:	there were a lot of tourists taking pictures.
context: Yukako Yamagishi has been depressed lately.\What? There's someone you like?\Yeah! We both like each other!\I went to the Angelo Stone the other day and\there were a lot of tourists taking pictures. response:	Wow, it's that famous now, huh?
context: Yukako Yamagishi has been depressed lately.\What? There's someone you like?\Yeah! We both like each other!\I went to the Angelo Stone the other day and\there were a lot of tourists taking pictures.\Wow, it's that famous now, huh? response:	What's wrong, Koichi?
context: Yukako Yamagishi has been depressed lately.\What? There's someone you like?\Yeah! We both like each other!\I went to the Angelo Stone the other day and\there were a lot of tourists taking pictures.\Wow, it's that famous now, huh?\What's wrong, Koichi? response:	If I can just keep Koichi in my heart, that's all I need to be happy.
context: Yukako Yamagishi has been depressed lately.\What? There's someone you like?\Yeah! We both like each other!\I went to the Angelo Stone the other day and\there were a lot of tourists taking pictures.\Wow, it's that famous now, huh?\What's wrong, Koichi?\If I can just keep Koichi in my heart, that's all I need to be happy. response:	I thought that once, but it's really hard...
context: What? There's someone you like?\Yeah! We both like each other!\I went to the Angelo Stone the other day and\there were a lot of tourists taking pictures.\Wow, it's that famous now, huh?\What's wrong, Koichi?\If I can just keep Koichi in my heart, that's all I need to be happy.\I thought that once, but it's really hard... response:	I wish he'd look at me, even just a little.
context: Yeah! We both like each other!\I went to the Angelo Stone the other day and\there were a lot of tourists taking pictures.\Wow, it's that famous now, huh?\What's wrong, Koichi?\If I can just keep Koichi in my heart, that's all I need to be happy.\I thought that once, but it's really hard...\I wish he'd look at me, even just a little. response:	But I just don't know what I'm supposed to do...
context: I went to the Angelo Stone the other day and\there were a lot of tourists taking pictures.\Wow, it's that famous now, huh?\What's wrong, Koichi?\If I can just keep Koichi in my heart, that's all I need to be happy.\I thought that once, but it's really hard...\I wish he'd look at me, even just a little.\But I just don't know what I'm supposed to do... response:	My makeup will help you encounter love
context: there were a lot of tourists taking pictures.\Wow, it's that famous now, huh?\What's wrong, Koichi?\If I can just keep Koichi in my heart, that's all I need to be happy.\I thought that once, but it's really hard...\I wish he'd look at me, even just a little.\But I just don't know what I'm supposed to do...\My makeup will help you encounter love response:	Cinderella?
context: Wow, it's that famous now, huh?\What's wrong, Koichi?\If I can just keep Koichi in my heart, that's all I need to be happy.\I thought that once, but it's really hard...\I wish he'd look at me, even just a little.\But I just don't know what I'm supposed to do...\My makeup will help you encounter love\Cinderella? response:	How lucky can I be?
context: What's wrong, Koichi?\If I can just keep Koichi in my heart, that's all I need to be happy.\I thought that once, but it's really hard...\I wish he'd look at me, even just a little.\But I just don't know what I'm supposed to do...\My makeup will help you encounter love\Cinderella?\How lucky can I be? response:	I can't believe such a wonderful guy proposed to me!
context: If I can just keep Koichi in my heart, that's all I need to be happy.\I thought that once, but it's really hard...\I wish he'd look at me, even just a little.\But I just don't know what I'm supposed to do...\My makeup will help you encounter love\Cinderella?\How lucky can I be?\I can't believe such a wonderful guy proposed to me! response:	Thank you, Dr. Aya! Thank you so much!
context: I thought that once, but it's really hard...\I wish he'd look at me, even just a little.\But I just don't know what I'm supposed to do...\My makeup will help you encounter love\Cinderella?\How lucky can I be?\I can't believe such a wonderful guy proposed to me!\Thank you, Dr. Aya! Thank you so much! response:	Phew...
context: I wish he'd look at me, even just a little.\But I just don't know what I'm supposed to do...\My makeup will help you encounter love\Cinderella?\How lucky can I be?\I can't believe such a wonderful guy proposed to me!\Thank you, Dr. Aya! Thank you so much!\Phew... response:	I guess a woman's youth is better spent
context: But I just don't know what I'm supposed to do...\My makeup will help you encounter love\Cinderella?\How lucky can I be?\I can't believe such a wonderful guy proposed to me!\Thank you, Dr. Aya! Thank you so much!\Phew...\I guess a woman's youth is better spent response:	happy and ugly than dark and beautiful...
context: My makeup will help you encounter love\Cinderella?\How lucky can I be?\I can't believe such a wonderful guy proposed to me!\Thank you, Dr. Aya! Thank you so much!\Phew...\I guess a woman's youth is better spent\happy and ugly than dark and beautiful... response:	Come in.
context: Cinderella?\How lucky can I be?\I can't believe such a wonderful guy proposed to me!\Thank you, Dr. Aya! Thank you so much!\Phew...\I guess a woman's youth is better spent\happy and ugly than dark and beautiful...\Come in. response:	My makeup will help you encounter love.
context: How lucky can I be?\I can't believe such a wonderful guy proposed to me!\Thank you, Dr. Aya! Thank you so much!\Phew...\I guess a woman's youth is better spent\happy and ugly than dark and beautiful...\Come in.\My makeup will help you encounter love. response:	What's written on that sign is true.
context: I can't believe such a wonderful guy proposed to me!\Thank you, Dr. Aya! Thank you so much!\Phew...\I guess a woman's youth is better spent\happy and ugly than dark and beautiful...\Come in.\My makeup will help you encounter love.\What's written on that sign is true. response:	If you're interested...
