context: Major! Major! response:	I'm... okay.
context: Major! Major!\I'm... okay. response:	Major!
context: Major! Major!\I'm... okay.\Major! response:	Save yourself. Leave me here.
context: Major! Major!\I'm... okay.\Major!\Save yourself. Leave me here. response:	You have to run.
context: Major! Major!\I'm... okay.\Major!\Save yourself. Leave me here.\You have to run. response:	I cannot do that! I will take you with me!
context: Major! Major!\I'm... okay.\Major!\Save yourself. Leave me here.\You have to run.\I cannot do that! I will take you with me! response:	Leave me here.
context: Major! Major!\I'm... okay.\Major!\Save yourself. Leave me here.\You have to run.\I cannot do that! I will take you with me!\Leave me here. response:	I will not leave you behind! I will stay here and fight!
context: Major! Major!\I'm... okay.\Major!\Save yourself. Leave me here.\You have to run.\I cannot do that! I will take you with me!\Leave me here.\I will not leave you behind! I will stay here and fight! response:	I will only go if I take you with me.
context: I'm... okay.\Major!\Save yourself. Leave me here.\You have to run.\I cannot do that! I will take you with me!\Leave me here.\I will not leave you behind! I will stay here and fight!\I will only go if I take you with me. response:	Violet!
context: Major!\Save yourself. Leave me here.\You have to run.\I cannot do that! I will take you with me!\Leave me here.\I will not leave you behind! I will stay here and fight!\I will only go if I take you with me.\Violet! response:	I will not let you die!
context: Save yourself. Leave me here.\You have to run.\I cannot do that! I will take you with me!\Leave me here.\I will not leave you behind! I will stay here and fight!\I will only go if I take you with me.\Violet!\I will not let you die! response:	Stop.
context: You have to run.\I cannot do that! I will take you with me!\Leave me here.\I will not leave you behind! I will stay here and fight!\I will only go if I take you with me.\Violet!\I will not let you die!\Stop. response:	Just stop!
context: I cannot do that! I will take you with me!\Leave me here.\I will not leave you behind! I will stay here and fight!\I will only go if I take you with me.\Violet!\I will not let you die!\Stop.\Just stop! response:	You have to live.
context: Leave me here.\I will not leave you behind! I will stay here and fight!\I will only go if I take you with me.\Violet!\I will not let you die!\Stop.\Just stop!\You have to live. response:	Violet.
context: I will not leave you behind! I will stay here and fight!\I will only go if I take you with me.\Violet!\I will not let you die!\Stop.\Just stop!\You have to live.\Violet. response:	You have to live.
context: I will only go if I take you with me.\Violet!\I will not let you die!\Stop.\Just stop!\You have to live.\Violet.\You have to live. response:	Be free.
context: Violet!\I will not let you die!\Stop.\Just stop!\You have to live.\Violet.\You have to live.\Be free. response:	From the bottom of my heart.
context: I will not let you die!\Stop.\Just stop!\You have to live.\Violet.\You have to live.\Be free.\From the bottom of my heart. response:	I love you.
context: Stop.\Just stop!\You have to live.\Violet.\You have to live.\Be free.\From the bottom of my heart.\I love you. response:	Love?
context: Just stop!\You have to live.\Violet.\You have to live.\Be free.\From the bottom of my heart.\I love you.\Love? response:	What is love?
context: You have to live.\Violet.\You have to live.\Be free.\From the bottom of my heart.\I love you.\Love?\What is love? response:	What is...
context: Violet.\You have to live.\Be free.\From the bottom of my heart.\I love you.\Love?\What is love?\What is... response:	love?
context: You have to live.\Be free.\From the bottom of my heart.\I love you.\Love?\What is love?\What is...\love? response:	I don't understand!
context: Be free.\From the bottom of my heart.\I love you.\Love?\What is love?\What is...\love?\I don't understand! response:	I don't understand!
context: From the bottom of my heart.\I love you.\Love?\What is love?\What is...\love?\I don't understand!\I don't understand! response:	Major!
context: I love you.\Love?\What is love?\What is...\love?\I don't understand!\I don't understand!\Major! response:	I thought I'd find you here.
context: Love?\What is love?\What is...\love?\I don't understand!\I don't understand!\Major!\I thought I'd find you here. response:	It was a brutal battle.
context: What is love?\What is...\love?\I don't understand!\I don't understand!\Major!\I thought I'd find you here.\It was a brutal battle. response:	After your team sent up the signal flare, the rest of our forces attacked,
context: What is...\love?\I don't understand!\I don't understand!\Major!\I thought I'd find you here.\It was a brutal battle.\After your team sent up the signal flare, the rest of our forces attacked, response:	and sensing their defeat,
context: love?\I don't understand!\I don't understand!\Major!\I thought I'd find you here.\It was a brutal battle.\After your team sent up the signal flare, the rest of our forces attacked,\and sensing their defeat, response:	the Gardarik Army bombarded their own headquarters before retreating.
context: I don't understand!\I don't understand!\Major!\I thought I'd find you here.\It was a brutal battle.\After your team sent up the signal flare, the rest of our forces attacked,\and sensing their defeat,\the Gardarik Army bombarded their own headquarters before retreating. response:	You were found at the bottom of those stairs.
context: I don't understand!\Major!\I thought I'd find you here.\It was a brutal battle.\After your team sent up the signal flare, the rest of our forces attacked,\and sensing their defeat,\the Gardarik Army bombarded their own headquarters before retreating.\You were found at the bottom of those stairs. response:	Most likely, he pushed you out of the way to protect you from the blast.
context: Major!\I thought I'd find you here.\It was a brutal battle.\After your team sent up the signal flare, the rest of our forces attacked,\and sensing their defeat,\the Gardarik Army bombarded their own headquarters before retreating.\You were found at the bottom of those stairs.\Most likely, he pushed you out of the way to protect you from the blast. response:	Everyone told me the major was fine when I was in the hospital.
context: I thought I'd find you here.\It was a brutal battle.\After your team sent up the signal flare, the rest of our forces attacked,\and sensing their defeat,\the Gardarik Army bombarded their own headquarters before retreating.\You were found at the bottom of those stairs.\Most likely, he pushed you out of the way to protect you from the blast.\Everyone told me the major was fine when I was in the hospital. response:	We couldn't tell you.
context: It was a brutal battle.\After your team sent up the signal flare, the rest of our forces attacked,\and sensing their defeat,\the Gardarik Army bombarded their own headquarters before retreating.\You were found at the bottom of those stairs.\Most likely, he pushed you out of the way to protect you from the blast.\Everyone told me the major was fine when I was in the hospital.\We couldn't tell you. response:	You were more concerned about him than you were about yourself.
