context: Episode 4 response:	Rumors
context: Episode 4\Rumors response:	Secret
context: Episode 4\Rumors\Secret response:	Practice
context: Episode 4\Rumors\Secret\Practice response:	Don't slack!
context: Episode 4\Rumors\Secret\Practice\Don't slack! response:	Kuronuma Sawako
context: Episode 4\Rumors\Secret\Practice\Don't slack!\Kuronuma Sawako response:	bitch theory
context: Episode 4\Rumors\Secret\Practice\Don't slack!\Kuronuma Sawako\bitch theory response:	Sawako, your bath's ready.
context: Episode 4\Rumors\Secret\Practice\Don't slack!\Kuronuma Sawako\bitch theory\Sawako, your bath's ready. response:	Okay.
context: Rumors\Secret\Practice\Don't slack!\Kuronuma Sawako\bitch theory\Sawako, your bath's ready.\Okay. response:	Hey, Sawako, how's school been lately?
context: Secret\Practice\Don't slack!\Kuronuma Sawako\bitch theory\Sawako, your bath's ready.\Okay.\Hey, Sawako, how's school been lately? response:	I-It's fun.
context: Practice\Don't slack!\Kuronuma Sawako\bitch theory\Sawako, your bath's ready.\Okay.\Hey, Sawako, how's school been lately?\I-It's fun. response:	She always says it's fun, but she really looks like she's gleeful this time.
context: Don't slack!\Kuronuma Sawako\bitch theory\Sawako, your bath's ready.\Okay.\Hey, Sawako, how's school been lately?\I-It's fun.\She always says it's fun, but she really looks like she's gleeful this time. response:	Gleeful...
context: Kuronuma Sawako\bitch theory\Sawako, your bath's ready.\Okay.\Hey, Sawako, how's school been lately?\I-It's fun.\She always says it's fun, but she really looks like she's gleeful this time.\Gleeful... response:	Maybe she's in love.
context: bitch theory\Sawako, your bath's ready.\Okay.\Hey, Sawako, how's school been lately?\I-It's fun.\She always says it's fun, but she really looks like she's gleeful this time.\Gleeful...\Maybe she's in love. response:	Sawako... my Sawako!
context: Sawako, your bath's ready.\Okay.\Hey, Sawako, how's school been lately?\I-It's fun.\She always says it's fun, but she really looks like she's gleeful this time.\Gleeful...\Maybe she's in love.\Sawako... my Sawako! response:	Geez, Dad, what are you doing?!
context: Okay.\Hey, Sawako, how's school been lately?\I-It's fun.\She always says it's fun, but she really looks like she's gleeful this time.\Gleeful...\Maybe she's in love.\Sawako... my Sawako!\Geez, Dad, what are you doing?! response:	I'm so happy.
context: Hey, Sawako, how's school been lately?\I-It's fun.\She always says it's fun, but she really looks like she's gleeful this time.\Gleeful...\Maybe she's in love.\Sawako... my Sawako!\Geez, Dad, what are you doing?!\I'm so happy. response:	I'm about to forget what I used to be like.
context: I-It's fun.\She always says it's fun, but she really looks like she's gleeful this time.\Gleeful...\Maybe she's in love.\Sawako... my Sawako!\Geez, Dad, what are you doing?!\I'm so happy.\I'm about to forget what I used to be like. response:	I don't know what he meant, but I'm happy.
context: She always says it's fun, but she really looks like she's gleeful this time.\Gleeful...\Maybe she's in love.\Sawako... my Sawako!\Geez, Dad, what are you doing?!\I'm so happy.\I'm about to forget what I used to be like.\I don't know what he meant, but I'm happy. response:	I wonder if I'm using up my lifetime's supply of happiness right now.
context: Gleeful...\Maybe she's in love.\Sawako... my Sawako!\Geez, Dad, what are you doing?!\I'm so happy.\I'm about to forget what I used to be like.\I don't know what he meant, but I'm happy.\I wonder if I'm using up my lifetime's supply of happiness right now. response:	But I'm happy anyway.
context: Maybe she's in love.\Sawako... my Sawako!\Geez, Dad, what are you doing?!\I'm so happy.\I'm about to forget what I used to be like.\I don't know what he meant, but I'm happy.\I wonder if I'm using up my lifetime's supply of happiness right now.\But I'm happy anyway. response:	What? No way.
context: Sawako... my Sawako!\Geez, Dad, what are you doing?!\I'm so happy.\I'm about to forget what I used to be like.\I don't know what he meant, but I'm happy.\I wonder if I'm using up my lifetime's supply of happiness right now.\But I'm happy anyway.\What? No way. response:	Yoshida? The thin-eyed girl?
context: Geez, Dad, what are you doing?!\I'm so happy.\I'm about to forget what I used to be like.\I don't know what he meant, but I'm happy.\I wonder if I'm using up my lifetime's supply of happiness right now.\But I'm happy anyway.\What? No way.\Yoshida? The thin-eyed girl? response:	Yeah.
context: I'm so happy.\I'm about to forget what I used to be like.\I don't know what he meant, but I'm happy.\I wonder if I'm using up my lifetime's supply of happiness right now.\But I'm happy anyway.\What? No way.\Yoshida? The thin-eyed girl?\Yeah. response:	She used to be a real problem in middle school.
context: I'm about to forget what I used to be like.\I don't know what he meant, but I'm happy.\I wonder if I'm using up my lifetime's supply of happiness right now.\But I'm happy anyway.\What? No way.\Yoshida? The thin-eyed girl?\Yeah.\She used to be a real problem in middle school. response:	She made her teacher cry and beat up all the guys in her class.
context: I don't know what he meant, but I'm happy.\I wonder if I'm using up my lifetime's supply of happiness right now.\But I'm happy anyway.\What? No way.\Yoshida? The thin-eyed girl?\Yeah.\She used to be a real problem in middle school.\She made her teacher cry and beat up all the guys in her class. response:	I was a lot worse than that.
