context: I'm glad you're here. response:	This time, you won't get away.
context: I'm glad you're here.\This time, you won't get away. response:	Why is she here? It's still light out.
context: I'm glad you're here.\This time, you won't get away.\Why is she here? It's still light out. response:	Wait, if she hadn't been with me, would she have arrived this early?
context: I'm glad you're here.\This time, you won't get away.\Why is she here? It's still light out.\Wait, if she hadn't been with me, would she have arrived this early? response:	You never quit, do you?
context: I'm glad you're here.\This time, you won't get away.\Why is she here? It's still light out.\Wait, if she hadn't been with me, would she have arrived this early?\You never quit, do you? response:	I'm telling you, just give up already!
context: I'm glad you're here.\This time, you won't get away.\Why is she here? It's still light out.\Wait, if she hadn't been with me, would she have arrived this early?\You never quit, do you?\I'm telling you, just give up already! response:	Sorry, but this is something I cannot give up on.
context: I'm glad you're here.\This time, you won't get away.\Why is she here? It's still light out.\Wait, if she hadn't been with me, would she have arrived this early?\You never quit, do you?\I'm telling you, just give up already!\Sorry, but this is something I cannot give up on. response:	If you do as I say, I won't hurt you.
context: I'm glad you're here.\This time, you won't get away.\Why is she here? It's still light out.\Wait, if she hadn't been with me, would she have arrived this early?\You never quit, do you?\I'm telling you, just give up already!\Sorry, but this is something I cannot give up on.\If you do as I say, I won't hurt you. response:	I have only one demand. Return my insignia.
context: This time, you won't get away.\Why is she here? It's still light out.\Wait, if she hadn't been with me, would she have arrived this early?\You never quit, do you?\I'm telling you, just give up already!\Sorry, but this is something I cannot give up on.\If you do as I say, I won't hurt you.\I have only one demand. Return my insignia. response:	It's very important to me.
context: Why is she here? It's still light out.\Wait, if she hadn't been with me, would she have arrived this early?\You never quit, do you?\I'm telling you, just give up already!\Sorry, but this is something I cannot give up on.\If you do as I say, I won't hurt you.\I have only one demand. Return my insignia.\It's very important to me. response:	If she were just another magic user, I wouldn't back down,
context: Wait, if she hadn't been with me, would she have arrived this early?\You never quit, do you?\I'm telling you, just give up already!\Sorry, but this is something I cannot give up on.\If you do as I say, I won't hurt you.\I have only one demand. Return my insignia.\It's very important to me.\If she were just another magic user, I wouldn't back down, response:	but this one's trouble...
context: You never quit, do you?\I'm telling you, just give up already!\Sorry, but this is something I cannot give up on.\If you do as I say, I won't hurt you.\I have only one demand. Return my insignia.\It's very important to me.\If she were just another magic user, I wouldn't back down,\but this one's trouble... response:	What's with you, Old Man Rom?
context: I'm telling you, just give up already!\Sorry, but this is something I cannot give up on.\If you do as I say, I won't hurt you.\I have only one demand. Return my insignia.\It's very important to me.\If she were just another magic user, I wouldn't back down,\but this one's trouble...\What's with you, Old Man Rom? response:	Admitting defeat before we even fight?!
context: Sorry, but this is something I cannot give up on.\If you do as I say, I won't hurt you.\I have only one demand. Return my insignia.\It's very important to me.\If she were just another magic user, I wouldn't back down,\but this one's trouble...\What's with you, Old Man Rom?\Admitting defeat before we even fight?! response:	Young lady, you're an elf, ain't ya?
context: If you do as I say, I won't hurt you.\I have only one demand. Return my insignia.\It's very important to me.\If she were just another magic user, I wouldn't back down,\but this one's trouble...\What's with you, Old Man Rom?\Admitting defeat before we even fight?!\Young lady, you're an elf, ain't ya? response:	Not exactly.
