context: It's so cold, I can't sleep. response:	Maybe I'll drink some warm milk...
context: It's so cold, I can't sleep.\Maybe I'll drink some warm milk... response:	Huh?
context: It's so cold, I can't sleep.\Maybe I'll drink some warm milk...\Huh? response:	There's a nice smell coming from the kitchen...
context: It's so cold, I can't sleep.\Maybe I'll drink some warm milk...\Huh?\There's a nice smell coming from the kitchen... response:	Aki-chan, Aki-chan, Aki-chan, Aki-chan...
context: It's so cold, I can't sleep.\Maybe I'll drink some warm milk...\Huh?\There's a nice smell coming from the kitchen...\Aki-chan, Aki-chan, Aki-chan, Aki-chan... response:	The Place We Longed to Reach
context: It's so cold, I can't sleep.\Maybe I'll drink some warm milk...\Huh?\There's a nice smell coming from the kitchen...\Aki-chan, Aki-chan, Aki-chan, Aki-chan...\The Place We Longed to Reach response:	M-Mayu-chan, what are you making?
context: It's so cold, I can't sleep.\Maybe I'll drink some warm milk...\Huh?\There's a nice smell coming from the kitchen...\Aki-chan, Aki-chan, Aki-chan, Aki-chan...\The Place We Longed to Reach\M-Mayu-chan, what are you making? response:	Hina-chan?
context: It's so cold, I can't sleep.\Maybe I'll drink some warm milk...\Huh?\There's a nice smell coming from the kitchen...\Aki-chan, Aki-chan, Aki-chan, Aki-chan...\The Place We Longed to Reach\M-Mayu-chan, what are you making?\Hina-chan? response:	I'm prepping for tomorrow.
context: Maybe I'll drink some warm milk...\Huh?\There's a nice smell coming from the kitchen...\Aki-chan, Aki-chan, Aki-chan, Aki-chan...\The Place We Longed to Reach\M-Mayu-chan, what are you making?\Hina-chan?\I'm prepping for tomorrow. response:	A-At this hour?
context: Huh?\There's a nice smell coming from the kitchen...\Aki-chan, Aki-chan, Aki-chan, Aki-chan...\The Place We Longed to Reach\M-Mayu-chan, what are you making?\Hina-chan?\I'm prepping for tomorrow.\A-At this hour? response:	Also, you're acting kind of strange.
context: There's a nice smell coming from the kitchen...\Aki-chan, Aki-chan, Aki-chan, Aki-chan...\The Place We Longed to Reach\M-Mayu-chan, what are you making?\Hina-chan?\I'm prepping for tomorrow.\A-At this hour?\Also, you're acting kind of strange. response:	You were muttering the landlady's name...
context: Aki-chan, Aki-chan, Aki-chan, Aki-chan...\The Place We Longed to Reach\M-Mayu-chan, what are you making?\Hina-chan?\I'm prepping for tomorrow.\A-At this hour?\Also, you're acting kind of strange.\You were muttering the landlady's name... response:	I-I was not!
context: The Place We Longed to Reach\M-Mayu-chan, what are you making?\Hina-chan?\I'm prepping for tomorrow.\A-At this hour?\Also, you're acting kind of strange.\You were muttering the landlady's name...\I-I was not! response:	Hina-chan, you must be half-asleep and hearing things!
context: M-Mayu-chan, what are you making?\Hina-chan?\I'm prepping for tomorrow.\A-At this hour?\Also, you're acting kind of strange.\You were muttering the landlady's name...\I-I was not!\Hina-chan, you must be half-asleep and hearing things! response:	Hurry up and get to bed!
context: Hina-chan?\I'm prepping for tomorrow.\A-At this hour?\Also, you're acting kind of strange.\You were muttering the landlady's name...\I-I was not!\Hina-chan, you must be half-asleep and hearing things!\Hurry up and get to bed! response:	Come on, right now! Hurry!
context: I'm prepping for tomorrow.\A-At this hour?\Also, you're acting kind of strange.\You were muttering the landlady's name...\I-I was not!\Hina-chan, you must be half-asleep and hearing things!\Hurry up and get to bed!\Come on, right now! Hurry! response:	Sh-She's hiding something!
context: A-At this hour?\Also, you're acting kind of strange.\You were muttering the landlady's name...\I-I was not!\Hina-chan, you must be half-asleep and hearing things!\Hurry up and get to bed!\Come on, right now! Hurry!\Sh-She's hiding something! response:	I'm suspicious!
context: Also, you're acting kind of strange.\You were muttering the landlady's name...\I-I was not!\Hina-chan, you must be half-asleep and hearing things!\Hurry up and get to bed!\Come on, right now! Hurry!\Sh-She's hiding something!\I'm suspicious! response:	Show me what you're making.
context: You were muttering the landlady's name...\I-I was not!\Hina-chan, you must be half-asleep and hearing things!\Hurry up and get to bed!\Come on, right now! Hurry!\Sh-She's hiding something!\I'm suspicious!\Show me what you're making. response:	Huh?!
context: I-I was not!\Hina-chan, you must be half-asleep and hearing things!\Hurry up and get to bed!\Come on, right now! Hurry!\Sh-She's hiding something!\I'm suspicious!\Show me what you're making.\Huh?! response:	N-No! It's a secret until tomorrow!
context: Hina-chan, you must be half-asleep and hearing things!\Hurry up and get to bed!\Come on, right now! Hurry!\Sh-She's hiding something!\I'm suspicious!\Show me what you're making.\Huh?!\N-No! It's a secret until tomorrow! response:	You can't look! You can't look!
context: Hurry up and get to bed!\Come on, right now! Hurry!\Sh-She's hiding something!\I'm suspicious!\Show me what you're making.\Huh?!\N-No! It's a secret until tomorrow!\You can't look! You can't look! response:	She's so cute, I can't pursue it any further!
context: Come on, right now! Hurry!\Sh-She's hiding something!\I'm suspicious!\Show me what you're making.\Huh?!\N-No! It's a secret until tomorrow!\You can't look! You can't look!\She's so cute, I can't pursue it any further! response:	Huh?
context: Sh-She's hiding something!\I'm suspicious!\Show me what you're making.\Huh?!\N-No! It's a secret until tomorrow!\You can't look! You can't look!\She's so cute, I can't pursue it any further!\Huh? response:	I'll go talk to Kuu-chan!
context: I'm suspicious!\Show me what you're making.\Huh?!\N-No! It's a secret until tomorrow!\You can't look! You can't look!\She's so cute, I can't pursue it any further!\Huh?\I'll go talk to Kuu-chan! response:	Oh, my...
context: Show me what you're making.\Huh?!\N-No! It's a secret until tomorrow!\You can't look! You can't look!\She's so cute, I can't pursue it any further!\Huh?\I'll go talk to Kuu-chan!\Oh, my... response:	Kuu-chan, are you still awake?
context: Huh?!\N-No! It's a secret until tomorrow!\You can't look! You can't look!\She's so cute, I can't pursue it any further!\Huh?\I'll go talk to Kuu-chan!\Oh, my...\Kuu-chan, are you still awake? response:	I sure am.
context: N-No! It's a secret until tomorrow!\You can't look! You can't look!\She's so cute, I can't pursue it any further!\Huh?\I'll go talk to Kuu-chan!\Oh, my...\Kuu-chan, are you still awake?\I sure am. response:	What brings you here at this hour?
context: You can't look! You can't look!\She's so cute, I can't pursue it any further!\Huh?\I'll go talk to Kuu-chan!\Oh, my...\Kuu-chan, are you still awake?\I sure am.\What brings you here at this hour? response:	W-Well, Mayu-chan was muttering the landlady's name
context: She's so cute, I can't pursue it any further!\Huh?\I'll go talk to Kuu-chan!\Oh, my...\Kuu-chan, are you still awake?\I sure am.\What brings you here at this hour?\W-Well, Mayu-chan was muttering the landlady's name response:	while dressed like a witch and stirring a big pot!
context: Huh?\I'll go talk to Kuu-chan!\Oh, my...\Kuu-chan, are you still awake?\I sure am.\What brings you here at this hour?\W-Well, Mayu-chan was muttering the landlady's name\while dressed like a witch and stirring a big pot! response:	C-Calm down! What on Earth happened?!
context: I'll go talk to Kuu-chan!\Oh, my...\Kuu-chan, are you still awake?\I sure am.\What brings you here at this hour?\W-Well, Mayu-chan was muttering the landlady's name\while dressed like a witch and stirring a big pot!\C-Calm down! What on Earth happened?! response:	Mayu-chan was muttering the landlady's name
context: Oh, my...\Kuu-chan, are you still awake?\I sure am.\What brings you here at this hour?\W-Well, Mayu-chan was muttering the landlady's name\while dressed like a witch and stirring a big pot!\C-Calm down! What on Earth happened?!\Mayu-chan was muttering the landlady's name response:	while making something in a big pot!
context: Kuu-chan, are you still awake?\I sure am.\What brings you here at this hour?\W-Well, Mayu-chan was muttering the landlady's name\while dressed like a witch and stirring a big pot!\C-Calm down! What on Earth happened?!\Mayu-chan was muttering the landlady's name\while making something in a big pot! response:	It must have been the kind of creepy potion that witches make!
