context: Miss Nureha! response:	Miss Nureha!
context: Miss Nureha!\Miss Nureha! response:	Londark, anything to report?
context: Miss Nureha!\Miss Nureha!\Londark, anything to report? response:	Nothing so far.
context: Miss Nureha!\Miss Nureha!\Londark, anything to report?\Nothing so far. response:	The princess does what she pleases, anyway.
context: Miss Nureha!\Miss Nureha!\Londark, anything to report?\Nothing so far.\The princess does what she pleases, anyway. response:	Does Mizufa intend to search for her?
context: Miss Nureha!\Miss Nureha!\Londark, anything to report?\Nothing so far.\The princess does what she pleases, anyway.\Does Mizufa intend to search for her? response:	I'll tell you what Mizufa had to say...
context: Miss Nureha!\Miss Nureha!\Londark, anything to report?\Nothing so far.\The princess does what she pleases, anyway.\Does Mizufa intend to search for her?\I'll tell you what Mizufa had to say... response:	We're in the middle of Operation Red Night.
context: Miss Nureha!\Miss Nureha!\Londark, anything to report?\Nothing so far.\The princess does what she pleases, anyway.\Does Mizufa intend to search for her?\I'll tell you what Mizufa had to say...\We're in the middle of Operation Red Night. response:	And if Miss Nureha left of her own free will,
context: Miss Nureha!\Londark, anything to report?\Nothing so far.\The princess does what she pleases, anyway.\Does Mizufa intend to search for her?\I'll tell you what Mizufa had to say...\We're in the middle of Operation Red Night.\And if Miss Nureha left of her own free will, response:	it's none of our business.
context: Londark, anything to report?\Nothing so far.\The princess does what she pleases, anyway.\Does Mizufa intend to search for her?\I'll tell you what Mizufa had to say...\We're in the middle of Operation Red Night.\And if Miss Nureha left of her own free will,\it's none of our business. response:	Is that sarcasm, Londark?
context: Nothing so far.\The princess does what she pleases, anyway.\Does Mizufa intend to search for her?\I'll tell you what Mizufa had to say...\We're in the middle of Operation Red Night.\And if Miss Nureha left of her own free will,\it's none of our business.\Is that sarcasm, Londark? response:	The princess is the leader of Plant Hwyaden!
