context: Hmm... response:	Blanc et Noir.
context: Hmm...\Blanc et Noir. response:	S-So cute!
context: Hmm...\Blanc et Noir.\S-So cute! response:	Newbie!
context: Hmm...\Blanc et Noir.\S-So cute!\Newbie! response:	Rending Gale Blade!
context: Hmm...\Blanc et Noir.\S-So cute!\Newbie!\Rending Gale Blade! response:	Evade, newbie!
context: Hmm...\Blanc et Noir.\S-So cute!\Newbie!\Rending Gale Blade!\Evade, newbie! response:	S-S-S-Snip!
context: Hmm...\Blanc et Noir.\S-So cute!\Newbie!\Rending Gale Blade!\Evade, newbie!\S-S-S-Snip! response:	Sni
context: Hmm...\Blanc et Noir.\S-So cute!\Newbie!\Rending Gale Blade!\Evade, newbie!\S-S-S-Snip!\Sni response:	Petits Ciseaux!
context: Blanc et Noir.\S-So cute!\Newbie!\Rending Gale Blade!\Evade, newbie!\S-S-S-Snip!\Sni\Petits Ciseaux! response:	Balles Pastels!
context: S-So cute!\Newbie!\Rending Gale Blade!\Evade, newbie!\S-S-S-Snip!\Sni\Petits Ciseaux!\Balles Pastels! response:	Storm!
context: Newbie!\Rending Gale Blade!\Evade, newbie!\S-S-S-Snip!\Sni\Petits Ciseaux!\Balles Pastels!\Storm! response:	Snip, snip, snip.
context: Rending Gale Blade!\Evade, newbie!\S-S-S-Snip!\Sni\Petits Ciseaux!\Balles Pastels!\Storm!\Snip, snip, snip. response:	Snippity snip!
context: Evade, newbie!\S-S-S-Snip!\Sni\Petits Ciseaux!\Balles Pastels!\Storm!\Snip, snip, snip.\Snippity snip! response:	Huh? This is how you respond?
context: S-S-S-Snip!\Sni\Petits Ciseaux!\Balles Pastels!\Storm!\Snip, snip, snip.\Snippity snip!\Huh? This is how you respond? response:	This is kind of different.
context: Sni\Petits Ciseaux!\Balles Pastels!\Storm!\Snip, snip, snip.\Snippity snip!\Huh? This is how you respond?\This is kind of different. response:	Maybe it's not what I thought.
context: Petits Ciseaux!\Balles Pastels!\Storm!\Snip, snip, snip.\Snippity snip!\Huh? This is how you respond?\This is kind of different.\Maybe it's not what I thought. response:	Wh-What the...
context: Balles Pastels!\Storm!\Snip, snip, snip.\Snippity snip!\Huh? This is how you respond?\This is kind of different.\Maybe it's not what I thought.\Wh-What the... response:	You idiot!
