context: /** paper motion here response:	Grad ceremony (distant shot)(necessary?)
context: /** paper motion here\Grad ceremony (distant shot)(necessary?) response:	Hey, is there something you didn't tell me regarding
context: /** paper motion here\Grad ceremony (distant shot)(necessary?)\Hey, is there something you didn't tell me regarding response:	this meeting we're having in front of the train station?
context: /** paper motion here\Grad ceremony (distant shot)(necessary?)\Hey, is there something you didn't tell me regarding\this meeting we're having in front of the train station? response:	I don't get it either.
context: /** paper motion here\Grad ceremony (distant shot)(necessary?)\Hey, is there something you didn't tell me regarding\this meeting we're having in front of the train station?\I don't get it either. response:	I know, really.
context: /** paper motion here\Grad ceremony (distant shot)(necessary?)\Hey, is there something you didn't tell me regarding\this meeting we're having in front of the train station?\I don't get it either.\I know, really. response:	I keep imagining different things!
context: /** paper motion here\Grad ceremony (distant shot)(necessary?)\Hey, is there something you didn't tell me regarding\this meeting we're having in front of the train station?\I don't get it either.\I know, really.\I keep imagining different things! response:	Quit thinking about weird stuff.
context: /** paper motion here\Grad ceremony (distant shot)(necessary?)\Hey, is there something you didn't tell me regarding\this meeting we're having in front of the train station?\I don't get it either.\I know, really.\I keep imagining different things!\Quit thinking about weird stuff. response:	Oh, sorry!
context: Grad ceremony (distant shot)(necessary?)\Hey, is there something you didn't tell me regarding\this meeting we're having in front of the train station?\I don't get it either.\I know, really.\I keep imagining different things!\Quit thinking about weird stuff.\Oh, sorry! response:	Oh, it's fine.
context: Hey, is there something you didn't tell me regarding\this meeting we're having in front of the train station?\I don't get it either.\I know, really.\I keep imagining different things!\Quit thinking about weird stuff.\Oh, sorry!\Oh, it's fine. response:	G Good evening!
context: this meeting we're having in front of the train station?\I don't get it either.\I know, really.\I keep imagining different things!\Quit thinking about weird stuff.\Oh, sorry!\Oh, it's fine.\G Good evening! response:	GGood evening!
context: I don't get it either.\I know, really.\I keep imagining different things!\Quit thinking about weird stuff.\Oh, sorry!\Oh, it's fine.\G Good evening!\GGood evening! response:	So, where do you want to go?
context: I know, really.\I keep imagining different things!\Quit thinking about weird stuff.\Oh, sorry!\Oh, it's fine.\G Good evening!\GGood evening!\So, where do you want to go? response:	Today, I'll treat you to anything you like.
context: I keep imagining different things!\Quit thinking about weird stuff.\Oh, sorry!\Oh, it's fine.\G Good evening!\GGood evening!\So, where do you want to go?\Today, I'll treat you to anything you like. response:	We're celebrating the decision of you running in the magazine.
context: Quit thinking about weird stuff.\Oh, sorry!\Oh, it's fine.\G Good evening!\GGood evening!\So, where do you want to go?\Today, I'll treat you to anything you like.\We're celebrating the decision of you running in the magazine. response:	Eh?
context: Oh, sorry!\Oh, it's fine.\G Good evening!\GGood evening!\So, where do you want to go?\Today, I'll treat you to anything you like.\We're celebrating the decision of you running in the magazine.\Eh? response:	For some reason,
context: Oh, it's fine.\G Good evening!\GGood evening!\So, where do you want to go?\Today, I'll treat you to anything you like.\We're celebrating the decision of you running in the magazine.\Eh?\For some reason, response:	when newcomers get their first run in a magazine,
