context: This Scissor Blade was left behind by the person who killed my father! response:	You're going to tell me!
context: This Scissor Blade was left behind by the person who killed my father!\You're going to tell me! response:	Who's the owner of this scissor, Satsuki Kiryuin?!
context: This Scissor Blade was left behind by the person who killed my father!\You're going to tell me!\Who's the owner of this scissor, Satsuki Kiryuin?! response:	You said your name is Ryuko Matoi?
context: This Scissor Blade was left behind by the person who killed my father!\You're going to tell me!\Who's the owner of this scissor, Satsuki Kiryuin?!\You said your name is Ryuko Matoi? response:	You're Isshin Matoi's daughter?
context: This Scissor Blade was left behind by the person who killed my father!\You're going to tell me!\Who's the owner of this scissor, Satsuki Kiryuin?!\You said your name is Ryuko Matoi?\You're Isshin Matoi's daughter? response:	You know who my father is?!
context: This Scissor Blade was left behind by the person who killed my father!\You're going to tell me!\Who's the owner of this scissor, Satsuki Kiryuin?!\You said your name is Ryuko Matoi?\You're Isshin Matoi's daughter?\You know who my father is?! response:	You're bleeding too much, Ryuko.
context: This Scissor Blade was left behind by the person who killed my father!\You're going to tell me!\Who's the owner of this scissor, Satsuki Kiryuin?!\You said your name is Ryuko Matoi?\You're Isshin Matoi's daughter?\You know who my father is?!\You're bleeding too much, Ryuko. response:	I thought you wanted blood.
context: This Scissor Blade was left behind by the person who killed my father!\You're going to tell me!\Who's the owner of this scissor, Satsuki Kiryuin?!\You said your name is Ryuko Matoi?\You're Isshin Matoi's daughter?\You know who my father is?!\You're bleeding too much, Ryuko.\I thought you wanted blood. response:	At this rate of blood loss,
context: You're going to tell me!\Who's the owner of this scissor, Satsuki Kiryuin?!\You said your name is Ryuko Matoi?\You're Isshin Matoi's daughter?\You know who my father is?!\You're bleeding too much, Ryuko.\I thought you wanted blood.\At this rate of blood loss, response:	you will lose consciousness in five minutes.
context: Who's the owner of this scissor, Satsuki Kiryuin?!\You said your name is Ryuko Matoi?\You're Isshin Matoi's daughter?\You know who my father is?!\You're bleeding too much, Ryuko.\I thought you wanted blood.\At this rate of blood loss,\you will lose consciousness in five minutes. response:	Don't sound so calm about it!
context: You said your name is Ryuko Matoi?\You're Isshin Matoi's daughter?\You know who my father is?!\You're bleeding too much, Ryuko.\I thought you wanted blood.\At this rate of blood loss,\you will lose consciousness in five minutes.\Don't sound so calm about it! response:	We'll have a leisurely chat another day, Satsuki Kiryuin!
context: You're Isshin Matoi's daughter?\You know who my father is?!\You're bleeding too much, Ryuko.\I thought you wanted blood.\At this rate of blood loss,\you will lose consciousness in five minutes.\Don't sound so calm about it!\We'll have a leisurely chat another day, Satsuki Kiryuin! response:	Don't let her escape! After her! After her!
context: You know who my father is?!\You're bleeding too much, Ryuko.\I thought you wanted blood.\At this rate of blood loss,\you will lose consciousness in five minutes.\Don't sound so calm about it!\We'll have a leisurely chat another day, Satsuki Kiryuin!\Don't let her escape! After her! After her! response:	Don't bother.
context: You're bleeding too much, Ryuko.\I thought you wanted blood.\At this rate of blood loss,\you will lose consciousness in five minutes.\Don't sound so calm about it!\We'll have a leisurely chat another day, Satsuki Kiryuin!\Don't let her escape! After her! After her!\Don't bother. response:	B-But milady!
