context: We're unstoppable! response:	It's because we're Fairy Tail, see?!
context: We're unstoppable!\It's because we're Fairy Tail, see?! response:	I need to think a bit-kabo...
context: We're unstoppable!\It's because we're Fairy Tail, see?!\I need to think a bit-kabo... response:	Alexei-sama...
context: We're unstoppable!\It's because we're Fairy Tail, see?!\I need to think a bit-kabo...\Alexei-sama... response:	Here's the list of battle matches...
context: We're unstoppable!\It's because we're Fairy Tail, see?!\I need to think a bit-kabo...\Alexei-sama...\Here's the list of battle matches... response:	This match-up...
context: We're unstoppable!\It's because we're Fairy Tail, see?!\I need to think a bit-kabo...\Alexei-sama...\Here's the list of battle matches...\This match-up... response:	The management is well-informed.
context: We're unstoppable!\It's because we're Fairy Tail, see?!\I need to think a bit-kabo...\Alexei-sama...\Here's the list of battle matches...\This match-up...\The management is well-informed. response:	Shall we begin?
context: We're unstoppable!\It's because we're Fairy Tail, see?!\I need to think a bit-kabo...\Alexei-sama...\Here's the list of battle matches...\This match-up...\The management is well-informed.\Shall we begin? response:	For the sake of our true purpose...
context: It's because we're Fairy Tail, see?!\I need to think a bit-kabo...\Alexei-sama...\Here's the list of battle matches...\This match-up...\The management is well-informed.\Shall we begin?\For the sake of our true purpose... response:	And now, I'll announce
context: I need to think a bit-kabo...\Alexei-sama...\Here's the list of battle matches...\This match-up...\The management is well-informed.\Shall we begin?\For the sake of our true purpose...\And now, I'll announce response:	the current standings of the third day of the Grand Magic Games!
context: Alexei-sama...\Here's the list of battle matches...\This match-up...\The management is well-informed.\Shall we begin?\For the sake of our true purpose...\And now, I'll announce\the current standings of the third day of the Grand Magic Games! response:	As before, Raven Tail is in first place!
context: Here's the list of battle matches...\This match-up...\The management is well-informed.\Shall we begin?\For the sake of our true purpose...\And now, I'll announce\the current standings of the third day of the Grand Magic Games!\As before, Raven Tail is in first place! response:	The time has come at last...
