context: Japan... response:	So peaceful, I think I might yawn.
context: Japan...\So peaceful, I think I might yawn. response:	I've come to see you...
context: Japan...\So peaceful, I think I might yawn.\I've come to see you... response:	Black Tiger.
context: Japan...\So peaceful, I think I might yawn.\I've come to see you...\Black Tiger. response:	This time for sure, I'm going to...
context: Japan...\So peaceful, I think I might yawn.\I've come to see you...\Black Tiger.\This time for sure, I'm going to... response:	Fate
context: Japan...\So peaceful, I think I might yawn.\I've come to see you...\Black Tiger.\This time for sure, I'm going to...\Fate response:	Hey! Tsugumi!
context: Japan...\So peaceful, I think I might yawn.\I've come to see you...\Black Tiger.\This time for sure, I'm going to...\Fate\Hey! Tsugumi! response:	What's up? You need me for something?
context: Japan...\So peaceful, I think I might yawn.\I've come to see you...\Black Tiger.\This time for sure, I'm going to...\Fate\Hey! Tsugumi!\What's up? You need me for something? response:	Well, it's Honey.
context: So peaceful, I think I might yawn.\I've come to see you...\Black Tiger.\This time for sure, I'm going to...\Fate\Hey! Tsugumi!\What's up? You need me for something?\Well, it's Honey. response:	She says you can go home without her today.
context: I've come to see you...\Black Tiger.\This time for sure, I'm going to...\Fate\Hey! Tsugumi!\What's up? You need me for something?\Well, it's Honey.\She says you can go home without her today. response:	She forgot her homework, and they're making her do it over now.
context: Black Tiger.\This time for sure, I'm going to...\Fate\Hey! Tsugumi!\What's up? You need me for something?\Well, it's Honey.\She says you can go home without her today.\She forgot her homework, and they're making her do it over now. response:	In that case, I guess I'll hand off my guard duty to Mr. Claude.
context: This time for sure, I'm going to...\Fate\Hey! Tsugumi!\What's up? You need me for something?\Well, it's Honey.\She says you can go home without her today.\She forgot her homework, and they're making her do it over now.\In that case, I guess I'll hand off my guard duty to Mr. Claude. response:	Oh, one more thing, Tsugumi.
context: Fate\Hey! Tsugumi!\What's up? You need me for something?\Well, it's Honey.\She says you can go home without her today.\She forgot her homework, and they're making her do it over now.\In that case, I guess I'll hand off my guard duty to Mr. Claude.\Oh, one more thing, Tsugumi. response:	About today's pop quiz...
context: Hey! Tsugumi!\What's up? You need me for something?\Well, it's Honey.\She says you can go home without her today.\She forgot her homework, and they're making her do it over now.\In that case, I guess I'll hand off my guard duty to Mr. Claude.\Oh, one more thing, Tsugumi.\About today's pop quiz... response:	the parts you helped me out with came up. I really owe you one.
context: What's up? You need me for something?\Well, it's Honey.\She says you can go home without her today.\She forgot her homework, and they're making her do it over now.\In that case, I guess I'll hand off my guard duty to Mr. Claude.\Oh, one more thing, Tsugumi.\About today's pop quiz...\the parts you helped me out with came up. I really owe you one. response:	Thanks, man.
context: Well, it's Honey.\She says you can go home without her today.\She forgot her homework, and they're making her do it over now.\In that case, I guess I'll hand off my guard duty to Mr. Claude.\Oh, one more thing, Tsugumi.\About today's pop quiz...\the parts you helped me out with came up. I really owe you one.\Thanks, man. response:	B-Being thanked for such a trivial matter as that b-b-brings me no joy!
context: She says you can go home without her today.\She forgot her homework, and they're making her do it over now.\In that case, I guess I'll hand off my guard duty to Mr. Claude.\Oh, one more thing, Tsugumi.\About today's pop quiz...\the parts you helped me out with came up. I really owe you one.\Thanks, man.\B-Being thanked for such a trivial matter as that b-b-brings me no joy! response:	That was just a matter of your feeblemindedness, no more.
