context: Half-demon Inuyasha covets the power of the Sacred Jewel. response:	He was able to take possession of Tetsusaiga, his father's sword...
context: Half-demon Inuyasha covets the power of the Sacred Jewel.\He was able to take possession of Tetsusaiga, his father's sword... response:	and defeat Sesshomaru in battle.
context: Half-demon Inuyasha covets the power of the Sacred Jewel.\He was able to take possession of Tetsusaiga, his father's sword...\and defeat Sesshomaru in battle. response:	But this only makes him more determined...
context: Half-demon Inuyasha covets the power of the Sacred Jewel.\He was able to take possession of Tetsusaiga, his father's sword...\and defeat Sesshomaru in battle.\But this only makes him more determined... response:	to become a full-fledged demon.
context: Half-demon Inuyasha covets the power of the Sacred Jewel.\He was able to take possession of Tetsusaiga, his father's sword...\and defeat Sesshomaru in battle.\But this only makes him more determined...\to become a full-fledged demon. response:	Priestess Kaede warns me to make sure that...
context: Half-demon Inuyasha covets the power of the Sacred Jewel.\He was able to take possession of Tetsusaiga, his father's sword...\and defeat Sesshomaru in battle.\But this only makes him more determined...\to become a full-fledged demon.\Priestess Kaede warns me to make sure that... response:	Inuyasha doesn't find all the fragments and disappear.
context: Half-demon Inuyasha covets the power of the Sacred Jewel.\He was able to take possession of Tetsusaiga, his father's sword...\and defeat Sesshomaru in battle.\But this only makes him more determined...\to become a full-fledged demon.\Priestess Kaede warns me to make sure that...\Inuyasha doesn't find all the fragments and disappear. response:	Not to worry!
context: Half-demon Inuyasha covets the power of the Sacred Jewel.\He was able to take possession of Tetsusaiga, his father's sword...\and defeat Sesshomaru in battle.\But this only makes him more determined...\to become a full-fledged demon.\Priestess Kaede warns me to make sure that...\Inuyasha doesn't find all the fragments and disappear.\Not to worry! response:	Inuyasha may have Tetsusaiga...
context: He was able to take possession of Tetsusaiga, his father's sword...\and defeat Sesshomaru in battle.\But this only makes him more determined...\to become a full-fledged demon.\Priestess Kaede warns me to make sure that...\Inuyasha doesn't find all the fragments and disappear.\Not to worry!\Inuyasha may have Tetsusaiga... response:	but I also have a potent weapon.
context: and defeat Sesshomaru in battle.\But this only makes him more determined...\to become a full-fledged demon.\Priestess Kaede warns me to make sure that...\Inuyasha doesn't find all the fragments and disappear.\Not to worry!\Inuyasha may have Tetsusaiga...\but I also have a potent weapon. response:	Inuyasha, sit!
context: But this only makes him more determined...\to become a full-fledged demon.\Priestess Kaede warns me to make sure that...\Inuyasha doesn't find all the fragments and disappear.\Not to worry!\Inuyasha may have Tetsusaiga...\but I also have a potent weapon.\Inuyasha, sit! response:	Oh, this feels so good!
context: to become a full-fledged demon.\Priestess Kaede warns me to make sure that...\Inuyasha doesn't find all the fragments and disappear.\Not to worry!\Inuyasha may have Tetsusaiga...\but I also have a potent weapon.\Inuyasha, sit!\Oh, this feels so good! response:	Sparkling clear water and clean, fresh air!
context: Priestess Kaede warns me to make sure that...\Inuyasha doesn't find all the fragments and disappear.\Not to worry!\Inuyasha may have Tetsusaiga...\but I also have a potent weapon.\Inuyasha, sit!\Oh, this feels so good!\Sparkling clear water and clean, fresh air! response:	There's something to be said about this age, after all!
