context: Act 11 The Adventure of the Pistol Daimyo Bullet Counting Song response:	Stop! Stop!
context: Act 11 The Adventure of the Pistol Daimyo Bullet Counting Song\Stop! Stop! response:	What is going on?! Who do these carriages belong to?!
context: Act 11 The Adventure of the Pistol Daimyo Bullet Counting Song\Stop! Stop!\What is going on?! Who do these carriages belong to?! response:	They belong to the powerful Count Saint-Germi.
context: Act 11 The Adventure of the Pistol Daimyo Bullet Counting Song\Stop! Stop!\What is going on?! Who do these carriages belong to?!\They belong to the powerful Count Saint-Germi. response:	Can you not tell from the banner?
context: Act 11 The Adventure of the Pistol Daimyo Bullet Counting Song\Stop! Stop!\What is going on?! Who do these carriages belong to?!\They belong to the powerful Count Saint-Germi.\Can you not tell from the banner? response:	Whom do you think you are telling to stop?!
context: Act 11 The Adventure of the Pistol Daimyo Bullet Counting Song\Stop! Stop!\What is going on?! Who do these carriages belong to?!\They belong to the powerful Count Saint-Germi.\Can you not tell from the banner?\Whom do you think you are telling to stop?! response:	What is your name?
context: Act 11 The Adventure of the Pistol Daimyo Bullet Counting Song\Stop! Stop!\What is going on?! Who do these carriages belong to?!\They belong to the powerful Count Saint-Germi.\Can you not tell from the banner?\Whom do you think you are telling to stop?!\What is your name? response:	Huh?
context: Act 11 The Adventure of the Pistol Daimyo Bullet Counting Song\Stop! Stop!\What is going on?! Who do these carriages belong to?!\They belong to the powerful Count Saint-Germi.\Can you not tell from the banner?\Whom do you think you are telling to stop?!\What is your name?\Huh? response:	You dare stop lord Saint-Germi's carriage.
context: Stop! Stop!\What is going on?! Who do these carriages belong to?!\They belong to the powerful Count Saint-Germi.\Can you not tell from the banner?\Whom do you think you are telling to stop?!\What is your name?\Huh?\You dare stop lord Saint-Germi's carriage. response:	You'll certainly be sent to the front lines tomorrow.
context: What is going on?! Who do these carriages belong to?!\They belong to the powerful Count Saint-Germi.\Can you not tell from the banner?\Whom do you think you are telling to stop?!\What is your name?\Huh?\You dare stop lord Saint-Germi's carriage.\You'll certainly be sent to the front lines tomorrow. response:	Tell me your name.
context: They belong to the powerful Count Saint-Germi.\Can you not tell from the banner?\Whom do you think you are telling to stop?!\What is your name?\Huh?\You dare stop lord Saint-Germi's carriage.\You'll certainly be sent to the front lines tomorrow.\Tell me your name. response:	P-Please continue on.
context: Can you not tell from the banner?\Whom do you think you are telling to stop?!\What is your name?\Huh?\You dare stop lord Saint-Germi's carriage.\You'll certainly be sent to the front lines tomorrow.\Tell me your name.\P-Please continue on. response:	That's right. Lord Saint-Germi can no longer sit back and watch this war unfold;
context: Whom do you think you are telling to stop?!\What is your name?\Huh?\You dare stop lord Saint-Germi's carriage.\You'll certainly be sent to the front lines tomorrow.\Tell me your name.\P-Please continue on.\That's right. Lord Saint-Germi can no longer sit back and watch this war unfold; response:	therefore, her highness will join the war.
context: What is your name?\Huh?\You dare stop lord Saint-Germi's carriage.\You'll certainly be sent to the front lines tomorrow.\Tell me your name.\P-Please continue on.\That's right. Lord Saint-Germi can no longer sit back and watch this war unfold;\therefore, her highness will join the war. response:	Many more carriages will be following us.
context: Huh?\You dare stop lord Saint-Germi's carriage.\You'll certainly be sent to the front lines tomorrow.\Tell me your name.\P-Please continue on.\That's right. Lord Saint-Germi can no longer sit back and watch this war unfold;\therefore, her highness will join the war.\Many more carriages will be following us. response:	She will save Orte.
context: You dare stop lord Saint-Germi's carriage.\You'll certainly be sent to the front lines tomorrow.\Tell me your name.\P-Please continue on.\That's right. Lord Saint-Germi can no longer sit back and watch this war unfold;\therefore, her highness will join the war.\Many more carriages will be following us.\She will save Orte. response:	Ah... It's about time...
context: You'll certainly be sent to the front lines tomorrow.\Tell me your name.\P-Please continue on.\That's right. Lord Saint-Germi can no longer sit back and watch this war unfold;\therefore, her highness will join the war.\Many more carriages will be following us.\She will save Orte.\Ah... It's about time... response:	Open the gate. Hurry!
context: Tell me your name.\P-Please continue on.\That's right. Lord Saint-Germi can no longer sit back and watch this war unfold;\therefore, her highness will join the war.\Many more carriages will be following us.\She will save Orte.\Ah... It's about time...\Open the gate. Hurry! response:	Join the war... Not a single thing was false.
context: P-Please continue on.\That's right. Lord Saint-Germi can no longer sit back and watch this war unfold;\therefore, her highness will join the war.\Many more carriages will be following us.\She will save Orte.\Ah... It's about time...\Open the gate. Hurry!\Join the war... Not a single thing was false. response:	However, we won't be on their side.
context: That's right. Lord Saint-Germi can no longer sit back and watch this war unfold;\therefore, her highness will join the war.\Many more carriages will be following us.\She will save Orte.\Ah... It's about time...\Open the gate. Hurry!\Join the war... Not a single thing was false.\However, we won't be on their side. response:	So, this is the capital of Orte, Verlina.
context: therefore, her highness will join the war.\Many more carriages will be following us.\She will save Orte.\Ah... It's about time...\Open the gate. Hurry!\Join the war... Not a single thing was false.\However, we won't be on their side.\So, this is the capital of Orte, Verlina. response:	We'll have to make this place our capital.
context: Many more carriages will be following us.\She will save Orte.\Ah... It's about time...\Open the gate. Hurry!\Join the war... Not a single thing was false.\However, we won't be on their side.\So, this is the capital of Orte, Verlina.\We'll have to make this place our capital. response:	It's pathetic to see a country like this fall from grace so miserably.
context: She will save Orte.\Ah... It's about time...\Open the gate. Hurry!\Join the war... Not a single thing was false.\However, we won't be on their side.\So, this is the capital of Orte, Verlina.\We'll have to make this place our capital.\It's pathetic to see a country like this fall from grace so miserably. response:	It should just be burned away quickly.
context: Ah... It's about time...\Open the gate. Hurry!\Join the war... Not a single thing was false.\However, we won't be on their side.\So, this is the capital of Orte, Verlina.\We'll have to make this place our capital.\It's pathetic to see a country like this fall from grace so miserably.\It should just be burned away quickly. response:	It's true. It would be a pity not to put an end to its suffering.
context: Open the gate. Hurry!\Join the war... Not a single thing was false.\However, we won't be on their side.\So, this is the capital of Orte, Verlina.\We'll have to make this place our capital.\It's pathetic to see a country like this fall from grace so miserably.\It should just be burned away quickly.\It's true. It would be a pity not to put an end to its suffering. response:	Coup d'etat?
context: Join the war... Not a single thing was false.\However, we won't be on their side.\So, this is the capital of Orte, Verlina.\We'll have to make this place our capital.\It's pathetic to see a country like this fall from grace so miserably.\It should just be burned away quickly.\It's true. It would be a pity not to put an end to its suffering.\Coup d'etat? response:	What is coup d'etat?
context: However, we won't be on their side.\So, this is the capital of Orte, Verlina.\We'll have to make this place our capital.\It's pathetic to see a country like this fall from grace so miserably.\It should just be burned away quickly.\It's true. It would be a pity not to put an end to its suffering.\Coup d'etat?\What is coup d'etat? response:	Is it some sort of food for southern barbarians?
context: So, this is the capital of Orte, Verlina.\We'll have to make this place our capital.\It's pathetic to see a country like this fall from grace so miserably.\It should just be burned away quickly.\It's true. It would be a pity not to put an end to its suffering.\Coup d'etat?\What is coup d'etat?\Is it some sort of food for southern barbarians? response:	It's a coup.
