context: Do you feel better now? response:	I do! Thank you!
context: Do you feel better now?\I do! Thank you! response:	Mikono!
context: Do you feel better now?\I do! Thank you!\Mikono! response:	Mikono's on the tower!
context: Do you feel better now?\I do! Thank you!\Mikono!\Mikono's on the tower! response:	Mikono!
context: Do you feel better now?\I do! Thank you!\Mikono!\Mikono's on the tower!\Mikono! response:	Calling all Elements.
context: Do you feel better now?\I do! Thank you!\Mikono!\Mikono's on the tower!\Mikono!\Calling all Elements. response:	Abductors detected in the Neo-Kowloon area.
context: Do you feel better now?\I do! Thank you!\Mikono!\Mikono's on the tower!\Mikono!\Calling all Elements.\Abductors detected in the Neo-Kowloon area. response:	Training has been suspended.
context: Do you feel better now?\I do! Thank you!\Mikono!\Mikono's on the tower!\Mikono!\Calling all Elements.\Abductors detected in the Neo-Kowloon area.\Training has been suspended. response:	Cayenne, Zessica, and Andy, please return to the Academy immediately.
context: I do! Thank you!\Mikono!\Mikono's on the tower!\Mikono!\Calling all Elements.\Abductors detected in the Neo-Kowloon area.\Training has been suspended.\Cayenne, Zessica, and Andy, please return to the Academy immediately. response:	I'll take care of it for you, my friend.
context: Mikono!\Mikono's on the tower!\Mikono!\Calling all Elements.\Abductors detected in the Neo-Kowloon area.\Training has been suspended.\Cayenne, Zessica, and Andy, please return to the Academy immediately.\I'll take care of it for you, my friend. response:	Head back to the Academy.
context: Mikono's on the tower!\Mikono!\Calling all Elements.\Abductors detected in the Neo-Kowloon area.\Training has been suspended.\Cayenne, Zessica, and Andy, please return to the Academy immediately.\I'll take care of it for you, my friend.\Head back to the Academy. response:	You too, Sazanka.
context: Mikono!\Calling all Elements.\Abductors detected in the Neo-Kowloon area.\Training has been suspended.\Cayenne, Zessica, and Andy, please return to the Academy immediately.\I'll take care of it for you, my friend.\Head back to the Academy.\You too, Sazanka. response:	But Mikono is in danger!
context: Calling all Elements.\Abductors detected in the Neo-Kowloon area.\Training has been suspended.\Cayenne, Zessica, and Andy, please return to the Academy immediately.\I'll take care of it for you, my friend.\Head back to the Academy.\You too, Sazanka.\But Mikono is in danger! response:	Do you think your sister is more important than your duty as an Element?
context: Abductors detected in the Neo-Kowloon area.\Training has been suspended.\Cayenne, Zessica, and Andy, please return to the Academy immediately.\I'll take care of it for you, my friend.\Head back to the Academy.\You too, Sazanka.\But Mikono is in danger!\Do you think your sister is more important than your duty as an Element? response:	Hey, wait for me!
context: Training has been suspended.\Cayenne, Zessica, and Andy, please return to the Academy immediately.\I'll take care of it for you, my friend.\Head back to the Academy.\You too, Sazanka.\But Mikono is in danger!\Do you think your sister is more important than your duty as an Element?\Hey, wait for me! response:	You go well together.
context: Cayenne, Zessica, and Andy, please return to the Academy immediately.\I'll take care of it for you, my friend.\Head back to the Academy.\You too, Sazanka.\But Mikono is in danger!\Do you think your sister is more important than your duty as an Element?\Hey, wait for me!\You go well together. response:	Your Union will be the greatest and most beautiful of all.
context: I'll take care of it for you, my friend.\Head back to the Academy.\You too, Sazanka.\But Mikono is in danger!\Do you think your sister is more important than your duty as an Element?\Hey, wait for me!\You go well together.\Your Union will be the greatest and most beautiful of all. response:	If only I could give it to you.
context: Head back to the Academy.\You too, Sazanka.\But Mikono is in danger!\Do you think your sister is more important than your duty as an Element?\Hey, wait for me!\You go well together.\Your Union will be the greatest and most beautiful of all.\If only I could give it to you. response:	Found you.
context: You too, Sazanka.\But Mikono is in danger!\Do you think your sister is more important than your duty as an Element?\Hey, wait for me!\You go well together.\Your Union will be the greatest and most beautiful of all.\If only I could give it to you.\Found you. response:	You stink.
context: But Mikono is in danger!\Do you think your sister is more important than your duty as an Element?\Hey, wait for me!\You go well together.\Your Union will be the greatest and most beautiful of all.\If only I could give it to you.\Found you.\You stink. response:	You stink deliciously.
context: Do you think your sister is more important than your duty as an Element?\Hey, wait for me!\You go well together.\Your Union will be the greatest and most beautiful of all.\If only I could give it to you.\Found you.\You stink.\You stink deliciously. response:	Mikono!
context: Hey, wait for me!\You go well together.\Your Union will be the greatest and most beautiful of all.\If only I could give it to you.\Found you.\You stink.\You stink deliciously.\Mikono! response:	This is...
context: You go well together.\Your Union will be the greatest and most beautiful of all.\If only I could give it to you.\Found you.\You stink.\You stink deliciously.\Mikono!\This is... response:	It's not love.
context: Your Union will be the greatest and most beautiful of all.\If only I could give it to you.\Found you.\You stink.\You stink deliciously.\Mikono!\This is...\It's not love. response:	This is...
context: If only I could give it to you.\Found you.\You stink.\You stink deliciously.\Mikono!\This is...\It's not love.\This is... response:	a forbidden meeting.
context: Found you.\You stink.\You stink deliciously.\Mikono!\This is...\It's not love.\This is...\a forbidden meeting. response:	Mikono!
context: You stink.\You stink deliciously.\Mikono!\This is...\It's not love.\This is...\a forbidden meeting.\Mikono! response:	What a delicate little thing.
context: You stink deliciously.\Mikono!\This is...\It's not love.\This is...\a forbidden meeting.\Mikono!\What a delicate little thing. response:	Let Mikono go!
context: Mikono!\This is...\It's not love.\This is...\a forbidden meeting.\Mikono!\What a delicate little thing.\Let Mikono go! response:	Where's your smell?
context: This is...\It's not love.\This is...\a forbidden meeting.\Mikono!\What a delicate little thing.\Let Mikono go!\Where's your smell? response:	You don't. You don't smell at all.
context: It's not love.\This is...\a forbidden meeting.\Mikono!\What a delicate little thing.\Let Mikono go!\Where's your smell?\You don't. You don't smell at all. response:	Why the hell don't you have a smell?
context: This is...\a forbidden meeting.\Mikono!\What a delicate little thing.\Let Mikono go!\Where's your smell?\You don't. You don't smell at all.\Why the hell don't you have a smell? response:	Hey.
context: a forbidden meeting.\Mikono!\What a delicate little thing.\Let Mikono go!\Where's your smell?\You don't. You don't smell at all.\Why the hell don't you have a smell?\Hey. response:	Mind if I kill you?
context: Mikono!\What a delicate little thing.\Let Mikono go!\Where's your smell?\You don't. You don't smell at all.\Why the hell don't you have a smell?\Hey.\Mind if I kill you? response:	I'd really prefer you didn't...
context: What a delicate little thing.\Let Mikono go!\Where's your smell?\You don't. You don't smell at all.\Why the hell don't you have a smell?\Hey.\Mind if I kill you?\I'd really prefer you didn't... response:	Huh.
context: Let Mikono go!\Where's your smell?\You don't. You don't smell at all.\Why the hell don't you have a smell?\Hey.\Mind if I kill you?\I'd really prefer you didn't...\Huh. response:	Wait!
context: Where's your smell?\You don't. You don't smell at all.\Why the hell don't you have a smell?\Hey.\Mind if I kill you?\I'd really prefer you didn't...\Huh.\Wait! response:	Buzz off.
context: You don't. You don't smell at all.\Why the hell don't you have a smell?\Hey.\Mind if I kill you?\I'd really prefer you didn't...\Huh.\Wait!\Buzz off. response:	This is my wench.
context: Why the hell don't you have a smell?\Hey.\Mind if I kill you?\I'd really prefer you didn't...\Huh.\Wait!\Buzz off.\This is my wench. response:	No...
context: Hey.\Mind if I kill you?\I'd really prefer you didn't...\Huh.\Wait!\Buzz off.\This is my wench.\No... response:	I won't let you...
context: Mind if I kill you?\I'd really prefer you didn't...\Huh.\Wait!\Buzz off.\This is my wench.\No...\I won't let you... response:	I won't let you have Mikono!
context: I'd really prefer you didn't...\Huh.\Wait!\Buzz off.\This is my wench.\No...\I won't let you...\I won't let you have Mikono! response:	Asshole!
context: Huh.\Wait!\Buzz off.\This is my wench.\No...\I won't let you...\I won't let you have Mikono!\Asshole! response:	His wings!
context: Wait!\Buzz off.\This is my wench.\No...\I won't let you...\I won't let you have Mikono!\Asshole!\His wings! response:	What the hell's that noise?
context: Buzz off.\This is my wench.\No...\I won't let you...\I won't let you have Mikono!\Asshole!\His wings!\What the hell's that noise? response:	Kagura has gone to Vega again.
context: This is my wench.\No...\I won't let you...\I won't let you have Mikono!\Asshole!\His wings!\What the hell's that noise?\Kagura has gone to Vega again. response:	Who opened the gate for him?
context: No...\I won't let you...\I won't let you have Mikono!\Asshole!\His wings!\What the hell's that noise?\Kagura has gone to Vega again.\Who opened the gate for him? response:	Kagura's Gnis was supposed to be locked out.
context: I won't let you...\I won't let you have Mikono!\Asshole!\His wings!\What the hell's that noise?\Kagura has gone to Vega again.\Who opened the gate for him?\Kagura's Gnis was supposed to be locked out. response:	It's been a long time, Izumo.
context: I won't let you have Mikono!\Asshole!\His wings!\What the hell's that noise?\Kagura has gone to Vega again.\Who opened the gate for him?\Kagura's Gnis was supposed to be locked out.\It's been a long time, Izumo. response:	You've grown up, Jin.
context: Asshole!\His wings!\What the hell's that noise?\Kagura has gone to Vega again.\Who opened the gate for him?\Kagura's Gnis was supposed to be locked out.\It's been a long time, Izumo.\You've grown up, Jin. response:	Mikage!
context: His wings!\What the hell's that noise?\Kagura has gone to Vega again.\Who opened the gate for him?\Kagura's Gnis was supposed to be locked out.\It's been a long time, Izumo.\You've grown up, Jin.\Mikage! response:	I had a feeling you were behind this.
context: What the hell's that noise?\Kagura has gone to Vega again.\Who opened the gate for him?\Kagura's Gnis was supposed to be locked out.\It's been a long time, Izumo.\You've grown up, Jin.\Mikage!\I had a feeling you were behind this. response:	When did you awaken?
context: Kagura has gone to Vega again.\Who opened the gate for him?\Kagura's Gnis was supposed to be locked out.\It's been a long time, Izumo.\You've grown up, Jin.\Mikage!\I had a feeling you were behind this.\When did you awaken? response:	When?
context: Who opened the gate for him?\Kagura's Gnis was supposed to be locked out.\It's been a long time, Izumo.\You've grown up, Jin.\Mikage!\I had a feeling you were behind this.\When did you awaken?\When? response:	I was awakened by a kiss.
context: Kagura's Gnis was supposed to be locked out.\It's been a long time, Izumo.\You've grown up, Jin.\Mikage!\I had a feeling you were behind this.\When did you awaken?\When?\I was awakened by a kiss. response:	From the Machine Angel's forbidden power.
context: It's been a long time, Izumo.\You've grown up, Jin.\Mikage!\I had a feeling you were behind this.\When did you awaken?\When?\I was awakened by a kiss.\From the Machine Angel's forbidden power. response:	Why did you help Kagura?
context: You've grown up, Jin.\Mikage!\I had a feeling you were behind this.\When did you awaken?\When?\I was awakened by a kiss.\From the Machine Angel's forbidden power.\Why did you help Kagura? response:	I merely saw him off.
context: Mikage!\I had a feeling you were behind this.\When did you awaken?\When?\I was awakened by a kiss.\From the Machine Angel's forbidden power.\Why did you help Kagura?\I merely saw him off. response:	The chosen one, blazing a trail into a new world of love.
context: I had a feeling you were behind this.\When did you awaken?\When?\I was awakened by a kiss.\From the Machine Angel's forbidden power.\Why did you help Kagura?\I merely saw him off.\The chosen one, blazing a trail into a new world of love. response:	New world of love?
context: When did you awaken?\When?\I was awakened by a kiss.\From the Machine Angel's forbidden power.\Why did you help Kagura?\I merely saw him off.\The chosen one, blazing a trail into a new world of love.\New world of love? response:	The Machine Angel unleashed its forbidden powers.
context: When?\I was awakened by a kiss.\From the Machine Angel's forbidden power.\Why did you help Kagura?\I merely saw him off.\The chosen one, blazing a trail into a new world of love.\New world of love?\The Machine Angel unleashed its forbidden powers. response:	And so, the Rare Igura within it is guiding Kagura.
context: I was awakened by a kiss.\From the Machine Angel's forbidden power.\Why did you help Kagura?\I merely saw him off.\The chosen one, blazing a trail into a new world of love.\New world of love?\The Machine Angel unleashed its forbidden powers.\And so, the Rare Igura within it is guiding Kagura. response:	Aren't you a little curious about the Rare Igura he follows so doggedly?
context: From the Machine Angel's forbidden power.\Why did you help Kagura?\I merely saw him off.\The chosen one, blazing a trail into a new world of love.\New world of love?\The Machine Angel unleashed its forbidden powers.\And so, the Rare Igura within it is guiding Kagura.\Aren't you a little curious about the Rare Igura he follows so doggedly? response:	One that can leash the Machine Angel, at that.
context: Why did you help Kagura?\I merely saw him off.\The chosen one, blazing a trail into a new world of love.\New world of love?\The Machine Angel unleashed its forbidden powers.\And so, the Rare Igura within it is guiding Kagura.\Aren't you a little curious about the Rare Igura he follows so doggedly?\One that can leash the Machine Angel, at that. response:	She may be the true Eve for us of Altair.
context: I merely saw him off.\The chosen one, blazing a trail into a new world of love.\New world of love?\The Machine Angel unleashed its forbidden powers.\And so, the Rare Igura within it is guiding Kagura.\Aren't you a little curious about the Rare Igura he follows so doggedly?\One that can leash the Machine Angel, at that.\She may be the true Eve for us of Altair. response:	Continue the reconnaissance of Vega.
context: The chosen one, blazing a trail into a new world of love.\New world of love?\The Machine Angel unleashed its forbidden powers.\And so, the Rare Igura within it is guiding Kagura.\Aren't you a little curious about the Rare Igura he follows so doggedly?\One that can leash the Machine Angel, at that.\She may be the true Eve for us of Altair.\Continue the reconnaissance of Vega. response:	If another irregularity occurs, take back the Mithra Gnis by force.
context: New world of love?\The Machine Angel unleashed its forbidden powers.\And so, the Rare Igura within it is guiding Kagura.\Aren't you a little curious about the Rare Igura he follows so doggedly?\One that can leash the Machine Angel, at that.\She may be the true Eve for us of Altair.\Continue the reconnaissance of Vega.\If another irregularity occurs, take back the Mithra Gnis by force. response:	Yes, sir.
context: The Machine Angel unleashed its forbidden powers.\And so, the Rare Igura within it is guiding Kagura.\Aren't you a little curious about the Rare Igura he follows so doggedly?\One that can leash the Machine Angel, at that.\She may be the true Eve for us of Altair.\Continue the reconnaissance of Vega.\If another irregularity occurs, take back the Mithra Gnis by force.\Yes, sir. response:	Alisia...
context: And so, the Rare Igura within it is guiding Kagura.\Aren't you a little curious about the Rare Igura he follows so doggedly?\One that can leash the Machine Angel, at that.\She may be the true Eve for us of Altair.\Continue the reconnaissance of Vega.\If another irregularity occurs, take back the Mithra Gnis by force.\Yes, sir.\Alisia... response:	Hey, mind if I kill you?
