context: This power... It's just like Father's! response:	Cuckoo Clock!
context: This power... It's just like Father's!\Cuckoo Clock! response:	My, my...
context: This power... It's just like Father's!\Cuckoo Clock!\My, my... response:	What a handful you are, my little brother.
context: This power... It's just like Father's!\Cuckoo Clock!\My, my...\What a handful you are, my little brother. response:	What's going on?
context: This power... It's just like Father's!\Cuckoo Clock!\My, my...\What a handful you are, my little brother.\What's going on? response:	Those flames are blue...
context: This power... It's just like Father's!\Cuckoo Clock!\My, my...\What a handful you are, my little brother.\What's going on?\Those flames are blue... response:	He couldn't have...
context: This power... It's just like Father's!\Cuckoo Clock!\My, my...\What a handful you are, my little brother.\What's going on?\Those flames are blue...\He couldn't have... response:	Rin...
context: This power... It's just like Father's!\Cuckoo Clock!\My, my...\What a handful you are, my little brother.\What's going on?\Those flames are blue...\He couldn't have...\Rin... response:	He's more powerful than I imagined.
context: Cuckoo Clock!\My, my...\What a handful you are, my little brother.\What's going on?\Those flames are blue...\He couldn't have...\Rin...\He's more powerful than I imagined. response:	Not even the Demon-Slaying Blade could hold it back.
context: My, my...\What a handful you are, my little brother.\What's going on?\Those flames are blue...\He couldn't have...\Rin...\He's more powerful than I imagined.\Not even the Demon-Slaying Blade could hold it back. response:	Rin...
context: What a handful you are, my little brother.\What's going on?\Those flames are blue...\He couldn't have...\Rin...\He's more powerful than I imagined.\Not even the Demon-Slaying Blade could hold it back.\Rin... response:	Rin!
context: What's going on?\Those flames are blue...\He couldn't have...\Rin...\He's more powerful than I imagined.\Not even the Demon-Slaying Blade could hold it back.\Rin...\Rin! response:	Shiemi!
context: Those flames are blue...\He couldn't have...\Rin...\He's more powerful than I imagined.\Not even the Demon-Slaying Blade could hold it back.\Rin...\Rin!\Shiemi! response:	It's too dangerous! Stand back!
context: He couldn't have...\Rin...\He's more powerful than I imagined.\Not even the Demon-Slaying Blade could hold it back.\Rin...\Rin!\Shiemi!\It's too dangerous! Stand back! response:	Rin!
context: Rin...\He's more powerful than I imagined.\Not even the Demon-Slaying Blade could hold it back.\Rin...\Rin!\Shiemi!\It's too dangerous! Stand back!\Rin! response:	Rin!
context: He's more powerful than I imagined.\Not even the Demon-Slaying Blade could hold it back.\Rin...\Rin!\Shiemi!\It's too dangerous! Stand back!\Rin!\Rin! response:	Shi... e... mi...
context: Not even the Demon-Slaying Blade could hold it back.\Rin...\Rin!\Shiemi!\It's too dangerous! Stand back!\Rin!\Rin!\Shi... e... mi... response:	It's alright. It's alright now.
context: Rin...\Rin!\Shiemi!\It's too dangerous! Stand back!\Rin!\Rin!\Shi... e... mi...\It's alright. It's alright now. response:	Rin!
context: Rin!\Shiemi!\It's too dangerous! Stand back!\Rin!\Rin!\Shi... e... mi...\It's alright. It's alright now.\Rin! response:	It's blue, no matter how I look at it.
context: Shiemi!\It's too dangerous! Stand back!\Rin!\Rin!\Shi... e... mi...\It's alright. It's alright now.\Rin!\It's blue, no matter how I look at it. response:	Just like that night.
context: It's too dangerous! Stand back!\Rin!\Rin!\Shi... e... mi...\It's alright. It's alright now.\Rin!\It's blue, no matter how I look at it.\Just like that night. response:	Who's that?
context: Rin!\Rin!\Shi... e... mi...\It's alright. It's alright now.\Rin!\It's blue, no matter how I look at it.\Just like that night.\Who's that? response:	So he's here...
context: Rin!\Shi... e... mi...\It's alright. It's alright now.\Rin!\It's blue, no matter how I look at it.\Just like that night.\Who's that?\So he's here... response:	Good morning, children.
context: Shi... e... mi...\It's alright. It's alright now.\Rin!\It's blue, no matter how I look at it.\Just like that night.\Who's that?\So he's here...\Good morning, children. response:	I'm Arthur Auguste Angel, Upper First Class Exorcist of the Vatican Headquarters.
