context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J response:	J It's you and me I know it's my destiny! Pokemon! J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny! Pokemon! J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny! Pokemon! J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny! Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J response:	J A heart so true Our courage will pull us through J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny! Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J response:	J You teach me and I'll teach you J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny! Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J response:	J Pokemon! Gotta catch'em all J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny! Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J response:	J Gotta catch'em all Pokemon! J
context: J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny! Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J response:	With Bulbasaur as his newest Pokemon,
context: J It's you and me I know it's my destiny! Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\With Bulbasaur as his newest Pokemon, response:	Ash and friends are making their way triumphantly to Vermilion City,
context: J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\With Bulbasaur as his newest Pokemon,\Ash and friends are making their way triumphantly to Vermilion City, response:	arent they?
context: J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\With Bulbasaur as his newest Pokemon,\Ash and friends are making their way triumphantly to Vermilion City,\arent they? response:	There's nothing but Spearow around here.
context: J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\With Bulbasaur as his newest Pokemon,\Ash and friends are making their way triumphantly to Vermilion City,\arent they?\There's nothing but Spearow around here. response:	Well, that's the least of our worries, isn't it?
context: J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\With Bulbasaur as his newest Pokemon,\Ash and friends are making their way triumphantly to Vermilion City,\arent they?\There's nothing but Spearow around here.\Well, that's the least of our worries, isn't it? response:	Just because we're a little lost
context: J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\With Bulbasaur as his newest Pokemon,\Ash and friends are making their way triumphantly to Vermilion City,\arent they?\There's nothing but Spearow around here.\Well, that's the least of our worries, isn't it?\Just because we're a little lost response:	doesn't mean I have to stop catching all the Pokemon I can, does it?
context: J Gotta catch'em all Pokemon! J\With Bulbasaur as his newest Pokemon,\Ash and friends are making their way triumphantly to Vermilion City,\arent they?\There's nothing but Spearow around here.\Well, that's the least of our worries, isn't it?\Just because we're a little lost\doesn't mean I have to stop catching all the Pokemon I can, does it? response:	-Chu. -Of course not. Enjoy yourself.
context: With Bulbasaur as his newest Pokemon,\Ash and friends are making their way triumphantly to Vermilion City,\arent they?\There's nothing but Spearow around here.\Well, that's the least of our worries, isn't it?\Just because we're a little lost\doesn't mean I have to stop catching all the Pokemon I can, does it?\-Chu. -Of course not. Enjoy yourself. response:	Our friends have gotten off track just a bit.
context: Ash and friends are making their way triumphantly to Vermilion City,\arent they?\There's nothing but Spearow around here.\Well, that's the least of our worries, isn't it?\Just because we're a little lost\doesn't mean I have to stop catching all the Pokemon I can, does it?\-Chu. -Of course not. Enjoy yourself.\Our friends have gotten off track just a bit. response:	I just can't go one step further.
context: arent they?\There's nothing but Spearow around here.\Well, that's the least of our worries, isn't it?\Just because we're a little lost\doesn't mean I have to stop catching all the Pokemon I can, does it?\-Chu. -Of course not. Enjoy yourself.\Our friends have gotten off track just a bit.\I just can't go one step further. response:	We've been looking for Vermilion City for ten whole days!
context: There's nothing but Spearow around here.\Well, that's the least of our worries, isn't it?\Just because we're a little lost\doesn't mean I have to stop catching all the Pokemon I can, does it?\-Chu. -Of course not. Enjoy yourself.\Our friends have gotten off track just a bit.\I just can't go one step further.\We've been looking for Vermilion City for ten whole days! response:	Uh, there's a bug right on your-
