context: What was it? response:	I've had this feeling ever since last night that I'm supposed to do something...
context: What was it?\I've had this feeling ever since last night that I'm supposed to do something... response:	Man, my shoes and bag sure feel heavy today.
context: What was it?\I've had this feeling ever since last night that I'm supposed to do something...\Man, my shoes and bag sure feel heavy today. response:	Huh?
context: What was it?\I've had this feeling ever since last night that I'm supposed to do something...\Man, my shoes and bag sure feel heavy today.\Huh? response:	Th-This house...
context: What was it?\I've had this feeling ever since last night that I'm supposed to do something...\Man, my shoes and bag sure feel heavy today.\Huh?\Th-This house... response:	Why?
context: What was it?\I've had this feeling ever since last night that I'm supposed to do something...\Man, my shoes and bag sure feel heavy today.\Huh?\Th-This house...\Why? response:	I somehow ended up walking to Rohan-sensei's house without realizing it.
context: What was it?\I've had this feeling ever since last night that I'm supposed to do something...\Man, my shoes and bag sure feel heavy today.\Huh?\Th-This house...\Why?\I somehow ended up walking to Rohan-sensei's house without realizing it. response:	The door's open...
context: What was it?\I've had this feeling ever since last night that I'm supposed to do something...\Man, my shoes and bag sure feel heavy today.\Huh?\Th-This house...\Why?\I somehow ended up walking to Rohan-sensei's house without realizing it.\The door's open... response:	I'd like to stop by and thank him for yesterday,
context: I've had this feeling ever since last night that I'm supposed to do something...\Man, my shoes and bag sure feel heavy today.\Huh?\Th-This house...\Why?\I somehow ended up walking to Rohan-sensei's house without realizing it.\The door's open...\I'd like to stop by and thank him for yesterday, response:	but then I'd be late for school. It's probably a bad idea.
context: Man, my shoes and bag sure feel heavy today.\Huh?\Th-This house...\Why?\I somehow ended up walking to Rohan-sensei's house without realizing it.\The door's open...\I'd like to stop by and thank him for yesterday,\but then I'd be late for school. It's probably a bad idea. response:	He might still be asleep, since he's a manga artist.
context: Huh?\Th-This house...\Why?\I somehow ended up walking to Rohan-sensei's house without realizing it.\The door's open...\I'd like to stop by and thank him for yesterday,\but then I'd be late for school. It's probably a bad idea.\He might still be asleep, since he's a manga artist. response:	I really shouldn't just barge into his house.
context: Th-This house...\Why?\I somehow ended up walking to Rohan-sensei's house without realizing it.\The door's open...\I'd like to stop by and thank him for yesterday,\but then I'd be late for school. It's probably a bad idea.\He might still be asleep, since he's a manga artist.\I really shouldn't just barge into his house. response:	It's a bad idea...
context: Why?\I somehow ended up walking to Rohan-sensei's house without realizing it.\The door's open...\I'd like to stop by and thank him for yesterday,\but then I'd be late for school. It's probably a bad idea.\He might still be asleep, since he's a manga artist.\I really shouldn't just barge into his house.\It's a bad idea... response:	Rohan-sensei...
context: I somehow ended up walking to Rohan-sensei's house without realizing it.\The door's open...\I'd like to stop by and thank him for yesterday,\but then I'd be late for school. It's probably a bad idea.\He might still be asleep, since he's a manga artist.\I really shouldn't just barge into his house.\It's a bad idea...\Rohan-sensei... response:	He's working so frantically.
context: The door's open...\I'd like to stop by and thank him for yesterday,\but then I'd be late for school. It's probably a bad idea.\He might still be asleep, since he's a manga artist.\I really shouldn't just barge into his house.\It's a bad idea...\Rohan-sensei...\He's working so frantically. response:	But I wonder what it is...
context: I'd like to stop by and thank him for yesterday,\but then I'd be late for school. It's probably a bad idea.\He might still be asleep, since he's a manga artist.\I really shouldn't just barge into his house.\It's a bad idea...\Rohan-sensei...\He's working so frantically.\But I wonder what it is... response:	I can't shake the feeling that being here is actually terrifying.
context: but then I'd be late for school. It's probably a bad idea.\He might still be asleep, since he's a manga artist.\I really shouldn't just barge into his house.\It's a bad idea...\Rohan-sensei...\He's working so frantically.\But I wonder what it is...\I can't shake the feeling that being here is actually terrifying. response:	What is it?
context: He might still be asleep, since he's a manga artist.\I really shouldn't just barge into his house.\It's a bad idea...\Rohan-sensei...\He's working so frantically.\But I wonder what it is...\I can't shake the feeling that being here is actually terrifying.\What is it? response:	I'm glad you came.
context: I really shouldn't just barge into his house.\It's a bad idea...\Rohan-sensei...\He's working so frantically.\But I wonder what it is...\I can't shake the feeling that being here is actually terrifying.\What is it?\I'm glad you came. response:	I've been waiting for you.
context: It's a bad idea...\Rohan-sensei...\He's working so frantically.\But I wonder what it is...\I can't shake the feeling that being here is actually terrifying.\What is it?\I'm glad you came.\I've been waiting for you. response:	You're right on time.
context: Rohan-sensei...\He's working so frantically.\But I wonder what it is...\I can't shake the feeling that being here is actually terrifying.\What is it?\I'm glad you came.\I've been waiting for you.\You're right on time. response:	Huh?
context: He's working so frantically.\But I wonder what it is...\I can't shake the feeling that being here is actually terrifying.\What is it?\I'm glad you came.\I've been waiting for you.\You're right on time.\Huh? response:	However, could I ask you to wait a little while?
context: But I wonder what it is...\I can't shake the feeling that being here is actually terrifying.\What is it?\I'm glad you came.\I've been waiting for you.\You're right on time.\Huh?\However, could I ask you to wait a little while? response:	Two more pages, and I'll be done with the manuscript for next week.
context: I can't shake the feeling that being here is actually terrifying.\What is it?\I'm glad you came.\I've been waiting for you.\You're right on time.\Huh?\However, could I ask you to wait a little while?\Two more pages, and I'll be done with the manuscript for next week. response:	I think I'll be done in about twenty minutes.
context: What is it?\I'm glad you came.\I've been waiting for you.\You're right on time.\Huh?\However, could I ask you to wait a little while?\Two more pages, and I'll be done with the manuscript for next week.\I think I'll be done in about twenty minutes. response:	Twenty minutes?
context: I'm glad you came.\I've been waiting for you.\You're right on time.\Huh?\However, could I ask you to wait a little while?\Two more pages, and I'll be done with the manuscript for next week.\I think I'll be done in about twenty minutes.\Twenty minutes? response:	Did he just say he'd finish two pages in twenty minutes?
context: I've been waiting for you.\You're right on time.\Huh?\However, could I ask you to wait a little while?\Two more pages, and I'll be done with the manuscript for next week.\I think I'll be done in about twenty minutes.\Twenty minutes?\Did he just say he'd finish two pages in twenty minutes? response:	Did I hear him wrong?
context: You're right on time.\Huh?\However, could I ask you to wait a little while?\Two more pages, and I'll be done with the manuscript for next week.\I think I'll be done in about twenty minutes.\Twenty minutes?\Did he just say he'd finish two pages in twenty minutes?\Did I hear him wrong? response:	Two totally blank pages of manuscript in twenty minutes?
context: Huh?\However, could I ask you to wait a little while?\Two more pages, and I'll be done with the manuscript for next week.\I think I'll be done in about twenty minutes.\Twenty minutes?\Did he just say he'd finish two pages in twenty minutes?\Did I hear him wrong?\Two totally blank pages of manuscript in twenty minutes? response:	No way... And he said next week's?
context: However, could I ask you to wait a little while?\Two more pages, and I'll be done with the manuscript for next week.\I think I'll be done in about twenty minutes.\Twenty minutes?\Did he just say he'd finish two pages in twenty minutes?\Did I hear him wrong?\Two totally blank pages of manuscript in twenty minutes?\No way... And he said next week's? response:	We only just read this week's manuscript yesterday, and he'd just finished it.
context: Two more pages, and I'll be done with the manuscript for next week.\I think I'll be done in about twenty minutes.\Twenty minutes?\Did he just say he'd finish two pages in twenty minutes?\Did I hear him wrong?\Two totally blank pages of manuscript in twenty minutes?\No way... And he said next week's?\We only just read this week's manuscript yesterday, and he'd just finished it. response:	What?! You're not going to do pencils first?!
context: I think I'll be done in about twenty minutes.\Twenty minutes?\Did he just say he'd finish two pages in twenty minutes?\Did I hear him wrong?\Two totally blank pages of manuscript in twenty minutes?\No way... And he said next week's?\We only just read this week's manuscript yesterday, and he'd just finished it.\What?! You're not going to do pencils first?! response:	I-I can't believe it...
context: Twenty minutes?\Did he just say he'd finish two pages in twenty minutes?\Did I hear him wrong?\Two totally blank pages of manuscript in twenty minutes?\No way... And he said next week's?\We only just read this week's manuscript yesterday, and he'd just finished it.\What?! You're not going to do pencils first?!\I-I can't believe it... response:	He didn't even draw that complicated story in pencil first!
context: Did he just say he'd finish two pages in twenty minutes?\Did I hear him wrong?\Two totally blank pages of manuscript in twenty minutes?\No way... And he said next week's?\We only just read this week's manuscript yesterday, and he'd just finished it.\What?! You're not going to do pencils first?!\I-I can't believe it...\He didn't even draw that complicated story in pencil first! response:	It's getting more and more complete... And he's even drawing the backgrounds with it!
context: Did I hear him wrong?\Two totally blank pages of manuscript in twenty minutes?\No way... And he said next week's?\We only just read this week's manuscript yesterday, and he'd just finished it.\What?! You're not going to do pencils first?!\I-I can't believe it...\He didn't even draw that complicated story in pencil first!\It's getting more and more complete... And he's even drawing the backgrounds with it! response:	Wh-What was that just now?!
context: Two totally blank pages of manuscript in twenty minutes?\No way... And he said next week's?\We only just read this week's manuscript yesterday, and he'd just finished it.\What?! You're not going to do pencils first?!\I-I can't believe it...\He didn't even draw that complicated story in pencil first!\It's getting more and more complete... And he's even drawing the backgrounds with it!\Wh-What was that just now?! response:	I couldn't really see it. What did he do?!
context: No way... And he said next week's?\We only just read this week's manuscript yesterday, and he'd just finished it.\What?! You're not going to do pencils first?!\I-I can't believe it...\He didn't even draw that complicated story in pencil first!\It's getting more and more complete... And he's even drawing the backgrounds with it!\Wh-What was that just now?!\I couldn't really see it. What did he do?! response:	What?! H-He's doing the beta!
context: We only just read this week's manuscript yesterday, and he'd just finished it.\What?! You're not going to do pencils first?!\I-I can't believe it...\He didn't even draw that complicated story in pencil first!\It's getting more and more complete... And he's even drawing the backgrounds with it!\Wh-What was that just now?!\I couldn't really see it. What did he do?!\What?! H-He's doing the beta! response:	He's flinging ink around like shurikens,
context: What?! You're not going to do pencils first?!\I-I can't believe it...\He didn't even draw that complicated story in pencil first!\It's getting more and more complete... And he's even drawing the backgrounds with it!\Wh-What was that just now?!\I couldn't really see it. What did he do?!\What?! H-He's doing the beta!\He's flinging ink around like shurikens, response:	and hitting exactly the right spots without going out of the lines!
context: I-I can't believe it...\He didn't even draw that complicated story in pencil first!\It's getting more and more complete... And he's even drawing the backgrounds with it!\Wh-What was that just now?!\I couldn't really see it. What did he do?!\What?! H-He's doing the beta!\He's flinging ink around like shurikens,\and hitting exactly the right spots without going out of the lines! response:	Th-This technique...
context: He didn't even draw that complicated story in pencil first!\It's getting more and more complete... And he's even drawing the backgrounds with it!\Wh-What was that just now?!\I couldn't really see it. What did he do?!\What?! H-He's doing the beta!\He's flinging ink around like shurikens,\and hitting exactly the right spots without going out of the lines!\Th-This technique... response:	Aren't you supposed to fill in beta by hand with a brush?!
context: It's getting more and more complete... And he's even drawing the backgrounds with it!\Wh-What was that just now?!\I couldn't really see it. What did he do?!\What?! H-He's doing the beta!\He's flinging ink around like shurikens,\and hitting exactly the right spots without going out of the lines!\Th-This technique...\Aren't you supposed to fill in beta by hand with a brush?! response:	Boom
context: Wh-What was that just now?!\I couldn't really see it. What did he do?!\What?! H-He's doing the beta!\He's flinging ink around like shurikens,\and hitting exactly the right spots without going out of the lines!\Th-This technique...\Aren't you supposed to fill in beta by hand with a brush?!\Boom response:	He's already done with the beta!
context: I couldn't really see it. What did he do?!\What?! H-He's doing the beta!\He's flinging ink around like shurikens,\and hitting exactly the right spots without going out of the lines!\Th-This technique...\Aren't you supposed to fill in beta by hand with a brush?!\Boom\He's already done with the beta! response:	It's only been about two minutes since the page was completely white!
context: What?! H-He's doing the beta!\He's flinging ink around like shurikens,\and hitting exactly the right spots without going out of the lines!\Th-This technique...\Aren't you supposed to fill in beta by hand with a brush?!\Boom\He's already done with the beta!\It's only been about two minutes since the page was completely white! response:	It's all thanks to you, Koichi.
context: He's flinging ink around like shurikens,\and hitting exactly the right spots without going out of the lines!\Th-This technique...\Aren't you supposed to fill in beta by hand with a brush?!\Boom\He's already done with the beta!\It's only been about two minutes since the page was completely white!\It's all thanks to you, Koichi. response:	The urge to work keeps welling up in me!
context: and hitting exactly the right spots without going out of the lines!\Th-This technique...\Aren't you supposed to fill in beta by hand with a brush?!\Boom\He's already done with the beta!\It's only been about two minutes since the page was completely white!\It's all thanks to you, Koichi.\The urge to work keeps welling up in me! response:	I want to draw so bad, I can't help it!
context: Th-This technique...\Aren't you supposed to fill in beta by hand with a brush?!\Boom\He's already done with the beta!\It's only been about two minutes since the page was completely white!\It's all thanks to you, Koichi.\The urge to work keeps welling up in me!\I want to draw so bad, I can't help it! response:	I just want to keep drawing!
context: Aren't you supposed to fill in beta by hand with a brush?!\Boom\He's already done with the beta!\It's only been about two minutes since the page was completely white!\It's all thanks to you, Koichi.\The urge to work keeps welling up in me!\I want to draw so bad, I can't help it!\I just want to keep drawing! response:	This is the first time I've been able
context: Boom\He's already done with the beta!\It's only been about two minutes since the page was completely white!\It's all thanks to you, Koichi.\The urge to work keeps welling up in me!\I want to draw so bad, I can't help it!\I just want to keep drawing!\This is the first time I've been able response:	to draw nineteen pages in one night!
