context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	I've surpassed the old man...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I've surpassed the old man... response:	Yo Ho! Steer that rudder! Hard to port!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I've surpassed the old man...\Yo Ho! Steer that rudder! Hard to port! response:	Yo Ho! Our high-flyin' lives are every which way!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I've surpassed the old man...\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way! response:	When the sun goes down, there's a bon voyage bash.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I've surpassed the old man...\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash. response:	It ain't sad at all.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I've surpassed the old man...\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all. response:	As long as we're alive, we'll meet again somewhere!
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I've surpassed the old man...\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere! response:	Blast straight through a headwind, set off!
context: and sit back from the screen,'kay?\I've surpassed the old man...\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off! response:	Stay strong until the tears dry up! A man gotta be tough.
context: I've surpassed the old man...\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough. response:	Friends, friends, laugh one day!
context: Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day! response:	As proof of our strong, strong bonds!
context: Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds! response:	Now, grab that map to the shining future!
context: When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future! response:	B-But... Why?
context: It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\B-But... Why? response:	Why wasn't any of you killed?
context: As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\B-But... Why?\Why wasn't any of you killed? response:	Fantasia!
context: Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\B-But... Why?\Why wasn't any of you killed?\Fantasia! response:	You okay?
context: Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\B-But... Why?\Why wasn't any of you killed?\Fantasia!\You okay? response:	Yeah, I'm fine.
context: Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\B-But... Why?\Why wasn't any of you killed?\Fantasia!\You okay?\Yeah, I'm fine. response:	How about Natsu?
context: As proof of our strong, strong bonds!\Now, grab that map to the shining future!\B-But... Why?\Why wasn't any of you killed?\Fantasia!\You okay?\Yeah, I'm fine.\How about Natsu? response:	Seems okay to me.
context: Now, grab that map to the shining future!\B-But... Why?\Why wasn't any of you killed?\Fantasia!\You okay?\Yeah, I'm fine.\How about Natsu?\Seems okay to me. response:	After using all that magical power...
context: B-But... Why?\Why wasn't any of you killed?\Fantasia!\You okay?\Yeah, I'm fine.\How about Natsu?\Seems okay to me.\After using all that magical power... response:	All the members of the guild and the people of the city are safe as well.
context: Why wasn't any of you killed?\Fantasia!\You okay?\Yeah, I'm fine.\How about Natsu?\Seems okay to me.\After using all that magical power...\All the members of the guild and the people of the city are safe as well. response:	Freed...
context: Fantasia!\You okay?\Yeah, I'm fine.\How about Natsu?\Seems okay to me.\After using all that magical power...\All the members of the guild and the people of the city are safe as well.\Freed... response:	Not a single person has been killed.
context: You okay?\Yeah, I'm fine.\How about Natsu?\Seems okay to me.\After using all that magical power...\All the members of the guild and the people of the city are safe as well.\Freed...\Not a single person has been killed. response:	That shouldn't be!
