context: Don't... response:	Please, don't!
context: Don't...\Please, don't! response:	Don't!
context: Don't...\Please, don't!\Don't! response:	Senketsu!
context: Don't...\Please, don't!\Don't!\Senketsu! response:	We're late, we're late, we're late, we're late!
context: Don't...\Please, don't!\Don't!\Senketsu!\We're late, we're late, we're late, we're late! response:	Hurry up and get dressed, too, Ryuko!
context: Don't...\Please, don't!\Don't!\Senketsu!\We're late, we're late, we're late, we're late!\Hurry up and get dressed, too, Ryuko! response:	What am I gonna do, what am I gonna do?!
context: Don't...\Please, don't!\Don't!\Senketsu!\We're late, we're late, we're late, we're late!\Hurry up and get dressed, too, Ryuko!\What am I gonna do, what am I gonna do?! response:	Calm down, Mako!
context: Don't...\Please, don't!\Don't!\Senketsu!\We're late, we're late, we're late, we're late!\Hurry up and get dressed, too, Ryuko!\What am I gonna do, what am I gonna do?!\Calm down, Mako! response:	Oh, no! Oh, no! Oh, no!
context: Please, don't!\Don't!\Senketsu!\We're late, we're late, we're late, we're late!\Hurry up and get dressed, too, Ryuko!\What am I gonna do, what am I gonna do?!\Calm down, Mako!\Oh, no! Oh, no! Oh, no! response:	It's 4AM.
context: Don't!\Senketsu!\We're late, we're late, we're late, we're late!\Hurry up and get dressed, too, Ryuko!\What am I gonna do, what am I gonna do?!\Calm down, Mako!\Oh, no! Oh, no! Oh, no!\It's 4AM. response:	Help me!
context: Senketsu!\We're late, we're late, we're late, we're late!\Hurry up and get dressed, too, Ryuko!\What am I gonna do, what am I gonna do?!\Calm down, Mako!\Oh, no! Oh, no! Oh, no!\It's 4AM.\Help me! response:	Help me, I'm being murdered!
context: We're late, we're late, we're late, we're late!\Hurry up and get dressed, too, Ryuko!\What am I gonna do, what am I gonna do?!\Calm down, Mako!\Oh, no! Oh, no! Oh, no!\It's 4AM.\Help me!\Help me, I'm being murdered! response:	Mako, your lunch is ready and waiting in the kitchen!
context: Hurry up and get dressed, too, Ryuko!\What am I gonna do, what am I gonna do?!\Calm down, Mako!\Oh, no! Oh, no! Oh, no!\It's 4AM.\Help me!\Help me, I'm being murdered!\Mako, your lunch is ready and waiting in the kitchen! response:	Senketsu!
context: What am I gonna do, what am I gonna do?!\Calm down, Mako!\Oh, no! Oh, no! Oh, no!\It's 4AM.\Help me!\Help me, I'm being murdered!\Mako, your lunch is ready and waiting in the kitchen!\Senketsu! response:	Good morning, Ryuko!
