context: The appearance of defectors aboard the Macross response:	has raised the possibility of coexistence with the Zentradi.
context: The appearance of defectors aboard the Macross\has raised the possibility of coexistence with the Zentradi. response:	Seeing a glimmer of hope, Misa resolves to travel to Earth
context: The appearance of defectors aboard the Macross\has raised the possibility of coexistence with the Zentradi.\Seeing a glimmer of hope, Misa resolves to travel to Earth response:	to persuade those at UN High Command.
context: The appearance of defectors aboard the Macross\has raised the possibility of coexistence with the Zentradi.\Seeing a glimmer of hope, Misa resolves to travel to Earth\to persuade those at UN High Command. response:	GOODBYE GIRL
context: The appearance of defectors aboard the Macross\has raised the possibility of coexistence with the Zentradi.\Seeing a glimmer of hope, Misa resolves to travel to Earth\to persuade those at UN High Command.\GOODBYE GIRL response:	Hey! Pull yourself together, Misa.
context: The appearance of defectors aboard the Macross\has raised the possibility of coexistence with the Zentradi.\Seeing a glimmer of hope, Misa resolves to travel to Earth\to persuade those at UN High Command.\GOODBYE GIRL\Hey! Pull yourself together, Misa. response:	You think you'll be able to convince them looking like that?
context: The appearance of defectors aboard the Macross\has raised the possibility of coexistence with the Zentradi.\Seeing a glimmer of hope, Misa resolves to travel to Earth\to persuade those at UN High Command.\GOODBYE GIRL\Hey! Pull yourself together, Misa.\You think you'll be able to convince them looking like that? response:	Right, that's better.
context: The appearance of defectors aboard the Macross\has raised the possibility of coexistence with the Zentradi.\Seeing a glimmer of hope, Misa resolves to travel to Earth\to persuade those at UN High Command.\GOODBYE GIRL\Hey! Pull yourself together, Misa.\You think you'll be able to convince them looking like that?\Right, that's better. response:	Did you tell Lieutenant Ichijo that you're going to Earth?
context: has raised the possibility of coexistence with the Zentradi.\Seeing a glimmer of hope, Misa resolves to travel to Earth\to persuade those at UN High Command.\GOODBYE GIRL\Hey! Pull yourself together, Misa.\You think you'll be able to convince them looking like that?\Right, that's better.\Did you tell Lieutenant Ichijo that you're going to Earth? response:	He'll find out eventually.
context: Seeing a glimmer of hope, Misa resolves to travel to Earth\to persuade those at UN High Command.\GOODBYE GIRL\Hey! Pull yourself together, Misa.\You think you'll be able to convince them looking like that?\Right, that's better.\Did you tell Lieutenant Ichijo that you're going to Earth?\He'll find out eventually. response:	The shuttle is ready for launch. It is scheduled to depart in fifteen minutes.
context: to persuade those at UN High Command.\GOODBYE GIRL\Hey! Pull yourself together, Misa.\You think you'll be able to convince them looking like that?\Right, that's better.\Did you tell Lieutenant Ichijo that you're going to Earth?\He'll find out eventually.\The shuttle is ready for launch. It is scheduled to depart in fifteen minutes. response:	What about Zentradi movements?
context: GOODBYE GIRL\Hey! Pull yourself together, Misa.\You think you'll be able to convince them looking like that?\Right, that's better.\Did you tell Lieutenant Ichijo that you're going to Earth?\He'll find out eventually.\The shuttle is ready for launch. It is scheduled to depart in fifteen minutes.\What about Zentradi movements? response:	No movement detected from point A-4 onward, sir.
context: Hey! Pull yourself together, Misa.\You think you'll be able to convince them looking like that?\Right, that's better.\Did you tell Lieutenant Ichijo that you're going to Earth?\He'll find out eventually.\The shuttle is ready for launch. It is scheduled to depart in fifteen minutes.\What about Zentradi movements?\No movement detected from point A-4 onward, sir. response:	No change, eh?
context: You think you'll be able to convince them looking like that?\Right, that's better.\Did you tell Lieutenant Ichijo that you're going to Earth?\He'll find out eventually.\The shuttle is ready for launch. It is scheduled to depart in fifteen minutes.\What about Zentradi movements?\No movement detected from point A-4 onward, sir.\No change, eh? response:	I just hope they don't launch another attack.
context: Right, that's better.\Did you tell Lieutenant Ichijo that you're going to Earth?\He'll find out eventually.\The shuttle is ready for launch. It is scheduled to depart in fifteen minutes.\What about Zentradi movements?\No movement detected from point A-4 onward, sir.\No change, eh?\I just hope they don't launch another attack. response:	The Captain's pretty restless, huh?
context: Did you tell Lieutenant Ichijo that you're going to Earth?\He'll find out eventually.\The shuttle is ready for launch. It is scheduled to depart in fifteen minutes.\What about Zentradi movements?\No movement detected from point A-4 onward, sir.\No change, eh?\I just hope they don't launch another attack.\The Captain's pretty restless, huh? response:	There's someone here who's even more restless.
context: He'll find out eventually.\The shuttle is ready for launch. It is scheduled to depart in fifteen minutes.\What about Zentradi movements?\No movement detected from point A-4 onward, sir.\No change, eh?\I just hope they don't launch another attack.\The Captain's pretty restless, huh?\There's someone here who's even more restless. response:	Look, look.
