context: Huntsman of Belparaso, I open thee! response:	Samagui!
context: Huntsman of Belparaso, I open thee!\Samagui! response:	Go shoot down Layla's daughter!
context: Huntsman of Belparaso, I open thee!\Samagui!\Go shoot down Layla's daughter! response:	Samagui of Belparaso!
context: Huntsman of Belparaso, I open thee!\Samagui!\Go shoot down Layla's daughter!\Samagui of Belparaso! response:	Even I know him...
context: Huntsman of Belparaso, I open thee!\Samagui!\Go shoot down Layla's daughter!\Samagui of Belparaso!\Even I know him... response:	He's used as the basis for children's books up north.
context: Huntsman of Belparaso, I open thee!\Samagui!\Go shoot down Layla's daughter!\Samagui of Belparaso!\Even I know him...\He's used as the basis for children's books up north. response:	A living legendary huntsman?
context: Huntsman of Belparaso, I open thee!\Samagui!\Go shoot down Layla's daughter!\Samagui of Belparaso!\Even I know him...\He's used as the basis for children's books up north.\A living legendary huntsman? response:	Human Gate.
context: Huntsman of Belparaso, I open thee!\Samagui!\Go shoot down Layla's daughter!\Samagui of Belparaso!\Even I know him...\He's used as the basis for children's books up north.\A living legendary huntsman?\Human Gate. response:	Wind: Check.
context: Samagui!\Go shoot down Layla's daughter!\Samagui of Belparaso!\Even I know him...\He's used as the basis for children's books up north.\A living legendary huntsman?\Human Gate.\Wind: Check. response:	Angle: Check.
context: Go shoot down Layla's daughter!\Samagui of Belparaso!\Even I know him...\He's used as the basis for children's books up north.\A living legendary huntsman?\Human Gate.\Wind: Check.\Angle: Check. response:	Would a huntsman shoot a human?
context: Samagui of Belparaso!\Even I know him...\He's used as the basis for children's books up north.\A living legendary huntsman?\Human Gate.\Wind: Check.\Angle: Check.\Would a huntsman shoot a human? response:	Even from that posture?!
context: Even I know him...\He's used as the basis for children's books up north.\A living legendary huntsman?\Human Gate.\Wind: Check.\Angle: Check.\Would a huntsman shoot a human?\Even from that posture?! response:	Beast, human, it matters not.
context: He's used as the basis for children's books up north.\A living legendary huntsman?\Human Gate.\Wind: Check.\Angle: Check.\Would a huntsman shoot a human?\Even from that posture?!\Beast, human, it matters not. response:	Be it my master's order, I will hunt it.
context: A living legendary huntsman?\Human Gate.\Wind: Check.\Angle: Check.\Would a huntsman shoot a human?\Even from that posture?!\Beast, human, it matters not.\Be it my master's order, I will hunt it. response:	You won't get past me!
context: Human Gate.\Wind: Check.\Angle: Check.\Would a huntsman shoot a human?\Even from that posture?!\Beast, human, it matters not.\Be it my master's order, I will hunt it.\You won't get past me! response:	What?
context: Wind: Check.\Angle: Check.\Would a huntsman shoot a human?\Even from that posture?!\Beast, human, it matters not.\Be it my master's order, I will hunt it.\You won't get past me!\What? response:	Firing high in the air?
context: Angle: Check.\Would a huntsman shoot a human?\Even from that posture?!\Beast, human, it matters not.\Be it my master's order, I will hunt it.\You won't get past me!\What?\Firing high in the air? response:	That angle's nuts!
context: Would a huntsman shoot a human?\Even from that posture?!\Beast, human, it matters not.\Be it my master's order, I will hunt it.\You won't get past me!\What?\Firing high in the air?\That angle's nuts! response:	This is the reason I made him meh subordinate.
context: Even from that posture?!\Beast, human, it matters not.\Be it my master's order, I will hunt it.\You won't get past me!\What?\Firing high in the air?\That angle's nuts!\This is the reason I made him meh subordinate. response:	His shooting ability is far beyond that of some wizard shooting a magic gun.
context: Beast, human, it matters not.\Be it my master's order, I will hunt it.\You won't get past me!\What?\Firing high in the air?\That angle's nuts!\This is the reason I made him meh subordinate.\His shooting ability is far beyond that of some wizard shooting a magic gun. response:	Not if I can help it!
context: Be it my master's order, I will hunt it.\You won't get past me!\What?\Firing high in the air?\That angle's nuts!\This is the reason I made him meh subordinate.\His shooting ability is far beyond that of some wizard shooting a magic gun.\Not if I can help it! response:	What?
context: You won't get past me!\What?\Firing high in the air?\That angle's nuts!\This is the reason I made him meh subordinate.\His shooting ability is far beyond that of some wizard shooting a magic gun.\Not if I can help it!\What? response:	He did that to my arrows with rubble?!
context: What?\Firing high in the air?\That angle's nuts!\This is the reason I made him meh subordinate.\His shooting ability is far beyond that of some wizard shooting a magic gun.\Not if I can help it!\What?\He did that to my arrows with rubble?! response:	I see.
context: Firing high in the air?\That angle's nuts!\This is the reason I made him meh subordinate.\His shooting ability is far beyond that of some wizard shooting a magic gun.\Not if I can help it!\What?\He did that to my arrows with rubble?!\I see. response:	Your skills are indeed impressive.
context: That angle's nuts!\This is the reason I made him meh subordinate.\His shooting ability is far beyond that of some wizard shooting a magic gun.\Not if I can help it!\What?\He did that to my arrows with rubble?!\I see.\Your skills are indeed impressive. response:	But not up to the level of Sagittarius.
context: This is the reason I made him meh subordinate.\His shooting ability is far beyond that of some wizard shooting a magic gun.\Not if I can help it!\What?\He did that to my arrows with rubble?!\I see.\Your skills are indeed impressive.\But not up to the level of Sagittarius. response:	Damn it!
context: His shooting ability is far beyond that of some wizard shooting a magic gun.\Not if I can help it!\What?\He did that to my arrows with rubble?!\I see.\Your skills are indeed impressive.\But not up to the level of Sagittarius.\Damn it! response:	Hurry up after that woman!
context: Not if I can help it!\What?\He did that to my arrows with rubble?!\I see.\Your skills are indeed impressive.\But not up to the level of Sagittarius.\Damn it!\Hurry up after that woman! response:	A huntsman never lets his prey escape!
context: What?\He did that to my arrows with rubble?!\I see.\Your skills are indeed impressive.\But not up to the level of Sagittarius.\Damn it!\Hurry up after that woman!\A huntsman never lets his prey escape! response:	Honestly... That woman? Prey?
context: He did that to my arrows with rubble?!\I see.\Your skills are indeed impressive.\But not up to the level of Sagittarius.\Damn it!\Hurry up after that woman!\A huntsman never lets his prey escape!\Honestly... That woman? Prey? response:	That's beyond insulting...
context: I see.\Your skills are indeed impressive.\But not up to the level of Sagittarius.\Damn it!\Hurry up after that woman!\A huntsman never lets his prey escape!\Honestly... That woman? Prey?\That's beyond insulting... response:	I'm coming through!
context: Your skills are indeed impressive.\But not up to the level of Sagittarius.\Damn it!\Hurry up after that woman!\A huntsman never lets his prey escape!\Honestly... That woman? Prey?\That's beyond insulting...\I'm coming through! response:	No, you are not.
context: But not up to the level of Sagittarius.\Damn it!\Hurry up after that woman!\A huntsman never lets his prey escape!\Honestly... That woman? Prey?\That's beyond insulting...\I'm coming through!\No, you are not. response:	Move from there!
context: Damn it!\Hurry up after that woman!\A huntsman never lets his prey escape!\Honestly... That woman? Prey?\That's beyond insulting...\I'm coming through!\No, you are not.\Move from there! response:	According to what Crux said, you were contracted with Layla 20 years ago.
context: Hurry up after that woman!\A huntsman never lets his prey escape!\Honestly... That woman? Prey?\That's beyond insulting...\I'm coming through!\No, you are not.\Move from there!\According to what Crux said, you were contracted with Layla 20 years ago. response:	And although I'm not sure what deal happened in the human world,
context: A huntsman never lets his prey escape!\Honestly... That woman? Prey?\That's beyond insulting...\I'm coming through!\No, you are not.\Move from there!\According to what Crux said, you were contracted with Layla 20 years ago.\And although I'm not sure what deal happened in the human world, response:	your master now is Layla's daughter, Lucy.
context: Honestly... That woman? Prey?\That's beyond insulting...\I'm coming through!\No, you are not.\Move from there!\According to what Crux said, you were contracted with Layla 20 years ago.\And although I'm not sure what deal happened in the human world,\your master now is Layla's daughter, Lucy. response:	It doesn't seem like Lucy knows this herself, however.
context: That's beyond insulting...\I'm coming through!\No, you are not.\Move from there!\According to what Crux said, you were contracted with Layla 20 years ago.\And although I'm not sure what deal happened in the human world,\your master now is Layla's daughter, Lucy.\It doesn't seem like Lucy knows this herself, however. response:	Tell me what exactly happened, Capricorn.
context: I'm coming through!\No, you are not.\Move from there!\According to what Crux said, you were contracted with Layla 20 years ago.\And although I'm not sure what deal happened in the human world,\your master now is Layla's daughter, Lucy.\It doesn't seem like Lucy knows this herself, however.\Tell me what exactly happened, Capricorn. response:	Taboo.
context: No, you are not.\Move from there!\According to what Crux said, you were contracted with Layla 20 years ago.\And although I'm not sure what deal happened in the human world,\your master now is Layla's daughter, Lucy.\It doesn't seem like Lucy knows this herself, however.\Tell me what exactly happened, Capricorn.\Taboo. response:	Each and every magic has some rule which cannot be violated.
context: Move from there!\According to what Crux said, you were contracted with Layla 20 years ago.\And although I'm not sure what deal happened in the human world,\your master now is Layla's daughter, Lucy.\It doesn't seem like Lucy knows this herself, however.\Tell me what exactly happened, Capricorn.\Taboo.\Each and every magic has some rule which cannot be violated. response:	As for meh, I tried to break it.
context: According to what Crux said, you were contracted with Layla 20 years ago.\And although I'm not sure what deal happened in the human world,\your master now is Layla's daughter, Lucy.\It doesn't seem like Lucy knows this herself, however.\Tell me what exactly happened, Capricorn.\Taboo.\Each and every magic has some rule which cannot be violated.\As for meh, I tried to break it. response:	What?
context: And although I'm not sure what deal happened in the human world,\your master now is Layla's daughter, Lucy.\It doesn't seem like Lucy knows this herself, however.\Tell me what exactly happened, Capricorn.\Taboo.\Each and every magic has some rule which cannot be violated.\As for meh, I tried to break it.\What? response:	And the result is this form.
context: your master now is Layla's daughter, Lucy.\It doesn't seem like Lucy knows this herself, however.\Tell me what exactly happened, Capricorn.\Taboo.\Each and every magic has some rule which cannot be violated.\As for meh, I tried to break it.\What?\And the result is this form. response:	A goat! Go ahead and laugh!
context: It doesn't seem like Lucy knows this herself, however.\Tell me what exactly happened, Capricorn.\Taboo.\Each and every magic has some rule which cannot be violated.\As for meh, I tried to break it.\What?\And the result is this form.\A goat! Go ahead and laugh! response:	Around that time, Natsu and Happy, having sensed the enemy's presence,
