context: Battle of Ceres response:	Initiate the tactical heavy laser system!
context: Battle of Ceres\Initiate the tactical heavy laser system! response:	Fire!
context: Battle of Ceres\Initiate the tactical heavy laser system!\Fire! response:	But it hasn't fully charged yet!
context: Battle of Ceres\Initiate the tactical heavy laser system!\Fire!\But it hasn't fully charged yet! response:	I don't care! Fire!
context: Battle of Ceres\Initiate the tactical heavy laser system!\Fire!\But it hasn't fully charged yet!\I don't care! Fire! response:	And here I was gonna show off! Why were we put on reserve?
context: Battle of Ceres\Initiate the tactical heavy laser system!\Fire!\But it hasn't fully charged yet!\I don't care! Fire!\And here I was gonna show off! Why were we put on reserve? response:	I've got the usual,
context: Battle of Ceres\Initiate the tactical heavy laser system!\Fire!\But it hasn't fully charged yet!\I don't care! Fire!\And here I was gonna show off! Why were we put on reserve?\I've got the usual, response:	plus two massive anti-ship guided missiles,
context: Battle of Ceres\Initiate the tactical heavy laser system!\Fire!\But it hasn't fully charged yet!\I don't care! Fire!\And here I was gonna show off! Why were we put on reserve?\I've got the usual,\plus two massive anti-ship guided missiles, response:	four racks of high-mobility guided missiles,
context: Initiate the tactical heavy laser system!\Fire!\But it hasn't fully charged yet!\I don't care! Fire!\And here I was gonna show off! Why were we put on reserve?\I've got the usual,\plus two massive anti-ship guided missiles,\four racks of high-mobility guided missiles, response:	four mobile mines
context: Fire!\But it hasn't fully charged yet!\I don't care! Fire!\And here I was gonna show off! Why were we put on reserve?\I've got the usual,\plus two massive anti-ship guided missiles,\four racks of high-mobility guided missiles,\four mobile mines response:	and two midrange impact cannons.
context: But it hasn't fully charged yet!\I don't care! Fire!\And here I was gonna show off! Why were we put on reserve?\I've got the usual,\plus two massive anti-ship guided missiles,\four racks of high-mobility guided missiles,\four mobile mines\and two midrange impact cannons. response:	Just what are the Wulga anyway?
context: I don't care! Fire!\And here I was gonna show off! Why were we put on reserve?\I've got the usual,\plus two massive anti-ship guided missiles,\four racks of high-mobility guided missiles,\four mobile mines\and two midrange impact cannons.\Just what are the Wulga anyway? response:	You mean Wulgaru, not Wulga.
context: And here I was gonna show off! Why were we put on reserve?\I've got the usual,\plus two massive anti-ship guided missiles,\four racks of high-mobility guided missiles,\four mobile mines\and two midrange impact cannons.\Just what are the Wulga anyway?\You mean Wulgaru, not Wulga. response:	Aren't they mysterious extraterrestrials that came to invade Earth?
context: I've got the usual,\plus two massive anti-ship guided missiles,\four racks of high-mobility guided missiles,\four mobile mines\and two midrange impact cannons.\Just what are the Wulga anyway?\You mean Wulgaru, not Wulga.\Aren't they mysterious extraterrestrials that came to invade Earth? response:	But what do they look like?
context: plus two massive anti-ship guided missiles,\four racks of high-mobility guided missiles,\four mobile mines\and two midrange impact cannons.\Just what are the Wulga anyway?\You mean Wulgaru, not Wulga.\Aren't they mysterious extraterrestrials that came to invade Earth?\But what do they look like? response:	Do you think they're all slimy and have wobbly antennae?
context: four racks of high-mobility guided missiles,\four mobile mines\and two midrange impact cannons.\Just what are the Wulga anyway?\You mean Wulgaru, not Wulga.\Aren't they mysterious extraterrestrials that came to invade Earth?\But what do they look like?\Do you think they're all slimy and have wobbly antennae? response:	If they're from space, they've gotta be monsters!
