context: Please... response:	Please become... our Goddess of Wisdom.
context: Please...\Please become... our Goddess of Wisdom. response:	Oh, it must be time already.
context: Please...\Please become... our Goddess of Wisdom.\Oh, it must be time already. response:	Okay, thanks.
context: Please...\Please become... our Goddess of Wisdom.\Oh, it must be time already.\Okay, thanks. response:	Hello. It's been a while.
context: Please...\Please become... our Goddess of Wisdom.\Oh, it must be time already.\Okay, thanks.\Hello. It's been a while. response:	Uh... Who might you be?
context: Please...\Please become... our Goddess of Wisdom.\Oh, it must be time already.\Okay, thanks.\Hello. It's been a while.\Uh... Who might you be? response:	You don't remember what the person who saved your life looked like?
context: Please...\Please become... our Goddess of Wisdom.\Oh, it must be time already.\Okay, thanks.\Hello. It's been a while.\Uh... Who might you be?\You don't remember what the person who saved your life looked like? response:	I'm pretty sure I haven't been through any
context: Please...\Please become... our Goddess of Wisdom.\Oh, it must be time already.\Okay, thanks.\Hello. It's been a while.\Uh... Who might you be?\You don't remember what the person who saved your life looked like?\I'm pretty sure I haven't been through any response:	life-threatening events in the last decade or so...
context: Please become... our Goddess of Wisdom.\Oh, it must be time already.\Okay, thanks.\Hello. It's been a while.\Uh... Who might you be?\You don't remember what the person who saved your life looked like?\I'm pretty sure I haven't been through any\life-threatening events in the last decade or so... response:	About two years ago, at this hospital...
context: Oh, it must be time already.\Okay, thanks.\Hello. It's been a while.\Uh... Who might you be?\You don't remember what the person who saved your life looked like?\I'm pretty sure I haven't been through any\life-threatening events in the last decade or so...\About two years ago, at this hospital... response:	Whoa, there...
context: Okay, thanks.\Hello. It's been a while.\Uh... Who might you be?\You don't remember what the person who saved your life looked like?\I'm pretty sure I haven't been through any\life-threatening events in the last decade or so...\About two years ago, at this hospital...\Whoa, there... response:	Are you all right?
context: Hello. It's been a while.\Uh... Who might you be?\You don't remember what the person who saved your life looked like?\I'm pretty sure I haven't been through any\life-threatening events in the last decade or so...\About two years ago, at this hospital...\Whoa, there...\Are you all right? response:	Uh, thank you. I guess you saved...
context: Uh... Who might you be?\You don't remember what the person who saved your life looked like?\I'm pretty sure I haven't been through any\life-threatening events in the last decade or so...\About two years ago, at this hospital...\Whoa, there...\Are you all right?\Uh, thank you. I guess you saved... response:	Oh, I'm so sorry!
context: You don't remember what the person who saved your life looked like?\I'm pretty sure I haven't been through any\life-threatening events in the last decade or so...\About two years ago, at this hospital...\Whoa, there...\Are you all right?\Uh, thank you. I guess you saved...\Oh, I'm so sorry! response:	In that case, as the one who saved your life,
context: I'm pretty sure I haven't been through any\life-threatening events in the last decade or so...\About two years ago, at this hospital...\Whoa, there...\Are you all right?\Uh, thank you. I guess you saved...\Oh, I'm so sorry!\In that case, as the one who saved your life, response:	all I ask is that you remember me for life.
context: life-threatening events in the last decade or so...\About two years ago, at this hospital...\Whoa, there...\Are you all right?\Uh, thank you. I guess you saved...\Oh, I'm so sorry!\In that case, as the one who saved your life,\all I ask is that you remember me for life. response:	Isn't that going a bit overboard?
context: About two years ago, at this hospital...\Whoa, there...\Are you all right?\Uh, thank you. I guess you saved...\Oh, I'm so sorry!\In that case, as the one who saved your life,\all I ask is that you remember me for life.\Isn't that going a bit overboard? response:	Actually... I guess it is possible to die that way.
context: Whoa, there...\Are you all right?\Uh, thank you. I guess you saved...\Oh, I'm so sorry!\In that case, as the one who saved your life,\all I ask is that you remember me for life.\Isn't that going a bit overboard?\Actually... I guess it is possible to die that way. response:	Okay, I'll remember you.
context: Are you all right?\Uh, thank you. I guess you saved...\Oh, I'm so sorry!\In that case, as the one who saved your life,\all I ask is that you remember me for life.\Isn't that going a bit overboard?\Actually... I guess it is possible to die that way.\Okay, I'll remember you. response:	He reminds me of a goat.
context: Uh, thank you. I guess you saved...\Oh, I'm so sorry!\In that case, as the one who saved your life,\all I ask is that you remember me for life.\Isn't that going a bit overboard?\Actually... I guess it is possible to die that way.\Okay, I'll remember you.\He reminds me of a goat. response:	Goats are skinny, spacey, and spend their whole lives
