context: Upsy-daisy. response:	Weather Report
context: Upsy-daisy.\Weather Report response:	The weather report?
context: Upsy-daisy.\Weather Report\The weather report? response:	Yeah, actually, I'm really into this weather girl right now.
context: Upsy-daisy.\Weather Report\The weather report?\Yeah, actually, I'm really into this weather girl right now. response:	Yuriko Hyuga
context: Upsy-daisy.\Weather Report\The weather report?\Yeah, actually, I'm really into this weather girl right now.\Yuriko Hyuga response:	Good evening, everyone.
context: Upsy-daisy.\Weather Report\The weather report?\Yeah, actually, I'm really into this weather girl right now.\Yuriko Hyuga\Good evening, everyone. response:	I'm here at the fountain plaza.
context: Upsy-daisy.\Weather Report\The weather report?\Yeah, actually, I'm really into this weather girl right now.\Yuriko Hyuga\Good evening, everyone.\I'm here at the fountain plaza. response:	See? That's her.
context: Upsy-daisy.\Weather Report\The weather report?\Yeah, actually, I'm really into this weather girl right now.\Yuriko Hyuga\Good evening, everyone.\I'm here at the fountain plaza.\See? That's her. response:	Yeah, she definitely looks like your type.
context: Weather Report\The weather report?\Yeah, actually, I'm really into this weather girl right now.\Yuriko Hyuga\Good evening, everyone.\I'm here at the fountain plaza.\See? That's her.\Yeah, she definitely looks like your type. response:	Well, as long as you like watching her.
context: The weather report?\Yeah, actually, I'm really into this weather girl right now.\Yuriko Hyuga\Good evening, everyone.\I'm here at the fountain plaza.\See? That's her.\Yeah, she definitely looks like your type.\Well, as long as you like watching her. response:	And tomorrow, we'll finally be getting some more snow.
context: Yeah, actually, I'm really into this weather girl right now.\Yuriko Hyuga\Good evening, everyone.\I'm here at the fountain plaza.\See? That's her.\Yeah, she definitely looks like your type.\Well, as long as you like watching her.\And tomorrow, we'll finally be getting some more snow. response:	We're not going to see a real rise in temperature, which means it's going to be a cold day.
context: Yuriko Hyuga\Good evening, everyone.\I'm here at the fountain plaza.\See? That's her.\Yeah, she definitely looks like your type.\Well, as long as you like watching her.\And tomorrow, we'll finally be getting some more snow.\We're not going to see a real rise in temperature, which means it's going to be a cold day. response:	So everyone, I hope you'll all stay warm, and good night.
context: Good evening, everyone.\I'm here at the fountain plaza.\See? That's her.\Yeah, she definitely looks like your type.\Well, as long as you like watching her.\And tomorrow, we'll finally be getting some more snow.\We're not going to see a real rise in temperature, which means it's going to be a cold day.\So everyone, I hope you'll all stay warm, and good night. response:	It's a slasher!
context: I'm here at the fountain plaza.\See? That's her.\Yeah, she definitely looks like your type.\Well, as long as you like watching her.\And tomorrow, we'll finally be getting some more snow.\We're not going to see a real rise in temperature, which means it's going to be a cold day.\So everyone, I hope you'll all stay warm, and good night.\It's a slasher! response:	But this is a live broadcast!
context: See? That's her.\Yeah, she definitely looks like your type.\Well, as long as you like watching her.\And tomorrow, we'll finally be getting some more snow.\We're not going to see a real rise in temperature, which means it's going to be a cold day.\So everyone, I hope you'll all stay warm, and good night.\It's a slasher!\But this is a live broadcast! response:	Hey! What's that?
context: Yeah, she definitely looks like your type.\Well, as long as you like watching her.\And tomorrow, we'll finally be getting some more snow.\We're not going to see a real rise in temperature, which means it's going to be a cold day.\So everyone, I hope you'll all stay warm, and good night.\It's a slasher!\But this is a live broadcast!\Hey! What's that? response:	That's insane. What in the...
context: Well, as long as you like watching her.\And tomorrow, we'll finally be getting some more snow.\We're not going to see a real rise in temperature, which means it's going to be a cold day.\So everyone, I hope you'll all stay warm, and good night.\It's a slasher!\But this is a live broadcast!\Hey! What's that?\That's insane. What in the... response:	It was a silent night
context: And tomorrow, we'll finally be getting some more snow.\We're not going to see a real rise in temperature, which means it's going to be a cold day.\So everyone, I hope you'll all stay warm, and good night.\It's a slasher!\But this is a live broadcast!\Hey! What's that?\That's insane. What in the...\It was a silent night response:	Eclipse was beginnin'
context: We're not going to see a real rise in temperature, which means it's going to be a cold day.\So everyone, I hope you'll all stay warm, and good night.\It's a slasher!\But this is a live broadcast!\Hey! What's that?\That's insane. What in the...\It was a silent night\Eclipse was beginnin' response:	The overlapping moments
context: So everyone, I hope you'll all stay warm, and good night.\It's a slasher!\But this is a live broadcast!\Hey! What's that?\That's insane. What in the...\It was a silent night\Eclipse was beginnin'\The overlapping moments response:	We might believe them to be eternity
context: It's a slasher!\But this is a live broadcast!\Hey! What's that?\That's insane. What in the...\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity response:	In darkness...
context: But this is a live broadcast!\Hey! What's that?\That's insane. What in the...\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness... response:	It's darker than black
context: Hey! What's that?\That's insane. What in the...\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black response:	The labyrinthine sky
context: That's insane. What in the...\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky response:	Begs for light
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light response:	If I bite your soul
context: Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul response:	The impulse eats away at me
context: The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me response:	Can I... Can I... Can I... Who am I...?
context: We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...? response:	Libido erases my reason
context: In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason response:	(Where is my heart?)
context: It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?) response:	Into darkness
context: The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness response:	(Where is my heart?)
