context: Inside of me... you've always been crying. response:	I want to wipe your tears away is what I think.
context: Inside of me... you've always been crying.\I want to wipe your tears away is what I think. response:	But... I do not know what your soft, warm face will look like after the tears are wiped away.
context: Inside of me... you've always been crying.\I want to wipe your tears away is what I think.\But... I do not know what your soft, warm face will look like after the tears are wiped away. response:	Argh, it didn't come out the way I wanted!
context: Inside of me... you've always been crying.\I want to wipe your tears away is what I think.\But... I do not know what your soft, warm face will look like after the tears are wiped away.\Argh, it didn't come out the way I wanted! response:	I really want to draw a more gentle smile...
context: Inside of me... you've always been crying.\I want to wipe your tears away is what I think.\But... I do not know what your soft, warm face will look like after the tears are wiped away.\Argh, it didn't come out the way I wanted!\I really want to draw a more gentle smile... response:	What are you doing?
context: Inside of me... you've always been crying.\I want to wipe your tears away is what I think.\But... I do not know what your soft, warm face will look like after the tears are wiped away.\Argh, it didn't come out the way I wanted!\I really want to draw a more gentle smile...\What are you doing? response:	It seems that there weren't enough people to do this work.
context: Inside of me... you've always been crying.\I want to wipe your tears away is what I think.\But... I do not know what your soft, warm face will look like after the tears are wiped away.\Argh, it didn't come out the way I wanted!\I really want to draw a more gentle smile...\What are you doing?\It seems that there weren't enough people to do this work. response:	I see...
context: Inside of me... you've always been crying.\I want to wipe your tears away is what I think.\But... I do not know what your soft, warm face will look like after the tears are wiped away.\Argh, it didn't come out the way I wanted!\I really want to draw a more gentle smile...\What are you doing?\It seems that there weren't enough people to do this work.\I see... response:	You aren't going to eat?
context: I want to wipe your tears away is what I think.\But... I do not know what your soft, warm face will look like after the tears are wiped away.\Argh, it didn't come out the way I wanted!\I really want to draw a more gentle smile...\What are you doing?\It seems that there weren't enough people to do this work.\I see...\You aren't going to eat? response:	Once I'm done with this.
context: But... I do not know what your soft, warm face will look like after the tears are wiped away.\Argh, it didn't come out the way I wanted!\I really want to draw a more gentle smile...\What are you doing?\It seems that there weren't enough people to do this work.\I see...\You aren't going to eat?\Once I'm done with this. response:	Ah, I see.
context: Argh, it didn't come out the way I wanted!\I really want to draw a more gentle smile...\What are you doing?\It seems that there weren't enough people to do this work.\I see...\You aren't going to eat?\Once I'm done with this.\Ah, I see. response:	Ah, I see... What am I saying?!
context: I really want to draw a more gentle smile...\What are you doing?\It seems that there weren't enough people to do this work.\I see...\You aren't going to eat?\Once I'm done with this.\Ah, I see.\Ah, I see... What am I saying?! response:	What am I doing trying to look cool?!
context: What are you doing?\It seems that there weren't enough people to do this work.\I see...\You aren't going to eat?\Once I'm done with this.\Ah, I see.\Ah, I see... What am I saying?!\What am I doing trying to look cool?! response:	Umm, Bo-chan?
context: It seems that there weren't enough people to do this work.\I see...\You aren't going to eat?\Once I'm done with this.\Ah, I see.\Ah, I see... What am I saying?!\What am I doing trying to look cool?!\Umm, Bo-chan? response:	Err... I'm stretching, stretching...
context: I see...\You aren't going to eat?\Once I'm done with this.\Ah, I see.\Ah, I see... What am I saying?!\What am I doing trying to look cool?!\Umm, Bo-chan?\Err... I'm stretching, stretching... response:	Stretching.
context: You aren't going to eat?\Once I'm done with this.\Ah, I see.\Ah, I see... What am I saying?!\What am I doing trying to look cool?!\Umm, Bo-chan?\Err... I'm stretching, stretching...\Stretching. response:	Stretching... that's good.
context: Once I'm done with this.\Ah, I see.\Ah, I see... What am I saying?!\What am I doing trying to look cool?!\Umm, Bo-chan?\Err... I'm stretching, stretching...\Stretching.\Stretching... that's good. response:	Where's Dad?
context: Ah, I see.\Ah, I see... What am I saying?!\What am I doing trying to look cool?!\Umm, Bo-chan?\Err... I'm stretching, stretching...\Stretching.\Stretching... that's good.\Where's Dad? response:	Looks like he's still at work.
context: Ah, I see... What am I saying?!\What am I doing trying to look cool?!\Umm, Bo-chan?\Err... I'm stretching, stretching...\Stretching.\Stretching... that's good.\Where's Dad?\Looks like he's still at work. response:	How's that girl?
context: What am I doing trying to look cool?!\Umm, Bo-chan?\Err... I'm stretching, stretching...\Stretching.\Stretching... that's good.\Where's Dad?\Looks like he's still at work.\How's that girl? response:	Working on the records.
context: Umm, Bo-chan?\Err... I'm stretching, stretching...\Stretching.\Stretching... that's good.\Where's Dad?\Looks like he's still at work.\How's that girl?\Working on the records. response:	If she doesn't help me finish it, I won't have time to take care of the dishes.
context: Err... I'm stretching, stretching...\Stretching.\Stretching... that's good.\Where's Dad?\Looks like he's still at work.\How's that girl?\Working on the records.\If she doesn't help me finish it, I won't have time to take care of the dishes. response:	Well, you shouldn't be saying that. After all, she's helping you with chores.
context: Stretching.\Stretching... that's good.\Where's Dad?\Looks like he's still at work.\How's that girl?\Working on the records.\If she doesn't help me finish it, I won't have time to take care of the dishes.\Well, you shouldn't be saying that. After all, she's helping you with chores. response:	So you're also on her side.
context: Stretching... that's good.\Where's Dad?\Looks like he's still at work.\How's that girl?\Working on the records.\If she doesn't help me finish it, I won't have time to take care of the dishes.\Well, you shouldn't be saying that. After all, she's helping you with chores.\So you're also on her side. response:	That's not how it is.
context: Where's Dad?\Looks like he's still at work.\How's that girl?\Working on the records.\If she doesn't help me finish it, I won't have time to take care of the dishes.\Well, you shouldn't be saying that. After all, she's helping you with chores.\So you're also on her side.\That's not how it is. response:	I don't want to hear it.
context: Looks like he's still at work.\How's that girl?\Working on the records.\If she doesn't help me finish it, I won't have time to take care of the dishes.\Well, you shouldn't be saying that. After all, she's helping you with chores.\So you're also on her side.\That's not how it is.\I don't want to hear it. response:	Damn, what's with that?
context: How's that girl?\Working on the records.\If she doesn't help me finish it, I won't have time to take care of the dishes.\Well, you shouldn't be saying that. After all, she's helping you with chores.\So you're also on her side.\That's not how it is.\I don't want to hear it.\Damn, what's with that? response:	An angel exists somewhere...
context: Working on the records.\If she doesn't help me finish it, I won't have time to take care of the dishes.\Well, you shouldn't be saying that. After all, she's helping you with chores.\So you're also on her side.\That's not how it is.\I don't want to hear it.\Damn, what's with that?\An angel exists somewhere... response:	Only if we could save up your tears,
context: If she doesn't help me finish it, I won't have time to take care of the dishes.\Well, you shouldn't be saying that. After all, she's helping you with chores.\So you're also on her side.\That's not how it is.\I don't want to hear it.\Damn, what's with that?\An angel exists somewhere...\Only if we could save up your tears, response:	And then, make a necklace out of them...
context: Well, you shouldn't be saying that. After all, she's helping you with chores.\So you're also on her side.\That's not how it is.\I don't want to hear it.\Damn, what's with that?\An angel exists somewhere...\Only if we could save up your tears,\And then, make a necklace out of them... response:	We could hang it on the tree.
context: So you're also on her side.\That's not how it is.\I don't want to hear it.\Damn, what's with that?\An angel exists somewhere...\Only if we could save up your tears,\And then, make a necklace out of them...\We could hang it on the tree. response:	The tree of tears is shining...
context: That's not how it is.\I don't want to hear it.\Damn, what's with that?\An angel exists somewhere...\Only if we could save up your tears,\And then, make a necklace out of them...\We could hang it on the tree.\The tree of tears is shining... response:	I'm leaving!
context: I don't want to hear it.\Damn, what's with that?\An angel exists somewhere...\Only if we could save up your tears,\And then, make a necklace out of them...\We could hang it on the tree.\The tree of tears is shining...\I'm leaving! response:	What's wrong? Is that all you can do?
context: Damn, what's with that?\An angel exists somewhere...\Only if we could save up your tears,\And then, make a necklace out of them...\We could hang it on the tree.\The tree of tears is shining...\I'm leaving!\What's wrong? Is that all you can do? response:	Just who came up with pull-ups?
context: An angel exists somewhere...\Only if we could save up your tears,\And then, make a necklace out of them...\We could hang it on the tree.\The tree of tears is shining...\I'm leaving!\What's wrong? Is that all you can do?\Just who came up with pull-ups? response:	Woah! Hiromi, you're unbelievable!
context: Only if we could save up your tears,\And then, make a necklace out of them...\We could hang it on the tree.\The tree of tears is shining...\I'm leaving!\What's wrong? Is that all you can do?\Just who came up with pull-ups?\Woah! Hiromi, you're unbelievable! response:	You guys are slow! You're already a lap behind me.
context: And then, make a necklace out of them...\We could hang it on the tree.\The tree of tears is shining...\I'm leaving!\What's wrong? Is that all you can do?\Just who came up with pull-ups?\Woah! Hiromi, you're unbelievable!\You guys are slow! You're already a lap behind me. response:	Where did all that energy come from?
context: We could hang it on the tree.\The tree of tears is shining...\I'm leaving!\What's wrong? Is that all you can do?\Just who came up with pull-ups?\Woah! Hiromi, you're unbelievable!\You guys are slow! You're already a lap behind me.\Where did all that energy come from? response:	Well, we have different ways of working out.
context: The tree of tears is shining...\I'm leaving!\What's wrong? Is that all you can do?\Just who came up with pull-ups?\Woah! Hiromi, you're unbelievable!\You guys are slow! You're already a lap behind me.\Where did all that energy come from?\Well, we have different ways of working out. response:	You are insane!
context: I'm leaving!\What's wrong? Is that all you can do?\Just who came up with pull-ups?\Woah! Hiromi, you're unbelievable!\You guys are slow! You're already a lap behind me.\Where did all that energy come from?\Well, we have different ways of working out.\You are insane! response:	I'm going on ahead!
context: What's wrong? Is that all you can do?\Just who came up with pull-ups?\Woah! Hiromi, you're unbelievable!\You guys are slow! You're already a lap behind me.\Where did all that energy come from?\Well, we have different ways of working out.\You are insane!\I'm going on ahead! response:	Shinichirou, you damn pervert!
context: Just who came up with pull-ups?\Woah! Hiromi, you're unbelievable!\You guys are slow! You're already a lap behind me.\Where did all that energy come from?\Well, we have different ways of working out.\You are insane!\I'm going on ahead!\Shinichirou, you damn pervert! response:	Stop it, Nobuse!
context: Woah! Hiromi, you're unbelievable!\You guys are slow! You're already a lap behind me.\Where did all that energy come from?\Well, we have different ways of working out.\You are insane!\I'm going on ahead!\Shinichirou, you damn pervert!\Stop it, Nobuse! response:	You look just like an old man
context: You guys are slow! You're already a lap behind me.\Where did all that energy come from?\Well, we have different ways of working out.\You are insane!\I'm going on ahead!\Shinichirou, you damn pervert!\Stop it, Nobuse!\You look just like an old man response:	with your eyes focusing right at the girls' white legs.
context: Where did all that energy come from?\Well, we have different ways of working out.\You are insane!\I'm going on ahead!\Shinichirou, you damn pervert!\Stop it, Nobuse!\You look just like an old man\with your eyes focusing right at the girls' white legs. response:	Hiromi, you alright?
context: Well, we have different ways of working out.\You are insane!\I'm going on ahead!\Shinichirou, you damn pervert!\Stop it, Nobuse!\You look just like an old man\with your eyes focusing right at the girls' white legs.\Hiromi, you alright? response:	That's your fault. She's tripped over your eyesight, which was focused on her legs.
context: You are insane!\I'm going on ahead!\Shinichirou, you damn pervert!\Stop it, Nobuse!\You look just like an old man\with your eyes focusing right at the girls' white legs.\Hiromi, you alright?\That's your fault. She's tripped over your eyesight, which was focused on her legs. response:	What the hell is wrong with you?
context: I'm going on ahead!\Shinichirou, you damn pervert!\Stop it, Nobuse!\You look just like an old man\with your eyes focusing right at the girls' white legs.\Hiromi, you alright?\That's your fault. She's tripped over your eyesight, which was focused on her legs.\What the hell is wrong with you? response:	Yuasa-san sure is nice! was sure is having fun
context: Shinichirou, you damn pervert!\Stop it, Nobuse!\You look just like an old man\with your eyes focusing right at the girls' white legs.\Hiromi, you alright?\That's your fault. She's tripped over your eyesight, which was focused on her legs.\What the hell is wrong with you?\Yuasa-san sure is nice! was sure is having fun response:	She really seems like a top-student, you know.That really has the feeling of being a top-student, you know.
context: Stop it, Nobuse!\You look just like an old man\with your eyes focusing right at the girls' white legs.\Hiromi, you alright?\That's your fault. She's tripped over your eyesight, which was focused on her legs.\What the hell is wrong with you?\Yuasa-san sure is nice! was sure is having fun\She really seems like a top-student, you know.That really has the feeling of being a top-student, you know. response:	Well even so, she's not all that proud of herself. Just perfect, isn't she?
context: You look just like an old man\with your eyes focusing right at the girls' white legs.\Hiromi, you alright?\That's your fault. She's tripped over your eyesight, which was focused on her legs.\What the hell is wrong with you?\Yuasa-san sure is nice! was sure is having fun\She really seems like a top-student, you know.That really has the feeling of being a top-student, you know.\Well even so, she's not all that proud of herself. Just perfect, isn't she? response:	Now ain't you an idiot? You're living with her.
