context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	A healthy soul,
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul, response:	Phantom Priest Rasputin!
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\Phantom Priest Rasputin! response:	I'll be taking your soul!
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\Phantom Priest Rasputin!\I'll be taking your soul! response:	It's useless!
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\Phantom Priest Rasputin!\I'll be taking your soul!\It's useless! response:	Bullets are ineffective on my body!
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\Phantom Priest Rasputin!\I'll be taking your soul!\It's useless!\Bullets are ineffective on my body! response:	I don't know how many shots you took.
context: Late Night Show\Bones 10th anniversary project\A healthy soul,\Phantom Priest Rasputin!\I'll be taking your soul!\It's useless!\Bullets are ineffective on my body!\I don't know how many shots you took. response:	I'll just be eating your Kishin soul.
context: Bones 10th anniversary project\A healthy soul,\Phantom Priest Rasputin!\I'll be taking your soul!\It's useless!\Bullets are ineffective on my body!\I don't know how many shots you took.\I'll just be eating your Kishin soul. response:	Mm, souls are delicious.
context: A healthy soul,\Phantom Priest Rasputin!\I'll be taking your soul!\It's useless!\Bullets are ineffective on my body!\I don't know how many shots you took.\I'll just be eating your Kishin soul.\Mm, souls are delicious. response:	Cool days, of course, start off with a cool morning.
context: Phantom Priest Rasputin!\I'll be taking your soul!\It's useless!\Bullets are ineffective on my body!\I don't know how many shots you took.\I'll just be eating your Kishin soul.\Mm, souls are delicious.\Cool days, of course, start off with a cool morning. response:	That's the only morning suited for a cool guy like me.
context: I'll be taking your soul!\It's useless!\Bullets are ineffective on my body!\I don't know how many shots you took.\I'll just be eating your Kishin soul.\Mm, souls are delicious.\Cool days, of course, start off with a cool morning.\That's the only morning suited for a cool guy like me. response:	Soul-kun.
context: It's useless!\Bullets are ineffective on my body!\I don't know how many shots you took.\I'll just be eating your Kishin soul.\Mm, souls are delicious.\Cool days, of course, start off with a cool morning.\That's the only morning suited for a cool guy like me.\Soul-kun. response:	It's about time to get up!
context: Bullets are ineffective on my body!\I don't know how many shots you took.\I'll just be eating your Kishin soul.\Mm, souls are delicious.\Cool days, of course, start off with a cool morning.\That's the only morning suited for a cool guy like me.\Soul-kun.\It's about time to get up! response:	B-Blair?!
context: I don't know how many shots you took.\I'll just be eating your Kishin soul.\Mm, souls are delicious.\Cool days, of course, start off with a cool morning.\That's the only morning suited for a cool guy like me.\Soul-kun.\It's about time to get up!\B-Blair?! response:	Or e- l-s-e...
context: I'll just be eating your Kishin soul.\Mm, souls are delicious.\Cool days, of course, start off with a cool morning.\That's the only morning suited for a cool guy like me.\Soul-kun.\It's about time to get up!\B-Blair?!\Or e- l-s-e... response:	Or e-l- s-e...
context: Mm, souls are delicious.\Cool days, of course, start off with a cool morning.\That's the only morning suited for a cool guy like me.\Soul-kun.\It's about time to get up!\B-Blair?!\Or e- l-s-e...\Or e-l- s-e... response:	Or e-l-s- e...
context: Cool days, of course, start off with a cool morning.\That's the only morning suited for a cool guy like me.\Soul-kun.\It's about time to get up!\B-Blair?!\Or e- l-s-e...\Or e-l- s-e...\Or e-l-s- e... response:	Or e-l-s-e...
context: That's the only morning suited for a cool guy like me.\Soul-kun.\It's about time to get up!\B-Blair?!\Or e- l-s-e...\Or e-l- s-e...\Or e-l-s- e...\Or e-l-s-e... response:	Alright, it's done.
context: Soul-kun.\It's about time to get up!\B-Blair?!\Or e- l-s-e...\Or e-l- s-e...\Or e-l-s- e...\Or e-l-s-e...\Alright, it's done. response:	Would you rather do something fun with Blair?
