context: Do you need a receipt? response:	Yes, please.
context: Do you need a receipt?\Yes, please. response:	Who should I address it to?
context: Do you need a receipt?\Yes, please.\Who should I address it to? response:	British Secret Intelligence Service.
context: Do you need a receipt?\Yes, please.\Who should I address it to?\British Secret Intelligence Service. response:	Yes... Secret?
context: Do you need a receipt?\Yes, please.\Who should I address it to?\British Secret Intelligence Service.\Yes... Secret? response:	You can use the initials.
context: Do you need a receipt?\Yes, please.\Who should I address it to?\British Secret Intelligence Service.\Yes... Secret?\You can use the initials. response:	Oh, don't write MI6, though.
context: Do you need a receipt?\Yes, please.\Who should I address it to?\British Secret Intelligence Service.\Yes... Secret?\You can use the initials.\Oh, don't write MI6, though. response:	Write SIS instead.
context: Do you need a receipt?\Yes, please.\Who should I address it to?\British Secret Intelligence Service.\Yes... Secret?\You can use the initials.\Oh, don't write MI6, though.\Write SIS instead. response:	You sure like to joke around.
context: Yes, please.\Who should I address it to?\British Secret Intelligence Service.\Yes... Secret?\You can use the initials.\Oh, don't write MI6, though.\Write SIS instead.\You sure like to joke around. response:	That aside, you're quite the drinker.
context: Who should I address it to?\British Secret Intelligence Service.\Yes... Secret?\You can use the initials.\Oh, don't write MI6, though.\Write SIS instead.\You sure like to joke around.\That aside, you're quite the drinker. response:	I always get an urge to drink after work.
context: British Secret Intelligence Service.\Yes... Secret?\You can use the initials.\Oh, don't write MI6, though.\Write SIS instead.\You sure like to joke around.\That aside, you're quite the drinker.\I always get an urge to drink after work. response:	That night club's a joke. How can they employ hosts that get drunk before a customer does?
context: Yes... Secret?\You can use the initials.\Oh, don't write MI6, though.\Write SIS instead.\You sure like to joke around.\That aside, you're quite the drinker.\I always get an urge to drink after work.\That night club's a joke. How can they employ hosts that get drunk before a customer does? response:	Geez.
context: You can use the initials.\Oh, don't write MI6, though.\Write SIS instead.\You sure like to joke around.\That aside, you're quite the drinker.\I always get an urge to drink after work.\That night club's a joke. How can they employ hosts that get drunk before a customer does?\Geez. response:	Sorry!
context: Oh, don't write MI6, though.\Write SIS instead.\You sure like to joke around.\That aside, you're quite the drinker.\I always get an urge to drink after work.\That night club's a joke. How can they employ hosts that get drunk before a customer does?\Geez.\Sorry! response:	Pick up the phone, November.
context: Write SIS instead.\You sure like to joke around.\That aside, you're quite the drinker.\I always get an urge to drink after work.\That night club's a joke. How can they employ hosts that get drunk before a customer does?\Geez.\Sorry!\Pick up the phone, November. response:	Thank you for calling. This is your beloved Jack Simon.
context: You sure like to joke around.\That aside, you're quite the drinker.\I always get an urge to drink after work.\That night club's a joke. How can they employ hosts that get drunk before a customer does?\Geez.\Sorry!\Pick up the phone, November.\Thank you for calling. This is your beloved Jack Simon. response:	Sorry I can't come to the phone right now.
context: That aside, you're quite the drinker.\I always get an urge to drink after work.\That night club's a joke. How can they employ hosts that get drunk before a customer does?\Geez.\Sorry!\Pick up the phone, November.\Thank you for calling. This is your beloved Jack Simon.\Sorry I can't come to the phone right now. response:	Let me leave you with a joke instead.
context: I always get an urge to drink after work.\That night club's a joke. How can they employ hosts that get drunk before a customer does?\Geez.\Sorry!\Pick up the phone, November.\Thank you for calling. This is your beloved Jack Simon.\Sorry I can't come to the phone right now.\Let me leave you with a joke instead. response:	The shepherd said to the minister, My wife is...
context: That night club's a joke. How can they employ hosts that get drunk before a customer does?\Geez.\Sorry!\Pick up the phone, November.\Thank you for calling. This is your beloved Jack Simon.\Sorry I can't come to the phone right now.\Let me leave you with a joke instead.\The shepherd said to the minister, My wife is... response:	This is April. I've found February, our top priority.
context: Geez.\Sorry!\Pick up the phone, November.\Thank you for calling. This is your beloved Jack Simon.\Sorry I can't come to the phone right now.\Let me leave you with a joke instead.\The shepherd said to the minister, My wife is...\This is April. I've found February, our top priority. response:	Kabuki Street - Best in town
context: Sorry!\Pick up the phone, November.\Thank you for calling. This is your beloved Jack Simon.\Sorry I can't come to the phone right now.\Let me leave you with a joke instead.\The shepherd said to the minister, My wife is...\This is April. I've found February, our top priority.\Kabuki Street - Best in town response:	How is she?
context: Pick up the phone, November.\Thank you for calling. This is your beloved Jack Simon.\Sorry I can't come to the phone right now.\Let me leave you with a joke instead.\The shepherd said to the minister, My wife is...\This is April. I've found February, our top priority.\Kabuki Street - Best in town\How is she? response:	She'll live. She hasn't regained consciousness yet.
context: Thank you for calling. This is your beloved Jack Simon.\Sorry I can't come to the phone right now.\Let me leave you with a joke instead.\The shepherd said to the minister, My wife is...\This is April. I've found February, our top priority.\Kabuki Street - Best in town\How is she?\She'll live. She hasn't regained consciousness yet. response:	Is the rumor about her appearance in Tokyo true?
context: Sorry I can't come to the phone right now.\Let me leave you with a joke instead.\The shepherd said to the minister, My wife is...\This is April. I've found February, our top priority.\Kabuki Street - Best in town\How is she?\She'll live. She hasn't regained consciousness yet.\Is the rumor about her appearance in Tokyo true? response:	You have one saved message.
context: Let me leave you with a joke instead.\The shepherd said to the minister, My wife is...\This is April. I've found February, our top priority.\Kabuki Street - Best in town\How is she?\She'll live. She hasn't regained consciousness yet.\Is the rumor about her appearance in Tokyo true?\You have one saved message. response:	This is April. I've found February, our top priority.
context: The shepherd said to the minister, My wife is...\This is April. I've found February, our top priority.\Kabuki Street - Best in town\How is she?\She'll live. She hasn't regained consciousness yet.\Is the rumor about her appearance in Tokyo true?\You have one saved message.\This is April. I've found February, our top priority. response:	She's being accompanied by a Caucasian boy with heterochromatic eyes.
context: This is April. I've found February, our top priority.\Kabuki Street - Best in town\How is she?\She'll live. She hasn't regained consciousness yet.\Is the rumor about her appearance in Tokyo true?\You have one saved message.\This is April. I've found February, our top priority.\She's being accompanied by a Caucasian boy with heterochromatic eyes. response:	Where to?
context: Kabuki Street - Best in town\How is she?\She'll live. She hasn't regained consciousness yet.\Is the rumor about her appearance in Tokyo true?\You have one saved message.\This is April. I've found February, our top priority.\She's being accompanied by a Caucasian boy with heterochromatic eyes.\Where to? response:	Follow the car ahead of us.
context: How is she?\She'll live. She hasn't regained consciousness yet.\Is the rumor about her appearance in Tokyo true?\You have one saved message.\This is April. I've found February, our top priority.\She's being accompanied by a Caucasian boy with heterochromatic eyes.\Where to?\Follow the car ahead of us. response:	4:04 A.M. End of messages.
context: She'll live. She hasn't regained consciousness yet.\Is the rumor about her appearance in Tokyo true?\You have one saved message.\This is April. I've found February, our top priority.\She's being accompanied by a Caucasian boy with heterochromatic eyes.\Where to?\Follow the car ahead of us.\4:04 A.M. End of messages. response:	I thought about making a visit here after attending a funeral for an old navy friend in Hong Kong.
context: Is the rumor about her appearance in Tokyo true?\You have one saved message.\This is April. I've found February, our top priority.\She's being accompanied by a Caucasian boy with heterochromatic eyes.\Where to?\Follow the car ahead of us.\4:04 A.M. End of messages.\I thought about making a visit here after attending a funeral for an old navy friend in Hong Kong. response:	February, huh? Who would have thought she'd appear right in front of us after she went missing for five years?
context: You have one saved message.\This is April. I've found February, our top priority.\She's being accompanied by a Caucasian boy with heterochromatic eyes.\Where to?\Follow the car ahead of us.\4:04 A.M. End of messages.\I thought about making a visit here after attending a funeral for an old navy friend in Hong Kong.\February, huh? Who would have thought she'd appear right in front of us after she went missing for five years? response:	Who was accompanying her?
context: This is April. I've found February, our top priority.\She's being accompanied by a Caucasian boy with heterochromatic eyes.\Where to?\Follow the car ahead of us.\4:04 A.M. End of messages.\I thought about making a visit here after attending a funeral for an old navy friend in Hong Kong.\February, huh? Who would have thought she'd appear right in front of us after she went missing for five years?\Who was accompanying her? response:	The details, including the cause of the explosion, are unknown.
context: She's being accompanied by a Caucasian boy with heterochromatic eyes.\Where to?\Follow the car ahead of us.\4:04 A.M. End of messages.\I thought about making a visit here after attending a funeral for an old navy friend in Hong Kong.\February, huh? Who would have thought she'd appear right in front of us after she went missing for five years?\Who was accompanying her?\The details, including the cause of the explosion, are unknown. response:	There's a saying in this country that goes there's no use crying over spilt milk.
context: Where to?\Follow the car ahead of us.\4:04 A.M. End of messages.\I thought about making a visit here after attending a funeral for an old navy friend in Hong Kong.\February, huh? Who would have thought she'd appear right in front of us after she went missing for five years?\Who was accompanying her?\The details, including the cause of the explosion, are unknown.\There's a saying in this country that goes there's no use crying over spilt milk. response:	There's nothing we can do about the fact that she was a double agent who stole gate-related information from us
context: Follow the car ahead of us.\4:04 A.M. End of messages.\I thought about making a visit here after attending a funeral for an old navy friend in Hong Kong.\February, huh? Who would have thought she'd appear right in front of us after she went missing for five years?\Who was accompanying her?\The details, including the cause of the explosion, are unknown.\There's a saying in this country that goes there's no use crying over spilt milk.\There's nothing we can do about the fact that she was a double agent who stole gate-related information from us response:	and gave it to that syndicate.
context: 4:04 A.M. End of messages.\I thought about making a visit here after attending a funeral for an old navy friend in Hong Kong.\February, huh? Who would have thought she'd appear right in front of us after she went missing for five years?\Who was accompanying her?\The details, including the cause of the explosion, are unknown.\There's a saying in this country that goes there's no use crying over spilt milk.\There's nothing we can do about the fact that she was a double agent who stole gate-related information from us\and gave it to that syndicate. response:	We also can't do anything about the fact that Great Britain lost an advantage in contractor-related research because of her.
context: I thought about making a visit here after attending a funeral for an old navy friend in Hong Kong.\February, huh? Who would have thought she'd appear right in front of us after she went missing for five years?\Who was accompanying her?\The details, including the cause of the explosion, are unknown.\There's a saying in this country that goes there's no use crying over spilt milk.\There's nothing we can do about the fact that she was a double agent who stole gate-related information from us\and gave it to that syndicate.\We also can't do anything about the fact that Great Britain lost an advantage in contractor-related research because of her. response:	There's nothing we can do about what was spilt, but we can punish the maid who's responsible.
