context: Why do you dig? response:	Because a new world awaits on the other side.
context: Why do you dig?\Because a new world awaits on the other side. response:	I will get to that new world!
context: Why do you dig?\Because a new world awaits on the other side.\I will get to that new world! response:	Here I come, girls' locker room!
context: Why do you dig?\Because a new world awaits on the other side.\I will get to that new world!\Here I come, girls' locker room! response:	The girls' locker room!
context: Why do you dig?\Because a new world awaits on the other side.\I will get to that new world!\Here I come, girls' locker room!\The girls' locker room! response:	What's this?
context: Why do you dig?\Because a new world awaits on the other side.\I will get to that new world!\Here I come, girls' locker room!\The girls' locker room!\What's this? response:	Here they are, get'em while they're hot!
context: Why do you dig?\Because a new world awaits on the other side.\I will get to that new world!\Here I come, girls' locker room!\The girls' locker room!\What's this?\Here they are, get'em while they're hot! response:	Hey, pictures from the field observation trip!
context: Why do you dig?\Because a new world awaits on the other side.\I will get to that new world!\Here I come, girls' locker room!\The girls' locker room!\What's this?\Here they are, get'em while they're hot!\Hey, pictures from the field observation trip! response:	When did you take these, anyway?
context: Because a new world awaits on the other side.\I will get to that new world!\Here I come, girls' locker room!\The girls' locker room!\What's this?\Here they are, get'em while they're hot!\Hey, pictures from the field observation trip!\When did you take these, anyway? response:	Let's just say I mix business with pleasure.
context: I will get to that new world!\Here I come, girls' locker room!\The girls' locker room!\What's this?\Here they are, get'em while they're hot!\Hey, pictures from the field observation trip!\When did you take these, anyway?\Let's just say I mix business with pleasure. response:	I'll take one of Shrade!
context: Here I come, girls' locker room!\The girls' locker room!\What's this?\Here they are, get'em while they're hot!\Hey, pictures from the field observation trip!\When did you take these, anyway?\Let's just say I mix business with pleasure.\I'll take one of Shrade! response:	Here you go.
context: The girls' locker room!\What's this?\Here they are, get'em while they're hot!\Hey, pictures from the field observation trip!\When did you take these, anyway?\Let's just say I mix business with pleasure.\I'll take one of Shrade!\Here you go. response:	Man, I look awful in this one.
context: What's this?\Here they are, get'em while they're hot!\Hey, pictures from the field observation trip!\When did you take these, anyway?\Let's just say I mix business with pleasure.\I'll take one of Shrade!\Here you go.\Man, I look awful in this one. response:	Hey, here's a good one of you.
context: Here they are, get'em while they're hot!\Hey, pictures from the field observation trip!\When did you take these, anyway?\Let's just say I mix business with pleasure.\I'll take one of Shrade!\Here you go.\Man, I look awful in this one.\Hey, here's a good one of you. response:	Yep, that's a good one.
context: Hey, pictures from the field observation trip!\When did you take these, anyway?\Let's just say I mix business with pleasure.\I'll take one of Shrade!\Here you go.\Man, I look awful in this one.\Hey, here's a good one of you.\Yep, that's a good one. response:	You buying that one, Amata?
context: When did you take these, anyway?\Let's just say I mix business with pleasure.\I'll take one of Shrade!\Here you go.\Man, I look awful in this one.\Hey, here's a good one of you.\Yep, that's a good one.\You buying that one, Amata? response:	Wouldn't you rather have a real live girl instead of a picture?
context: Let's just say I mix business with pleasure.\I'll take one of Shrade!\Here you go.\Man, I look awful in this one.\Hey, here's a good one of you.\Yep, that's a good one.\You buying that one, Amata?\Wouldn't you rather have a real live girl instead of a picture? response:	H-Hey!
context: I'll take one of Shrade!\Here you go.\Man, I look awful in this one.\Hey, here's a good one of you.\Yep, that's a good one.\You buying that one, Amata?\Wouldn't you rather have a real live girl instead of a picture?\H-Hey! response:	Amata, you'll really fly for anyone!
context: Here you go.\Man, I look awful in this one.\Hey, here's a good one of you.\Yep, that's a good one.\You buying that one, Amata?\Wouldn't you rather have a real live girl instead of a picture?\H-Hey!\Amata, you'll really fly for anyone! response:	No!
context: Man, I look awful in this one.\Hey, here's a good one of you.\Yep, that's a good one.\You buying that one, Amata?\Wouldn't you rather have a real live girl instead of a picture?\H-Hey!\Amata, you'll really fly for anyone!\No! response:	Um, go ahead and take it.
context: Hey, here's a good one of you.\Yep, that's a good one.\You buying that one, Amata?\Wouldn't you rather have a real live girl instead of a picture?\H-Hey!\Amata, you'll really fly for anyone!\No!\Um, go ahead and take it. response:	They're all over you, stud.
context: Yep, that's a good one.\You buying that one, Amata?\Wouldn't you rather have a real live girl instead of a picture?\H-Hey!\Amata, you'll really fly for anyone!\No!\Um, go ahead and take it.\They're all over you, stud. response:	Cut that out.
context: You buying that one, Amata?\Wouldn't you rather have a real live girl instead of a picture?\H-Hey!\Amata, you'll really fly for anyone!\No!\Um, go ahead and take it.\They're all over you, stud.\Cut that out. response:	Can I have this photo?
context: Wouldn't you rather have a real live girl instead of a picture?\H-Hey!\Amata, you'll really fly for anyone!\No!\Um, go ahead and take it.\They're all over you, stud.\Cut that out.\Can I have this photo? response:	That one?
context: H-Hey!\Amata, you'll really fly for anyone!\No!\Um, go ahead and take it.\They're all over you, stud.\Cut that out.\Can I have this photo?\That one? response:	I guess. That'll be 500 kowloons.
context: Amata, you'll really fly for anyone!\No!\Um, go ahead and take it.\They're all over you, stud.\Cut that out.\Can I have this photo?\That one?\I guess. That'll be 500 kowloons. response:	Thanks.
context: No!\Um, go ahead and take it.\They're all over you, stud.\Cut that out.\Can I have this photo?\That one?\I guess. That'll be 500 kowloons.\Thanks. response:	Huh? Who's that of?
context: Um, go ahead and take it.\They're all over you, stud.\Cut that out.\Can I have this photo?\That one?\I guess. That'll be 500 kowloons.\Thanks.\Huh? Who's that of? response:	Um...
context: They're all over you, stud.\Cut that out.\Can I have this photo?\That one?\I guess. That'll be 500 kowloons.\Thanks.\Huh? Who's that of?\Um... response:	Just let me see!
context: Cut that out.\Can I have this photo?\That one?\I guess. That'll be 500 kowloons.\Thanks.\Huh? Who's that of?\Um...\Just let me see! response:	Amata?
context: Can I have this photo?\That one?\I guess. That'll be 500 kowloons.\Thanks.\Huh? Who's that of?\Um...\Just let me see!\Amata? response:	Amata and Andy?
context: That one?\I guess. That'll be 500 kowloons.\Thanks.\Huh? Who's that of?\Um...\Just let me see!\Amata?\Amata and Andy? response:	I wouldn't have thought of that...
context: I guess. That'll be 500 kowloons.\Thanks.\Huh? Who's that of?\Um...\Just let me see!\Amata?\Amata and Andy?\I wouldn't have thought of that... response:	Yo, my hole digging bro!
context: Thanks.\Huh? Who's that of?\Um...\Just let me see!\Amata?\Amata and Andy?\I wouldn't have thought of that...\Yo, my hole digging bro! response:	You'll never guess what I just found!
context: Huh? Who's that of?\Um...\Just let me see!\Amata?\Amata and Andy?\I wouldn't have thought of that...\Yo, my hole digging bro!\You'll never guess what I just found! response:	What?
context: Um...\Just let me see!\Amata?\Amata and Andy?\I wouldn't have thought of that...\Yo, my hole digging bro!\You'll never guess what I just found!\What? response:	Unless I'm very much mistaken, this is the Book of Twin Stars!
context: Just let me see!\Amata?\Amata and Andy?\I wouldn't have thought of that...\Yo, my hole digging bro!\You'll never guess what I just found!\What?\Unless I'm very much mistaken, this is the Book of Twin Stars! response:	The Book of Twin Stars?
context: Amata?\Amata and Andy?\I wouldn't have thought of that...\Yo, my hole digging bro!\You'll never guess what I just found!\What?\Unless I'm very much mistaken, this is the Book of Twin Stars!\The Book of Twin Stars? response:	I've heard of it.
context: Amata and Andy?\I wouldn't have thought of that...\Yo, my hole digging bro!\You'll never guess what I just found!\What?\Unless I'm very much mistaken, this is the Book of Twin Stars!\The Book of Twin Stars?\I've heard of it. response:	According to the legend, whoever holds that book can take full control of the forbidden Aquarion.
context: I wouldn't have thought of that...\Yo, my hole digging bro!\You'll never guess what I just found!\What?\Unless I'm very much mistaken, this is the Book of Twin Stars!\The Book of Twin Stars?\I've heard of it.\According to the legend, whoever holds that book can take full control of the forbidden Aquarion. response:	The green cat is right.
context: Yo, my hole digging bro!\You'll never guess what I just found!\What?\Unless I'm very much mistaken, this is the Book of Twin Stars!\The Book of Twin Stars?\I've heard of it.\According to the legend, whoever holds that book can take full control of the forbidden Aquarion.\The green cat is right. response:	Neo-Deava has been looking for this thing since it was founded.
context: You'll never guess what I just found!\What?\Unless I'm very much mistaken, this is the Book of Twin Stars!\The Book of Twin Stars?\I've heard of it.\According to the legend, whoever holds that book can take full control of the forbidden Aquarion.\The green cat is right.\Neo-Deava has been looking for this thing since it was founded. response:	How did you find it, then?
context: What?\Unless I'm very much mistaken, this is the Book of Twin Stars!\The Book of Twin Stars?\I've heard of it.\According to the legend, whoever holds that book can take full control of the forbidden Aquarion.\The green cat is right.\Neo-Deava has been looking for this thing since it was founded.\How did you find it, then? response:	Yeah, where was it?
context: Unless I'm very much mistaken, this is the Book of Twin Stars!\The Book of Twin Stars?\I've heard of it.\According to the legend, whoever holds that book can take full control of the forbidden Aquarion.\The green cat is right.\Neo-Deava has been looking for this thing since it was founded.\How did you find it, then?\Yeah, where was it? response:	You see, I was digging a hole to
