context: In the end, the majority decided that Steel Lady Nanase was fiction. response:	Sakuragawa Rikka's schemes have been rejected.
context: In the end, the majority decided that Steel Lady Nanase was fiction.\Sakuragawa Rikka's schemes have been rejected. response:	Well, well...
context: In the end, the majority decided that Steel Lady Nanase was fiction.\Sakuragawa Rikka's schemes have been rejected.\Well, well... response:	We've received an email. It's from Rikka-san.
context: In the end, the majority decided that Steel Lady Nanase was fiction.\Sakuragawa Rikka's schemes have been rejected.\Well, well...\We've received an email. It's from Rikka-san. response:	Huh?!
context: In the end, the majority decided that Steel Lady Nanase was fiction.\Sakuragawa Rikka's schemes have been rejected.\Well, well...\We've received an email. It's from Rikka-san.\Huh?! response:	This is Kuro-senpai's laptop, so I'm sure she knew his email address.
context: In the end, the majority decided that Steel Lady Nanase was fiction.\Sakuragawa Rikka's schemes have been rejected.\Well, well...\We've received an email. It's from Rikka-san.\Huh?!\This is Kuro-senpai's laptop, so I'm sure she knew his email address. response:	Rikka
context: In the end, the majority decided that Steel Lady Nanase was fiction.\Sakuragawa Rikka's schemes have been rejected.\Well, well...\We've received an email. It's from Rikka-san.\Huh?!\This is Kuro-senpai's laptop, so I'm sure she knew his email address.\Rikka response:	Sakuragawa Kuro
context: In the end, the majority decided that Steel Lady Nanase was fiction.\Sakuragawa Rikka's schemes have been rejected.\Well, well...\We've received an email. It's from Rikka-san.\Huh?!\This is Kuro-senpai's laptop, so I'm sure she knew his email address.\Rikka\Sakuragawa Kuro response:	Subject No Subject
context: Sakuragawa Rikka's schemes have been rejected.\Well, well...\We've received an email. It's from Rikka-san.\Huh?!\This is Kuro-senpai's laptop, so I'm sure she knew his email address.\Rikka\Sakuragawa Kuro\Subject No Subject response:	Kuro, Kotoko-san, You win this time. See you again.
context: Well, well...\We've received an email. It's from Rikka-san.\Huh?!\This is Kuro-senpai's laptop, so I'm sure she knew his email address.\Rikka\Sakuragawa Kuro\Subject No Subject\Kuro, Kotoko-san, You win this time. See you again. response:	So she knew that it was you two who were getting in her way.
context: We've received an email. It's from Rikka-san.\Huh?!\This is Kuro-senpai's laptop, so I'm sure she knew his email address.\Rikka\Sakuragawa Kuro\Subject No Subject\Kuro, Kotoko-san, You win this time. See you again.\So she knew that it was you two who were getting in her way. response:	I guess that makes sense.
context: Huh?!\This is Kuro-senpai's laptop, so I'm sure she knew his email address.\Rikka\Sakuragawa Kuro\Subject No Subject\Kuro, Kotoko-san, You win this time. See you again.\So she knew that it was you two who were getting in her way.\I guess that makes sense. response:	The only one who could get in the way of her ability to determine the future
context: This is Kuro-senpai's laptop, so I'm sure she knew his email address.\Rikka\Sakuragawa Kuro\Subject No Subject\Kuro, Kotoko-san, You win this time. See you again.\So she knew that it was you two who were getting in her way.\I guess that makes sense.\The only one who could get in the way of her ability to determine the future response:	is Kuro-kun, who has the same ability.
context: Rikka\Sakuragawa Kuro\Subject No Subject\Kuro, Kotoko-san, You win this time. See you again.\So she knew that it was you two who were getting in her way.\I guess that makes sense.\The only one who could get in the way of her ability to determine the future\is Kuro-kun, who has the same ability. response:	And she's the only one who'd do something like this.
context: Sakuragawa Kuro\Subject No Subject\Kuro, Kotoko-san, You win this time. See you again.\So she knew that it was you two who were getting in her way.\I guess that makes sense.\The only one who could get in the way of her ability to determine the future\is Kuro-kun, who has the same ability.\And she's the only one who'd do something like this. response:	Honestly, Rikka-san. I've asked you so many times not to call me by my first name.
context: Subject No Subject\Kuro, Kotoko-san, You win this time. See you again.\So she knew that it was you two who were getting in her way.\I guess that makes sense.\The only one who could get in the way of her ability to determine the future\is Kuro-kun, who has the same ability.\And she's the only one who'd do something like this.\Honestly, Rikka-san. I've asked you so many times not to call me by my first name. response:	Do you not like Kotoko?
context: Kuro, Kotoko-san, You win this time. See you again.\So she knew that it was you two who were getting in her way.\I guess that makes sense.\The only one who could get in the way of her ability to determine the future\is Kuro-kun, who has the same ability.\And she's the only one who'd do something like this.\Honestly, Rikka-san. I've asked you so many times not to call me by my first name.\Do you not like Kotoko? response:	It's hard for me to say myself, and I think others have a hard time, as well.
context: So she knew that it was you two who were getting in her way.\I guess that makes sense.\The only one who could get in the way of her ability to determine the future\is Kuro-kun, who has the same ability.\And she's the only one who'd do something like this.\Honestly, Rikka-san. I've asked you so many times not to call me by my first name.\Do you not like Kotoko?\It's hard for me to say myself, and I think others have a hard time, as well. response:	And because of that, it doesn't feel right when people say it.
context: I guess that makes sense.\The only one who could get in the way of her ability to determine the future\is Kuro-kun, who has the same ability.\And she's the only one who'd do something like this.\Honestly, Rikka-san. I've asked you so many times not to call me by my first name.\Do you not like Kotoko?\It's hard for me to say myself, and I think others have a hard time, as well.\And because of that, it doesn't feel right when people say it. response:	That's why I have Kuro-senpai call me by my surname.
context: The only one who could get in the way of her ability to determine the future\is Kuro-kun, who has the same ability.\And she's the only one who'd do something like this.\Honestly, Rikka-san. I've asked you so many times not to call me by my first name.\Do you not like Kotoko?\It's hard for me to say myself, and I think others have a hard time, as well.\And because of that, it doesn't feel right when people say it.\That's why I have Kuro-senpai call me by my surname. response:	Oh, so that's why he calls you by your surname even though you're going out.
