context: Sakura-chan isn't with you, is she? response:	We can't find her anywhere!
context: Sakura-chan isn't with you, is she?\We can't find her anywhere! response:	Sakura-chan's missing?
context: Sakura-chan isn't with you, is she?\We can't find her anywhere!\Sakura-chan's missing? response:	Joyous Fighting
context: Sakura-chan isn't with you, is she?\We can't find her anywhere!\Sakura-chan's missing?\Joyous Fighting response:	It was the beginning of a long night.
context: Sakura-chan isn't with you, is she?\We can't find her anywhere!\Sakura-chan's missing?\Joyous Fighting\It was the beginning of a long night. response:	Sakura! Sakura!
context: Sakura-chan isn't with you, is she?\We can't find her anywhere!\Sakura-chan's missing?\Joyous Fighting\It was the beginning of a long night.\Sakura! Sakura! response:	Sakura!
context: Sakura-chan isn't with you, is she?\We can't find her anywhere!\Sakura-chan's missing?\Joyous Fighting\It was the beginning of a long night.\Sakura! Sakura!\Sakura! response:	Sakura-chan!
context: Sakura-chan isn't with you, is she?\We can't find her anywhere!\Sakura-chan's missing?\Joyous Fighting\It was the beginning of a long night.\Sakura! Sakura!\Sakura!\Sakura-chan! response:	Sakura-chan!
context: We can't find her anywhere!\Sakura-chan's missing?\Joyous Fighting\It was the beginning of a long night.\Sakura! Sakura!\Sakura!\Sakura-chan!\Sakura-chan! response:	Sakura, where are you?
context: Sakura-chan's missing?\Joyous Fighting\It was the beginning of a long night.\Sakura! Sakura!\Sakura!\Sakura-chan!\Sakura-chan!\Sakura, where are you? response:	She's been spirited away.
context: Joyous Fighting\It was the beginning of a long night.\Sakura! Sakura!\Sakura!\Sakura-chan!\Sakura-chan!\Sakura, where are you?\She's been spirited away. response:	Grandpa, there's no such thing.
context: It was the beginning of a long night.\Sakura! Sakura!\Sakura!\Sakura-chan!\Sakura-chan!\Sakura, where are you?\She's been spirited away.\Grandpa, there's no such thing. response:	Erika, what's illustrated here isn't fantasy.
context: Sakura! Sakura!\Sakura!\Sakura-chan!\Sakura-chan!\Sakura, where are you?\She's been spirited away.\Grandpa, there's no such thing.\Erika, what's illustrated here isn't fantasy. response:	It's even said his first victim will be a young child.
context: Sakura!\Sakura-chan!\Sakura-chan!\Sakura, where are you?\She's been spirited away.\Grandpa, there's no such thing.\Erika, what's illustrated here isn't fantasy.\It's even said his first victim will be a young child. response:	I heard she was heading towards the ocean.
