context: You better hope the beast that comes out of the cave isn't a monster. response:	Hey, are you hungry?
context: You better hope the beast that comes out of the cave isn't a monster.\Hey, are you hungry? response:	Guess he has other things to worry about.
context: You better hope the beast that comes out of the cave isn't a monster.\Hey, are you hungry?\Guess he has other things to worry about. response:	Say, you've never laughed before, have you?
context: You better hope the beast that comes out of the cave isn't a monster.\Hey, are you hungry?\Guess he has other things to worry about.\Say, you've never laughed before, have you? response:	Fine, be that way your whole life for all I care.
context: You better hope the beast that comes out of the cave isn't a monster.\Hey, are you hungry?\Guess he has other things to worry about.\Say, you've never laughed before, have you?\Fine, be that way your whole life for all I care. response:	I'm never going back to my wife.
context: You better hope the beast that comes out of the cave isn't a monster.\Hey, are you hungry?\Guess he has other things to worry about.\Say, you've never laughed before, have you?\Fine, be that way your whole life for all I care.\I'm never going back to my wife. response:	I want to stay with you forever.
context: You better hope the beast that comes out of the cave isn't a monster.\Hey, are you hungry?\Guess he has other things to worry about.\Say, you've never laughed before, have you?\Fine, be that way your whole life for all I care.\I'm never going back to my wife.\I want to stay with you forever. response:	Me too.
context: You better hope the beast that comes out of the cave isn't a monster.\Hey, are you hungry?\Guess he has other things to worry about.\Say, you've never laughed before, have you?\Fine, be that way your whole life for all I care.\I'm never going back to my wife.\I want to stay with you forever.\Me too. response:	Get a room!
context: Hey, are you hungry?\Guess he has other things to worry about.\Say, you've never laughed before, have you?\Fine, be that way your whole life for all I care.\I'm never going back to my wife.\I want to stay with you forever.\Me too.\Get a room! response:	Get eaten by a bear! Take this, and this!
context: Guess he has other things to worry about.\Say, you've never laughed before, have you?\Fine, be that way your whole life for all I care.\I'm never going back to my wife.\I want to stay with you forever.\Me too.\Get a room!\Get eaten by a bear! Take this, and this! response:	Ow.
context: Say, you've never laughed before, have you?\Fine, be that way your whole life for all I care.\I'm never going back to my wife.\I want to stay with you forever.\Me too.\Get a room!\Get eaten by a bear! Take this, and this!\Ow. response:	What the...
context: Fine, be that way your whole life for all I care.\I'm never going back to my wife.\I want to stay with you forever.\Me too.\Get a room!\Get eaten by a bear! Take this, and this!\Ow.\What the... response:	Hey, you all right?
context: I'm never going back to my wife.\I want to stay with you forever.\Me too.\Get a room!\Get eaten by a bear! Take this, and this!\Ow.\What the...\Hey, you all right? response:	What the heck? Has he lost his mind?
context: I want to stay with you forever.\Me too.\Get a room!\Get eaten by a bear! Take this, and this!\Ow.\What the...\Hey, you all right?\What the heck? Has he lost his mind? response:	Hyakkimaru!
context: Me too.\Get a room!\Get eaten by a bear! Take this, and this!\Ow.\What the...\Hey, you all right?\What the heck? Has he lost his mind?\Hyakkimaru! response:	Come on out!
context: Get a room!\Get eaten by a bear! Take this, and this!\Ow.\What the...\Hey, you all right?\What the heck? Has he lost his mind?\Hyakkimaru!\Come on out! response:	Dang it.
context: Get eaten by a bear! Take this, and this!\Ow.\What the...\Hey, you all right?\What the heck? Has he lost his mind?\Hyakkimaru!\Come on out!\Dang it. response:	It got away.
context: Ow.\What the...\Hey, you all right?\What the heck? Has he lost his mind?\Hyakkimaru!\Come on out!\Dang it.\It got away. response:	Hey look, there's a village.
context: What the...\Hey, you all right?\What the heck? Has he lost his mind?\Hyakkimaru!\Come on out!\Dang it.\It got away.\Hey look, there's a village. response:	I guess I'll have to regain my energy there.
context: Hey, you all right?\What the heck? Has he lost his mind?\Hyakkimaru!\Come on out!\Dang it.\It got away.\Hey look, there's a village.\I guess I'll have to regain my energy there. response:	Party is over
context: What the heck? Has he lost his mind?\Hyakkimaru!\Come on out!\Dang it.\It got away.\Hey look, there's a village.\I guess I'll have to regain my energy there.\Party is over response:	But I still wanna dance
context: Hyakkimaru!\Come on out!\Dang it.\It got away.\Hey look, there's a village.\I guess I'll have to regain my energy there.\Party is over\But I still wanna dance response:	I can't even sleep
