context: I'm Kagome Higurashi, a ninth grader. response:	My family are caretakers of a very old, historic shrine...
context: I'm Kagome Higurashi, a ninth grader.\My family are caretakers of a very old, historic shrine... response:	and I've led a very normal life.
context: I'm Kagome Higurashi, a ninth grader.\My family are caretakers of a very old, historic shrine...\and I've led a very normal life. response:	But on my fifteenth birthday,
context: I'm Kagome Higurashi, a ninth grader.\My family are caretakers of a very old, historic shrine...\and I've led a very normal life.\But on my fifteenth birthday, response:	I was dragged into the civil war period...
context: I'm Kagome Higurashi, a ninth grader.\My family are caretakers of a very old, historic shrine...\and I've led a very normal life.\But on my fifteenth birthday,\I was dragged into the civil war period... response:	by a demon who suddenly appeared from the old shrine well.
context: I'm Kagome Higurashi, a ninth grader.\My family are caretakers of a very old, historic shrine...\and I've led a very normal life.\But on my fifteenth birthday,\I was dragged into the civil war period...\by a demon who suddenly appeared from the old shrine well. response:	Here, countless demons wishing to increase their power...
context: I'm Kagome Higurashi, a ninth grader.\My family are caretakers of a very old, historic shrine...\and I've led a very normal life.\But on my fifteenth birthday,\I was dragged into the civil war period...\by a demon who suddenly appeared from the old shrine well.\Here, countless demons wishing to increase their power... response:	search for the Sacred Jewel.
context: I'm Kagome Higurashi, a ninth grader.\My family are caretakers of a very old, historic shrine...\and I've led a very normal life.\But on my fifteenth birthday,\I was dragged into the civil war period...\by a demon who suddenly appeared from the old shrine well.\Here, countless demons wishing to increase their power...\search for the Sacred Jewel. response:	This is where I met a half-demon named Inuyasha.
context: My family are caretakers of a very old, historic shrine...\and I've led a very normal life.\But on my fifteenth birthday,\I was dragged into the civil war period...\by a demon who suddenly appeared from the old shrine well.\Here, countless demons wishing to increase their power...\search for the Sacred Jewel.\This is where I met a half-demon named Inuyasha. response:	Inuyasha wants the Sacred Jewel to become a full-fledged demon...
context: and I've led a very normal life.\But on my fifteenth birthday,\I was dragged into the civil war period...\by a demon who suddenly appeared from the old shrine well.\Here, countless demons wishing to increase their power...\search for the Sacred Jewel.\This is where I met a half-demon named Inuyasha.\Inuyasha wants the Sacred Jewel to become a full-fledged demon... response:	Ever since, we've traveled together from place to place...
context: But on my fifteenth birthday,\I was dragged into the civil war period...\by a demon who suddenly appeared from the old shrine well.\Here, countless demons wishing to increase their power...\search for the Sacred Jewel.\This is where I met a half-demon named Inuyasha.\Inuyasha wants the Sacred Jewel to become a full-fledged demon...\Ever since, we've traveled together from place to place... response:	in search of Sacred Jewel Shards which are scattered throughout the country.
