context: I've come to get you, Princess. response:	Who might you be?
context: I've come to get you, Princess.\Who might you be? response:	My apologies...
context: I've come to get you, Princess.\Who might you be?\My apologies... response:	I'm the leader of one of the Round Table's eleven guilds.
context: I've come to get you, Princess.\Who might you be?\My apologies...\I'm the leader of one of the Round Table's eleven guilds. response:	Shiroe, of Log Horizon.
context: I've come to get you, Princess.\Who might you be?\My apologies...\I'm the leader of one of the Round Table's eleven guilds.\Shiroe, of Log Horizon. response:	And I'm Michitaka, of the Marine Agency.
context: I've come to get you, Princess.\Who might you be?\My apologies...\I'm the leader of one of the Round Table's eleven guilds.\Shiroe, of Log Horizon.\And I'm Michitaka, of the Marine Agency. response:	Crusty, of D.D.D.
context: I've come to get you, Princess.\Who might you be?\My apologies...\I'm the leader of one of the Round Table's eleven guilds.\Shiroe, of Log Horizon.\And I'm Michitaka, of the Marine Agency.\Crusty, of D.D.D. response:	Crusty?
context: I've come to get you, Princess.\Who might you be?\My apologies...\I'm the leader of one of the Round Table's eleven guilds.\Shiroe, of Log Horizon.\And I'm Michitaka, of the Marine Agency.\Crusty, of D.D.D.\Crusty? response:	What do you want?
context: Who might you be?\My apologies...\I'm the leader of one of the Round Table's eleven guilds.\Shiroe, of Log Horizon.\And I'm Michitaka, of the Marine Agency.\Crusty, of D.D.D.\Crusty?\What do you want? response:	I'm having an important discussion with Princess Lenessia
context: My apologies...\I'm the leader of one of the Round Table's eleven guilds.\Shiroe, of Log Horizon.\And I'm Michitaka, of the Marine Agency.\Crusty, of D.D.D.\Crusty?\What do you want?\I'm having an important discussion with Princess Lenessia response:	That's why we're here, as well.
context: I'm the leader of one of the Round Table's eleven guilds.\Shiroe, of Log Horizon.\And I'm Michitaka, of the Marine Agency.\Crusty, of D.D.D.\Crusty?\What do you want?\I'm having an important discussion with Princess Lenessia\That's why we're here, as well. response:	I'm told the princess made a mistake.
context: Shiroe, of Log Horizon.\And I'm Michitaka, of the Marine Agency.\Crusty, of D.D.D.\Crusty?\What do you want?\I'm having an important discussion with Princess Lenessia\That's why we're here, as well.\I'm told the princess made a mistake. response:	She was asked to prepare warehouses for you,
context: And I'm Michitaka, of the Marine Agency.\Crusty, of D.D.D.\Crusty?\What do you want?\I'm having an important discussion with Princess Lenessia\That's why we're here, as well.\I'm told the princess made a mistake.\She was asked to prepare warehouses for you, response:	but she lost your letter, or forgot it, or something?
context: Crusty, of D.D.D.\Crusty?\What do you want?\I'm having an important discussion with Princess Lenessia\That's why we're here, as well.\I'm told the princess made a mistake.\She was asked to prepare warehouses for you,\but she lost your letter, or forgot it, or something? response:	Regardless, she messed up, and trouble has arisen from it.
context: Crusty?\What do you want?\I'm having an important discussion with Princess Lenessia\That's why we're here, as well.\I'm told the princess made a mistake.\She was asked to prepare warehouses for you,\but she lost your letter, or forgot it, or something?\Regardless, she messed up, and trouble has arisen from it. response:	This is quite a problem, isn't it, Princess?
context: What do you want?\I'm having an important discussion with Princess Lenessia\That's why we're here, as well.\I'm told the princess made a mistake.\She was asked to prepare warehouses for you,\but she lost your letter, or forgot it, or something?\Regardless, she messed up, and trouble has arisen from it.\This is quite a problem, isn't it, Princess? response:	I'm told that the cargo consists largely of food and spices?
context: I'm having an important discussion with Princess Lenessia\That's why we're here, as well.\I'm told the princess made a mistake.\She was asked to prepare warehouses for you,\but she lost your letter, or forgot it, or something?\Regardless, she messed up, and trouble has arisen from it.\This is quite a problem, isn't it, Princess?\I'm told that the cargo consists largely of food and spices? response:	And that, if left outside, they'll spoil quickly?
context: That's why we're here, as well.\I'm told the princess made a mistake.\She was asked to prepare warehouses for you,\but she lost your letter, or forgot it, or something?\Regardless, she messed up, and trouble has arisen from it.\This is quite a problem, isn't it, Princess?\I'm told that the cargo consists largely of food and spices?\And that, if left outside, they'll spoil quickly? response:	What a problem you've caused, Princess.
context: I'm told the princess made a mistake.\She was asked to prepare warehouses for you,\but she lost your letter, or forgot it, or something?\Regardless, she messed up, and trouble has arisen from it.\This is quite a problem, isn't it, Princess?\I'm told that the cargo consists largely of food and spices?\And that, if left outside, they'll spoil quickly?\What a problem you've caused, Princess. response:	Shiroe, you don't need to put it like that...
context: She was asked to prepare warehouses for you,\but she lost your letter, or forgot it, or something?\Regardless, she messed up, and trouble has arisen from it.\This is quite a problem, isn't it, Princess?\I'm told that the cargo consists largely of food and spices?\And that, if left outside, they'll spoil quickly?\What a problem you've caused, Princess.\Shiroe, you don't need to put it like that... response:	And this Round Table represents Akihabara?
context: but she lost your letter, or forgot it, or something?\Regardless, she messed up, and trouble has arisen from it.\This is quite a problem, isn't it, Princess?\I'm told that the cargo consists largely of food and spices?\And that, if left outside, they'll spoil quickly?\What a problem you've caused, Princess.\Shiroe, you don't need to put it like that...\And this Round Table represents Akihabara? response:	Then a mistake made by the granddaughter
context: Regardless, she messed up, and trouble has arisen from it.\This is quite a problem, isn't it, Princess?\I'm told that the cargo consists largely of food and spices?\And that, if left outside, they'll spoil quickly?\What a problem you've caused, Princess.\Shiroe, you don't need to put it like that...\And this Round Table represents Akihabara?\Then a mistake made by the granddaughter response:	of Eastal's leader, their ally,
context: This is quite a problem, isn't it, Princess?\I'm told that the cargo consists largely of food and spices?\And that, if left outside, they'll spoil quickly?\What a problem you've caused, Princess.\Shiroe, you don't need to put it like that...\And this Round Table represents Akihabara?\Then a mistake made by the granddaughter\of Eastal's leader, their ally, response:	is something you'll take responsibility for, yes?
context: I'm told that the cargo consists largely of food and spices?\And that, if left outside, they'll spoil quickly?\What a problem you've caused, Princess.\Shiroe, you don't need to put it like that...\And this Round Table represents Akihabara?\Then a mistake made by the granddaughter\of Eastal's leader, their ally,\is something you'll take responsibility for, yes? response:	The Round Table has nothing to do with this!
context: And that, if left outside, they'll spoil quickly?\What a problem you've caused, Princess.\Shiroe, you don't need to put it like that...\And this Round Table represents Akihabara?\Then a mistake made by the granddaughter\of Eastal's leader, their ally,\is something you'll take responsibility for, yes?\The Round Table has nothing to do with this! response:	It was strictly my...
context: What a problem you've caused, Princess.\Shiroe, you don't need to put it like that...\And this Round Table represents Akihabara?\Then a mistake made by the granddaughter\of Eastal's leader, their ally,\is something you'll take responsibility for, yes?\The Round Table has nothing to do with this!\It was strictly my... response:	Actually, Lord Malves, your letter was received by the Round Table.
context: Shiroe, you don't need to put it like that...\And this Round Table represents Akihabara?\Then a mistake made by the granddaughter\of Eastal's leader, their ally,\is something you'll take responsibility for, yes?\The Round Table has nothing to do with this!\It was strictly my...\Actually, Lord Malves, your letter was received by the Round Table. response:	That's impossible!
context: And this Round Table represents Akihabara?\Then a mistake made by the granddaughter\of Eastal's leader, their ally,\is something you'll take responsibility for, yes?\The Round Table has nothing to do with this!\It was strictly my...\Actually, Lord Malves, your letter was received by the Round Table.\That's impossible! response:	Please ensure warehouses are secured for the above goods during my stay in Akihabara.
context: Then a mistake made by the granddaughter\of Eastal's leader, their ally,\is something you'll take responsibility for, yes?\The Round Table has nothing to do with this!\It was strictly my...\Actually, Lord Malves, your letter was received by the Round Table.\That's impossible!\Please ensure warehouses are secured for the above goods during my stay in Akihabara. response:	Th-This is my signature!
context: of Eastal's leader, their ally,\is something you'll take responsibility for, yes?\The Round Table has nothing to do with this!\It was strictly my...\Actually, Lord Malves, your letter was received by the Round Table.\That's impossible!\Please ensure warehouses are secured for the above goods during my stay in Akihabara.\Th-This is my signature! response:	What's wrong?
context: is something you'll take responsibility for, yes?\The Round Table has nothing to do with this!\It was strictly my...\Actually, Lord Malves, your letter was received by the Round Table.\That's impossible!\Please ensure warehouses are secured for the above goods during my stay in Akihabara.\Th-This is my signature!\What's wrong? response:	You seem as surprised as though you'd never even sent a letter.
context: The Round Table has nothing to do with this!\It was strictly my...\Actually, Lord Malves, your letter was received by the Round Table.\That's impossible!\Please ensure warehouses are secured for the above goods during my stay in Akihabara.\Th-This is my signature!\What's wrong?\You seem as surprised as though you'd never even sent a letter. response:	Then that letter...
context: It was strictly my...\Actually, Lord Malves, your letter was received by the Round Table.\That's impossible!\Please ensure warehouses are secured for the above goods during my stay in Akihabara.\Th-This is my signature!\What's wrong?\You seem as surprised as though you'd never even sent a letter.\Then that letter... response:	Shiroe probably...
context: Actually, Lord Malves, your letter was received by the Round Table.\That's impossible!\Please ensure warehouses are secured for the above goods during my stay in Akihabara.\Th-This is my signature!\What's wrong?\You seem as surprised as though you'd never even sent a letter.\Then that letter...\Shiroe probably... response:	N-Never mind the letter! What of the warehouses?
context: That's impossible!\Please ensure warehouses are secured for the above goods during my stay in Akihabara.\Th-This is my signature!\What's wrong?\You seem as surprised as though you'd never even sent a letter.\Then that letter...\Shiroe probably...\N-Never mind the letter! What of the warehouses? response:	Are they ready?!
context: Please ensure warehouses are secured for the above goods during my stay in Akihabara.\Th-This is my signature!\What's wrong?\You seem as surprised as though you'd never even sent a letter.\Then that letter...\Shiroe probably...\N-Never mind the letter! What of the warehouses?\Are they ready?! response:	Oh, no...
context: Th-This is my signature!\What's wrong?\You seem as surprised as though you'd never even sent a letter.\Then that letter...\Shiroe probably...\N-Never mind the letter! What of the warehouses?\Are they ready?!\Oh, no... response:	I'm told that the Round Table's trade warehouses are already full...
context: What's wrong?\You seem as surprised as though you'd never even sent a letter.\Then that letter...\Shiroe probably...\N-Never mind the letter! What of the warehouses?\Are they ready?!\Oh, no...\I'm told that the Round Table's trade warehouses are already full... response:	My ship has five hundred tons of cargo!
context: You seem as surprised as though you'd never even sent a letter.\Then that letter...\Shiroe probably...\N-Never mind the letter! What of the warehouses?\Are they ready?!\Oh, no...\I'm told that the Round Table's trade warehouses are already full...\My ship has five hundred tons of cargo! response:	Are you saying you can arrange
context: Then that letter...\Shiroe probably...\N-Never mind the letter! What of the warehouses?\Are they ready?!\Oh, no...\I'm told that the Round Table's trade warehouses are already full...\My ship has five hundred tons of cargo!\Are you saying you can arrange response:	a temperature-controlled warehouse with that kind of capacity immediately?
context: Shiroe probably...\N-Never mind the letter! What of the warehouses?\Are they ready?!\Oh, no...\I'm told that the Round Table's trade warehouses are already full...\My ship has five hundred tons of cargo!\Are you saying you can arrange\a temperature-controlled warehouse with that kind of capacity immediately? response:	Well, Michitaka?
context: N-Never mind the letter! What of the warehouses?\Are they ready?!\Oh, no...\I'm told that the Round Table's trade warehouses are already full...\My ship has five hundred tons of cargo!\Are you saying you can arrange\a temperature-controlled warehouse with that kind of capacity immediately?\Well, Michitaka? response:	It's true that the warehouses are full...
context: Are they ready?!\Oh, no...\I'm told that the Round Table's trade warehouses are already full...\My ship has five hundred tons of cargo!\Are you saying you can arrange\a temperature-controlled warehouse with that kind of capacity immediately?\Well, Michitaka?\It's true that the warehouses are full... response:	The Round Table's warehouses, anyway.
context: Oh, no...\I'm told that the Round Table's trade warehouses are already full...\My ship has five hundred tons of cargo!\Are you saying you can arrange\a temperature-controlled warehouse with that kind of capacity immediately?\Well, Michitaka?\It's true that the warehouses are full...\The Round Table's warehouses, anyway. response:	However...
context: I'm told that the Round Table's trade warehouses are already full...\My ship has five hundred tons of cargo!\Are you saying you can arrange\a temperature-controlled warehouse with that kind of capacity immediately?\Well, Michitaka?\It's true that the warehouses are full...\The Round Table's warehouses, anyway.\However... response:	The Marine Agency's warehouses can hold five thousand tons as easily as five hundred.
context: My ship has five hundred tons of cargo!\Are you saying you can arrange\a temperature-controlled warehouse with that kind of capacity immediately?\Well, Michitaka?\It's true that the warehouses are full...\The Round Table's warehouses, anyway.\However...\The Marine Agency's warehouses can hold five thousand tons as easily as five hundred. response:	If you like, I can also lend you carts.
context: Are you saying you can arrange\a temperature-controlled warehouse with that kind of capacity immediately?\Well, Michitaka?\It's true that the warehouses are full...\The Round Table's warehouses, anyway.\However...\The Marine Agency's warehouses can hold five thousand tons as easily as five hundred.\If you like, I can also lend you carts. response:	Then, let's get everything moved.
context: a temperature-controlled warehouse with that kind of capacity immediately?\Well, Michitaka?\It's true that the warehouses are full...\The Round Table's warehouses, anyway.\However...\The Marine Agency's warehouses can hold five thousand tons as easily as five hundred.\If you like, I can also lend you carts.\Then, let's get everything moved. response:	What's wrong?
context: Well, Michitaka?\It's true that the warehouses are full...\The Round Table's warehouses, anyway.\However...\The Marine Agency's warehouses can hold five thousand tons as easily as five hundred.\If you like, I can also lend you carts.\Then, let's get everything moved.\What's wrong? response:	You aren't going to tell me there isn't any cargo,
context: It's true that the warehouses are full...\The Round Table's warehouses, anyway.\However...\The Marine Agency's warehouses can hold five thousand tons as easily as five hundred.\If you like, I can also lend you carts.\Then, let's get everything moved.\What's wrong?\You aren't going to tell me there isn't any cargo, response:	and this was all a plot against the princess, are you?
