context: Speed: 20 knots Heading out to Open Sea response:	Don't die, brat!
context: Speed: 20 knots Heading out to Open Sea\Don't die, brat! response:	You call that a punch?!
context: Speed: 20 knots Heading out to Open Sea\Don't die, brat!\You call that a punch?! response:	It doesn't even count as a massage.
context: Speed: 20 knots Heading out to Open Sea\Don't die, brat!\You call that a punch?!\It doesn't even count as a massage. response:	Your martial arts skills are below average for the Port Mafia.
context: Speed: 20 knots Heading out to Open Sea\Don't die, brat!\You call that a punch?!\It doesn't even count as a massage.\Your martial arts skills are below average for the Port Mafia. response:	Your ability to neutralize gifts is a nuisance,
context: Speed: 20 knots Heading out to Open Sea\Don't die, brat!\You call that a punch?!\It doesn't even count as a massage.\Your martial arts skills are below average for the Port Mafia.\Your ability to neutralize gifts is a nuisance, response:	but I don't even need to use mine at this point.
context: Speed: 20 knots Heading out to Open Sea\Don't die, brat!\You call that a punch?!\It doesn't even count as a massage.\Your martial arts skills are below average for the Port Mafia.\Your ability to neutralize gifts is a nuisance,\but I don't even need to use mine at this point. response:	Get up.
context: Speed: 20 knots Heading out to Open Sea\Don't die, brat!\You call that a punch?!\It doesn't even count as a massage.\Your martial arts skills are below average for the Port Mafia.\Your ability to neutralize gifts is a nuisance,\but I don't even need to use mine at this point.\Get up. response:	The party's just getting started.
context: Don't die, brat!\You call that a punch?!\It doesn't even count as a massage.\Your martial arts skills are below average for the Port Mafia.\Your ability to neutralize gifts is a nuisance,\but I don't even need to use mine at this point.\Get up.\The party's just getting started. response:	You're not the Port Mafia's top martial artist for nothing.
context: You call that a punch?!\It doesn't even count as a massage.\Your martial arts skills are below average for the Port Mafia.\Your ability to neutralize gifts is a nuisance,\but I don't even need to use mine at this point.\Get up.\The party's just getting started.\You're not the Port Mafia's top martial artist for nothing. response:	Whoops.
context: It doesn't even count as a massage.\Your martial arts skills are below average for the Port Mafia.\Your ability to neutralize gifts is a nuisance,\but I don't even need to use mine at this point.\Get up.\The party's just getting started.\You're not the Port Mafia's top martial artist for nothing.\Whoops. response:	I thought my blocking arm'd get torn off.
context: Your martial arts skills are below average for the Port Mafia.\Your ability to neutralize gifts is a nuisance,\but I don't even need to use mine at this point.\Get up.\The party's just getting started.\You're not the Port Mafia's top martial artist for nothing.\Whoops.\I thought my blocking arm'd get torn off. response:	He blocked my strike with his arm at the last second?
context: Your ability to neutralize gifts is a nuisance,\but I don't even need to use mine at this point.\Get up.\The party's just getting started.\You're not the Port Mafia's top martial artist for nothing.\Whoops.\I thought my blocking arm'd get torn off.\He blocked my strike with his arm at the last second? response:	He's predicting my attacks.
