context: I had no idea that obnoxious guy was Tuxedo Mask. response:	And finally, Zoisite and Tuxedo Mask face off!
context: I had no idea that obnoxious guy was Tuxedo Mask.\And finally, Zoisite and Tuxedo Mask face off! response:	Oh, what is going on?!
context: I had no idea that obnoxious guy was Tuxedo Mask.\And finally, Zoisite and Tuxedo Mask face off!\Oh, what is going on?! response:	Anyway, the only thing I can do right now is beat the bad guys.
context: I had no idea that obnoxious guy was Tuxedo Mask.\And finally, Zoisite and Tuxedo Mask face off!\Oh, what is going on?!\Anyway, the only thing I can do right now is beat the bad guys. response:	In the name of the moon, I will punish you!
context: I had no idea that obnoxious guy was Tuxedo Mask.\And finally, Zoisite and Tuxedo Mask face off!\Oh, what is going on?!\Anyway, the only thing I can do right now is beat the bad guys.\In the name of the moon, I will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: I had no idea that obnoxious guy was Tuxedo Mask.\And finally, Zoisite and Tuxedo Mask face off!\Oh, what is going on?!\Anyway, the only thing I can do right now is beat the bad guys.\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: I had no idea that obnoxious guy was Tuxedo Mask.\And finally, Zoisite and Tuxedo Mask face off!\Oh, what is going on?!\Anyway, the only thing I can do right now is beat the bad guys.\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: I had no idea that obnoxious guy was Tuxedo Mask.\And finally, Zoisite and Tuxedo Mask face off!\Oh, what is going on?!\Anyway, the only thing I can do right now is beat the bad guys.\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: And finally, Zoisite and Tuxedo Mask face off!\Oh, what is going on?!\Anyway, the only thing I can do right now is beat the bad guys.\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: Oh, what is going on?!\Anyway, the only thing I can do right now is beat the bad guys.\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: Anyway, the only thing I can do right now is beat the bad guys.\In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, I will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	In order to trick Tuxedo Mask,
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\In order to trick Tuxedo Mask, response:	Zoisite disguised himself as a fake Sailor Moon.
