context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Looks like his own ultimate spell did a number on him, too.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Looks like his own ultimate spell did a number on him, too. response:	Asta and the others were able to defeat the leader
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Looks like his own ultimate spell did a number on him, too.\Asta and the others were able to defeat the leader response:	of the Eye of the Midnight Sun, Licht.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Looks like his own ultimate spell did a number on him, too.\Asta and the others were able to defeat the leader\of the Eye of the Midnight Sun, Licht. response:	But it was then that the strongest three in the Eye of the Midnight Sun,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Looks like his own ultimate spell did a number on him, too.\Asta and the others were able to defeat the leader\of the Eye of the Midnight Sun, Licht.\But it was then that the strongest three in the Eye of the Midnight Sun, response:	the Third Eye, showed up.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Looks like his own ultimate spell did a number on him, too.\Asta and the others were able to defeat the leader\of the Eye of the Midnight Sun, Licht.\But it was then that the strongest three in the Eye of the Midnight Sun,\the Third Eye, showed up. response:	Well, this definitely doesn't look good.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Looks like his own ultimate spell did a number on him, too.\Asta and the others were able to defeat the leader\of the Eye of the Midnight Sun, Licht.\But it was then that the strongest three in the Eye of the Midnight Sun,\the Third Eye, showed up.\Well, this definitely doesn't look good. response:	How dare you insects do that to my comrades?
context: He was called the Wizard King, and he became a legend.\Looks like his own ultimate spell did a number on him, too.\Asta and the others were able to defeat the leader\of the Eye of the Midnight Sun, Licht.\But it was then that the strongest three in the Eye of the Midnight Sun,\the Third Eye, showed up.\Well, this definitely doesn't look good.\How dare you insects do that to my comrades? response:	I hate those who have hurt Licht.
context: Looks like his own ultimate spell did a number on him, too.\Asta and the others were able to defeat the leader\of the Eye of the Midnight Sun, Licht.\But it was then that the strongest three in the Eye of the Midnight Sun,\the Third Eye, showed up.\Well, this definitely doesn't look good.\How dare you insects do that to my comrades?\I hate those who have hurt Licht. response:	Raia the Disloyal, Vetto the Despair, and Fana the Hateful.
context: Asta and the others were able to defeat the leader\of the Eye of the Midnight Sun, Licht.\But it was then that the strongest three in the Eye of the Midnight Sun,\the Third Eye, showed up.\Well, this definitely doesn't look good.\How dare you insects do that to my comrades?\I hate those who have hurt Licht.\Raia the Disloyal, Vetto the Despair, and Fana the Hateful. response:	I have nothing to worry about, now that you're here.
