context: It happened! response:	It actually happened!
context: It happened!\It actually happened! response:	Dad,
context: It happened!\It actually happened!\Dad, response:	thanks.
context: It happened!\It actually happened!\Dad,\thanks. response:	Sawako...
context: It happened!\It actually happened!\Dad,\thanks.\Sawako... response:	Weren't you shocked?
context: It happened!\It actually happened!\Dad,\thanks.\Sawako...\Weren't you shocked? response:	And upset?
context: It happened!\It actually happened!\Dad,\thanks.\Sawako...\Weren't you shocked?\And upset? response:	You're still happy even if it's from me?
context: It happened!\It actually happened!\Dad,\thanks.\Sawako...\Weren't you shocked?\And upset?\You're still happy even if it's from me? response:	Sawako went to get the newspaper.
context: It actually happened!\Dad,\thanks.\Sawako...\Weren't you shocked?\And upset?\You're still happy even if it's from me?\Sawako went to get the newspaper. response:	Today is December 25th.
context: Dad,\thanks.\Sawako...\Weren't you shocked?\And upset?\You're still happy even if it's from me?\Sawako went to get the newspaper.\Today is December 25th. response:	The day of the closing ceremony.
context: thanks.\Sawako...\Weren't you shocked?\And upset?\You're still happy even if it's from me?\Sawako went to get the newspaper.\Today is December 25th.\The day of the closing ceremony. response:	Man, that was crazy yesterday.
context: Sawako...\Weren't you shocked?\And upset?\You're still happy even if it's from me?\Sawako went to get the newspaper.\Today is December 25th.\The day of the closing ceremony.\Man, that was crazy yesterday. response:	Yeah, that Sadako.
context: Weren't you shocked?\And upset?\You're still happy even if it's from me?\Sawako went to get the newspaper.\Today is December 25th.\The day of the closing ceremony.\Man, that was crazy yesterday.\Yeah, that Sadako. response:	She showed up for the second half of the party yesterday...
context: And upset?\You're still happy even if it's from me?\Sawako went to get the newspaper.\Today is December 25th.\The day of the closing ceremony.\Man, that was crazy yesterday.\Yeah, that Sadako.\She showed up for the second half of the party yesterday... response:	Yoshida handed her the mic, she sang one song and left.
context: You're still happy even if it's from me?\Sawako went to get the newspaper.\Today is December 25th.\The day of the closing ceremony.\Man, that was crazy yesterday.\Yeah, that Sadako.\She showed up for the second half of the party yesterday...\Yoshida handed her the mic, she sang one song and left. response:	And is it just me, or did she come with Kazehaya?
context: Sawako went to get the newspaper.\Today is December 25th.\The day of the closing ceremony.\Man, that was crazy yesterday.\Yeah, that Sadako.\She showed up for the second half of the party yesterday...\Yoshida handed her the mic, she sang one song and left.\And is it just me, or did she come with Kazehaya? response:	No, I think so too.
context: Today is December 25th.\The day of the closing ceremony.\Man, that was crazy yesterday.\Yeah, that Sadako.\She showed up for the second half of the party yesterday...\Yoshida handed her the mic, she sang one song and left.\And is it just me, or did she come with Kazehaya?\No, I think so too. response:	But... no way.
context: The day of the closing ceremony.\Man, that was crazy yesterday.\Yeah, that Sadako.\She showed up for the second half of the party yesterday...\Yoshida handed her the mic, she sang one song and left.\And is it just me, or did she come with Kazehaya?\No, I think so too.\But... no way. response:	You're all stupid.
context: Man, that was crazy yesterday.\Yeah, that Sadako.\She showed up for the second half of the party yesterday...\Yoshida handed her the mic, she sang one song and left.\And is it just me, or did she come with Kazehaya?\No, I think so too.\But... no way.\You're all stupid. response:	I invited her.
context: Yeah, that Sadako.\She showed up for the second half of the party yesterday...\Yoshida handed her the mic, she sang one song and left.\And is it just me, or did she come with Kazehaya?\No, I think so too.\But... no way.\You're all stupid.\I invited her. response:	Kazehaya lost to me in a game yesterday, so he had to wait for her.
context: She showed up for the second half of the party yesterday...\Yoshida handed her the mic, she sang one song and left.\And is it just me, or did she come with Kazehaya?\No, I think so too.\But... no way.\You're all stupid.\I invited her.\Kazehaya lost to me in a game yesterday, so he had to wait for her. response:	Sawako didn't know where the second half of the party was.
context: Yoshida handed her the mic, she sang one song and left.\And is it just me, or did she come with Kazehaya?\No, I think so too.\But... no way.\You're all stupid.\I invited her.\Kazehaya lost to me in a game yesterday, so he had to wait for her.\Sawako didn't know where the second half of the party was. response:	Oh, no wonder.
context: And is it just me, or did she come with Kazehaya?\No, I think so too.\But... no way.\You're all stupid.\I invited her.\Kazehaya lost to me in a game yesterday, so he had to wait for her.\Sawako didn't know where the second half of the party was.\Oh, no wonder. response:	Not done yet.
context: No, I think so too.\But... no way.\You're all stupid.\I invited her.\Kazehaya lost to me in a game yesterday, so he had to wait for her.\Sawako didn't know where the second half of the party was.\Oh, no wonder.\Not done yet. response:	There's still tasty stuff like Valentine's Day coming up.
context: But... no way.\You're all stupid.\I invited her.\Kazehaya lost to me in a game yesterday, so he had to wait for her.\Sawako didn't know where the second half of the party was.\Oh, no wonder.\Not done yet.\There's still tasty stuff like Valentine's Day coming up. response:	I can't let you ruin it with your antics.
context: You're all stupid.\I invited her.\Kazehaya lost to me in a game yesterday, so he had to wait for her.\Sawako didn't know where the second half of the party was.\Oh, no wonder.\Not done yet.\There's still tasty stuff like Valentine's Day coming up.\I can't let you ruin it with your antics. response:	What's this bad feeling I'm getting?
context: I invited her.\Kazehaya lost to me in a game yesterday, so he had to wait for her.\Sawako didn't know where the second half of the party was.\Oh, no wonder.\Not done yet.\There's still tasty stuff like Valentine's Day coming up.\I can't let you ruin it with your antics.\What's this bad feeling I'm getting? response:	Besides, Sawako isn't even there yet.
context: Kazehaya lost to me in a game yesterday, so he had to wait for her.\Sawako didn't know where the second half of the party was.\Oh, no wonder.\Not done yet.\There's still tasty stuff like Valentine's Day coming up.\I can't let you ruin it with your antics.\What's this bad feeling I'm getting?\Besides, Sawako isn't even there yet. response:	She might go on about Kazehaya's reputation” and stuff again.
context: Sawako didn't know where the second half of the party was.\Oh, no wonder.\Not done yet.\There's still tasty stuff like Valentine's Day coming up.\I can't let you ruin it with your antics.\What's this bad feeling I'm getting?\Besides, Sawako isn't even there yet.\She might go on about Kazehaya's reputation” and stuff again. response:	Morning.
context: Oh, no wonder.\Not done yet.\There's still tasty stuff like Valentine's Day coming up.\I can't let you ruin it with your antics.\What's this bad feeling I'm getting?\Besides, Sawako isn't even there yet.\She might go on about Kazehaya's reputation” and stuff again.\Morning. response:	M-Morning.
context: Not done yet.\There's still tasty stuff like Valentine's Day coming up.\I can't let you ruin it with your antics.\What's this bad feeling I'm getting?\Besides, Sawako isn't even there yet.\She might go on about Kazehaya's reputation” and stuff again.\Morning.\M-Morning. response:	They responded!
context: There's still tasty stuff like Valentine's Day coming up.\I can't let you ruin it with your antics.\What's this bad feeling I'm getting?\Besides, Sawako isn't even there yet.\She might go on about Kazehaya's reputation” and stuff again.\Morning.\M-Morning.\They responded! response:	Kazehaya...
context: I can't let you ruin it with your antics.\What's this bad feeling I'm getting?\Besides, Sawako isn't even there yet.\She might go on about Kazehaya's reputation” and stuff again.\Morning.\M-Morning.\They responded!\Kazehaya... response:	You're here early.
