context: Karasuno Aoba Johsai response:	Oikawa, you're back.
context: Karasuno Aoba Johsai\Oikawa, you're back. response:	How's the ankle?
context: Karasuno Aoba Johsai\Oikawa, you're back.\How's the ankle? response:	It's fine. I can get back to regular practice.
context: Karasuno Aoba Johsai\Oikawa, you're back.\How's the ankle?\It's fine. I can get back to regular practice. response:	It was just a slight sprain.
context: Karasuno Aoba Johsai\Oikawa, you're back.\How's the ankle?\It's fine. I can get back to regular practice.\It was just a slight sprain. response:	For crying out loud! Be careful.
context: Karasuno Aoba Johsai\Oikawa, you're back.\How's the ankle?\It's fine. I can get back to regular practice.\It was just a slight sprain.\For crying out loud! Be careful. response:	You're the one that asked to play against Kageyama.
context: Karasuno Aoba Johsai\Oikawa, you're back.\How's the ankle?\It's fine. I can get back to regular practice.\It was just a slight sprain.\For crying out loud! Be careful.\You're the one that asked to play against Kageyama. response:	What do we do without our official setter?
context: Karasuno Aoba Johsai\Oikawa, you're back.\How's the ankle?\It's fine. I can get back to regular practice.\It was just a slight sprain.\For crying out loud! Be careful.\You're the one that asked to play against Kageyama.\What do we do without our official setter? response:	It's embarrassing.
context: Oikawa, you're back.\How's the ankle?\It's fine. I can get back to regular practice.\It was just a slight sprain.\For crying out loud! Be careful.\You're the one that asked to play against Kageyama.\What do we do without our official setter?\It's embarrassing. response:	I'm sorry.
context: How's the ankle?\It's fine. I can get back to regular practice.\It was just a slight sprain.\For crying out loud! Be careful.\You're the one that asked to play against Kageyama.\What do we do without our official setter?\It's embarrassing.\I'm sorry. response:	Oikawa-san, take care of yourself!
context: It's fine. I can get back to regular practice.\It was just a slight sprain.\For crying out loud! Be careful.\You're the one that asked to play against Kageyama.\What do we do without our official setter?\It's embarrassing.\I'm sorry.\Oikawa-san, take care of yourself! response:	Kageyama-kun, who's that laid-back guy?
context: It was just a slight sprain.\For crying out loud! Be careful.\You're the one that asked to play against Kageyama.\What do we do without our official setter?\It's embarrassing.\I'm sorry.\Oikawa-san, take care of yourself!\Kageyama-kun, who's that laid-back guy? response:	I find him unpleasant.
context: For crying out loud! Be careful.\You're the one that asked to play against Kageyama.\What do we do without our official setter?\It's embarrassing.\I'm sorry.\Oikawa-san, take care of yourself!\Kageyama-kun, who's that laid-back guy?\I find him unpleasant. response:	He's the captain of Seijoh.
context: You're the one that asked to play against Kageyama.\What do we do without our official setter?\It's embarrassing.\I'm sorry.\Oikawa-san, take care of yourself!\Kageyama-kun, who's that laid-back guy?\I find him unpleasant.\He's the captain of Seijoh. response:	Oikawa-san is a super-aggressive setter.
context: What do we do without our official setter?\It's embarrassing.\I'm sorry.\Oikawa-san, take care of yourself!\Kageyama-kun, who's that laid-back guy?\I find him unpleasant.\He's the captain of Seijoh.\Oikawa-san is a super-aggressive setter. response:	His attack power is also at the top of his team.
context: It's embarrassing.\I'm sorry.\Oikawa-san, take care of yourself!\Kageyama-kun, who's that laid-back guy?\I find him unpleasant.\He's the captain of Seijoh.\Oikawa-san is a super-aggressive setter.\His attack power is also at the top of his team. response:	Even Kageyama acknowledges that player's abilities...
context: I'm sorry.\Oikawa-san, take care of yourself!\Kageyama-kun, who's that laid-back guy?\I find him unpleasant.\He's the captain of Seijoh.\Oikawa-san is a super-aggressive setter.\His attack power is also at the top of his team.\Even Kageyama acknowledges that player's abilities... response:	And he's got a terrible personality.
context: Oikawa-san, take care of yourself!\Kageyama-kun, who's that laid-back guy?\I find him unpleasant.\He's the captain of Seijoh.\Oikawa-san is a super-aggressive setter.\His attack power is also at the top of his team.\Even Kageyama acknowledges that player's abilities...\And he's got a terrible personality. response:	Coming from you, that's scary...
context: Kageyama-kun, who's that laid-back guy?\I find him unpleasant.\He's the captain of Seijoh.\Oikawa-san is a super-aggressive setter.\His attack power is also at the top of his team.\Even Kageyama acknowledges that player's abilities...\And he's got a terrible personality.\Coming from you, that's scary... response:	Maybe even worse than Tsukishima.
context: I find him unpleasant.\He's the captain of Seijoh.\Oikawa-san is a super-aggressive setter.\His attack power is also at the top of his team.\Even Kageyama acknowledges that player's abilities...\And he's got a terrible personality.\Coming from you, that's scary...\Maybe even worse than Tsukishima. response:	He must be really bad.
context: He's the captain of Seijoh.\Oikawa-san is a super-aggressive setter.\His attack power is also at the top of his team.\Even Kageyama acknowledges that player's abilities...\And he's got a terrible personality.\Coming from you, that's scary...\Maybe even worse than Tsukishima.\He must be really bad. response:	Do you know him from Kitagawa Daiichi?
context: Oikawa-san is a super-aggressive setter.\His attack power is also at the top of his team.\Even Kageyama acknowledges that player's abilities...\And he's got a terrible personality.\Coming from you, that's scary...\Maybe even worse than Tsukishima.\He must be really bad.\Do you know him from Kitagawa Daiichi? response:	Yes.
context: His attack power is also at the top of his team.\Even Kageyama acknowledges that player's abilities...\And he's got a terrible personality.\Coming from you, that's scary...\Maybe even worse than Tsukishima.\He must be really bad.\Do you know him from Kitagawa Daiichi?\Yes. response:	He was my senpai in junior high.
context: Even Kageyama acknowledges that player's abilities...\And he's got a terrible personality.\Coming from you, that's scary...\Maybe even worse than Tsukishima.\He must be really bad.\Do you know him from Kitagawa Daiichi?\Yes.\He was my senpai in junior high. response:	A senpai of the King. That would make him...
context: And he's got a terrible personality.\Coming from you, that's scary...\Maybe even worse than Tsukishima.\He must be really bad.\Do you know him from Kitagawa Daiichi?\Yes.\He was my senpai in junior high.\A senpai of the King. That would make him... response:	The Great King.
context: Coming from you, that's scary...\Maybe even worse than Tsukishima.\He must be really bad.\Do you know him from Kitagawa Daiichi?\Yes.\He was my senpai in junior high.\A senpai of the King. That would make him...\The Great King. response:	Yoo-hoo! Long time no see, Tobio-chan.
context: Maybe even worse than Tsukishima.\He must be really bad.\Do you know him from Kitagawa Daiichi?\Yes.\He was my senpai in junior high.\A senpai of the King. That would make him...\The Great King.\Yoo-hoo! Long time no see, Tobio-chan. response:	Haikyu!!
context: He must be really bad.\Do you know him from Kitagawa Daiichi?\Yes.\He was my senpai in junior high.\A senpai of the King. That would make him...\The Great King.\Yoo-hoo! Long time no see, Tobio-chan.\Haikyu!! response:	Long time no see, Tobio-chan.
context: Do you know him from Kitagawa Daiichi?\Yes.\He was my senpai in junior high.\A senpai of the King. That would make him...\The Great King.\Yoo-hoo! Long time no see, Tobio-chan.\Haikyu!!\Long time no see, Tobio-chan. response:	Episode 7: Versus the Great King
context: Yes.\He was my senpai in junior high.\A senpai of the King. That would make him...\The Great King.\Yoo-hoo! Long time no see, Tobio-chan.\Haikyu!!\Long time no see, Tobio-chan.\Episode 7: Versus the Great King response:	So nice to see you.
context: He was my senpai in junior high.\A senpai of the King. That would make him...\The Great King.\Yoo-hoo! Long time no see, Tobio-chan.\Haikyu!!\Long time no see, Tobio-chan.\Episode 7: Versus the Great King\So nice to see you. response:	You still doing the King thing?
context: A senpai of the King. That would make him...\The Great King.\Yoo-hoo! Long time no see, Tobio-chan.\Haikyu!!\Long time no see, Tobio-chan.\Episode 7: Versus the Great King\So nice to see you.\You still doing the King thing? response:	I learned serving and blocking by watching him play.
context: The Great King.\Yoo-hoo! Long time no see, Tobio-chan.\Haikyu!!\Long time no see, Tobio-chan.\Episode 7: Versus the Great King\So nice to see you.\You still doing the King thing?\I learned serving and blocking by watching him play. response:	His skills are extremely high.
context: Yoo-hoo! Long time no see, Tobio-chan.\Haikyu!!\Long time no see, Tobio-chan.\Episode 7: Versus the Great King\So nice to see you.\You still doing the King thing?\I learned serving and blocking by watching him play.\His skills are extremely high. response:	He taught him those killer serves?
context: Haikyu!!\Long time no see, Tobio-chan.\Episode 7: Versus the Great King\So nice to see you.\You still doing the King thing?\I learned serving and blocking by watching him play.\His skills are extremely high.\He taught him those killer serves? response:	But we have to focus on the match now.
context: Long time no see, Tobio-chan.\Episode 7: Versus the Great King\So nice to see you.\You still doing the King thing?\I learned serving and blocking by watching him play.\His skills are extremely high.\He taught him those killer serves?\But we have to focus on the match now. response:	We're going to win the final set for sure.
context: Episode 7: Versus the Great King\So nice to see you.\You still doing the King thing?\I learned serving and blocking by watching him play.\His skills are extremely high.\He taught him those killer serves?\But we have to focus on the match now.\We're going to win the final set for sure. response:	Y-Yeah.
context: So nice to see you.\You still doing the King thing?\I learned serving and blocking by watching him play.\His skills are extremely high.\He taught him those killer serves?\But we have to focus on the match now.\We're going to win the final set for sure.\Y-Yeah. response:	Tanaka-san, please stop with the intimidation.
context: You still doing the King thing?\I learned serving and blocking by watching him play.\His skills are extremely high.\He taught him those killer serves?\But we have to focus on the match now.\We're going to win the final set for sure.\Y-Yeah.\Tanaka-san, please stop with the intimidation. response:	Anyway, go get warmed up.
context: I learned serving and blocking by watching him play.\His skills are extremely high.\He taught him those killer serves?\But we have to focus on the match now.\We're going to win the final set for sure.\Y-Yeah.\Tanaka-san, please stop with the intimidation.\Anyway, go get warmed up. response:	Even more than usual.
context: His skills are extremely high.\He taught him those killer serves?\But we have to focus on the match now.\We're going to win the final set for sure.\Y-Yeah.\Tanaka-san, please stop with the intimidation.\Anyway, go get warmed up.\Even more than usual. response:	Yes.
context: He taught him those killer serves?\But we have to focus on the match now.\We're going to win the final set for sure.\Y-Yeah.\Tanaka-san, please stop with the intimidation.\Anyway, go get warmed up.\Even more than usual.\Yes. response:	I'm crushing him. I'm serious.
context: But we have to focus on the match now.\We're going to win the final set for sure.\Y-Yeah.\Tanaka-san, please stop with the intimidation.\Anyway, go get warmed up.\Even more than usual.\Yes.\I'm crushing him. I'm serious. response:	Aoba Johsai Karasuno
context: We're going to win the final set for sure.\Y-Yeah.\Tanaka-san, please stop with the intimidation.\Anyway, go get warmed up.\Even more than usual.\Yes.\I'm crushing him. I'm serious.\Aoba Johsai Karasuno response:	When's Oikawa-san going to play?
context: Y-Yeah.\Tanaka-san, please stop with the intimidation.\Anyway, go get warmed up.\Even more than usual.\Yes.\I'm crushing him. I'm serious.\Aoba Johsai Karasuno\When's Oikawa-san going to play? response:	Idiot. He has to warm up or he could get hurt.
context: Tanaka-san, please stop with the intimidation.\Anyway, go get warmed up.\Even more than usual.\Yes.\I'm crushing him. I'm serious.\Aoba Johsai Karasuno\When's Oikawa-san going to play?\Idiot. He has to warm up or he could get hurt. response:	That wouldn't be good!
context: Anyway, go get warmed up.\Even more than usual.\Yes.\I'm crushing him. I'm serious.\Aoba Johsai Karasuno\When's Oikawa-san going to play?\Idiot. He has to warm up or he could get hurt.\That wouldn't be good! response:	Here, here, here.
context: Even more than usual.\Yes.\I'm crushing him. I'm serious.\Aoba Johsai Karasuno\When's Oikawa-san going to play?\Idiot. He has to warm up or he could get hurt.\That wouldn't be good!\Here, here, here. response:	Aoba Johsai Karasuno
context: Yes.\I'm crushing him. I'm serious.\Aoba Johsai Karasuno\When's Oikawa-san going to play?\Idiot. He has to warm up or he could get hurt.\That wouldn't be good!\Here, here, here.\Aoba Johsai Karasuno response:	One more point.
context: I'm crushing him. I'm serious.\Aoba Johsai Karasuno\When's Oikawa-san going to play?\Idiot. He has to warm up or he could get hurt.\That wouldn't be good!\Here, here, here.\Aoba Johsai Karasuno\One more point. response:	Only one more point...
context: Aoba Johsai Karasuno\When's Oikawa-san going to play?\Idiot. He has to warm up or he could get hurt.\That wouldn't be good!\Here, here, here.\Aoba Johsai Karasuno\One more point.\Only one more point... response:	and we will beat Seijoh, rated in the top four in the prefecture.
context: When's Oikawa-san going to play?\Idiot. He has to warm up or he could get hurt.\That wouldn't be good!\Here, here, here.\Aoba Johsai Karasuno\One more point.\Only one more point...\and we will beat Seijoh, rated in the top four in the prefecture. response:	Don't get cocky!
context: Idiot. He has to warm up or he could get hurt.\That wouldn't be good!\Here, here, here.\Aoba Johsai Karasuno\One more point.\Only one more point...\and we will beat Seijoh, rated in the top four in the prefecture.\Don't get cocky! response:	Kindaichi, nice.
context: That wouldn't be good!\Here, here, here.\Aoba Johsai Karasuno\One more point.\Only one more point...\and we will beat Seijoh, rated in the top four in the prefecture.\Don't get cocky!\Kindaichi, nice. response:	Don't mind, Tsukishima.
context: Here, here, here.\Aoba Johsai Karasuno\One more point.\Only one more point...\and we will beat Seijoh, rated in the top four in the prefecture.\Don't get cocky!\Kindaichi, nice.\Don't mind, Tsukishima. response:	Oh my. We're in a crisis.
context: Aoba Johsai Karasuno\One more point.\Only one more point...\and we will beat Seijoh, rated in the top four in the prefecture.\Don't get cocky!\Kindaichi, nice.\Don't mind, Tsukishima.\Oh my. We're in a crisis. response:	Did you get warmed up?
context: One more point.\Only one more point...\and we will beat Seijoh, rated in the top four in the prefecture.\Don't get cocky!\Kindaichi, nice.\Don't mind, Tsukishima.\Oh my. We're in a crisis.\Did you get warmed up? response:	Perfectly.
context: Only one more point...\and we will beat Seijoh, rated in the top four in the prefecture.\Don't get cocky!\Kindaichi, nice.\Don't mind, Tsukishima.\Oh my. We're in a crisis.\Did you get warmed up?\Perfectly. response:	Leave the rest to your senpai.
context: and we will beat Seijoh, rated in the top four in the prefecture.\Don't get cocky!\Kindaichi, nice.\Don't mind, Tsukishima.\Oh my. We're in a crisis.\Did you get warmed up?\Perfectly.\Leave the rest to your senpai. response:	Yes.
context: Don't get cocky!\Kindaichi, nice.\Don't mind, Tsukishima.\Oh my. We're in a crisis.\Did you get warmed up?\Perfectly.\Leave the rest to your senpai.\Yes. response:	He's here! The Great King!
context: Kindaichi, nice.\Don't mind, Tsukishima.\Oh my. We're in a crisis.\Did you get warmed up?\Perfectly.\Leave the rest to your senpai.\Yes.\He's here! The Great King! response:	Stop that.
context: Don't mind, Tsukishima.\Oh my. We're in a crisis.\Did you get warmed up?\Perfectly.\Leave the rest to your senpai.\Yes.\He's here! The Great King!\Stop that. response:	Does that mean we're switching setters?
context: Oh my. We're in a crisis.\Did you get warmed up?\Perfectly.\Leave the rest to your senpai.\Yes.\He's here! The Great King!\Stop that.\Does that mean we're switching setters? response:	No, I think he's a pinch-server.
context: Did you get warmed up?\Perfectly.\Leave the rest to your senpai.\Yes.\He's here! The Great King!\Stop that.\Does that mean we're switching setters?\No, I think he's a pinch-server. response:	Oikawa, nice serve.
context: Perfectly.\Leave the rest to your senpai.\Yes.\He's here! The Great King!\Stop that.\Does that mean we're switching setters?\No, I think he's a pinch-server.\Oikawa, nice serve. response:	No matter how strong your offense is...
context: Leave the rest to your senpai.\Yes.\He's here! The Great King!\Stop that.\Does that mean we're switching setters?\No, I think he's a pinch-server.\Oikawa, nice serve.\No matter how strong your offense is... response:	It means nothing if you can't connect to it.
context: Yes.\He's here! The Great King!\Stop that.\Does that mean we're switching setters?\No, I think he's a pinch-server.\Oikawa, nice serve.\No matter how strong your offense is...\It means nothing if you can't connect to it. response:	What?
context: He's here! The Great King!\Stop that.\Does that mean we're switching setters?\No, I think he's a pinch-server.\Oikawa, nice serve.\No matter how strong your offense is...\It means nothing if you can't connect to it.\What? response:	He aimed it at Tsukishima.
context: Stop that.\Does that mean we're switching setters?\No, I think he's a pinch-server.\Oikawa, nice serve.\No matter how strong your offense is...\It means nothing if you can't connect to it.\What?\He aimed it at Tsukishima. response:	Tsukki.
context: Does that mean we're switching setters?\No, I think he's a pinch-server.\Oikawa, nice serve.\No matter how strong your offense is...\It means nothing if you can't connect to it.\What?\He aimed it at Tsukishima.\Tsukki. response:	Just as I thought. I watched part of the match...
context: No, I think he's a pinch-server.\Oikawa, nice serve.\No matter how strong your offense is...\It means nothing if you can't connect to it.\What?\He aimed it at Tsukishima.\Tsukki.\Just as I thought. I watched part of the match... response:	You, number 6, and you, number 5.
context: Oikawa, nice serve.\No matter how strong your offense is...\It means nothing if you can't connect to it.\What?\He aimed it at Tsukishima.\Tsukki.\Just as I thought. I watched part of the match...\You, number 6, and you, number 5. response:	You're not good receivers, are you?
context: No matter how strong your offense is...\It means nothing if you can't connect to it.\What?\He aimed it at Tsukishima.\Tsukki.\Just as I thought. I watched part of the match...\You, number 6, and you, number 5.\You're not good receivers, are you? response:	You must be first-years.
context: It means nothing if you can't connect to it.\What?\He aimed it at Tsukishima.\Tsukki.\Just as I thought. I watched part of the match...\You, number 6, and you, number 5.\You're not good receivers, are you?\You must be first-years. response:	Like Kageyama... No, even more powerful than him.
context: What?\He aimed it at Tsukishima.\Tsukki.\Just as I thought. I watched part of the match...\You, number 6, and you, number 5.\You're not good receivers, are you?\You must be first-years.\Like Kageyama... No, even more powerful than him. response:	His ball control allows him to hit it anywhere he wants.
context: He aimed it at Tsukishima.\Tsukki.\Just as I thought. I watched part of the match...\You, number 6, and you, number 5.\You're not good receivers, are you?\You must be first-years.\Like Kageyama... No, even more powerful than him.\His ball control allows him to hit it anywhere he wants. response:	So this is the captain of Seijoh.
context: Tsukki.\Just as I thought. I watched part of the match...\You, number 6, and you, number 5.\You're not good receivers, are you?\You must be first-years.\Like Kageyama... No, even more powerful than him.\His ball control allows him to hit it anywhere he wants.\So this is the captain of Seijoh. response:	Okay, let's score another one.
context: Just as I thought. I watched part of the match...\You, number 6, and you, number 5.\You're not good receivers, are you?\You must be first-years.\Like Kageyama... No, even more powerful than him.\His ball control allows him to hit it anywhere he wants.\So this is the captain of Seijoh.\Okay, let's score another one. response:	Tsukki!
context: You, number 6, and you, number 5.\You're not good receivers, are you?\You must be first-years.\Like Kageyama... No, even more powerful than him.\His ball control allows him to hit it anywhere he wants.\So this is the captain of Seijoh.\Okay, let's score another one.\Tsukki! response:	Damn.
context: You're not good receivers, are you?\You must be first-years.\Like Kageyama... No, even more powerful than him.\His ball control allows him to hit it anywhere he wants.\So this is the captain of Seijoh.\Okay, let's score another one.\Tsukki!\Damn. response:	Don't mind, Tsukishima.
context: You must be first-years.\Like Kageyama... No, even more powerful than him.\His ball control allows him to hit it anywhere he wants.\So this is the captain of Seijoh.\Okay, let's score another one.\Tsukki!\Damn.\Don't mind, Tsukishima. response:	Tsukishima is always mean. I hate him.
context: Like Kageyama... No, even more powerful than him.\His ball control allows him to hit it anywhere he wants.\So this is the captain of Seijoh.\Okay, let's score another one.\Tsukki!\Damn.\Don't mind, Tsukishima.\Tsukishima is always mean. I hate him. response:	But this time...
context: His ball control allows him to hit it anywhere he wants.\So this is the captain of Seijoh.\Okay, let's score another one.\Tsukki!\Damn.\Don't mind, Tsukishima.\Tsukishima is always mean. I hate him.\But this time... response:	Aoba Johsai Karasuno
context: So this is the captain of Seijoh.\Okay, let's score another one.\Tsukki!\Damn.\Don't mind, Tsukishima.\Tsukishima is always mean. I hate him.\But this time...\Aoba Johsai Karasuno response:	Oh. One more point and we're tied.
context: Okay, let's score another one.\Tsukki!\Damn.\Don't mind, Tsukishima.\Tsukishima is always mean. I hate him.\But this time...\Aoba Johsai Karasuno\Oh. One more point and we're tied. response:	Hey. You, Great King.
context: Tsukki!\Damn.\Don't mind, Tsukishima.\Tsukishima is always mean. I hate him.\But this time...\Aoba Johsai Karasuno\Oh. One more point and we're tied.\Hey. You, Great King. response:	Aim at me. I'll receive it. Aim here.
context: Damn.\Don't mind, Tsukishima.\Tsukishima is always mean. I hate him.\But this time...\Aoba Johsai Karasuno\Oh. One more point and we're tied.\Hey. You, Great King.\Aim at me. I'll receive it. Aim here. response:	Great King?
context: Don't mind, Tsukishima.\Tsukishima is always mean. I hate him.\But this time...\Aoba Johsai Karasuno\Oh. One more point and we're tied.\Hey. You, Great King.\Aim at me. I'll receive it. Aim here.\Great King? response:	Stop raising a fuss. It's embarrassing.
context: Tsukishima is always mean. I hate him.\But this time...\Aoba Johsai Karasuno\Oh. One more point and we're tied.\Hey. You, Great King.\Aim at me. I'll receive it. Aim here.\Great King?\Stop raising a fuss. It's embarrassing. response:	What did you say?
context: But this time...\Aoba Johsai Karasuno\Oh. One more point and we're tied.\Hey. You, Great King.\Aim at me. I'll receive it. Aim here.\Great King?\Stop raising a fuss. It's embarrassing.\What did you say? response:	We're in real trouble, and he still irritates me.
context: Aoba Johsai Karasuno\Oh. One more point and we're tied.\Hey. You, Great King.\Aim at me. I'll receive it. Aim here.\Great King?\Stop raising a fuss. It's embarrassing.\What did you say?\We're in real trouble, and he still irritates me. response:	But... but...
context: Oh. One more point and we're tied.\Hey. You, Great King.\Aim at me. I'll receive it. Aim here.\Great King?\Stop raising a fuss. It's embarrassing.\What did you say?\We're in real trouble, and he still irritates me.\But... but... response:	Listen.
context: Hey. You, Great King.\Aim at me. I'll receive it. Aim here.\Great King?\Stop raising a fuss. It's embarrassing.\What did you say?\We're in real trouble, and he still irritates me.\But... but...\Listen. response:	In volleyball,
context: Aim at me. I'll receive it. Aim here.\Great King?\Stop raising a fuss. It's embarrassing.\What did you say?\We're in real trouble, and he still irritates me.\But... but...\Listen.\In volleyball, response:	In volleyball,
context: Great King?\Stop raising a fuss. It's embarrassing.\What did you say?\We're in real trouble, and he still irritates me.\But... but...\Listen.\In volleyball,\In volleyball, response:	everyone on this side of the net is your ally.
context: Stop raising a fuss. It's embarrassing.\What did you say?\We're in real trouble, and he still irritates me.\But... but...\Listen.\In volleyball,\In volleyball,\everyone on this side of the net is your ally. response:	What a beautiful adage.
context: What did you say?\We're in real trouble, and he still irritates me.\But... but...\Listen.\In volleyball,\In volleyball,\everyone on this side of the net is your ally.\What a beautiful adage. response:	All right. All of you scoot to the back.
context: We're in real trouble, and he still irritates me.\But... but...\Listen.\In volleyball,\In volleyball,\everyone on this side of the net is your ally.\What a beautiful adage.\All right. All of you scoot to the back. response:	Tsukishima, you go closer to the sideline.
context: But... but...\Listen.\In volleyball,\In volleyball,\everyone on this side of the net is your ally.\What a beautiful adage.\All right. All of you scoot to the back.\Tsukishima, you go closer to the sideline. response:	Yes.
