context: W- what is this!? response:	I- it's Son Goku's boy...
context: W- what is this!?\I- it's Son Goku's boy... response:	I- impossible!
context: W- what is this!?\I- it's Son Goku's boy...\I- impossible! response:	G- Gohan!
context: W- what is this!?\I- it's Son Goku's boy...\I- impossible!\G- Gohan! response:	R- run, Gohan!
context: W- what is this!?\I- it's Son Goku's boy...\I- impossible!\G- Gohan!\R- run, Gohan! response:	Run away!
context: W- what is this!?\I- it's Son Goku's boy...\I- impossible!\G- Gohan!\R- run, Gohan!\Run away! response:	B- Battle power...
context: W- what is this!?\I- it's Son Goku's boy...\I- impossible!\G- Gohan!\R- run, Gohan!\Run away!\B- Battle power... response:	O- one thousand... one thousand three hundred seven!?
context: W- what is this!?\I- it's Son Goku's boy...\I- impossible!\G- Gohan!\R- run, Gohan!\Run away!\B- Battle power...\O- one thousand... one thousand three hundred seven!? response:	Stop picking on...
context: I- it's Son Goku's boy...\I- impossible!\G- Gohan!\R- run, Gohan!\Run away!\B- Battle power...\O- one thousand... one thousand three hundred seven!?\Stop picking on... response:	G- Gohan?
context: I- impossible!\G- Gohan!\R- run, Gohan!\Run away!\B- Battle power...\O- one thousand... one thousand three hundred seven!?\Stop picking on...\G- Gohan? response:	Father?
context: G- Gohan!\R- run, Gohan!\Run away!\B- Battle power...\O- one thousand... one thousand three hundred seven!?\Stop picking on...\G- Gohan?\Father? response:	Did you-?
context: R- run, Gohan!\Run away!\B- Battle power...\O- one thousand... one thousand three hundred seven!?\Stop picking on...\G- Gohan?\Father?\Did you-? response:	Father...
context: Run away!\B- Battle power...\O- one thousand... one thousand three hundred seven!?\Stop picking on...\G- Gohan?\Father?\Did you-?\Father... response:	Y- you little brat!
context: B- Battle power...\O- one thousand... one thousand three hundred seven!?\Stop picking on...\G- Gohan?\Father?\Did you-?\Father...\Y- you little brat! response:	R- run!
context: O- one thousand... one thousand three hundred seven!?\Stop picking on...\G- Gohan?\Father?\Did you-?\Father...\Y- you little brat!\R- run! response:	Gohan, run away!
context: Stop picking on...\G- Gohan?\Father?\Did you-?\Father...\Y- you little brat!\R- run!\Gohan, run away! response:	Run away! Quickly!
context: G- Gohan?\Father?\Did you-?\Father...\Y- you little brat!\R- run!\Gohan, run away!\Run away! Quickly! response:	N- now his battle power is a mere 1?
context: Father?\Did you-?\Father...\Y- you little brat!\R- run!\Gohan, run away!\Run away! Quickly!\N- now his battle power is a mere 1? response:	It changed suddenly, along with his emotions.
context: Did you-?\Father...\Y- you little brat!\R- run!\Gohan, run away!\Run away! Quickly!\N- now his battle power is a mere 1?\It changed suddenly, along with his emotions. response:	Father...
context: Father...\Y- you little brat!\R- run!\Gohan, run away!\Run away! Quickly!\N- now his battle power is a mere 1?\It changed suddenly, along with his emotions.\Father... response:	Run!
context: Y- you little brat!\R- run!\Gohan, run away!\Run away! Quickly!\N- now his battle power is a mere 1?\It changed suddenly, along with his emotions.\Father...\Run! response:	Gohan!
context: R- run!\Gohan, run away!\Run away! Quickly!\N- now his battle power is a mere 1?\It changed suddenly, along with his emotions.\Father...\Run!\Gohan! response:	Gohan!
context: Gohan, run away!\Run away! Quickly!\N- now his battle power is a mere 1?\It changed suddenly, along with his emotions.\Father...\Run!\Gohan!\Gohan! response:	S- stop! Please stop! He's-
context: Run away! Quickly!\N- now his battle power is a mere 1?\It changed suddenly, along with his emotions.\Father...\Run!\Gohan!\Gohan!\S- stop! Please stop! He's- response:	-still just a child? Is that what you were going to say?
context: N- now his battle power is a mere 1?\It changed suddenly, along with his emotions.\Father...\Run!\Gohan!\Gohan!\S- stop! Please stop! He's-\-still just a child? Is that what you were going to say? response:	You've got to be joking! That brat has a battle power far higher than you two!
context: It changed suddenly, along with his emotions.\Father...\Run!\Gohan!\Gohan!\S- stop! Please stop! He's-\-still just a child? Is that what you were going to say?\You've got to be joking! That brat has a battle power far higher than you two! response:	I'm going to kill him now,
context: Father...\Run!\Gohan!\Gohan!\S- stop! Please stop! He's-\-still just a child? Is that what you were going to say?\You've got to be joking! That brat has a battle power far higher than you two!\I'm going to kill him now, response:	while he's still incapable of adeptly using his power.
context: Run!\Gohan!\Gohan!\S- stop! Please stop! He's-\-still just a child? Is that what you were going to say?\You've got to be joking! That brat has a battle power far higher than you two!\I'm going to kill him now,\while he's still incapable of adeptly using his power. response:	Don't worry. You'll see him again soon enough!
context: Gohan!\Gohan!\S- stop! Please stop! He's-\-still just a child? Is that what you were going to say?\You've got to be joking! That brat has a battle power far higher than you two!\I'm going to kill him now,\while he's still incapable of adeptly using his power.\Don't worry. You'll see him again soon enough! response:	In the Other World, that is.
context: Gohan!\S- stop! Please stop! He's-\-still just a child? Is that what you were going to say?\You've got to be joking! That brat has a battle power far higher than you two!\I'm going to kill him now,\while he's still incapable of adeptly using his power.\Don't worry. You'll see him again soon enough!\In the Other World, that is. response:	Wait!
context: S- stop! Please stop! He's-\-still just a child? Is that what you were going to say?\You've got to be joking! That brat has a battle power far higher than you two!\I'm going to kill him now,\while he's still incapable of adeptly using his power.\Don't worry. You'll see him again soon enough!\In the Other World, that is.\Wait! response:	You're the first one who has inflicted this much damage on me.
context: -still just a child? Is that what you were going to say?\You've got to be joking! That brat has a battle power far higher than you two!\I'm going to kill him now,\while he's still incapable of adeptly using his power.\Don't worry. You'll see him again soon enough!\In the Other World, that is.\Wait!\You're the first one who has inflicted this much damage on me. response:	But this is the end of the line for you.
context: You've got to be joking! That brat has a battle power far higher than you two!\I'm going to kill him now,\while he's still incapable of adeptly using his power.\Don't worry. You'll see him again soon enough!\In the Other World, that is.\Wait!\You're the first one who has inflicted this much damage on me.\But this is the end of the line for you. response:	W- why, you!
