context: < Ministry of Internal Affairs and Communications, Statistics Bureau response:	< Second Investigation Division
context: < Ministry of Internal Affairs and Communications, Statistics Bureau\< Second Investigation Division response:	< Section Chief
context: < Ministry of Internal Affairs and Communications, Statistics Bureau\< Second Investigation Division\< Section Chief response:	< Kobayashi Gorou
context: < Ministry of Internal Affairs and Communications, Statistics Bureau\< Second Investigation Division\< Section Chief\< Kobayashi Gorou response:	<And the mask is gone...>
context: < Ministry of Internal Affairs and Communications, Statistics Bureau\< Second Investigation Division\< Section Chief\< Kobayashi Gorou\<And the mask is gone...> response:	<Two Face>
context: < Ministry of Internal Affairs and Communications, Statistics Bureau\< Second Investigation Division\< Section Chief\< Kobayashi Gorou\<And the mask is gone...>\<Two Face> response:	Don't!
context: < Ministry of Internal Affairs and Communications, Statistics Bureau\< Second Investigation Division\< Section Chief\< Kobayashi Gorou\<And the mask is gone...>\<Two Face>\Don't! response:	Did we get them?
context: < Ministry of Internal Affairs and Communications, Statistics Bureau\< Second Investigation Division\< Section Chief\< Kobayashi Gorou\<And the mask is gone...>\<Two Face>\Don't!\Did we get them? response:	Yep, although we only got BK201.
context: < Second Investigation Division\< Section Chief\< Kobayashi Gorou\<And the mask is gone...>\<Two Face>\Don't!\Did we get them?\Yep, although we only got BK201. response:	Wow! It's just as Professor Schroeder's hypothesis predicted.
context: < Section Chief\< Kobayashi Gorou\<And the mask is gone...>\<Two Face>\Don't!\Did we get them?\Yep, although we only got BK201.\Wow! It's just as Professor Schroeder's hypothesis predicted. response:	Now's your chance to get away!
context: < Kobayashi Gorou\<And the mask is gone...>\<Two Face>\Don't!\Did we get them?\Yep, although we only got BK201.\Wow! It's just as Professor Schroeder's hypothesis predicted.\Now's your chance to get away! response:	Oh boy...
context: <And the mask is gone...>\<Two Face>\Don't!\Did we get them?\Yep, although we only got BK201.\Wow! It's just as Professor Schroeder's hypothesis predicted.\Now's your chance to get away!\Oh boy... response:	All your mischief makes my heart throb, my dear prince.
context: <Two Face>\Don't!\Did we get them?\Yep, although we only got BK201.\Wow! It's just as Professor Schroeder's hypothesis predicted.\Now's your chance to get away!\Oh boy...\All your mischief makes my heart throb, my dear prince. response:	Tsukiakari no michishirube
context: Don't!\Did we get them?\Yep, although we only got BK201.\Wow! It's just as Professor Schroeder's hypothesis predicted.\Now's your chance to get away!\Oh boy...\All your mischief makes my heart throb, my dear prince.\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Did we get them?\Yep, although we only got BK201.\Wow! It's just as Professor Schroeder's hypothesis predicted.\Now's your chance to get away!\Oh boy...\All your mischief makes my heart throb, my dear prince.\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: Yep, although we only got BK201.\Wow! It's just as Professor Schroeder's hypothesis predicted.\Now's your chance to get away!\Oh boy...\All your mischief makes my heart throb, my dear prince.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Wow! It's just as Professor Schroeder's hypothesis predicted.\Now's your chance to get away!\Oh boy...\All your mischief makes my heart throb, my dear prince.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: Now's your chance to get away!\Oh boy...\All your mischief makes my heart throb, my dear prince.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Oh boy...\All your mischief makes my heart throb, my dear prince.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: All your mischief makes my heart throb, my dear prince.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Nee dareka oshiete
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete response:	Hey, someone, tell me
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me response:	Minna sou na no kana?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana? response:	Is everyone like that?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that? response:	Kyou ga shiawase nara
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara response:	That they'feel it's good enough
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough response:	Sore de ii to omoeru tte
context: No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte response:	if they're if happy today'
context: Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today' response:	Osanai koro ni wa
context: Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa response:	When I was young
context: Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young response:	Tashika ni atta yo
context: Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo response:	They certainly existed
context: Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed response:	Yume o oikaketeta
