context: All right, then! response:	What, you again? You never learn, do you?
context: All right, then!\What, you again? You never learn, do you? response:	Over here!
context: All right, then!\What, you again? You never learn, do you?\Over here! response:	Well then, I'll be taking some meat again!
context: All right, then!\What, you again? You never learn, do you?\Over here!\Well then, I'll be taking some meat again! response:	Your tail is going to disappear before long.
context: All right, then!\What, you again? You never learn, do you?\Over here!\Well then, I'll be taking some meat again!\Your tail is going to disappear before long. response:	Looks like you've gotten a little bit better.
context: All right, then!\What, you again? You never learn, do you?\Over here!\Well then, I'll be taking some meat again!\Your tail is going to disappear before long.\Looks like you've gotten a little bit better. response:	Wow, to think that Kami- sama is going to be training us!
context: All right, then!\What, you again? You never learn, do you?\Over here!\Well then, I'll be taking some meat again!\Your tail is going to disappear before long.\Looks like you've gotten a little bit better.\Wow, to think that Kami- sama is going to be training us! response:	Damn, I'm just itching all over!
context: All right, then!\What, you again? You never learn, do you?\Over here!\Well then, I'll be taking some meat again!\Your tail is going to disappear before long.\Looks like you've gotten a little bit better.\Wow, to think that Kami- sama is going to be training us!\Damn, I'm just itching all over! response:	Take it easy, take it easy.
context: What, you again? You never learn, do you?\Over here!\Well then, I'll be taking some meat again!\Your tail is going to disappear before long.\Looks like you've gotten a little bit better.\Wow, to think that Kami- sama is going to be training us!\Damn, I'm just itching all over!\Take it easy, take it easy. response:	In any case, we have to find Tenshinhan and Chaozu.
context: Over here!\Well then, I'll be taking some meat again!\Your tail is going to disappear before long.\Looks like you've gotten a little bit better.\Wow, to think that Kami- sama is going to be training us!\Damn, I'm just itching all over!\Take it easy, take it easy.\In any case, we have to find Tenshinhan and Chaozu. response:	Those two are going to be so surprised!
context: Well then, I'll be taking some meat again!\Your tail is going to disappear before long.\Looks like you've gotten a little bit better.\Wow, to think that Kami- sama is going to be training us!\Damn, I'm just itching all over!\Take it easy, take it easy.\In any case, we have to find Tenshinhan and Chaozu.\Those two are going to be so surprised! response:	Yamucha- sama, after you and everyone else have Kami- sama make you stronger,
context: Your tail is going to disappear before long.\Looks like you've gotten a little bit better.\Wow, to think that Kami- sama is going to be training us!\Damn, I'm just itching all over!\Take it easy, take it easy.\In any case, we have to find Tenshinhan and Chaozu.\Those two are going to be so surprised!\Yamucha- sama, after you and everyone else have Kami- sama make you stronger, response:	those Saiyans will be nothing to you!
context: Looks like you've gotten a little bit better.\Wow, to think that Kami- sama is going to be training us!\Damn, I'm just itching all over!\Take it easy, take it easy.\In any case, we have to find Tenshinhan and Chaozu.\Those two are going to be so surprised!\Yamucha- sama, after you and everyone else have Kami- sama make you stronger,\those Saiyans will be nothing to you! response:	That's for sure! If you're coming, then bring it on, Saiyans!
context: Wow, to think that Kami- sama is going to be training us!\Damn, I'm just itching all over!\Take it easy, take it easy.\In any case, we have to find Tenshinhan and Chaozu.\Those two are going to be so surprised!\Yamucha- sama, after you and everyone else have Kami- sama make you stronger,\those Saiyans will be nothing to you!\That's for sure! If you're coming, then bring it on, Saiyans! response:	Wake up, Nappa! Wake up! Open your eyes, Nappa!
context: Damn, I'm just itching all over!\Take it easy, take it easy.\In any case, we have to find Tenshinhan and Chaozu.\Those two are going to be so surprised!\Yamucha- sama, after you and everyone else have Kami- sama make you stronger,\those Saiyans will be nothing to you!\That's for sure! If you're coming, then bring it on, Saiyans!\Wake up, Nappa! Wake up! Open your eyes, Nappa! response:	Have we arrived at Earth already?
context: Take it easy, take it easy.\In any case, we have to find Tenshinhan and Chaozu.\Those two are going to be so surprised!\Yamucha- sama, after you and everyone else have Kami- sama make you stronger,\those Saiyans will be nothing to you!\That's for sure! If you're coming, then bring it on, Saiyans!\Wake up, Nappa! Wake up! Open your eyes, Nappa!\Have we arrived at Earth already? response:	No, not yet. I thought we might stop off on the way, and set my wake-up timer.
context: In any case, we have to find Tenshinhan and Chaozu.\Those two are going to be so surprised!\Yamucha- sama, after you and everyone else have Kami- sama make you stronger,\those Saiyans will be nothing to you!\That's for sure! If you're coming, then bring it on, Saiyans!\Wake up, Nappa! Wake up! Open your eyes, Nappa!\Have we arrived at Earth already?\No, not yet. I thought we might stop off on the way, and set my wake-up timer. response:	Stop off somewhere, you say?
context: Those two are going to be so surprised!\Yamucha- sama, after you and everyone else have Kami- sama make you stronger,\those Saiyans will be nothing to you!\That's for sure! If you're coming, then bring it on, Saiyans!\Wake up, Nappa! Wake up! Open your eyes, Nappa!\Have we arrived at Earth already?\No, not yet. I thought we might stop off on the way, and set my wake-up timer.\Stop off somewhere, you say? response:	There's a pretty good planet ahead of us. We can sell it for a lot!
context: Yamucha- sama, after you and everyone else have Kami- sama make you stronger,\those Saiyans will be nothing to you!\That's for sure! If you're coming, then bring it on, Saiyans!\Wake up, Nappa! Wake up! Open your eyes, Nappa!\Have we arrived at Earth already?\No, not yet. I thought we might stop off on the way, and set my wake-up timer.\Stop off somewhere, you say?\There's a pretty good planet ahead of us. We can sell it for a lot! response:	Understood.
context: those Saiyans will be nothing to you!\That's for sure! If you're coming, then bring it on, Saiyans!\Wake up, Nappa! Wake up! Open your eyes, Nappa!\Have we arrived at Earth already?\No, not yet. I thought we might stop off on the way, and set my wake-up timer.\Stop off somewhere, you say?\There's a pretty good planet ahead of us. We can sell it for a lot!\Understood. response:	Sleeping for one year straight gets you all out of form, so this will be perfect!
context: That's for sure! If you're coming, then bring it on, Saiyans!\Wake up, Nappa! Wake up! Open your eyes, Nappa!\Have we arrived at Earth already?\No, not yet. I thought we might stop off on the way, and set my wake-up timer.\Stop off somewhere, you say?\There's a pretty good planet ahead of us. We can sell it for a lot!\Understood.\Sleeping for one year straight gets you all out of form, so this will be perfect! response:	W- what is this?
