context: My head hurts. response:	I drank too much.
context: My head hurts.\I drank too much. response:	Cold!
context: My head hurts.\I drank too much.\Cold! response:	We're with Maid Cafe Cozy.
context: My head hurts.\I drank too much.\Cold!\We're with Maid Cafe Cozy. response:	Please stop by.
context: My head hurts.\I drank too much.\Cold!\We're with Maid Cafe Cozy.\Please stop by. response:	We hope you'll visit.
context: My head hurts.\I drank too much.\Cold!\We're with Maid Cafe Cozy.\Please stop by.\We hope you'll visit. response:	Man... my lower back hurts.
context: My head hurts.\I drank too much.\Cold!\We're with Maid Cafe Cozy.\Please stop by.\We hope you'll visit.\Man... my lower back hurts. response:	Stomach Medicine
context: My head hurts.\I drank too much.\Cold!\We're with Maid Cafe Cozy.\Please stop by.\We hope you'll visit.\Man... my lower back hurts.\Stomach Medicine response:	Today we're running the integration test on that program, huh?
context: I drank too much.\Cold!\We're with Maid Cafe Cozy.\Please stop by.\We hope you'll visit.\Man... my lower back hurts.\Stomach Medicine\Today we're running the integration test on that program, huh? response:	Dragons.
context: Cold!\We're with Maid Cafe Cozy.\Please stop by.\We hope you'll visit.\Man... my lower back hurts.\Stomach Medicine\Today we're running the integration test on that program, huh?\Dragons. response:	The most powerful creatures there are.
context: We're with Maid Cafe Cozy.\Please stop by.\We hope you'll visit.\Man... my lower back hurts.\Stomach Medicine\Today we're running the integration test on that program, huh?\Dragons.\The most powerful creatures there are. response:	An imaginary creation that breathes fire, flies, and sometimes uses magic.
context: Please stop by.\We hope you'll visit.\Man... my lower back hurts.\Stomach Medicine\Today we're running the integration test on that program, huh?\Dragons.\The most powerful creatures there are.\An imaginary creation that breathes fire, flies, and sometimes uses magic. response:	Tada!
context: We hope you'll visit.\Man... my lower back hurts.\Stomach Medicine\Today we're running the integration test on that program, huh?\Dragons.\The most powerful creatures there are.\An imaginary creation that breathes fire, flies, and sometimes uses magic.\Tada! response:	Or... so I thought.
context: Man... my lower back hurts.\Stomach Medicine\Today we're running the integration test on that program, huh?\Dragons.\The most powerful creatures there are.\An imaginary creation that breathes fire, flies, and sometimes uses magic.\Tada!\Or... so I thought. response:	Good morning, Miss Kobayashi.
context: Stomach Medicine\Today we're running the integration test on that program, huh?\Dragons.\The most powerful creatures there are.\An imaginary creation that breathes fire, flies, and sometimes uses magic.\Tada!\Or... so I thought.\Good morning, Miss Kobayashi. response:	Horns. Tails. Illusion? Where from? Dragon. Cosplay. Real? Lack of Sleep? Delusion? Stranger. Girl. Maid. Will she eat me? Who? Greeting me? Speaking. I'll be eaten. Too tired?
context: Today we're running the integration test on that program, huh?\Dragons.\The most powerful creatures there are.\An imaginary creation that breathes fire, flies, and sometimes uses magic.\Tada!\Or... so I thought.\Good morning, Miss Kobayashi.\Horns. Tails. Illusion? Where from? Dragon. Cosplay. Real? Lack of Sleep? Delusion? Stranger. Girl. Maid. Will she eat me? Who? Greeting me? Speaking. I'll be eaten. Too tired? response:	Dream
context: Dragons.\The most powerful creatures there are.\An imaginary creation that breathes fire, flies, and sometimes uses magic.\Tada!\Or... so I thought.\Good morning, Miss Kobayashi.\Horns. Tails. Illusion? Where from? Dragon. Cosplay. Real? Lack of Sleep? Delusion? Stranger. Girl. Maid. Will she eat me? Who? Greeting me? Speaking. I'll be eaten. Too tired?\Dream response:	Good morning.
context: The most powerful creatures there are.\An imaginary creation that breathes fire, flies, and sometimes uses magic.\Tada!\Or... so I thought.\Good morning, Miss Kobayashi.\Horns. Tails. Illusion? Where from? Dragon. Cosplay. Real? Lack of Sleep? Delusion? Stranger. Girl. Maid. Will she eat me? Who? Greeting me? Speaking. I'll be eaten. Too tired?\Dream\Good morning. response:	Would it be all right to come in?
context: An imaginary creation that breathes fire, flies, and sometimes uses magic.\Tada!\Or... so I thought.\Good morning, Miss Kobayashi.\Horns. Tails. Illusion? Where from? Dragon. Cosplay. Real? Lack of Sleep? Delusion? Stranger. Girl. Maid. Will she eat me? Who? Greeting me? Speaking. I'll be eaten. Too tired?\Dream\Good morning.\Would it be all right to come in? response:	Oh, sure, come inside.
context: Tada!\Or... so I thought.\Good morning, Miss Kobayashi.\Horns. Tails. Illusion? Where from? Dragon. Cosplay. Real? Lack of Sleep? Delusion? Stranger. Girl. Maid. Will she eat me? Who? Greeting me? Speaking. I'll be eaten. Too tired?\Dream\Good morning.\Would it be all right to come in?\Oh, sure, come inside. response:	-Working Adult's Response-
context: Or... so I thought.\Good morning, Miss Kobayashi.\Horns. Tails. Illusion? Where from? Dragon. Cosplay. Real? Lack of Sleep? Delusion? Stranger. Girl. Maid. Will she eat me? Who? Greeting me? Speaking. I'll be eaten. Too tired?\Dream\Good morning.\Would it be all right to come in?\Oh, sure, come inside.\-Working Adult's Response- response:	So we met yesterday, and I offered to let you stay here?
context: Good morning, Miss Kobayashi.\Horns. Tails. Illusion? Where from? Dragon. Cosplay. Real? Lack of Sleep? Delusion? Stranger. Girl. Maid. Will she eat me? Who? Greeting me? Speaking. I'll be eaten. Too tired?\Dream\Good morning.\Would it be all right to come in?\Oh, sure, come inside.\-Working Adult's Response-\So we met yesterday, and I offered to let you stay here? response:	Miss Kobayashi
context: Horns. Tails. Illusion? Where from? Dragon. Cosplay. Real? Lack of Sleep? Delusion? Stranger. Girl. Maid. Will she eat me? Who? Greeting me? Speaking. I'll be eaten. Too tired?\Dream\Good morning.\Would it be all right to come in?\Oh, sure, come inside.\-Working Adult's Response-\So we met yesterday, and I offered to let you stay here?\Miss Kobayashi response:	Uh, Tohru-san? That's what I said?
