context: D-Don't... response:	Don't...
context: D-Don't...\Don't... response:	If Tanigawa-san hadn't said anything back then,
context: D-Don't...\Don't...\If Tanigawa-san hadn't said anything back then, response:	I'm sure I would have...
context: D-Don't...\Don't...\If Tanigawa-san hadn't said anything back then,\I'm sure I would have... response:	I was so close back in Okinawa...
context: D-Don't...\Don't...\If Tanigawa-san hadn't said anything back then,\I'm sure I would have...\I was so close back in Okinawa... response:	Just a little bit more...
context: D-Don't...\Don't...\If Tanigawa-san hadn't said anything back then,\I'm sure I would have...\I was so close back in Okinawa...\Just a little bit more... response:	A little bit... more...
context: D-Don't...\Don't...\If Tanigawa-san hadn't said anything back then,\I'm sure I would have...\I was so close back in Okinawa...\Just a little bit more...\A little bit... more... response:	Oh, crap.
context: D-Don't...\Don't...\If Tanigawa-san hadn't said anything back then,\I'm sure I would have...\I was so close back in Okinawa...\Just a little bit more...\A little bit... more...\Oh, crap. response:	On shoot in Okinawa! All of us together
context: Don't...\If Tanigawa-san hadn't said anything back then,\I'm sure I would have...\I was so close back in Okinawa...\Just a little bit more...\A little bit... more...\Oh, crap.\On shoot in Okinawa! All of us together response:	But...
context: If Tanigawa-san hadn't said anything back then,\I'm sure I would have...\I was so close back in Okinawa...\Just a little bit more...\A little bit... more...\Oh, crap.\On shoot in Okinawa! All of us together\But... response:	I must not forget...
context: I'm sure I would have...\I was so close back in Okinawa...\Just a little bit more...\A little bit... more...\Oh, crap.\On shoot in Okinawa! All of us together\But...\I must not forget... response:	Another problem?
context: I was so close back in Okinawa...\Just a little bit more...\A little bit... more...\Oh, crap.\On shoot in Okinawa! All of us together\But...\I must not forget...\Another problem? response:	Rinon?
context: Just a little bit more...\A little bit... more...\Oh, crap.\On shoot in Okinawa! All of us together\But...\I must not forget...\Another problem?\Rinon? response:	Rinon!
context: A little bit... more...\Oh, crap.\On shoot in Okinawa! All of us together\But...\I must not forget...\Another problem?\Rinon?\Rinon! response:	What are you doing?
context: Oh, crap.\On shoot in Okinawa! All of us together\But...\I must not forget...\Another problem?\Rinon?\Rinon!\What are you doing? response:	Thump, thump.
context: On shoot in Okinawa! All of us together\But...\I must not forget...\Another problem?\Rinon?\Rinon!\What are you doing?\Thump, thump. response:	Roar.
context: But...\I must not forget...\Another problem?\Rinon?\Rinon!\What are you doing?\Thump, thump.\Roar. response:	You giant monster! The alien sent you here!
context: I must not forget...\Another problem?\Rinon?\Rinon!\What are you doing?\Thump, thump.\Roar.\You giant monster! The alien sent you here! response:	MIA missiles, fire!
context: Another problem?\Rinon?\Rinon!\What are you doing?\Thump, thump.\Roar.\You giant monster! The alien sent you here!\MIA missiles, fire! response:	Whoosh. Bang. Bang.
context: Rinon?\Rinon!\What are you doing?\Thump, thump.\Roar.\You giant monster! The alien sent you here!\MIA missiles, fire!\Whoosh. Bang. Bang. response:	Grr!
context: Rinon!\What are you doing?\Thump, thump.\Roar.\You giant monster! The alien sent you here!\MIA missiles, fire!\Whoosh. Bang. Bang.\Grr! response:	Zap, zap, zap.
context: What are you doing?\Thump, thump.\Roar.\You giant monster! The alien sent you here!\MIA missiles, fire!\Whoosh. Bang. Bang.\Grr!\Zap, zap, zap. response:	Ah!
context: Thump, thump.\Roar.\You giant monster! The alien sent you here!\MIA missiles, fire!\Whoosh. Bang. Bang.\Grr!\Zap, zap, zap.\Ah! response:	Shyeeew. Boom.
context: Roar.\You giant monster! The alien sent you here!\MIA missiles, fire!\Whoosh. Bang. Bang.\Grr!\Zap, zap, zap.\Ah!\Shyeeew. Boom. response:	Zoom, zoom, zoom.
