context: The first time I met her, I knew instantly... response:	She must've been Kuro-kun's first love.
context: The first time I met her, I knew instantly...\She must've been Kuro-kun's first love. response:	She seems nice, Kuro.
context: The first time I met her, I knew instantly...\She must've been Kuro-kun's first love.\She seems nice, Kuro. response:	This is my girlfriend and my senpai in college, Yumihara Saki-san.
context: The first time I met her, I knew instantly...\She must've been Kuro-kun's first love.\She seems nice, Kuro.\This is my girlfriend and my senpai in college, Yumihara Saki-san. response:	I-It's nice to meet you!
context: The first time I met her, I knew instantly...\She must've been Kuro-kun's first love.\She seems nice, Kuro.\This is my girlfriend and my senpai in college, Yumihara Saki-san.\I-It's nice to meet you! response:	Well, I'll be at the cafe downstairs.
context: The first time I met her, I knew instantly...\She must've been Kuro-kun's first love.\She seems nice, Kuro.\This is my girlfriend and my senpai in college, Yumihara Saki-san.\I-It's nice to meet you!\Well, I'll be at the cafe downstairs. response:	Huh?
context: The first time I met her, I knew instantly...\She must've been Kuro-kun's first love.\She seems nice, Kuro.\This is my girlfriend and my senpai in college, Yumihara Saki-san.\I-It's nice to meet you!\Well, I'll be at the cafe downstairs.\Huh? response:	I'd just be in the way here.
context: The first time I met her, I knew instantly...\She must've been Kuro-kun's first love.\She seems nice, Kuro.\This is my girlfriend and my senpai in college, Yumihara Saki-san.\I-It's nice to meet you!\Well, I'll be at the cafe downstairs.\Huh?\I'd just be in the way here. response:	I just wanted to say hello. So you can take your time, okay?
context: She must've been Kuro-kun's first love.\She seems nice, Kuro.\This is my girlfriend and my senpai in college, Yumihara Saki-san.\I-It's nice to meet you!\Well, I'll be at the cafe downstairs.\Huh?\I'd just be in the way here.\I just wanted to say hello. So you can take your time, okay? response:	If you'll excuse me.
context: She seems nice, Kuro.\This is my girlfriend and my senpai in college, Yumihara Saki-san.\I-It's nice to meet you!\Well, I'll be at the cafe downstairs.\Huh?\I'd just be in the way here.\I just wanted to say hello. So you can take your time, okay?\If you'll excuse me. response:	So she's Kuro-kun's...
context: This is my girlfriend and my senpai in college, Yumihara Saki-san.\I-It's nice to meet you!\Well, I'll be at the cafe downstairs.\Huh?\I'd just be in the way here.\I just wanted to say hello. So you can take your time, okay?\If you'll excuse me.\So she's Kuro-kun's... response:	But it seemed like she was
context: I-It's nice to meet you!\Well, I'll be at the cafe downstairs.\Huh?\I'd just be in the way here.\I just wanted to say hello. So you can take your time, okay?\If you'll excuse me.\So she's Kuro-kun's...\But it seemed like she was response:	silently...
context: Well, I'll be at the cafe downstairs.\Huh?\I'd just be in the way here.\I just wanted to say hello. So you can take your time, okay?\If you'll excuse me.\So she's Kuro-kun's...\But it seemed like she was\silently... response:	silently corrupting those around her.
context: Huh?\I'd just be in the way here.\I just wanted to say hello. So you can take your time, okay?\If you'll excuse me.\So she's Kuro-kun's...\But it seemed like she was\silently...\silently corrupting those around her. response:	That's how she seemed.
context: I'd just be in the way here.\I just wanted to say hello. So you can take your time, okay?\If you'll excuse me.\So she's Kuro-kun's...\But it seemed like she was\silently...\silently corrupting those around her.\That's how she seemed. response:	I heard Sakuragawa-san was taken to the operating room again yesterday.
context: I just wanted to say hello. So you can take your time, okay?\If you'll excuse me.\So she's Kuro-kun's...\But it seemed like she was\silently...\silently corrupting those around her.\That's how she seemed.\I heard Sakuragawa-san was taken to the operating room again yesterday. response:	Really? She tried to kill herself again?
context: If you'll excuse me.\So she's Kuro-kun's...\But it seemed like she was\silently...\silently corrupting those around her.\That's how she seemed.\I heard Sakuragawa-san was taken to the operating room again yesterday.\Really? She tried to kill herself again? response:	Maybe the rumor that she's tried to kill herself multiple times is true.
context: So she's Kuro-kun's...\But it seemed like she was\silently...\silently corrupting those around her.\That's how she seemed.\I heard Sakuragawa-san was taken to the operating room again yesterday.\Really? She tried to kill herself again?\Maybe the rumor that she's tried to kill herself multiple times is true. response:	I heard she doesn't have long to live.
context: But it seemed like she was\silently...\silently corrupting those around her.\That's how she seemed.\I heard Sakuragawa-san was taken to the operating room again yesterday.\Really? She tried to kill herself again?\Maybe the rumor that she's tried to kill herself multiple times is true.\I heard she doesn't have long to live. response:	She was tying you down.
context: silently...\silently corrupting those around her.\That's how she seemed.\I heard Sakuragawa-san was taken to the operating room again yesterday.\Really? She tried to kill herself again?\Maybe the rumor that she's tried to kill herself multiple times is true.\I heard she doesn't have long to live.\She was tying you down. response:	But if going out with Iwanaga-san will help you break free of that...
context: silently corrupting those around her.\That's how she seemed.\I heard Sakuragawa-san was taken to the operating room again yesterday.\Really? She tried to kill herself again?\Maybe the rumor that she's tried to kill herself multiple times is true.\I heard she doesn't have long to live.\She was tying you down.\But if going out with Iwanaga-san will help you break free of that... response:	I think it's a good thing, despite feeling conflicted.
context: That's how she seemed.\I heard Sakuragawa-san was taken to the operating room again yesterday.\Really? She tried to kill herself again?\Maybe the rumor that she's tried to kill herself multiple times is true.\I heard she doesn't have long to live.\She was tying you down.\But if going out with Iwanaga-san will help you break free of that...\I think it's a good thing, despite feeling conflicted. response:	Saki-san, I do love Rikka-san, and I might be tied down,
context: I heard Sakuragawa-san was taken to the operating room again yesterday.\Really? She tried to kill herself again?\Maybe the rumor that she's tried to kill herself multiple times is true.\I heard she doesn't have long to live.\She was tying you down.\But if going out with Iwanaga-san will help you break free of that...\I think it's a good thing, despite feeling conflicted.\Saki-san, I do love Rikka-san, and I might be tied down, response:	but I do sometimes wish she wasn't around.
context: Really? She tried to kill herself again?\Maybe the rumor that she's tried to kill herself multiple times is true.\I heard she doesn't have long to live.\She was tying you down.\But if going out with Iwanaga-san will help you break free of that...\I think it's a good thing, despite feeling conflicted.\Saki-san, I do love Rikka-san, and I might be tied down,\but I do sometimes wish she wasn't around. response:	That she wasn't around? Didn't Rikka-san pass away?
context: Maybe the rumor that she's tried to kill herself multiple times is true.\I heard she doesn't have long to live.\She was tying you down.\But if going out with Iwanaga-san will help you break free of that...\I think it's a good thing, despite feeling conflicted.\Saki-san, I do love Rikka-san, and I might be tied down,\but I do sometimes wish she wasn't around.\That she wasn't around? Didn't Rikka-san pass away? response:	Rikka-san hasn't passed away.
context: I heard she doesn't have long to live.\She was tying you down.\But if going out with Iwanaga-san will help you break free of that...\I think it's a good thing, despite feeling conflicted.\Saki-san, I do love Rikka-san, and I might be tied down,\but I do sometimes wish she wasn't around.\That she wasn't around? Didn't Rikka-san pass away?\Rikka-san hasn't passed away. response:	That's not possible.
context: She was tying you down.\But if going out with Iwanaga-san will help you break free of that...\I think it's a good thing, despite feeling conflicted.\Saki-san, I do love Rikka-san, and I might be tied down,\but I do sometimes wish she wasn't around.\That she wasn't around? Didn't Rikka-san pass away?\Rikka-san hasn't passed away.\That's not possible. response:	Saki-san, Rikka-san is my cousin.
context: But if going out with Iwanaga-san will help you break free of that...\I think it's a good thing, despite feeling conflicted.\Saki-san, I do love Rikka-san, and I might be tied down,\but I do sometimes wish she wasn't around.\That she wasn't around? Didn't Rikka-san pass away?\Rikka-san hasn't passed away.\That's not possible.\Saki-san, Rikka-san is my cousin. response:	Don't tell me she's also... a Sakuragawa.
context: I think it's a good thing, despite feeling conflicted.\Saki-san, I do love Rikka-san, and I might be tied down,\but I do sometimes wish she wasn't around.\That she wasn't around? Didn't Rikka-san pass away?\Rikka-san hasn't passed away.\That's not possible.\Saki-san, Rikka-san is my cousin.\Don't tell me she's also... a Sakuragawa. response:	I screwed up... I screwed up so bad.
context: Saki-san, I do love Rikka-san, and I might be tied down,\but I do sometimes wish she wasn't around.\That she wasn't around? Didn't Rikka-san pass away?\Rikka-san hasn't passed away.\That's not possible.\Saki-san, Rikka-san is my cousin.\Don't tell me she's also... a Sakuragawa.\I screwed up... I screwed up so bad. response:	How could I create time for Kuro-senpai and Saki-san to be alone together?!
