context: The summer vacation I was looking forward to so much... response:	Little did I know, our destination was actually another world!
context: The summer vacation I was looking forward to so much...\Little did I know, our destination was actually another world! response:	As for my two childhood friends...
context: The summer vacation I was looking forward to so much...\Little did I know, our destination was actually another world!\As for my two childhood friends... response:	Hero Sink...
context: The summer vacation I was looking forward to so much...\Little did I know, our destination was actually another world!\As for my two childhood friends...\Hero Sink... response:	Hero Nanami...
context: The summer vacation I was looking forward to so much...\Little did I know, our destination was actually another world!\As for my two childhood friends...\Hero Sink...\Hero Nanami... response:	Reporting for duty!
context: The summer vacation I was looking forward to so much...\Little did I know, our destination was actually another world!\As for my two childhood friends...\Hero Sink...\Hero Nanami...\Reporting for duty! response:	Um, what should I do?
context: The summer vacation I was looking forward to so much...\Little did I know, our destination was actually another world!\As for my two childhood friends...\Hero Sink...\Hero Nanami...\Reporting for duty!\Um, what should I do? response:	Let's just have fun!
context: The summer vacation I was looking forward to so much...\Little did I know, our destination was actually another world!\As for my two childhood friends...\Hero Sink...\Hero Nanami...\Reporting for duty!\Um, what should I do?\Let's just have fun! response:	Pastillage Joins The Battle!
context: Little did I know, our destination was actually another world!\As for my two childhood friends...\Hero Sink...\Hero Nanami...\Reporting for duty!\Um, what should I do?\Let's just have fun!\Pastillage Joins The Battle! response:	It appears that both armies' heroes are going for each other!
context: As for my two childhood friends...\Hero Sink...\Hero Nanami...\Reporting for duty!\Um, what should I do?\Let's just have fun!\Pastillage Joins The Battle!\It appears that both armies' heroes are going for each other! response:	Hero Sink is dashing through the cog area.
context: Hero Sink...\Hero Nanami...\Reporting for duty!\Um, what should I do?\Let's just have fun!\Pastillage Joins The Battle!\It appears that both armies' heroes are going for each other!\Hero Sink is dashing through the cog area. response:	I have about 100 days of experience being a hero.
context: Hero Nanami...\Reporting for duty!\Um, what should I do?\Let's just have fun!\Pastillage Joins The Battle!\It appears that both armies' heroes are going for each other!\Hero Sink is dashing through the cog area.\I have about 100 days of experience being a hero. response:	I can't let that newbie hero, Nanami, beat me!
context: Reporting for duty!\Um, what should I do?\Let's just have fun!\Pastillage Joins The Battle!\It appears that both armies' heroes are going for each other!\Hero Sink is dashing through the cog area.\I have about 100 days of experience being a hero.\I can't let that newbie hero, Nanami, beat me! response:	That's right, show them your experience!
context: Um, what should I do?\Let's just have fun!\Pastillage Joins The Battle!\It appears that both armies' heroes are going for each other!\Hero Sink is dashing through the cog area.\I have about 100 days of experience being a hero.\I can't let that newbie hero, Nanami, beat me!\That's right, show them your experience! response:	Indeed!
context: Let's just have fun!\Pastillage Joins The Battle!\It appears that both armies' heroes are going for each other!\Hero Sink is dashing through the cog area.\I have about 100 days of experience being a hero.\I can't let that newbie hero, Nanami, beat me!\That's right, show them your experience!\Indeed! response:	Nanami, do you think you can uphold your teacher's honor?
context: Pastillage Joins The Battle!\It appears that both armies' heroes are going for each other!\Hero Sink is dashing through the cog area.\I have about 100 days of experience being a hero.\I can't let that newbie hero, Nanami, beat me!\That's right, show them your experience!\Indeed!\Nanami, do you think you can uphold your teacher's honor? response:	Of course, I mean I am Sink's older sister!
context: It appears that both armies' heroes are going for each other!\Hero Sink is dashing through the cog area.\I have about 100 days of experience being a hero.\I can't let that newbie hero, Nanami, beat me!\That's right, show them your experience!\Indeed!\Nanami, do you think you can uphold your teacher's honor?\Of course, I mean I am Sink's older sister! response:	Hero Nanami is jumping into the fray with Her Excellency Leon,
context: Hero Sink is dashing through the cog area.\I have about 100 days of experience being a hero.\I can't let that newbie hero, Nanami, beat me!\That's right, show them your experience!\Indeed!\Nanami, do you think you can uphold your teacher's honor?\Of course, I mean I am Sink's older sister!\Hero Nanami is jumping into the fray with Her Excellency Leon, response:	but the Biscotti army moves in to defend!
context: I have about 100 days of experience being a hero.\I can't let that newbie hero, Nanami, beat me!\That's right, show them your experience!\Indeed!\Nanami, do you think you can uphold your teacher's honor?\Of course, I mean I am Sink's older sister!\Hero Nanami is jumping into the fray with Her Excellency Leon,\but the Biscotti army moves in to defend! response:	All right, Sink, I won't hold back!
context: I can't let that newbie hero, Nanami, beat me!\That's right, show them your experience!\Indeed!\Nanami, do you think you can uphold your teacher's honor?\Of course, I mean I am Sink's older sister!\Hero Nanami is jumping into the fray with Her Excellency Leon,\but the Biscotti army moves in to defend!\All right, Sink, I won't hold back! response:	Ready... go!
context: That's right, show them your experience!\Indeed!\Nanami, do you think you can uphold your teacher's honor?\Of course, I mean I am Sink's older sister!\Hero Nanami is jumping into the fray with Her Excellency Leon,\but the Biscotti army moves in to defend!\All right, Sink, I won't hold back!\Ready... go! response:	The hero battle has begun!
context: Indeed!\Nanami, do you think you can uphold your teacher's honor?\Of course, I mean I am Sink's older sister!\Hero Nanami is jumping into the fray with Her Excellency Leon,\but the Biscotti army moves in to defend!\All right, Sink, I won't hold back!\Ready... go!\The hero battle has begun! response:	It's on!
