context: On the fourth day of the Grand Magic Games, response:	in one of the battle part's tag matches,
context: On the fourth day of the Grand Magic Games,\in one of the battle part's tag matches, response:	a showdown between four Dragon Slayers is happening.
context: On the fourth day of the Grand Magic Games,\in one of the battle part's tag matches,\a showdown between four Dragon Slayers is happening. response:	It's Natsu and Gajeel vs. Sting and Rogue.
context: On the fourth day of the Grand Magic Games,\in one of the battle part's tag matches,\a showdown between four Dragon Slayers is happening.\It's Natsu and Gajeel vs. Sting and Rogue. response:	The battle against the Twin Dragons of Sabertooth,
context: On the fourth day of the Grand Magic Games,\in one of the battle part's tag matches,\a showdown between four Dragon Slayers is happening.\It's Natsu and Gajeel vs. Sting and Rogue.\The battle against the Twin Dragons of Sabertooth, response:	a battle that puts Fairy Tail's bond and pride on the line, has begun at last!
context: On the fourth day of the Grand Magic Games,\in one of the battle part's tag matches,\a showdown between four Dragon Slayers is happening.\It's Natsu and Gajeel vs. Sting and Rogue.\The battle against the Twin Dragons of Sabertooth,\a battle that puts Fairy Tail's bond and pride on the line, has begun at last! response:	Clam it, already!
context: On the fourth day of the Grand Magic Games,\in one of the battle part's tag matches,\a showdown between four Dragon Slayers is happening.\It's Natsu and Gajeel vs. Sting and Rogue.\The battle against the Twin Dragons of Sabertooth,\a battle that puts Fairy Tail's bond and pride on the line, has begun at last!\Clam it, already! response:	Wha...?! Hey! You bastard!
context: On the fourth day of the Grand Magic Games,\in one of the battle part's tag matches,\a showdown between four Dragon Slayers is happening.\It's Natsu and Gajeel vs. Sting and Rogue.\The battle against the Twin Dragons of Sabertooth,\a battle that puts Fairy Tail's bond and pride on the line, has begun at last!\Clam it, already!\Wha...?! Hey! You bastard! response:	Wh-What is this?!
context: in one of the battle part's tag matches,\a showdown between four Dragon Slayers is happening.\It's Natsu and Gajeel vs. Sting and Rogue.\The battle against the Twin Dragons of Sabertooth,\a battle that puts Fairy Tail's bond and pride on the line, has begun at last!\Clam it, already!\Wha...?! Hey! You bastard!\Wh-What is this?! response:	I can take both of you on by myself.
context: a showdown between four Dragon Slayers is happening.\It's Natsu and Gajeel vs. Sting and Rogue.\The battle against the Twin Dragons of Sabertooth,\a battle that puts Fairy Tail's bond and pride on the line, has begun at last!\Clam it, already!\Wha...?! Hey! You bastard!\Wh-What is this?!\I can take both of you on by myself. response:	Go ahead, attack me at the same time!
context: It's Natsu and Gajeel vs. Sting and Rogue.\The battle against the Twin Dragons of Sabertooth,\a battle that puts Fairy Tail's bond and pride on the line, has begun at last!\Clam it, already!\Wha...?! Hey! You bastard!\Wh-What is this?!\I can take both of you on by myself.\Go ahead, attack me at the same time! response:	Oh, boy! Now Natsu Dragneel of Fairy Tail
context: The battle against the Twin Dragons of Sabertooth,\a battle that puts Fairy Tail's bond and pride on the line, has begun at last!\Clam it, already!\Wha...?! Hey! You bastard!\Wh-What is this?!\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail response:	is challenging the two of them to a battle!
context: a battle that puts Fairy Tail's bond and pride on the line, has begun at last!\Clam it, already!\Wha...?! Hey! You bastard!\Wh-What is this?!\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle! response:	You're fired up, ain'tcha?
context: Clam it, already!\Wha...?! Hey! You bastard!\Wh-What is this?!\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha? response:	Natsu vs. the Twin Dragons!
context: Wha...?! Hey! You bastard!\Wh-What is this?!\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\Natsu vs. the Twin Dragons! response:	Go, Natsu!
context: Wh-What is this?!\I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\Natsu vs. the Twin Dragons!\Go, Natsu! response:	What happened to Gajeel?!
context: I can take both of you on by myself.\Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\Natsu vs. the Twin Dragons!\Go, Natsu!\What happened to Gajeel?! response:	Gray-sama! You're wonderful!
context: Go ahead, attack me at the same time!\Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\Natsu vs. the Twin Dragons!\Go, Natsu!\What happened to Gajeel?!\Gray-sama! You're wonderful! response:	Although Natsu is the one who's fighting...
context: Oh, boy! Now Natsu Dragneel of Fairy Tail\is challenging the two of them to a battle!\You're fired up, ain'tcha?\Natsu vs. the Twin Dragons!\Go, Natsu!\What happened to Gajeel?!\Gray-sama! You're wonderful!\Although Natsu is the one who's fighting... response:	Rogue...
context: is challenging the two of them to a battle!\You're fired up, ain'tcha?\Natsu vs. the Twin Dragons!\Go, Natsu!\What happened to Gajeel?!\Gray-sama! You're wonderful!\Although Natsu is the one who's fighting...\Rogue... response:	Sting-kun! The fight's just getting started!
context: You're fired up, ain'tcha?\Natsu vs. the Twin Dragons!\Go, Natsu!\What happened to Gajeel?!\Gray-sama! You're wonderful!\Although Natsu is the one who's fighting...\Rogue...\Sting-kun! The fight's just getting started! response:	This is...
context: Natsu vs. the Twin Dragons!\Go, Natsu!\What happened to Gajeel?!\Gray-sama! You're wonderful!\Although Natsu is the one who's fighting...\Rogue...\Sting-kun! The fight's just getting started!\This is... response:	Him?!
context: Go, Natsu!\What happened to Gajeel?!\Gray-sama! You're wonderful!\Although Natsu is the one who's fighting...\Rogue...\Sting-kun! The fight's just getting started!\This is...\Him?! response:	It feels like Zeref,
context: What happened to Gajeel?!\Gray-sama! You're wonderful!\Although Natsu is the one who's fighting...\Rogue...\Sting-kun! The fight's just getting started!\This is...\Him?!\It feels like Zeref, response:	but it's different somehow.
context: Gray-sama! You're wonderful!\Although Natsu is the one who's fighting...\Rogue...\Sting-kun! The fight's just getting started!\This is...\Him?!\It feels like Zeref,\but it's different somehow. response:	He's in the stadium again, isn't he?
context: Although Natsu is the one who's fighting...\Rogue...\Sting-kun! The fight's just getting started!\This is...\Him?!\It feels like Zeref,\but it's different somehow.\He's in the stadium again, isn't he? response:	Jellal! Don't let him get away this time!
context: Rogue...\Sting-kun! The fight's just getting started!\This is...\Him?!\It feels like Zeref,\but it's different somehow.\He's in the stadium again, isn't he?\Jellal! Don't let him get away this time! response:	I know! I'm concerned about the match, but right now...
context: Sting-kun! The fight's just getting started!\This is...\Him?!\It feels like Zeref,\but it's different somehow.\He's in the stadium again, isn't he?\Jellal! Don't let him get away this time!\I know! I'm concerned about the match, but right now... response:	You can take us on by yourself?
context: This is...\Him?!\It feels like Zeref,\but it's different somehow.\He's in the stadium again, isn't he?\Jellal! Don't let him get away this time!\I know! I'm concerned about the match, but right now...\You can take us on by yourself? response:	You're just messin' with us...
context: Him?!\It feels like Zeref,\but it's different somehow.\He's in the stadium again, isn't he?\Jellal! Don't let him get away this time!\I know! I'm concerned about the match, but right now...\You can take us on by yourself?\You're just messin' with us... response:	I have no business with you.
context: It feels like Zeref,\but it's different somehow.\He's in the stadium again, isn't he?\Jellal! Don't let him get away this time!\I know! I'm concerned about the match, but right now...\You can take us on by yourself?\You're just messin' with us...\I have no business with you. response:	Let me fight Gajeel.
context: but it's different somehow.\He's in the stadium again, isn't he?\Jellal! Don't let him get away this time!\I know! I'm concerned about the match, but right now...\You can take us on by yourself?\You're just messin' with us...\I have no business with you.\Let me fight Gajeel. response:	You want Gajeel, you gotta go through me.
context: He's in the stadium again, isn't he?\Jellal! Don't let him get away this time!\I know! I'm concerned about the match, but right now...\You can take us on by yourself?\You're just messin' with us...\I have no business with you.\Let me fight Gajeel.\You want Gajeel, you gotta go through me. response:	Dragon Force is the power of a dragon.
context: Jellal! Don't let him get away this time!\I know! I'm concerned about the match, but right now...\You can take us on by yourself?\You're just messin' with us...\I have no business with you.\Let me fight Gajeel.\You want Gajeel, you gotta go through me.\Dragon Force is the power of a dragon. response:	There's nothing more powerful in this world!
context: I know! I'm concerned about the match, but right now...\You can take us on by yourself?\You're just messin' with us...\I have no business with you.\Let me fight Gajeel.\You want Gajeel, you gotta go through me.\Dragon Force is the power of a dragon.\There's nothing more powerful in this world! response:	Maybe your power's half-baked...
context: You can take us on by yourself?\You're just messin' with us...\I have no business with you.\Let me fight Gajeel.\You want Gajeel, you gotta go through me.\Dragon Force is the power of a dragon.\There's nothing more powerful in this world!\Maybe your power's half-baked... response:	Natsu...
context: You're just messin' with us...\I have no business with you.\Let me fight Gajeel.\You want Gajeel, you gotta go through me.\Dragon Force is the power of a dragon.\There's nothing more powerful in this world!\Maybe your power's half-baked...\Natsu... response:	I wonder what's happening with the match...
context: I have no business with you.\Let me fight Gajeel.\You want Gajeel, you gotta go through me.\Dragon Force is the power of a dragon.\There's nothing more powerful in this world!\Maybe your power's half-baked...\Natsu...\I wonder what's happening with the match... response:	Natsu and Gajeel are winnin', of course!
context: Let me fight Gajeel.\You want Gajeel, you gotta go through me.\Dragon Force is the power of a dragon.\There's nothing more powerful in this world!\Maybe your power's half-baked...\Natsu...\I wonder what's happening with the match...\Natsu and Gajeel are winnin', of course! response:	They're Men!
