context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	A healthy soul,
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul, response:	The Academy of Shinigami Weapons Wielders.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders. response:	In other words, Shibusen.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen. response:	To prevent the rebirth of the Kishin,
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\To prevent the rebirth of the Kishin, response:	the beings that nearly destroyed everything,
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\To prevent the rebirth of the Kishin,\the beings that nearly destroyed everything, response:	plunging the world into the depths of fear and
context: Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\To prevent the rebirth of the Kishin,\the beings that nearly destroyed everything,\plunging the world into the depths of fear and response:	engulfing people into a swirl of madness,
context: Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\To prevent the rebirth of the Kishin,\the beings that nearly destroyed everything,\plunging the world into the depths of fear and\engulfing people into a swirl of madness, response:	this training facility for weapons created by Shinigami...
context: A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\To prevent the rebirth of the Kishin,\the beings that nearly destroyed everything,\plunging the world into the depths of fear and\engulfing people into a swirl of madness,\this training facility for weapons created by Shinigami... response:	Well, quite simply,
context: The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\To prevent the rebirth of the Kishin,\the beings that nearly destroyed everything,\plunging the world into the depths of fear and\engulfing people into a swirl of madness,\this training facility for weapons created by Shinigami...\Well, quite simply, response:	Shinigami-sama
context: In other words, Shibusen.\To prevent the rebirth of the Kishin,\the beings that nearly destroyed everything,\plunging the world into the depths of fear and\engulfing people into a swirl of madness,\this training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama response:	I wonder why it's an Academy.
context: To prevent the rebirth of the Kishin,\the beings that nearly destroyed everything,\plunging the world into the depths of fear and\engulfing people into a swirl of madness,\this training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy. response:	Oh well.
context: the beings that nearly destroyed everything,\plunging the world into the depths of fear and\engulfing people into a swirl of madness,\this training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well. response:	So, if you think you're prepared, let's have a go at it!
context: plunging the world into the depths of fear and\engulfing people into a swirl of madness,\this training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well.\So, if you think you're prepared, let's have a go at it! response:	So, if you think you're prepared, let's have a go at it!
context: engulfing people into a swirl of madness,\this training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well.\So, if you think you're prepared, let's have a go at it!\So, if you think you're prepared, let's have a go at it! response:	This is a free fansub. Not for sale or rent.
context: this training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well.\So, if you think you're prepared, let's have a go at it!\So, if you think you're prepared, let's have a go at it!\This is a free fansub. Not for sale or rent. response:	Commemorative production for 10 whole years of Bones!!
context: Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well.\So, if you think you're prepared, let's have a go at it!\So, if you think you're prepared, let's have a go at it!\This is a free fansub. Not for sale or rent.\Commemorative production for 10 whole years of Bones!! response:	Bones will also broadcast many other productions, but...
