context: Come on out, Tsubaki! response:	It IS that Tsubaki, after all.
context: Come on out, Tsubaki!\It IS that Tsubaki, after all. response:	Which Tsubaki?
context: Come on out, Tsubaki!\It IS that Tsubaki, after all.\Which Tsubaki? response:	A priestess, 50 years ago, just like my sister, Kikyo.
context: Come on out, Tsubaki!\It IS that Tsubaki, after all.\Which Tsubaki?\A priestess, 50 years ago, just like my sister, Kikyo. response:	Sister, who is that priestess?
context: Come on out, Tsubaki!\It IS that Tsubaki, after all.\Which Tsubaki?\A priestess, 50 years ago, just like my sister, Kikyo.\Sister, who is that priestess? response:	That is Tsubaki.
context: Come on out, Tsubaki!\It IS that Tsubaki, after all.\Which Tsubaki?\A priestess, 50 years ago, just like my sister, Kikyo.\Sister, who is that priestess?\That is Tsubaki. response:	I never imagined she would turn to the Dark side.
context: Come on out, Tsubaki!\It IS that Tsubaki, after all.\Which Tsubaki?\A priestess, 50 years ago, just like my sister, Kikyo.\Sister, who is that priestess?\That is Tsubaki.\I never imagined she would turn to the Dark side. response:	Who cares about the past?!
context: Come on out, Tsubaki!\It IS that Tsubaki, after all.\Which Tsubaki?\A priestess, 50 years ago, just like my sister, Kikyo.\Sister, who is that priestess?\That is Tsubaki.\I never imagined she would turn to the Dark side.\Who cares about the past?! response:	Where is she now?!
context: It IS that Tsubaki, after all.\Which Tsubaki?\A priestess, 50 years ago, just like my sister, Kikyo.\Sister, who is that priestess?\That is Tsubaki.\I never imagined she would turn to the Dark side.\Who cares about the past?!\Where is she now?! response:	What's the matter, Kagome?
context: Which Tsubaki?\A priestess, 50 years ago, just like my sister, Kikyo.\Sister, who is that priestess?\That is Tsubaki.\I never imagined she would turn to the Dark side.\Who cares about the past?!\Where is she now?!\What's the matter, Kagome? response:	Way inside...
context: A priestess, 50 years ago, just like my sister, Kikyo.\Sister, who is that priestess?\That is Tsubaki.\I never imagined she would turn to the Dark side.\Who cares about the past?!\Where is she now?!\What's the matter, Kagome?\Way inside... response:	I sense the Sacred Jewel.
context: Sister, who is that priestess?\That is Tsubaki.\I never imagined she would turn to the Dark side.\Who cares about the past?!\Where is she now?!\What's the matter, Kagome?\Way inside...\I sense the Sacred Jewel. response:	All right!
context: That is Tsubaki.\I never imagined she would turn to the Dark side.\Who cares about the past?!\Where is she now?!\What's the matter, Kagome?\Way inside...\I sense the Sacred Jewel.\All right! response:	But this area is...
context: I never imagined she would turn to the Dark side.\Who cares about the past?!\Where is she now?!\What's the matter, Kagome?\Way inside...\I sense the Sacred Jewel.\All right!\But this area is... response:	What's the matter, Kaede?
context: Who cares about the past?!\Where is she now?!\What's the matter, Kagome?\Way inside...\I sense the Sacred Jewel.\All right!\But this area is...\What's the matter, Kaede? response:	Stories have been passed down,
context: Where is she now?!\What's the matter, Kagome?\Way inside...\I sense the Sacred Jewel.\All right!\But this area is...\What's the matter, Kaede?\Stories have been passed down, response:	that in this area a demon was sealed away.
context: What's the matter, Kagome?\Way inside...\I sense the Sacred Jewel.\All right!\But this area is...\What's the matter, Kaede?\Stories have been passed down,\that in this area a demon was sealed away. response:	A demon?
context: Way inside...\I sense the Sacred Jewel.\All right!\But this area is...\What's the matter, Kaede?\Stories have been passed down,\that in this area a demon was sealed away.\A demon? response:	That's!
context: I sense the Sacred Jewel.\All right!\But this area is...\What's the matter, Kaede?\Stories have been passed down,\that in this area a demon was sealed away.\A demon?\That's! response:	So it's appeared!
context: All right!\But this area is...\What's the matter, Kaede?\Stories have been passed down,\that in this area a demon was sealed away.\A demon?\That's!\So it's appeared! response:	Move, you!
context: But this area is...\What's the matter, Kaede?\Stories have been passed down,\that in this area a demon was sealed away.\A demon?\That's!\So it's appeared!\Move, you! response:	Hiraikotsu!
context: What's the matter, Kaede?\Stories have been passed down,\that in this area a demon was sealed away.\A demon?\That's!\So it's appeared!\Move, you!\Hiraikotsu! response:	You've come to?
context: Stories have been passed down,\that in this area a demon was sealed away.\A demon?\That's!\So it's appeared!\Move, you!\Hiraikotsu!\You've come to? response:	You are!
context: that in this area a demon was sealed away.\A demon?\That's!\So it's appeared!\Move, you!\Hiraikotsu!\You've come to?\You are! response:	Calm down!
context: A demon?\That's!\So it's appeared!\Move, you!\Hiraikotsu!\You've come to?\You are!\Calm down! response:	I don't intend to hurt you. Just...
context: That's!\So it's appeared!\Move, you!\Hiraikotsu!\You've come to?\You are!\Calm down!\I don't intend to hurt you. Just... response:	Just?
context: So it's appeared!\Move, you!\Hiraikotsu!\You've come to?\You are!\Calm down!\I don't intend to hurt you. Just...\Just? response:	Listen... Will you bear my child?
context: Move, you!\Hiraikotsu!\You've come to?\You are!\Calm down!\I don't intend to hurt you. Just...\Just?\Listen... Will you bear my child? response:	Well? Will you bear my child?
context: Hiraikotsu!\You've come to?\You are!\Calm down!\I don't intend to hurt you. Just...\Just?\Listen... Will you bear my child?\Well? Will you bear my child? response:	Will just anyone do?!
context: You've come to?\You are!\Calm down!\I don't intend to hurt you. Just...\Just?\Listen... Will you bear my child?\Well? Will you bear my child?\Will just anyone do?! response:	No, it's not that.
context: You are!\Calm down!\I don't intend to hurt you. Just...\Just?\Listen... Will you bear my child?\Well? Will you bear my child?\Will just anyone do?!\No, it's not that. response:	Oh, you're conscious.
context: Calm down!\I don't intend to hurt you. Just...\Just?\Listen... Will you bear my child?\Well? Will you bear my child?\Will just anyone do?!\No, it's not that.\Oh, you're conscious. response:	Yes.
context: I don't intend to hurt you. Just...\Just?\Listen... Will you bear my child?\Well? Will you bear my child?\Will just anyone do?!\No, it's not that.\Oh, you're conscious.\Yes. response:	You appeared, Demon! Stay away!
context: Just?\Listen... Will you bear my child?\Well? Will you bear my child?\Will just anyone do?!\No, it's not that.\Oh, you're conscious.\Yes.\You appeared, Demon! Stay away! response:	You're mistaken!
